variancceSgd0,variancceSgd1,variancceSgd2,variancceSgd3,variancceSgd4
2251.218162491714,8854.516783941706,6474.520051244193,7483.2757060516815,1921.9220926988687
6734.1281527231695,23199.393582131124,24252.10983872176,2252.1783259487147,8750.748941491604
3818.7583307790665,18430.111600553508,23906.269657712914,9543.772960114686,22648.452495086443
4908.981743390903,13301.054852998537,36583.751816608645,11319.138708430659,8209.969596740762
1922.919794386568,7386.472947915901,369854.36282645713,4729.464959114096,4442.788503571291
1747.3881343610392,6228.8410900171575,55347.114641192005,11173.885584885045,27530.992448596146
14567.842093981486,57190.93094370176,61805.790089730624,9195.805239359734,30525.184172213492
7972.569830207845,14870.03676941028,132604.42243767445,4751.217620327795,11686.628471041537
2424.2061908072383,137714.61560476923,140235.5400764971,11400.404406549853,4780.035921010426
7325.695354052522,10520.189672840854,39991.26016706987,18053.399179065113,3344.526035896753
31250.191685604903,25944.133979735932,21185.444570192576,34288.900152315786,104060.00033215464
24172.20941230883,35758.7781146878,51066.56585992898,62117.61817109771,63556.91401480378
7062.22295597345,41492.03669185601,111895.55478344117,58319.62925173332,33674.7079000501
152214.36480666272,22041.41646776801,131333.8456883814,118621.72981231486,113796.54125932825
255113.0021188949,381491.5792896698,39873.82120573148,298532.5108138271,85833.09426788444
158042.54754667572,111618.04373283168,186521.75680529754,142408.50073692758,148504.2086444906
54724.343928878545,444451.5990163288,71721.39733027968,590767.6928928572,273597.14386893227
88990.60000430339,54818.846766929746,262636.8509018354,277177.9627104286,60756.70389122586
147356.0430449096,214815.41890006862,266400.8017234253,51950.99872348636,322723.17162568425
61241.55252520779,119970.72906755768,38164.18498457143,190696.4696734054,160599.0970412
575842.9818018096,101416.08187113567,326039.2232562422,178184.976938873,212193.8934414535
296737.4274259247,20807.489670722167,622612.5430709824,922242.0393783799,441845.1968566769
164406.921484066,151183.41179687894,293324.0646556248,864938.7054127567,243954.85039328953
318753.2498387027,123758.41651615001,213255.79373972176,1088798.9589108613,325736.20557281224
1011439.9579060919,105969.98173517421,173998.09734425787,301142.4646397293,406653.3293431061
266571.79522989166,99323.08759585026,753276.6374447221,1696467.9092843407,506710.8522104815
1304548.9954870143,706570.3475092347,969713.3628863478,678905.913032469,785683.7811942166
560725.537650265,226600.00311686462,1110985.572110934,802444.7212808728,1043847.2974231024
1604891.0628930603,283167.957576641,546783.9105460041,1102126.61475996,1521874.8345655045
3274312.643224934,670557.7140420862,1537678.4309845143,3107478.0813152147,2459383.880133235
1711683.3174126132,46714.02338542091,1041746.9273678378,1921510.9497238202,2243483.757581815
3361143.3353460636,357482.2599800001,1701481.229674755,5654622.887176571,7262592.954233469
4407676.721153943,713019.439440504,1361100.3638268472,13157339.196682293,4945350.780937638
3327439.8194011925,166540.03447980687,4025202.48778427,12326246.589206055,2782149.534807061
5560161.348331328,820414.10883757,1840401.2952457678,20604628.493369434,3533534.549121597
7950188.447137644,4159811.2675062357,690777.7857883116,3267141.9996310733,2541711.0492192963
6945329.861287395,1099282.3447547527,3965905.91006546,21284184.811754577,3321393.744096156
4725064.076831651,1371341.7090630024,2052640.7463706085,9422172.885868654,9530061.954518743
5953469.706498572,3399572.855090375,8027539.493676738,20677621.222176015,4885641.903927777
9178890.80786886,3311738.575406577,3386768.5524346186,6559934.231460612,3306346.0183625347
12186732.009045389,1939648.7949278643,4106415.8275263384,13764702.743162006,17367511.713835258
11414227.15462568,3071200.3986314074,1222317.229414128,15753948.72472921,12662511.727319153
4118486.05202677,1660472.0363934531,2698196.748151513,25627113.294808276,9001298.227147935
7670051.568938564,2635684.359774196,4042197.7863380993,9120673.198895227,3741261.5007592635
6722083.894037737,2203829.111053615,2718457.770784482,46160242.318682306,18938743.270569175
4932132.827780465,6433999.472517795,6356273.8945634775,14863479.139163207,10851505.884574689
5024376.059303734,2040168.9755391236,4914087.748557048,30657930.444545582,7355951.603564638
9770244.73754874,3337918.0743654976,3855257.649166936,39091659.13062047,13440617.986124344
13694138.612860197,5359180.065705131,7458686.300198826,21679263.74871146,10882552.089593194
8894233.146187728,7494828.414321775,3024654.9479066553,12639903.038533479,9955378.533126045
11951338.250069967,12632574.738414131,3908934.1348047955,20466452.488737218,6519255.634323513
4550087.090253124,4501844.5493367715,11026951.852056783,22058863.658701167,20724637.93006842
