varianceSvrg0,varianceSvrg1,varianceSvrg2,varianceSvrg3,varianceSvrg4
1072.2034591027116,3702.236490400906,603.673885262871,7389.63499575415,123.47692122400528
801.7855199776806,25350.173692435408,89.55509914159487,1252.7989698380889,781.2974216734037
643.441454892346,6253.767673702079,1350.6652843040692,7805.727671171935,7474.545123896105
3006.0777767456952,10605.77753903718,19228.662563481892,9811.384276983626,1551.083160485807
591.7469689819231,6981.952140534839,287438.7856541413,2216.267315037926,1533.7557430959114
481.06896900919475,2772.870555741306,2384.7211457639323,4828.289480796337,17392.16722435559
9507.948739277734,46164.542859843335,22641.132426356562,8267.842874316015,26755.836897974994
4380.790666648543,10553.372784205434,94175.1047451548,3348.3749478331392,7071.798637151989
1752.0245551593791,121979.33629549002,45207.23797354685,8581.526866087908,3884.5837394750565
3088.91138222264,7929.015042243996,44803.83208268337,14444.77325574604,27219.654786676307
29612.059629824485,13788.226569815299,5267.195058759178,35178.18815794581,85905.35978072145
7730.849516252511,38102.85315302449,23508.70436939003,42100.389706131755,58611.88392144225
7802.286710393653,37130.12829936329,72753.9228982332,53123.88796062906,35598.633402762476
83939.11987594483,11670.152139815644,87191.74996773271,93960.11830864914,32737.59295856764
209408.5041934267,365859.7235199655,19598.92883418488,145892.56718718272,22896.33271981561
114112.64143632745,107481.42173048136,59785.43083452463,120271.20562979496,70978.72159656884
37738.784917469384,412409.0397335581,72295.30181617501,426616.9447014172,27903.41065002312
71586.43083337425,49262.2115039814,246330.2607567335,112514.45037885498,59288.42601957498
129532.76195961871,208115.3338531267,203427.71101779252,26173.7304283098,217041.8988145709
59678.58862188578,121039.82118766606,52611.20539971954,58078.67713899685,-3132.851741971037
444782.8607658575,101291.60168142736,231871.38310562563,175952.28581744918,179093.32101751753
272402.8822677679,13068.123583492383,400748.916928711,649548.1186535711,335910.79581411596
132553.6339440533,145958.3513802864,443288.5017741455,483353.023890302,87172.85874720283
289466.401930254,127216.21300520154,170724.56728916438,929510.3040233642,329522.9226377146
998932.7345814559,107732.68307027247,163490.12284873336,233710.51620869443,307931.46509677026
256768.752469719,105175.32877139932,74462.75128742168,1462413.0454366487,344537.8308370577
1297442.4858313277,687916.5099673191,592633.0033536339,609209.0293489024,462349.1416461576
176757.56848326005,40219.753756482256,356045.2571573054,540083.3566157629,843053.9776887677
515663.2705601814,-42437.00508338872,602828.902254493,1091409.9971538393,1376905.023962488
948288.1696994063,22308.803455016336,568589.1545995635,2261537.4229275333,1976649.4893050492
379542.2528594929,38633.75937957645,864500.7016605344,1581082.2223925942,2097012.0733391328
1427959.280699846,178934.20150989777,1617170.3983353607,7088785.660527324,6604691.691946077
2467414.4845593367,388147.45959804184,942298.8756717602,2662670.1844811076,20870.87884985149
2683965.505251165,60227.01377107139,2168931.543786536,80459418.7572651,705714.1732583218
3989198.5860535963,507603.704412819,1650982.7139214613,4350330.908562643,1942112.199306926
5247548.378338842,3160439.4822578267,477563.97268355486,1553181.1126736351,971872.2594275754
