varianceSvrg0,varianceSvrg1,varianceSvrg2,varianceSvrg3,varianceSvrg4
188499.64165163192,8318265.543122232,10813583.13088933,22273552.433448512,12364888.749177447
830512.8782825526,8241106.705987201,11175904.28340389,3084065.511273945,12497044.610858617
217554.52539515315,8231180.588180569,11530584.083745556,2431730.582799402,12434453.844604481
443775.2373813059,10407479.847331816,10675114.179221215,2562365.0819516177,12855928.76160439
825653.4170560498,9212983.256330267,11525476.76938332,2260966.0526240235,12249501.97018968
694115.0524789664,8772335.87183175,11284037.094282359,2264649.7027077074,12070133.316706123
1090132.9438374,10322545.910088707,11089457.52790651,2262820.2995550265,12279775.22946777
510021.5767867146,10246965.803429672,12325480.400091462,2298720.8918323447,12113703.922799567
275155.2478080998,9298210.119844418,11402244.472543193,2252594.4803058477,12248361.02936216
76829090.04230809,6968132.9506943915,7839831.723331667,591576.5876218171,1191807.3958951395
1249263.2402051208,3436433.9914159486,6719736.541234288,1582455.7347108745,868560.190008016
9954266.534981297,229005447.75183207,4027042.4055548334,477757.86322671914,955768.760390036
2425448.317512367,4606197.745182754,3861912.4203822874,496098.8356012135,654347.1391566441
1844723.204327054,177326571.05898076,2481181.4761329205,452780.67232755484,2877180.2768639834
3300828.149444057,1797879.114776923,7766042.677197434,625647.2298389748,730167.9625092498
1808572.102738432,1980077.517230223,5316045.489467573,714764.3101179121,841131.420357002
2083171.3577245367,2967865.251967862,4890682.850780059,819634.9604774378,1267947.072353603
3648025.776119975,2699532.763153177,8661504.297601718,898722.4312383083,1223617.820142372
1397202.998173111,4940568.2683514925,5017795.679338422,1510401.352225242,836984.7628777764
1558960.611753889,1998720.2856784353,2565645.824297901,2593385.2074504117,785000.3178623464
2584763.405225984,3023335.1346868356,983282623.403393,6428788.391668366,1190545.547289331
648023.7848636867,2768167.0807431126,5958959.9875664795,693338.6148234315,6877618.308216984
656998.5039533672,1757448.2400015886,18406800.76960014,1108166.6825773383,734909.8667022272
36367099.23361464,2366061.097670641,4786721.892114463,567133.4748326293,7864310.25509412
6283998.197227876,1423760.5467997894,6084108.058519956,2393833.5843106024,994431.9015317209
565817.7178557343,2000810.3169906794,8745521.29073028,1929872.293727089,866751.7979783091
1179356.331589472,403135979.4665037,7230951.623730763,1970955.1467881305,1923142.6886928894
22410749.870743115,1867800.8649697958,8151698.468691417,1629131.208068583,1264710.5830604737
704669.7948891204,2261051.2231150637,3864704.427720804,2113590.9843613305,1499243.278711922
819976.5891822536,2289005.3329415484,4124903.098944989,1839164.627684707,1372570.8562561318
2315023.868516335,2377420.1056139455,1673924021.2463903,2761349.001279961,2770274.9770430704
1235941.979082634,1396549.739784342,4707270.1867117565,1968393.0380683243,2654251.7130510863
3538128.616927796,2200295.6332491,3383121.0241469024,1920086.9842274005,2446987.05940321
853281.7269970912,2023909.6393383294,2284192.149762475,4209988.195405962,733125.5226126673
3062540.8351797555,2589192.4387034955,5635998.6730355155,1663170.973968145,538234.7696788592
2978256.3688618164,5105207.314854931,5311134.831917308,907217.5000337145,864220.6934323695
1289038.3060172792,61433207.800622016,4062591.402798393,1055820.8630132151,1016807.1053888096
9954381.765371284,2815848.133347886,2723146.3627276733,1288990.3770078463,1917561.3603774486
1285985259.9696693,3286201.8351572235,2896948.5817888537,2239754.3960974133,1439718.6143760737
1112231.6215486042,2276526.1399339745,5174843.221852008,682572.3195898256,1001268.0353138745
2394059.817296087,2797735.286305187,9803265.769285643,2225441.7663424904,1306784.1832396635
1133896.5834594972,2752370.2650239044,4046015.2148514343,1737784.6102880465,2655211.5960301966
736812.9321972888,15559269.284806974,3615592.1500795567,1540063.6293768892,1294877.0606974869
1876879.4825710095,3461947.963793871,4923166.596249737,1619072.5692468632,29229615.56040393
2019124.4806668565,2581703.968142844,3174362.7660572594,892666.8076981807,996478.2994757547
1824119.259185946,2652656.848882438,5778352.008617121,1789672.0229776134,1174160.5651778097
1190361.5021779977,1807804.1041965731,3008562.528896403,2008610.4689680391,694538.4748210798
1632536.3994650205,1714667.663719482,4022312.9892054177,805504.8038991393,1217154.0586825886
1482089.395572795,2190717.267424384,33651000.30168263,1708368.9826343006,1021447.2093479745
985585458.7181726,3307879.3956839214,2625328.8380264547,1583338.7395138636,2791237.4368285174
32173670.836685076,4352603.3498010645,379378690.6646072,1655763.6680954988,5319727.768354267
25262491.67569134,1854089.667616903,5178078.191800137,3198667.657783379,1157625.6930841836
335879669.2101008,3858134.30006978,3098924.6295328694,2686069.528649363,598414.0121029102
8804772.085961204,1664348.4950420107,3523930.105635336,1377599.6392607875,795874.1000418611
1630113.6452392894,2160206.41647442,3206648.779941878,2411653.03441535,1649219.4931158277
1555481645.6244,1320841.3567938786,6365057.953180514,1160478.0061131346,1270054.7734041642
16328282.773456555,942737.3097386298,4814080.1485022865,3250565.730789823,1157556.075001705
31916145918031.047,2496043.4922376852,6496450.505297104,6515248.765111438,954238.3003136138
