rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[  10.32940335 -126.2178742    10.32940335 -126.2178742    10.32940335
 -126.2178742   -30.526965     10.32940335   10.32940335 -126.2178742 ]","[-327.95214028 -445.23091564 -371.77969322 -264.12229774 -284.87120217
 -453.21102889 -411.84193785 -246.24560353 -336.82279887 -383.75232635]","[-392.07434343 -278.58031506 -107.94284196 -117.03230272 -194.94320201
 -214.38456583 -252.49241811 -172.07281726  143.36999274 -235.67632789]","[-174.32856815  -69.53733536 -218.64997254 -161.16004004 -199.04025223
 -198.01803041 -446.76347239 -286.9025334  -142.643528     58.70626662]","[-227.99440794  -22.57182529  -64.753729   -147.27882191  -23.4511177
  -84.61814548 -121.34480257 -113.06488473 -183.45263179 -152.4538051 ]"
"[-315.22378538 -172.06843702 -172.06843702  -95.84011654 -172.06843702
  -95.84011654 -172.06843702  -95.84011654 -172.06843702  -95.84011654]","[-364.00181311 -214.56771938 -417.70718159 -445.17897998 -276.77882625
 -309.66642239 -427.85028969 -353.09958726 -201.34536778 -433.94721606]","[-287.42288453 -310.56691002 -195.08688256   17.07700452 -314.63157885
 -242.09466482  -92.94591605  -68.08765796 -319.47838386 -311.87741497]","[-182.47990255 -208.75934349 -179.64455788 -186.59260276  -14.08490693
 -149.9769567  -326.90345482 -195.42307913 -175.90274059 -100.94114042]","[   4.84900225  -91.47387897 -117.9371694  -119.42321675  -77.84650693
 -118.16370124  -23.63854349 -246.08164825  -55.87360533  -33.70777326]"
"[-138.68214498   42.63843182 -138.68214498   42.63843182 -138.68214498
   42.63843182 -111.05175582 -138.68214498 -111.05175582 -138.68214498]","[-287.68535717 -289.02220028 -400.26262682 -310.7151828  -311.82445415
 -283.38864753 -110.89971328 -373.54963834 -415.87567999 -431.81342839]","[-269.06435909   -1.67788658 -244.1907058  -200.96951893 -216.82413786
 -350.50278834 -195.14818526 -467.39810903 -199.91431904 -410.32949264]","[ -91.84730754 -124.40381242 -110.28393626  -85.85964655 -109.88433022
 -146.94155314 -196.32826507  -56.46507809 -144.16043917 -148.18434649]","[ -62.57081071  -75.54068246  -70.67000386 -124.00227956  -24.37796417
 -145.79367025 -134.60821464  -46.49043718 -185.44669575   28.88960967]"
"[-117.60371328  -89.87833039  -89.87833039 -254.24573564 -117.60371328
  -89.87833039  -89.87833039 -254.24573564  -89.87833039 -254.24573564]","[-254.94716604 -256.84902731 -121.62894357 -441.92357267 -180.37684678
 -371.16062104 -291.01942511 -207.4159353  -387.02216533 -186.00546328]","[-179.5077935   110.66461351 -251.29304217 -233.39918282 -488.36659821
 -359.04405989 -273.73782485 -327.36661913 -352.51043213 -549.24238501]","[ -40.26303757 -191.02613022 -166.61487218 -158.63083498 -111.58847237
 -276.1550159  -174.57149606 -181.94361821 -138.49102528  -41.07316063]","[-164.41306732  -86.34676614  -72.27904755 -163.70625501  -79.95189748
 -139.97581117 -127.77003204 -128.32174528 -201.39290986 -169.36632472]"
"[  15.2050224  -243.13274695   15.2050224  -243.13274695 -243.13274695
 -147.05969245   15.2050224  -243.13274695 -243.13274695 -147.05969245]","[-290.79409072 -373.1379563  -203.12233938 -188.93908051 -335.19899205
 -200.89725939 -105.54813346 -242.01626858 -232.16209931 -320.5321072 ]","[-164.88706756 -383.87731926 -710.27875712 -295.62410208 -186.51220737
 -457.62289658 -224.22437856 -427.85337658 -242.43673936 -342.54494951]","[-225.71842219 -129.45751446 -257.1360945  -108.51311153 -107.74939365
 -132.24189747 -160.78958126  -69.77996908 -206.52001901 -206.0863068 ]","[-131.93131364  -50.62585376 -124.24839548 -128.39176213 -137.67966088
 -175.73061356 -104.46138048 -165.75476713 -122.37650235 -101.67325839]"
"[-111.30186863 -122.69189157 -159.35055335   54.15804505 -122.69189157
 -159.35055335 -122.69189157 -159.35055335 -122.69189157 -159.35055335]","[-258.4458716  -294.48913211 -266.47991544 -153.62096202 -258.88485264
 -371.15658921 -298.11597494 -269.28732147 -196.34842914 -203.3431792 ]","[-507.10163355 -325.23513336 -643.74151474 -429.26477419 -204.52592228
   78.98919139 -532.04878219 -500.9194274  -520.065249   -456.55409174]","[-208.11440947 -418.683492   -362.34811907 -131.86244978 -143.54093196
 -138.01079818 -123.61498656 -211.46437972 -194.84587898 -103.0343484 ]","[ -83.23058094  -63.51190652  -97.97757893  -81.69380956  -99.02734801
 -182.20961509 -130.50973606 -179.42223329  -98.87622346 -155.05309164]"
"[  12.05619135   85.8811745    12.05619135   85.8811745    12.05619135
   12.05619135   85.8811745    85.8811745  -141.9518161    85.8811745 ]","[-118.25371658  -94.64511968 -120.23838114 -223.34081586 -195.31498692
 -350.94971667 -443.97522489 -137.63137817 -362.65281597 -334.26285621]","[-468.17167116 -580.68670855 -512.47399063 -348.22472358 -215.93743022
 -429.52598386 -403.48190161 -339.25519186  -95.65412218  -15.3471244 ]","[-288.16309189 -207.44274241 -147.95762026 -175.64525837 -156.27994611
 -362.31421513 -338.57367265 -347.02000684 -248.00066133 -329.48569317]","[-115.05715226  -12.89259726  -57.76493782  -64.42812549 -113.66789409
  -11.29373385   -1.83015105  -98.2793231    34.1585107   -76.90633617]"
"[ 169.61223188   39.33971653   39.33971653  126.77181004  126.77181004
 -172.03272159  126.77181004 -172.03272159  126.77181004 -172.03272159]","[ -7.11035193e-02  -2.01037692e+02  -8.33810177e+01   3.61662891e+01
  -2.58832494e+02  -3.26302253e+02  -2.07854939e+02  -1.32600907e+02
  -2.41993317e+02  -2.91445765e+02]","[-539.84839188 -242.53221004 -476.31233354 -407.31395695 -577.31437962
  -68.40721654 -524.26329896 -450.64477982 -415.70251774 -359.99648906]","[-190.99847596 -165.5166263  -335.3446937  -146.39178729 -309.75818164
 -200.06615625 -168.36463993 -161.52244759 -189.29402723 -173.92569035]","[ -80.9540938   -94.7423675    29.67534749 -136.02064978  -28.47531535
  -15.95650157 -128.63603072  -49.48259933  -94.64532676  -73.60150871]"
"[-253.42940641  -83.3345065   -83.3345065   -95.28145448  -95.28145448
  -86.24904385 -253.42940641  -83.3345065  -253.42940641  -83.3345065 ]","[-201.30661708 -118.04913475 -291.05583327 -270.146971   -147.42888237
  -58.99489424 -326.09033919 -188.45337059 -201.25196307 -315.32746519]","[-172.96317598  -88.73632745 -213.46623976 -463.96251657 -442.24878782
 -517.2131245  -446.50395146 -154.33256401 -392.42310545 -374.1446065 ]","[-153.75615049 -413.88510675 -176.59702285 -223.46779877 -339.70680672
  -61.62655425 -189.56597955  -67.46490918 -195.09849991 -161.04725128]","[ -99.99369449  -42.13201291  -36.46980847  -49.09972726  -65.60836455
 -111.64620962  -96.60288877   23.62255426  -40.07387686  -81.94357956]"
"[ 117.10411852  -97.2859192   117.10411852  -97.2859192   -90.84391642
  117.10411852  117.10411852  -97.2859192   -90.84391642  117.10411852]","[ -96.86085098  175.07025527 -123.85939141   77.03687686  206.26596519
  -47.7548762   -63.1293565   -16.53709709  -59.7681373   166.8441362 ]","[-181.02197265 -292.86599202 -157.74920879 -303.11206882 -149.27868003
 -274.36503351  121.06919845  110.18716951 -165.27280151   10.1097827 ]","[-211.23834592 -127.90897794 -352.00230285 -225.62199532 -114.75925322
 -103.04517813 -152.7522506   -99.62468616 -110.62961124 -133.61650264]","[  61.51659546  -10.20177981    2.02749912  112.97147247   16.08806184
  -12.6708901    35.26461388   48.43605343  -31.10780471   -4.74275591]"
