rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4
"[ 2.78596023 -6.5875618   2.78596023  2.78596023 -6.5875618   2.78596023
 -6.5875618  -4.48683151 -5.97937494 -6.5875618 ]","[  6.29187794  -4.91110531  -4.34441482   7.77903763  10.8358158
   8.02958215   4.50278339   9.76389762   8.05206129   6.50559335]","[  2.26648407   2.12816892   6.59277094   6.38406563  -1.23292553
 -11.42756156   0.28998676  -8.54491108  -0.36574993   2.5522849 ]","[ -5.71081085 -13.85627183  -7.16827046  -2.90641724   0.10704072
   3.98750381  -2.385871    -8.23318197 -11.41418257 -16.03641641]","[ -8.55796903  -5.98974125   1.0785658   -2.3035382   -0.66715414
  -7.49664052  -1.70254368  -1.04601929  -3.80243277 -14.27570331]"
"[ 0.65949314 -2.68121683 -2.61100845 -2.68121683 -2.61100845 -2.68121683
 -2.61100845 -2.61100845 -5.17767453 -5.17767453]","[  4.23309134  -4.39711581   3.24453214  15.72849412   3.9256598
  -5.46148711  -5.71595673  -3.79852611   3.94095888   6.13375498]","[ 6.68014108 -0.75504581  1.22536267 -2.53983152  0.13651902  8.55927151
  4.70826578  1.14299995 -0.68944353 -1.87834868]","[ -3.61400701  -3.25007222  -2.19453748  -4.2330408   -7.60532445
  -4.96122854  -8.06131335 -11.35278042  -6.51630472  -5.11417899]","[-1.98629445  4.51001921 -3.00411626 -2.06375858  1.3181524  -3.1125977
 -1.58290841 -5.07627944 -5.55046752  2.140499  ]"
"[-0.94245656 -3.09403229 -7.68839333  7.20936097  1.18505534  0.78406657
 -7.68839333  7.20936097 -4.68223943  1.18505534]","[  4.74742461   4.21154352 -12.62378196  -1.06871315  -4.02427289
   3.75094988   0.69347218   6.83092346   2.10648244  -6.3332558 ]","[-3.26776982 -3.24175091  3.01586912 -4.93097862  1.99422982  4.28919928
  0.29916613 -4.36556678  0.87337719 -7.77982773]","[ -0.37549144  -5.02651614  -7.34649828  -8.5333652    0.43103832
  -0.12682369  -7.92978251  -5.42130753  -6.82634992 -11.90705783]","[-2.23035921 -2.15996603 -1.23599257 -5.1973041  -0.85682145 -4.92633776
 -8.50055793 -1.75795567  0.37104486 -7.43033851]"
"[-7.30119577  7.89841197  5.63685436 -7.30119577  5.63685436 -7.30119577
  5.63685436 -7.30119577 -7.30119577  7.89841197]","[-9.40315331  1.97017296  2.64831267  3.56237258  1.47595137 -5.73036335
  1.14963777 -1.8125887  -0.74121708 -0.6406472 ]","[ 10.07052787   3.87229943   1.22500851  -2.37406291   5.30180293
   1.69437506  -1.95291588  -0.22022512   7.20425389  -7.40767877]","[ -5.53659285 -13.84717607  -8.45698146  -6.79762557  -1.08879913
  -3.49194338 -13.54850138  -6.44988828  -5.99494372 -12.3182747 ]","[  2.61885006  -3.3436278   15.53960302  10.63303896   4.69801434
   4.82525494  -3.70713623   1.92893212   1.74492066   7.29508172]"
"[ -3.58378543   1.09464822  10.79417471   7.01150391  10.79417471
   7.01150391  10.79417471   7.01150391   4.5811448   -6.83484061]","[-0.04013896 -7.46254149 -3.60992697 -7.33548974  2.37062742  4.45437795
 -7.76506745 -7.51057192 -3.37260561  1.07569514]","[  0.27192896   3.67979438  10.68866687  -1.19617242  10.90503621
   4.168027     1.20445752   0.11558441   1.83435203   2.97712848]","[ -2.24540286  -6.15392626  -2.93291055  -2.18565828 -10.63817354
  -1.12423656  -7.76188985  -6.37458202  -6.78649681  -2.91450848]","[ 15.12448057   0.78581838   9.45117528   2.99663522   6.89477534
   0.9125345    5.33845169   9.97823739   3.12681709   5.08131203]"
"[-0.5348484   6.62748897  6.85743277  8.67005927 -0.5348484  -0.5348484
  6.62748897 -2.50065858 -2.50065858  6.85743277]","[ -3.40124658  -2.91369392 -15.23528601   0.23443509  -6.20016821
   1.10182758  -4.52275038  -9.01480974  -3.76137431 -11.83441955]","[ 1.02602412 -0.67482203 -1.58763058 -7.15054216  5.15750408  8.48180999
  0.20484305 -2.7878763  -3.74212065  3.88295803]","[ -2.95069453  -6.12344172 -11.19836425   4.60982105  -6.14872495
   0.88237122  -5.27315369  -9.07916753  -9.53515421  -3.9619718 ]","[  8.98253708   8.35334209   7.28460164  12.22661288   2.74816402
  12.21948646  12.56110683  -6.98341904  12.21577354  10.58465293]"
"[  6.78456852  -2.08861429   8.81298081   8.18743954   7.39537952
   8.81298081  15.53652772   2.1331933   -2.08861429   7.39537952]","[  1.88446769  -8.02701923   7.0539941   -1.05565276  -8.31311052
 -17.54740641   8.04565721  -8.32388373   6.84706357   7.16727014]","[ 3.14666687  0.70775483  0.50666567 -2.48537688 -7.88874868 -4.06048274
  2.34143591  2.93269864 -2.41748289  3.98504677]","[-12.81900109   1.11611157   4.57920792  -7.29850038  -5.43598945
   4.5182522   -2.27454105   2.18262124   1.46581658 -11.26723883]","[  1.93913417  10.5795891   11.22170042   2.65648876   9.17860709
  14.82813923  13.50023255   1.16701759   5.61946335   6.17936179]"
"[  8.37217994   8.66184072   7.82323067  10.56408628   9.95558002
  -0.33894048   8.66184072   7.82323067  10.6750439    8.66184072]","[ -7.92964269   2.93667004  -3.5129271   -6.60279706  -7.85630379
   2.51559451   2.6785168   -2.10871405 -16.94261393  -1.65709919]","[ 1.9020827  -5.35115821 -2.69417511  7.38554917 -5.56419299 -0.47176438
  2.62222926 -3.13580714 -2.51074291  0.23731128]","[ -7.76863804 -11.66538758  -1.13391865  -9.9373791   -0.866994
  -8.12247459  -9.31486931   6.45290753  -3.80801654  -9.62543759]","[  6.51836602  19.03948447  -0.81114432   6.93267819  16.99399822
  10.88642887  13.10564064  17.88548958   8.18900437  13.13191273]"
"[  8.98282164  13.82836611  10.90964406   8.98282164   7.27311915
   7.33423938   8.98282164  13.82836611  11.16284982  10.90964406]","[ -5.33980989  -3.74053483  -1.39259049  -4.61389876 -10.06089288
 -16.3097553   -3.50228735   0.77174414 -11.46997217  -0.04304292]","[-2.29525839  7.66265824  0.28170449 -0.75131383  0.24645526 -2.16686431
 -0.15692234 -3.29587292 -5.10198788 -3.45396305]","[ -2.39592907  -1.91275837  -5.10241545  -8.15593282   5.34125871
 -12.07286769  -6.80919102 -11.0210974    2.5680906   -4.68371278]","[ 23.23661136   8.88661396  15.28771189  19.20764389  16.12594264
  16.02871166  11.67493834  15.0834843   15.34548898  22.37951056]"
"[ 12.86671588  15.92363898   7.65472663  11.27252052  10.63206427
  12.5660659   15.92363898   7.65472663  12.5660659   12.86671588]","[-2.17134784  1.8662306  -6.19171712 -5.71724769 -0.96457286  3.6275351
  1.8858161  -4.13310388  6.18664977 -5.46848691]","[-10.07866117   2.95312096  -0.97579537   1.9849658    3.36043504
  -3.11687128   2.61999737   4.50990981   0.29708177  -6.83117571]","[ -3.73560109  -4.22384412  -4.42879905  -6.28537763 -13.31076262
   2.76693017 -12.207173    -7.09433229 -12.55760972  -1.51374298]","[ 18.72648368  23.19053698  19.96190096  24.48084486  20.34675264
  18.2346959   18.02346165  23.33369671  26.61254919  23.94609853]"
"[ 11.38312208  11.23834106  15.41944572   4.82902306  11.38312208
  11.38312208  11.23834106   9.82384497  15.41944572  11.23834106]","[  1.02570176 -11.6662066   -6.42024034   4.40391794 -14.10213994
  -0.19906209  -4.09785977  -6.57082942 -18.62402967  -7.35605398]","[ 5.52353084  3.68956434  0.91556711  4.68610022  1.69748143  0.5538251
 -2.40988747 -0.52337173 -3.24084267  4.52897521]","[  2.51068102 -12.83746681  -1.3626801    2.14089166  -6.70317098
  -3.03610959 -11.49406496  -2.43339395  -9.84685556 -10.51322111]","[ 26.82089762  24.03620043  21.34906198  26.77028185  25.95733078
  18.98282804  20.2964011   16.61990257  22.89898777  18.05484549]"
"[  4.83136743  10.60132149   1.46278097   9.4978123    9.4978123
   9.29631818  10.60132149   7.72468204   1.46278097   9.4978123 ]","[-12.28068212   2.49584415  -7.45632626 -12.93011006  -1.94904607
  -2.25701617  -6.45148986  -6.79865001  -8.79369097  -7.48903101]","[ 3.69332348 -7.75255651 -2.01225489 -0.27300257  4.7483175  -5.60089025
  1.48621188  0.5905476   4.60112328 -0.86576554]","[  2.69935961  -1.57490313  -7.16906126   3.18960748  -0.58924743
  -7.86205804  -2.52301928   5.29288879  -3.55479783 -11.21274689]","[ 24.63846744  15.20272706  23.35777139  17.43249778  24.68452111
  20.78065851  20.61168885  16.39092497  21.29399508  20.30459838]"
"[  6.69139867  11.97386412  17.84474238  12.34940912  17.84474238
  12.34940912   9.98741203  17.84474238   6.97533508   6.13934582]","[  7.09990332  -6.2912809   -6.0955082   -6.67140106   2.07160133
 -11.84625315  -6.75897081  -2.29218172   0.361326     3.91295336]","[-0.40755777  2.55593271 -2.35286886  0.26108461 -1.33769558 -3.04214995
 -1.97849299 -0.42420928 -0.52145562  1.37595755]","[ -3.78280913   1.75842263  -6.41103128   1.53305517 -12.41372747
  -9.40050865  -4.62808929   1.74490719 -12.81543269  -7.3244889 ]","[ 23.3921063   20.36179467  23.81329575  17.9003372   24.35120324
  17.11411544  31.16189966  26.55105974  19.81996773  15.50557732]"
"[  9.80005924  22.56034062  11.31611306   5.81831949   8.13126479
   9.80005924   5.81831949   6.83804417  11.31611306   5.81831949]","[-11.7377584   -3.7092371   -1.42684445  -6.23178245  -9.62119272
  -1.29807311   2.68228446   1.64111178   7.65629036  -2.23106525]","[-6.25096025 -1.68315935  3.67279391  2.94871186 -0.24122187 -4.0138237
  0.47347885 -4.62695248 -0.04379657  4.64011254]","[ -0.81997391  -9.19324221  -3.55019503  -6.04666593   0.35393989
  -7.86292565 -12.15417412  -2.81573734  -7.98066211   0.41280508]","[ 27.88687928  20.09240525  26.7974736   28.64572845  26.59322944
  31.21194654  25.84103509  19.22941117  18.47005372  27.48530515]"
