nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
10.0,43.0,22.0,45.0,16.0,44.0,32.0,29.0,29.0,13
45.0,49.0,30.0,23.0,16.0,26.0,35.0,35.0,9.0,18
40.0,10.0,37.0,22.0,16.0,20.0,26.0,6.0,5.0,15
33.0,14.0,15.0,13.0,41.0,36.0,23.0,15.0,13.0,27
16.0,27.0,22.0,19.0,19.0,49.0,8.0,17.0,18.0,49
13.0,23.0,4.0,14.0,40.0,2.0,13.0,34.0,33.0,8
45.0,10.0,49.0,19.0,8.0,1.0,11.0,10.0,13.0,27
11.0,7.0,11.0,5.0,5.0,16.0,34.0,1.0,12.0,1
3.0,3.0,2.0,3.0,27.0,5.0,8.0,5.0,14.0,8
6.0,8.0,18.0,1.0,25.0,9.0,3.0,34.0,34.0,2
31.0,22.0,14.0,1.0,6.0,1.0,12.0,19.0,7.0,3
2.0,4.0,4.0,2.0,2.0,2.0,3.0,9.0,4.0,1
9.0,11.0,28.0,1.0,1.0,18.0,11.0,32.0,29.0,30
10.0,2.0,4.0,3.0,12.0,7.0,14.0,4.0,2.0,1
27.0,5.0,4.0,24.0,10.0,8.0,46.0,15.0,4.0,9
9.0,4.0,2.0,9.0,8.0,16.0,10.0,8.0,2.0,1
15.0,1.0,1.0,6.0,13.0,13.0,3.0,6.0,4.0,2
5.0,36.0,2.0,5.0,1.0,23.0,6.0,6.0,44.0,1
8.0,1.0,7.0,7.0,5.0,1.0,3.0,9.0,6.0,3
6.0,22.0,7.0,4.0,4.0,5.0,16.0,1.0,45.0,15
7.0,5.0,10.0,26.0,5.0,7.0,22.0,20.0,7.0,7
12.0,3.0,11.0,12.0,6.0,12.0,4.0,11.0,16.0,6
6.0,11.0,3.0,49.0,22.0,22.0,6.0,7.0,3.0,1
8.0,18.0,2.0,49.0,10.0,6.0,1.0,4.0,3.0,1
4.0,1.0,2.0,5.0,1.0,4.0,7.0,4.0,6.0,1
4.0,11.0,8.0,1.0,3.0,14.0,12.0,2.0,4.0,16
3.0,7.0,15.0,1.0,5.0,1.0,1.0,1.0,16.0,7
6.0,4.0,16.0,17.0,4.0,9.0,1.0,7.0,3.0,3
49.0,10.0,7.0,1.0,49.0,11.0,2.0,27.0,30.0,8
2.0,24.0,20.0,4.0,1.0,9.0,4.0,2.0,5.0,14
14.0,1.0,7.0,10.0,11.0,11.0,17.0,2.0,6.0,1
5.0,1.0,13.0,16.0,20.0,4.0,4.0,15.0,5.0,1
2.0,2.0,36.0,4.0,17.0,21.0,11.0,5.0,4.0,4
9.0,1.0,19.0,8.0,4.0,29.0,1.0,28.0,2.0,2
3.0,6.0,6.0,6.0,2.0,2.0,7.0,5.0,4.0,4
1.0,5.0,3.0,2.0,25.0,9.0,3.0,1.0,21.0,1
34.0,3.0,1.0,4.0,2.0,15.0,16.0,7.0,6.0,4
6.0,14.0,12.0,1.0,2.0,10.0,2.0,1.0,46.0,1
2.0,1.0,8.0,5.0,13.0,1.0,3.0,3.0,3.0,2
4.0,6.0,5.0,11.0,16.0,3.0,49.0,12.0,15.0,1
14.0,23.0,24.0,11.0,2.0,5.0,7.0,11.0,1.0,1
38.0,5.0,6.0,1.0,14.0,5.0,3.0,5.0,8.0,3
,27.0,10.0,4.0,2.0,19.0,16.0,11.0,11.0,2
,3.0,9.0,1.0,6.0,1.0,3.0,2.0,6.0,4
,5.0,13.0,43.0,4.0,8.0,30.0,25.0,,1
,3.0,,4.0,3.0,,,4.0,,24
,3.0,,1.0,3.0,,,12.0,,39
,2.0,,,,,,,,2
,2.0,,,,,,,,24
,,,,,,,,,2
,,,,,,,,,4
,,,,,,,,,4
,,,,,,,,,2
,,,,,,,,,8
,,,,,,,,,10
