nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
26.0,24.0,8.0,24.0,7,24.0,12.0,9.0,12.0,16.0
6.0,2.0,24.0,19.0,11,8.0,6.0,14.0,41.0,18.0
9.0,17.0,45.0,18.0,13,3.0,4.0,16.0,3.0,14.0
26.0,4.0,25.0,3.0,9,41.0,18.0,26.0,13.0,14.0
12.0,2.0,30.0,4.0,5,17.0,20.0,15.0,49.0,8.0
49.0,1.0,49.0,14.0,39,9.0,30.0,13.0,17.0,49.0
19.0,15.0,6.0,7.0,18,42.0,49.0,4.0,7.0,35.0
2.0,1.0,1.0,14.0,36,5.0,7.0,12.0,1.0,49.0
8.0,36.0,5.0,22.0,49,8.0,8.0,1.0,8.0,37.0
22.0,49.0,13.0,21.0,7,49.0,9.0,3.0,14.0,3.0
49.0,49.0,3.0,31.0,16,4.0,49.0,3.0,16.0,48.0
6.0,12.0,45.0,49.0,5,1.0,2.0,49.0,3.0,42.0
11.0,2.0,49.0,49.0,5,6.0,1.0,49.0,4.0,2.0
29.0,4.0,16.0,7.0,9,21.0,1.0,8.0,8.0,15.0
46.0,49.0,12.0,5.0,1,2.0,20.0,1.0,38.0,6.0
49.0,18.0,12.0,49.0,34,49.0,28.0,3.0,49.0,24.0
2.0,49.0,46.0,49.0,22,1.0,6.0,1.0,1.0,2.0
5.0,2.0,10.0,7.0,23,49.0,9.0,1.0,49.0,49.0
16.0,49.0,49.0,1.0,5,9.0,15.0,24.0,49.0,49.0
49.0,49.0,15.0,3.0,1,1.0,49.0,49.0,49.0,49.0
3.0,7.0,29.0,1.0,27,2.0,49.0,49.0,6.0,34.0
42.0,6.0,7.0,2.0,5,1.0,1.0,9.0,49.0,4.0
2.0,45.0,3.0,49.0,11,4.0,49.0,1.0,26.0,1.0
49.0,14.0,1.0,49.0,1,40.0,49.0,23.0,43.0,4.0
7.0,1.0,3.0,5.0,2,2.0,11.0,13.0,1.0,14.0
2.0,2.0,2.0,20.0,14,8.0,42.0,9.0,1.0,42.0
24.0,27.0,2.0,3.0,4,1.0,3.0,49.0,8.0,1.0
26.0,1.0,49.0,2.0,1,3.0,39.0,1.0,6.0,2.0
38.0,18.0,49.0,7.0,1,2.0,49.0,8.0,34.0,49.0
2.0,2.0,49.0,15.0,1,9.0,49.0,14.0,1.0,12.0
1.0,9.0,1.0,4.0,1,1.0,2.0,1.0,24.0,
1.0,1.0,21.0,49.0,3,49.0,,2.0,40.0,
31.0,1.0,,2.0,1,6.0,,3.0,,
,49.0,,1.0,49,1.0,,2.0,,
,2.0,,9.0,6,1.0,,3.0,,
,1.0,,25.0,49,2.0,,8.0,,
,1.0,,,1,49.0,,5.0,,
,,,,49,49.0,,26.0,,
,,,,1,8.0,,3.0,,
,,,,5,12.0,,24.0,,
,,,,4,,,3.0,,
,,,,1,,,1.0,,
,,,,1,,,3.0,,
,,,,6,,,,,
