rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[  29.97360836   19.98166399   49.92429051  209.88666533   49.92429051
  209.88666533   59.96669834   39.96900813   59.94206329  119.9675357
   39.96900813   59.94206329  119.9675357 ]","[ 149.90819922   49.98133976   69.95332924    9.98100953    0.
   49.95200545   99.95862934   19.96837283  129.94081146  179.91190795
   39.96868625   99.91618967  259.81639585]","[ 49.96972412   0.          99.98617403  29.97427819  29.98385072
  29.98449196  29.97516161  29.991864    19.98003103  19.96708449
   9.99031441  49.969151    79.97745318]","[  39.9654637    59.96781043    9.98003067    9.98269941   69.91565777
   89.98572303   69.97742411   49.97638787  229.84539365   39.94759433
   19.98163309   29.95933153]","[  59.96405744   19.97476811   29.97720303  139.94801997   29.98197579
   59.98663441    0.           29.9764192    39.96298567   19.97616695
   29.95876372    9.98790413   49.97653903]","[  49.98245369   89.96136985   59.95724592    9.98546113   29.97881917
   19.97283891   79.97594463   19.98337227    9.98612954   59.96611819
   59.97972465    9.98368962  109.92326015]","[  89.98267744   19.97637356   49.97302153  129.91683773    9.98435359
  109.91799614   59.94720017   49.97752601   29.98745655  139.91201499
   19.98645162  159.91171989   19.96822861]","[  9.9877672    9.98307637   9.98274668   9.98281273  59.91862767
  39.97838722  89.97690233  49.98124883  89.96312879  59.9274568
  29.97297166  49.96778295]","[ 109.97044459  139.9212932    69.95902913  259.88241595   59.95928988
   49.92119179   39.94427699    9.98085669   59.93880914  219.94349654
   79.90058289  149.9540913   139.90703737]","[  39.98039648  109.96418012  169.92932083   39.9493082   109.84952786
    9.98232083   59.96763069   19.97168754  159.93985296   69.9398836
  199.83930602  169.93943349  319.80433027]"
"[  69.91598805   79.91115189   59.96574176    0.           59.96097557
  129.95800399   59.96989721    0.           59.96097557  129.95800401
   69.91598805   79.91115189]","[  49.95192045   19.97605981   29.96576005   69.96977826   99.95028747
   39.97425187  109.94555179  229.87234411   69.94216712   89.95522802
  119.93577967  179.86140833   49.97398784]","[ 99.96310441  29.98417992  79.91243778  39.98711081  69.96988213
  39.98871635  29.96133729  29.96296415  49.9803442    9.98564346
  19.98516521  49.98916594  39.97748822]","[  9.98306588  29.97931167  19.9747513   19.97806533  29.96463144
  49.95910911  49.97414113  39.98868111   9.9854962   29.96896771
  69.9689108   29.98377166]","[  39.98353664    9.98261605   29.99115513   39.94558967   79.91574007
  149.9208925    49.96458919   49.9715201    19.97213169   39.94747193
   49.96298743   79.94234399]","[ 99.93063188   9.98683484  59.98856024  39.99205847  49.92431336
  79.96304844  49.97863911  19.9751228   19.97889921  39.98640501
  29.95945079   9.98124306]","[  69.92189783  199.89800089   49.97384728  309.81065339   99.96449738
  149.92185505   49.92766846   29.99177521   69.95901367   29.96421362
  109.9073209     9.9846363   119.88413112]","[  19.97257724   99.94263369   69.95243165   19.97506618   39.97993034
   19.9922243   179.89563581   29.97887059   79.96486382   19.97678236
    9.98331172   19.97447754   39.97795397]","[  99.94958488   29.96746728   49.95166713   59.9442597    69.94606055
   19.95955462   49.92683423  169.85276605   49.92892632   39.95407472
   79.94917908  149.84591723]","[ 149.95407564    9.98161632   49.97344885   19.97891244   29.97936405
   49.9358793    49.94999152    9.98575727   59.95002403  149.95947933
    9.98080209   69.97464402    9.98059133]"
"[  59.96717245  219.91582368   59.9305826    99.94472826    9.98077179
  139.93438095   29.96997021   99.94472826    9.98077179  139.93438095
   29.96997021  219.91582378   59.93058262]","[   9.98374308   69.95704488   49.94946425   59.97615775   49.95626482
    0.          189.96387725  119.9220822   129.95318449    9.98015529
   49.96911239   89.93949013   59.9532756 ]","[   9.98917821    9.98425816   49.97019839   79.89847124    9.99055882
   19.97095636   29.96756808   19.97380329   49.98225657   39.98662713
  109.92110146   49.97326649   69.94835976]","[  49.97337779   29.98139711   39.98018041    9.98256599   49.98638888
   69.98061359   69.94440952   59.96722304  139.91658966   99.93988666
   29.96557483   59.92866733   89.93840946]","[  19.96960562   39.95896014   69.97297421   19.98957303   69.91444927
  119.92737211   49.98230133   79.91953672   69.9541596    39.93671551
  109.96779473   59.9777816   229.93598281]","[   9.98090952    9.97959634   19.9746783    59.9594342    19.98665985
    9.98001196   49.971469    109.96142044   39.96393761   29.95178457
   39.98064214   39.98799939  129.9729729 ]","[  99.91992977  389.77422531  109.93576953   29.9677306     9.98489652
  239.92931688  119.88457981   79.96643611   29.96375468   39.96668161
   29.96217704   99.94194802   69.97093418]","[   9.98382593   39.96970692   19.99227448   49.97190885   29.96959074
   29.98311845   49.97834755   29.99207      59.9618071    69.96021783
  109.95720839   49.96637461   39.95876437]","[ 129.91368428   79.91573084   69.93290457  159.85565952  109.89345245
   19.97246424   29.95612982   29.94702469  149.91745909   69.96725357
   59.96195893  139.87654677]","[  59.95957852   49.95386509   49.97305262   59.98014588   39.96078662
   89.95750629   79.96628999   99.93846952   59.94552154   59.95913605
  169.90627823  119.89238785]"
"[  69.97837616   79.96462761  129.90946769   39.97293922   69.97837616
   79.96462761  129.90946769   39.97293922  119.92573906   79.9636054
   79.96688141  119.92573904   79.9636054 ]","[ 149.9112619    59.9548074   149.92994832   69.95266501   29.95220803
  289.89208288   99.89529122   29.97856685   39.97750407   79.93540851
   39.95123234   99.90304897   69.95598892]","[  9.99031441  99.96227287  29.9854147   29.98478254  29.96996772
  39.98893952  59.97983979  19.97310184   9.98760688  59.96823898   0.
  39.95645167]","[  39.95392884   39.95645976   29.98311829   39.98341304   59.94288868
   39.97826325   39.95711522    9.9812231   109.94515569   29.98261435
  239.93197766   49.94683029   29.96827074]","[  89.92435735  229.90755065   29.96150304   99.88580084    9.9841984
   29.95650269   19.98876856   29.97163342  209.88245824   19.98088258
   19.97119805   19.96567671   19.97775512]","[   9.98398131   69.92595852   89.96336235   29.97174723   19.97020357
   59.96705192   99.94962284   19.97080584  179.89221197   19.97754583
   19.98124595]","[  49.93945417    9.97958375  169.9465998    59.96014939    9.98332885
   19.96925539  119.95074864  179.86650911   79.9266358   149.94731477
   39.96840538   89.91300256   59.96274755]","[  19.97858945   29.97799614  149.91255145   39.99071342   59.96631941
   99.91461113  209.97373983   79.96468618   79.94002753   19.97649901
    9.9848929    69.96167781   59.91246221]","[  29.95847493   29.97529597  159.92126907   69.92180172  139.94289228
   89.90277311   19.961734     49.95319506   29.97842453  159.90661045
   59.95041991   59.91693988  119.9146042 ]","[  19.9660785     9.98169336   69.938613     39.97428599   69.94215287
   69.96262032  129.93144633   59.94180436   69.89127912    9.9802614
   89.9760434   169.85498278   59.97305592]"
"[  79.96691977   29.95412157  139.94932584  109.89157012  169.95018923
   29.95412157  139.94932586   29.95412157  139.94932588  109.89157014
   49.95663324  169.95018923   29.95412157]","[  79.92395248    9.98198867   19.97914884   29.95446258  119.92719237
    0.           49.95119084  179.91241195   29.96888666  169.90130191
   29.96194206   39.95819549   39.98099738]","[  29.98632145   69.98118234   19.98497823   29.9820066    39.95560533
   39.96608321   69.97124456  109.95754287   79.93473412   39.98759986
   79.91811375   49.98674691]","[  29.96791698  179.94247592   19.97125403  149.87589791  109.956429
   39.98198788   59.94158889   39.98581832   49.95986147   49.96160278
   59.91608241   29.97702749]","[  29.97751591  169.80090191   29.97134885   79.962487     79.9222128
  189.9179099     9.98141785   69.94625516  159.871777     59.93425089
   79.9662544    19.97687216]","[  39.96661456   49.98645281   29.95871587   29.96251985   59.96235103
   29.96609656   29.9831791    59.92870465   29.98487502   19.9713054
   59.97695564   99.93279679  149.95618175]","[  59.9578806    99.95948785  159.94719985   79.97197114  349.81325408
   59.95154197  249.85440886   69.947238    129.87451451  109.92811652
   59.96349797   29.9459822   219.85946951]","[  79.95815243   19.97829686   29.9604174    49.95266508  109.97103886
  109.93236823   29.9727907    19.98915276   49.93861534    9.98460456
   29.97566972   59.96665878    9.98790351]","[ 229.86336998  279.84273626   49.91775714   79.89492812    9.98598947
  139.90650046  199.82616452  229.90971831  129.88087272  109.9462741
  109.95485321  229.86370375   29.97141506]","[  79.94029661   19.97063069  109.89570734   69.98057672   29.96637081
   69.96353942   49.9475       39.95626034    9.97996405   69.96196327
   59.96180806   49.96046903  229.91989307]"
"[ 139.94863383  109.88143939   49.9542613    49.90510897   69.93357249
   89.92092665   69.90693793  109.88143941   49.9542613    49.90510896
   49.9542613    49.90510896   69.93357249]","[ 179.93201078   49.97109936   29.97458276   59.96262904  169.94211147
  109.89565887  199.90707564  219.90469152    9.97961568  119.9478003
  179.85837117    9.98556996   29.97005278]","[  49.97640107    9.9818852    19.97067379   19.98827766  139.96222978
   19.97799497   19.97316497    9.98049168   49.96679849   39.97725721
    9.98977129   29.97256171]","[   9.98534679   49.94391754  109.92281817   29.96402933    9.98861593
   49.96194916    0.           39.97556876   39.97306363   29.98493967
  129.95772545   29.98818495  109.95885888]","[  79.92016017    9.97950505   69.93167069  139.93562522  109.96384869
   89.94714707   99.92838025   49.9692494    79.94286631  109.88591341
   49.95046658   59.95298339    0.        ]","[  29.98537455   79.95704091   59.98127365   29.96253167  219.80112754
   29.972225     59.98209587   29.97744079   29.98688417   39.97902494
   49.97868739   49.97619897]","[ 119.93772309   49.96524036   49.95777791  229.86925812   59.90151933
   19.98472092   49.94635547   49.93984334   69.95965751   39.96057474
  139.91878338  129.89774805  129.86308385]","[  39.97516514  179.96567867   39.97338888   29.9663876    19.98148625
   99.96966972   29.98729889    9.98483561   59.96654315   79.97718322
   39.97835037   59.9688975   219.92709498]","[ 229.86786012  259.93844525  199.93961757   29.95354061   79.9707738
    9.98337797   49.950886     39.95997653   69.93452955   29.95314181
   99.914564    109.93621398]","[  39.95331792  179.91880715  119.8605255    69.92220606   69.97303865
  189.88030339   59.97743911   89.9627998     9.98037983   69.95318051
  239.90845976  199.93880953   69.96281861]"
"[  69.93176939   89.91969547   69.91100177  369.91776196   89.91969546
   69.91100177  369.91776102   49.90512617   69.93176938   89.91969545
   69.91100175  369.9177617    39.94414143]","[  19.96727821  289.8773615   199.89564951   89.86256481   29.98563831
  129.88415489   79.90312036   79.92001339   59.96774386   19.96805121
  159.87549507  149.90864499  119.92608124]","[ 59.97447587  39.98939808   9.98509991  59.96632395  39.98451921
  29.9796364   69.96572631  49.94578092  19.97844037  79.95260143
  19.96969222  19.9890517   29.98672974]","[  19.96048234   29.98988911   99.95724442  139.89851957   39.98191521
    9.97982122  179.94566785   29.968818     19.96420258   39.96148247
   29.99170472   29.95569339   59.93989054]","[  79.97698575    9.98551798   59.93121195   59.95040395   99.94701204
  149.95166797   19.97472492    0.            9.9882731     9.98091441
  249.87882068   99.94189556  579.83743794]","[  59.97769318   39.96608543  199.97088893   39.94717963   19.97282071
  199.81922918   29.97533454   19.97458252   69.98158941  119.89997296
   29.96932853  129.92588119   39.98686641]","[  39.97833347  159.92566783  209.93432894  129.93611019   89.94363025
  159.95239218  459.88993742   39.9626364    19.97839868   29.97738263
  219.92723899   39.96446113  229.84425185]","[  29.97078376  159.85109908   59.95612695    9.98533017   49.98496915
   89.94786376  219.87974644   39.97188106  189.87891012   39.92704561
   49.98566942   29.95346096   49.98297894]","[  19.96883559  109.93145398   39.944899    339.88516324  159.88493474
   19.96293719  189.89369649    9.98058513  239.84574929   89.96580097
  159.8479216    89.92601775]","[ 119.9000788   229.9468923   119.91768543   99.94744816   59.9485102
   49.97420554  139.96634555   79.97843332   29.98614787  179.82293085
   69.96737143   79.95905531   99.9618739 ]"
"[ 219.95791603    9.98213485  149.9433408    39.94457401  219.95791587
    9.98213485  149.94334081  289.92299612   69.94985752   39.94457401
  219.95791603    9.98213485  149.9433408 ]","[  59.94285773   89.95128016  159.89877188   69.96314554   39.94802328
   99.91394356   39.95373597   59.95135087  139.92858364   19.98409617
   79.9266287    39.96336492  319.80000689]","[  69.96547394   29.98813597   59.98142394   19.9722826    79.94809375
   99.94631134   89.97489046   19.97539897   59.97860438   59.96974337
   39.98841641   39.97388312  169.8182448 ]","[  39.97048876    9.98692831  249.85996549   29.96445959   39.97500651
   29.96346504   39.98116896   39.95080752   39.96403999   19.97437477
   39.96696053   59.92356796   69.94672352]","[  89.95877497  169.90689421   59.96624168   19.9694737   189.92274194
   19.96928599   19.9690748   149.91566385  179.90291208   19.97077494
  109.85590187  129.96343698]","[  59.98645496    9.98415791   19.97115188   59.96341444   39.98382892
   79.97045645   79.94920362   29.97797071   39.97942596  139.92727209
   49.98763625   19.97890481   49.96463403]","[  49.9660924    29.94422411  239.89358598  289.81768582   49.96173327
  349.85246108  109.95725732   89.96515003   79.94568041   69.96708854
   49.9532712    89.95675187  249.86939133]","[ 129.86333147   99.96453077    9.98240286   79.92218411   19.96699644
   19.96929892   49.96778776   29.96844924   49.97347045   49.97670692
   49.95879827   99.96728402]","[  49.93851626  159.91161011   99.95294553  129.91486484   79.89657675
   49.9684835    59.94436122  119.8837505    79.89495805  149.82748984
   69.88585618   49.96010142  419.88142389]","[  99.92690884   59.96274106  219.79129624  119.96443598  149.91918338
   99.96564835  209.90762154   59.92115844   19.98135865   59.97269387
  159.95104487   69.9851925    89.94949608]"
"[ 129.92719377  249.89912617  149.94597247  179.85933071  109.85130118
   59.90898354  149.91907288  109.85130118   59.90898354  149.91907288
  139.95886547  109.85130118   59.90898354]","[  89.86024119   49.96370804   89.91779971   69.94067174   29.9493266
   99.91376334  199.89995654  139.93206592  139.95989931   19.97604654
  119.93076716  109.89184451   49.92833374]","[ 189.89056801   19.96636572   19.99143687   79.95415451   39.98795023
   89.93430475   39.98795454   69.95211593   39.98886216   19.96699489
   39.98366581   39.95406373   89.96042907]","[ 129.94995282   29.94721265   59.95816347   19.98138556   49.95575648
   39.98101185   39.96419164   59.93326005   89.89746188   89.91364519
   29.94905454   29.97768115  119.93761342]","[ 109.9324176     9.98057141   39.98568704   89.94837992   19.97131863
   79.91371126  269.83963376   49.95332565  109.97284272  259.84807916
  109.96179233   59.9402836   169.88695155]","[  59.93913665   39.96694285   49.98433164  119.9739016    79.97143569
   59.97349802  179.88243906   49.97462277   59.96033083   19.97026577
   29.98711163   89.96915721   99.87273364]","[ 119.85935594   59.92598777  209.82157632   29.97058625   79.90791062
   99.93235425    9.98552268   49.93006953  289.79984067   59.95213452
  119.85460856  109.95434254]","[  49.95510735   59.96137777   69.97529469  229.93104748  109.95055193
   69.96325247   49.93534919  149.90882499   29.9844656    29.98304202
   49.94320787   59.90027947  119.91727544]","[  49.96152656  139.8743453   309.91437142  139.95119701   99.87192665
  199.875963    289.91475284  119.93330332  349.85528379   79.95693888
  129.94471637  319.85274707  129.89611674]","[  89.94951095   59.92251897   49.98326591  189.92438021   69.89917456
  299.82789612   19.97675434   99.91479628   39.98387354   29.95571923
  189.86149065   49.93590501  199.85602635]"
"[ 139.94929317   39.97357793  129.96790566  189.92629661   69.96324228
  149.8785487    59.96021863    9.98491563  149.91460725   39.97357793
  129.96790566  189.92629661]","[ 179.96063365   99.93966224  219.92697247  289.88327931   69.96536092
   29.95424528   19.96571111   99.90749652  149.8800689   159.90040709
  199.86407852   89.89834841  249.91988289]","[  49.97011163   59.91596711   29.99062761   79.96841449   39.97808371
   39.97270712   59.95431101  119.97501366   29.98975381   19.96293312
   59.98074793   59.95580544]","[ 149.89009789   59.96623189   49.95586062   39.97018348  209.91087702
   19.98094014   19.98302831   79.95652537  109.88387852  109.92466371
   49.96921103  109.93558857   99.96998352]","[   9.98107881   59.96951573  309.92988607   99.95448069   19.97548277
  139.93893156  179.8994343    59.94659471  139.9081316    99.94624303
   29.97051387   39.95984817   69.91199438]","[  19.96295743   19.97467969   49.97021545   49.91950684   59.92340096
   79.97622534  129.8584954    69.96805514   79.95876683   99.95274873
  109.97168255   29.97871279   79.95199646]","[ 179.868236    199.88807876  159.93002891  169.91335096   59.93112654
   39.9786577   129.84152342   59.94031668   49.98310907   39.97081396
   89.92636758]","[ 139.88962026   79.96570718   79.95229985   29.97641325  209.90654551
   99.94644662   69.98270041    9.97973614  119.84449299   19.96525442
   89.90272209  179.86262573  109.89991957]","[   0.          189.9135896   169.79379436   19.97037318  149.89616351
  169.94061955   79.92915878  149.90437798   69.93119755   79.94709484
   19.98522334   99.9110873   179.9157452 ]","[  39.93123211   49.93478374   49.97939843   19.98719915   59.89342186
   99.94964894    9.98402342  199.91041589   19.97806755  139.94320272
  139.85955044  169.78302985   39.93179865]"
