policyParams0,policyParams1,policyParams2,policyParams3,policyParams4,policyParams5,policyParams6,policyParams7,policyParams8,policyParams9
"[ 0.26736598  0.22509269  0.09384953 ...,  0.          0.          0.        ]","[ 0.32440411  0.28159271 -0.10182222 ...,  0.          0.          0.        ]","[ 0.18067999 -0.06456204  0.31238324 ...,  0.          0.          0.        ]","[ 0.28399912  0.26302379  0.12224992 ...,  0.          0.          0.        ]","[-0.320034    0.10173473 -0.22746691 ...,  0.          0.          0.        ]","[ 0.13495919  0.19860662  0.17323469 ...,  0.          0.          0.        ]","[ 0.32857434 -0.25087473  0.12459078 ...,  0.          0.          0.        ]","[-0.21182337 -0.10644772 -0.04473525 ...,  0.          0.          0.        ]","[ 0.08156635  0.28909282 -0.21842874 ...,  0.          0.          0.        ]","[ 0.12502584 -0.12298878  0.21973164 ...,  0.          0.          0.        ]"
"[ 0.26387607  0.22107813  0.09651159 ...,  0.00117786 -0.0021979
  0.00393125]","[ 0.32573771  0.28546913 -0.0948111  ..., -0.00196735 -0.001738    0.00439131]","[  1.77584110e-01  -6.33952520e-02   3.18477846e-01 ...,   1.18989302e-03
  -2.12089187e-04  -2.50655092e-03]","[  2.82769127e-01   2.61782175e-01   1.23257841e-01 ...,  -1.78005778e-03
  -2.18124833e-04  -2.15787543e-03]","[ -3.21518630e-01   1.01607773e-01  -2.28790966e-01 ...,  -2.83460656e-04
  -7.90286251e-04   5.61644484e-04]","[ 0.13587057  0.19822647  0.17284169 ...,  0.00249531 -0.00285547
 -0.00288454]","[ 0.32681746 -0.25441226  0.12078717 ..., -0.00107116  0.0026093
 -0.00287121]","[-0.21050129 -0.10628413 -0.04175258 ...,  0.00058728  0.00138744
  0.00125669]","[  8.28503281e-02   2.92845758e-01  -2.17314687e-01 ...,   3.86180743e-05
  -1.96725791e-03  -1.19835029e-05]","[ 0.12450148 -0.12328693  0.2149866  ..., -0.00192118  0.0003227
 -0.00178862]"
"[ 0.26302135  0.2200789   0.09920574 ...,  0.00078436 -0.00469225
  0.00326067]","[ 0.32594988  0.28480483 -0.09043942 ..., -0.00253348 -0.00233891
  0.00642966]","[  1.76174979e-01  -6.26452069e-02   3.20983902e-01 ...,   2.81662830e-03
  -2.42207837e-04  -2.48572294e-03]","[ 0.28211936  0.26119989  0.12359125 ..., -0.00118459  0.00068427
 -0.00271777]","[ -3.23326551e-01   1.01063297e-01  -2.30016761e-01 ...,  -7.51408215e-04
  -1.41177800e-04   6.00899726e-04]","[ 0.13607553  0.19782646  0.17259404 ...,  0.0029728  -0.00385246
 -0.00456837]","[ 0.32619923 -0.25572353  0.11939037 ..., -0.00127379  0.00306179 -0.004421  ]","[-0.21025301 -0.10577305 -0.04142895 ...,  0.00120168  0.00189221
  0.00071559]","[ 0.08399695  0.29624044 -0.21912751 ..., -0.00147437 -0.00322454
  0.00122242]","[ 0.12526349 -0.12337949  0.21156112 ..., -0.0034426   0.0024751
 -0.00323295]"
"[ 0.265936    0.21919381  0.1011602  ..., -0.00038556 -0.00809889
 -0.00078533]","[ 0.32637761  0.27999204 -0.08858166 ..., -0.0027112  -0.00253744
  0.00767896]","[ 0.17671615 -0.06513911  0.32194288 ...,  0.00352562 -0.00047376
 -0.00189665]","[  2.80382711e-01   2.61472210e-01   1.23973724e-01 ...,  -8.69232666e-05
   4.31696547e-04  -3.53857663e-03]","[-0.32287538  0.10080442 -0.23139278 ..., -0.00119805  0.0005494   0.000369  ]","[ 0.13608734  0.19747053  0.17252022 ...,  0.00389164 -0.00374646
 -0.00585109]","[ 0.32564901 -0.25627302  0.11843534 ..., -0.00122357  0.00332571
 -0.0054931 ]","[ -2.10073195e-01  -1.04791965e-01  -4.12852422e-02 ...,   2.07707538e-03
   8.68165212e-04   1.57168093e-04]","[ 0.08531355  0.29912621 -0.22206817 ..., -0.00149689 -0.0039126
  0.00288478]","[ 0.1241378  -0.12389468  0.2098608  ..., -0.00331154  0.00295934
 -0.00465197]"
"[ 0.26718892  0.21946971  0.10238209 ...,  0.00112958 -0.01336141
 -0.00476024]","[ 0.32741671  0.27749806 -0.08923302 ..., -0.00243843 -0.0030025   0.0095479 ]","[ 0.17732327 -0.06545375  0.32220561 ...,  0.00403336 -0.00094448
 -0.00111969]","[ 0.27944668  0.26184836  0.12536474 ...,  0.00059973 -0.00031892
 -0.0048151 ]","[ -3.22562625e-01   9.96008123e-02  -2.32927370e-01 ...,  -6.53777216e-04
  -2.62818807e-04   7.72375285e-04]","[ 0.13616778  0.19714406  0.17260277 ...,  0.00457106 -0.00292278
 -0.00698721]","[ 0.32569949 -0.25678448  0.11843553 ..., -0.00134707  0.00267335
 -0.00646184]","[ -2.10035251e-01  -1.04210459e-01  -4.03214700e-02 ...,   2.56720165e-03
  -8.57151743e-05  -3.56886872e-04]","[ 0.08590934  0.30009586 -0.22343567 ..., -0.00139195 -0.0071541
  0.00173272]","[ 0.12272898 -0.12433142  0.20902024 ..., -0.00305919  0.00237497
 -0.00741159]"
"[ 0.26485303  0.21780752  0.10293694 ...,  0.00361805 -0.0166184
 -0.01069718]","[ 0.32814034  0.27644942 -0.09176203 ..., -0.00136979 -0.00446384
  0.01150582]","[ 0.17745235 -0.06523964  0.32217115 ...,  0.0046457  -0.00082979
 -0.00096266]","[ 0.27808844  0.26159373  0.12554353 ...,  0.00261107 -0.00254917
 -0.00523546]","[-0.3223815   0.09932277 -0.23415374 ..., -0.0004431  -0.00226783
  0.00096947]","[ 0.13633816  0.19694623  0.17261682 ...,  0.00459501 -0.00262852
 -0.00729023]","[ 0.32549434 -0.25700775  0.11848285 ..., -0.00180235  0.00203935
 -0.00711521]","[ -2.09967504e-01  -1.04081435e-01  -3.96400048e-02 ...,   2.32278552e-03
  -1.66482326e-04  -8.59650640e-04]","[  8.60683458e-02   2.99115661e-01  -2.21846768e-01 ...,  -1.15405456e-03
  -1.08560147e-02  -2.70013226e-04]","[ 0.12126881 -0.12470742  0.20808251 ..., -0.00417844  0.00297581
 -0.00901056]"
"[ 0.26083148  0.21925469  0.1032893  ...,  0.00507267 -0.01668425
 -0.01746275]","[ 0.32824481  0.27729368 -0.09255832 ..., -0.00108083 -0.00584052
  0.01303139]","[ 0.17797367 -0.0647669   0.32216668 ...,  0.00479675 -0.0008637
 -0.00156724]","[ 0.27657578  0.26037031  0.12528908 ...,  0.00379982 -0.00652386
 -0.00482963]","[-0.32347103  0.09928919 -0.23509624 ...,  0.00044081 -0.0038939
  0.00133082]","[ 0.1369644   0.19663375  0.17265036 ...,  0.00449031 -0.00244706
 -0.00785661]","[ 0.32526084 -0.25687355  0.1179245  ..., -0.00208616  0.00143013
 -0.00715953]","[-0.20979287 -0.10398936 -0.03972306 ...,  0.00226462  0.00047844
 -0.00134211]","[ 0.0866246   0.29922679 -0.2204544  ..., -0.00121386 -0.01260031
 -0.00106084]","[ 0.11983139 -0.12487327  0.20793401 ..., -0.00478672  0.00402792
 -0.00876658]"
"[ 0.25981171  0.22018624  0.10611276 ...,  0.00179773 -0.01687285
 -0.02064465]","[ 0.32816631  0.2767511  -0.09252961 ..., -0.00108729 -0.00674355
  0.01352362]","[ 0.1781121  -0.06467001  0.32225016 ...,  0.00469934 -0.0015361
 -0.00255744]","[ 0.27528784  0.26004688  0.12474387 ...,  0.00320448 -0.00759445
 -0.00488555]","[-0.3249661   0.1001949  -0.23594493 ...,  0.00089909 -0.00479024
  0.00112457]","[ 0.13778461  0.19620257  0.17246604 ...,  0.00424794 -0.00207651
 -0.00839663]","[ 0.32462583 -0.25700334  0.11649169 ..., -0.00245976  0.001393   -0.00746862]","[-0.20957863 -0.10430881 -0.04008361 ...,  0.00200228  0.00167452
 -0.00185202]","[ 0.08711443  0.29806963 -0.21965058 ..., -0.00181624 -0.0125454
 -0.00115943]","[ 0.11937938 -0.1249018   0.20736832 ..., -0.00479691  0.00499242
 -0.00763748]"
"[ 0.25376667  0.22518808  0.10799025 ..., -0.00515523 -0.01934305
 -0.01994738]","[ 0.32833182  0.27426209 -0.09325554 ..., -0.00069207 -0.00724341  0.013262  ]","[ 0.17789797 -0.06435096  0.32202588 ...,  0.00458675 -0.00171907
 -0.00359886]","[ 0.27408975  0.26047368  0.12472374 ...,  0.00335797 -0.00653435
 -0.00448055]","[ -3.26666865e-01   1.02248230e-01  -2.36491335e-01 ...,   1.45193228e-03
  -5.93544345e-03   1.26645087e-04]","[ 0.13843633  0.19584808  0.17216123 ...,  0.00429606 -0.00120175
 -0.00962091]","[ 0.32376    -0.25705005  0.11538162 ..., -0.00274682  0.00133784
 -0.00814025]","[-0.20969191 -0.10429775 -0.03947445 ...,  0.0014381   0.001993   -0.00154883]","[ 0.08793156  0.29765904 -0.2188179  ..., -0.00139293 -0.01116849
 -0.00084738]","[ 0.11957015 -0.12481405  0.20701448 ..., -0.00528525  0.00518296
 -0.00671681]"
"[ 0.25020595  0.22743601  0.10337706 ..., -0.01176911 -0.01994495
 -0.01628013]","[  3.28699633e-01   2.72450136e-01  -9.34315084e-02 ...,  -2.42998444e-04
  -7.58690323e-03   1.26359157e-02]","[ 0.17818039 -0.06406858  0.32187621 ...,  0.00488592 -0.00189184
 -0.00417236]","[ 0.27333314  0.26139731  0.1250484  ...,  0.00368987 -0.00558224
 -0.00331574]","[-0.3294676   0.10483302 -0.23682267 ...,  0.00189979 -0.00669326
 -0.00042067]","[ 0.13900941  0.19562425  0.17212919 ...,  0.00455083 -0.00089781
 -0.01018214]","[ 0.32354397 -0.25744857  0.11520798 ..., -0.00328123  0.00170586
 -0.00938566]","[-0.20972544 -0.10393575 -0.03889683 ...,  0.0009834   0.00179904
 -0.00123358]","[ 0.08837546  0.29688223 -0.21736155 ..., -0.00043452 -0.00867757
  0.00115917]","[ 0.11918641 -0.12444765  0.20815547 ..., -0.00587414  0.00508887
 -0.00635567]"
