nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19
3,3,3,3,3,3,3,3,3,3
