rewardsSnapshot0,rewardsSnapshot1,rewardsSnapshot2,rewardsSnapshot3,rewardsSnapshot4,rewardsSnapshot5,rewardsSnapshot6,rewardsSnapshot7,rewardsSnapshot8,rewardsSnapshot9
"[-122.2793838   -97.28078408 -122.2793838   -97.28078408 -122.2793838
  -97.28078408 -122.2793838   -97.28078408 -122.2793838   -97.28078408
 -122.2793838   -97.28078408 -122.2793838   -97.28078408 -122.2793838
  -97.28078408 -122.2793838   -97.28078408 -122.2793838 ]","[-389.11269411 -213.42195212 -336.73530166 -248.8462635  -252.51707484
 -220.04671323 -267.2007526  -120.7065956  -231.57904529 -147.57470751
 -249.04603384 -336.73530166 -264.13621348 -185.88055798 -244.99627071
 -209.5353229  -131.84296638 -264.6612756  -253.92278426]","[-122.56843449 -112.80616785 -357.13424921 -136.20691644 -237.25688943
 -203.20203985 -383.42844606 -126.57094347 -126.57094347 -334.41604178
 -132.95784104 -237.49922654 -214.93670692 -161.80293614 -355.81877402
  -68.27110872 -207.73068542 -253.65742199 -344.42737819]","[-272.70240351 -322.94158661  -11.60884819 -154.10749609 -457.41797399
 -207.66695978 -389.85886262 -374.32829454 -397.73717477 -471.6861021
 -300.98714866 -322.16815882 -675.70233002  -17.42297967 -152.99310139
 -295.47483385 -300.72613615 -528.2590775  -300.47213732]","[-248.80112811  101.53458674  -21.10468415  -52.45686425 -168.53714594
 -189.82064557 -135.67281383 -253.3423369   -95.06655875 -238.142545
 -194.20336679 -277.51196551 -147.52566781 -286.61275807 -200.10831828
 -194.52515307 -150.02517344 -151.11635875  -39.66779182]","[-147.17281777  -83.2543638   -64.75459893 -104.69960079 -122.63363463
 -109.89991826   29.62071765 -144.24828024 -172.87024999 -104.69960079
   16.72765363   29.62071765 -207.53100002  104.02702268   23.41425839
 -194.63317448  -16.04971616  -82.44232051   48.9669679 ]","[ 187.945647   -153.65320725 -156.59130971  -85.10956655  -42.27773871
  -17.04565132  -62.91415324 -117.03394137 -129.13870777  -73.27658552
  -37.99592786 -160.11540223  -50.49031102 -108.0341476   -39.5230249
   71.02120846   23.15320547  -26.6424397   -59.77718924]","[-276.09260462 -243.35933429 -161.91110832 -313.2669188   -90.47923581
  -91.97614498 -176.58059679 -182.78377736 -227.61705041 -113.32094775
 -279.62657316 -291.97539588  -24.19881601 -182.78377736 -226.96279937
  -96.53342886 -118.89084229 -259.99327192  -55.73874779]","[-228.14395216 -368.92147944 -251.12028124 -205.36758538 -191.33555884
 -253.56687733 -411.9016012  -398.56607735 -354.97509212 -336.05292616
 -373.77012457 -193.32534102 -373.75659882 -175.03393933  -55.38337649
 -319.36776707 -309.97249811 -162.3708211  -286.94978618]","[-403.70244705  -73.89020032 -285.71289539 -169.62668554 -181.47749525
   30.85729332 -429.33532954 -222.02723131 -313.10314392  -66.62173545
 -429.33532954 -222.02723131  -80.93172372 -237.58358999 -516.5389148
   57.08420254 -168.56144946 -127.03509849 -151.57310394]"
"[ -52.68682559   63.92734259   63.92734259 -196.00427488   63.92734259
 -196.00427488   63.92734259 -196.00427488   63.92734259   63.92734259
 -196.00427488   63.92734259 -196.00427488   63.92734259 -196.00427488
   63.92734259 -196.00427488   63.92734259 -196.00427488]","[-128.48188282  -67.07178122 -293.18865668 -222.31030128 -145.95912085
 -276.8739213  -282.40159824 -235.62001276 -164.0370983  -132.46890148
 -215.4731295  -145.95912085 -305.1615414   -81.61429156 -268.95032694
 -255.63353172 -179.84502365    9.37608594 -238.19701569]","[-281.34173712 -102.13682725 -236.17639688 -539.36914209 -159.84778894
 -316.69586868 -221.7398614  -293.61335501 -182.54811983 -420.83389726
  -65.67605855 -236.17639688 -160.99333905 -234.08547304 -330.29218469
 -394.26963918  -95.40090195  -76.28613422 -258.15219681]","[-287.18279391 -171.78703925 -293.01623856 -341.77844091 -426.62584848
 -198.64744002 -481.94433038  -36.10750794 -308.30486559 -159.98564715
 -357.30018836 -177.5574348  -323.85188315 -414.07645748 -193.77671943
 -465.31941081 -112.855873   -402.01290882  -78.75960232]","[-121.35681313 -215.24201895 -167.68963404  -87.08921051  -93.11225413
 -294.33435061  -48.0196526   107.57450012 -220.25319074 -220.41515467
 -105.99860991 -277.44886722 -256.97855897 -196.53729916 -283.96740728
  -82.84955754  123.50970044 -216.81905773 -177.13384317]","[  20.58638779  -31.44667767   14.29892401   -6.12676083   20.58638779
  -95.73036219 -120.40824763  -32.62112143   50.72594571  -80.76752154
  -32.62112143 -136.80868612  -80.44101194 -103.1010577   -21.48852256
 -105.27809982  -33.87326777  -39.61554717  -27.7911361 ]","[-104.67627375  -41.02537359  -10.61535763 -135.39651     -71.50958674
  -99.51581937 -140.78186095  -61.19516175  -84.28778849 -185.60484873
 -109.95556335   15.45123129   32.5701724   -49.31391246 -114.70170892
  -33.94200865  105.89366596  -87.58081259 -161.33929943]","[-225.1302492  -148.672145    -86.4829645   -59.11872305 -196.3890707
 -147.04737568 -212.66697195 -258.18111188 -246.2424994  -157.95567245
 -298.27980302 -129.53457103 -276.78441119 -184.60157538 -129.53457103
 -221.52518984  -30.61636388  -65.53768863 -278.87192291]","[ -82.82401205 -158.82717275 -228.37290484 -470.63512746 -217.85142387
 -324.85082647 -405.99087978 -432.81881948 -263.39855459 -262.12810819
 -266.20449608 -254.97581358 -362.87121196 -143.29471268 -295.41537047
 -219.45556897 -158.86049612 -209.06584297 -341.33018646]","[-276.98857249 -417.44988492 -235.52233653 -343.85010537 -323.70237214
 -217.25599514 -235.52233653 -343.85010537 -291.82770754 -261.6621038
  126.23602058 -172.24436944  -65.10659121 -131.7776883  -340.71464424
   69.52726227 -269.47741191 -282.62658861 -428.44839785]"
"[  76.60463946   72.29679135 -163.00127453   76.60463946   76.60463946
   72.29679135   76.60463946   76.60463946   72.29679135   76.60463946
   72.29679135   76.60463946   72.29679135   76.60463946   72.29679135
   76.60463946   72.29679135 -163.00127453   76.60463946]","[-118.8443145  -267.66093055 -146.45338526  -77.6331303  -186.18463248
 -172.87232429  -69.01446734 -119.30219561 -222.92204169 -117.25912952
 -220.73878922 -164.37428731 -255.78282954 -166.66732748  -98.34773236
 -145.56085453 -118.72406991 -323.79864569 -190.3892185 ]","[-263.56918541 -408.72566786 -323.90132405 -164.55566487 -243.87668876
  -50.73168235 -139.72647025  -67.58445102 -197.49587451 -296.84254566
 -336.67582892 -271.98140207  -73.78950668 -405.45875871 -185.40313596
  -95.70983922 -167.77480053 -164.55566487 -236.10844986]","[-166.4276634  -564.5074144  -253.89528861 -168.56088239 -476.50276664
 -352.79959287 -700.66953411 -428.04126399 -265.04311213 -582.8190945
 -426.91913062 -368.5386943   -77.1897157  -393.78951297 -323.89908301
 -355.17886506 -435.22097476 -341.68816237  -40.91167904]","[ -62.22510107 -286.22181185  -82.24727858 -160.35960171 -151.3292002
 -165.69254797 -130.5236468  -345.60562418  -20.70465564 -241.2697287
 -109.37419412 -225.70289685 -178.36584182 -187.22910713   58.36216006
  -55.11080221  -45.93023903 -154.4574094  -261.6061546 ]","[  16.15634566   -8.53559451 -175.47809777  -11.02246488  -11.02246488
 -220.81288252  -53.04092695  -82.53609294 -104.31524749   35.91890318
   55.85896637  -40.04807718  -27.88073128  -84.46586408   24.30746888
  -40.50567984  -11.21035774    7.74792271  -40.04807718]","[ -23.66755645  -36.8942248  -138.27986812  112.56579228   29.28039924
 -148.00997185 -111.67722358  138.16012609 -179.23938455 -120.18845087
  -94.28228625  -66.44807451   23.01394545   19.21545019  -56.46671673
  -86.82165906  -26.79537593 -125.04071478 -102.11599041]","[-152.82379948 -323.34621571  -72.34206509  -84.41638691 -152.82379948
 -323.34621571 -269.01824184 -225.0702618   -44.81920256 -134.94583157
 -163.7229938    62.3564897   -64.11697102 -155.33642267 -112.97076234
  -62.67395263 -309.98305521 -220.89929278 -171.31968303]","[-376.46946397 -351.23603646 -253.55046898 -287.56530612 -337.8923768
 -249.6767203  -292.44659797 -333.87031651 -354.84482638 -317.96787556
 -212.85552127 -237.00327055 -237.81668942 -357.27130274 -227.53018768
 -284.56255422 -292.88845534 -422.61359928 -203.46296391]","[-219.44398833 -414.97624416 -205.24330535   31.55073258 -381.48471205
 -203.62635918 -223.57906555 -404.9057106  -433.47999294 -236.36541915
 -351.06611846 -339.9407342  -182.82890796 -305.64018011  -91.63379927
 -426.83706972 -451.34157945 -426.83706972 -451.34157945]"
"[-169.09095727 -262.068892     64.31085431 -169.09095727 -169.09095727
 -262.068892   -169.09095727 -169.09095727 -262.068892     64.31085431
 -169.09095727   64.31085431 -169.09095727 -169.09095727 -262.068892
 -169.09095727 -262.068892   -169.09095727 -262.068892  ]","[-220.7451379  -141.83022882 -141.13560467 -141.48968164 -213.46086234
 -179.32315049 -183.70135352 -168.93691594 -134.33693245 -201.11987053
 -282.5712808  -275.71948929 -245.87107639 -182.35067562  -97.81361016
 -264.69571156  -59.95935603 -181.83643472  -72.96561301]","[-373.6405662  -259.13988147 -416.97876728 -229.64895397 -354.45497133
 -147.99699662  -32.18243142 -373.6405662  -210.02047557 -234.10260281
 -314.954583   -209.03287783 -235.04914099 -325.34770448 -143.26579015
 -344.24255983 -229.64895397 -205.4914351   -99.14328179]","[-121.31190586 -334.52718838 -128.11938774 -414.57034883 -379.70267254
 -689.68050791 -449.68455692 -373.96634051 -328.24567032 -234.71473139
   41.71663797 -508.26336366 -328.67360927    3.92064353 -123.87818435
 -394.46909644 -379.67860356   90.42637998   72.93103437]","[  61.89930626 -227.64402678 -180.13542483 -224.20113379  -83.20627408
  -79.70252053 -214.15237576 -291.52516187   -8.40325195 -190.69438463
 -227.76072973 -188.87002687 -178.58374967   54.55786121 -215.086702
 -124.49471588 -141.21093342 -214.96456257 -261.39590513]","[  83.66745758 -109.48784754  -46.21885133  -81.0111666   -32.23390716
 -101.5266379   -71.12152256 -102.07909617  -34.82506331  -54.74773254
  -54.74773254  -22.55784695 -153.67127043   29.62790608  -95.64284682
  -95.64284682   16.3541319   -78.57766903   -9.95657477]","[  83.97961794 -162.52772571 -101.19267843   42.2893198   -61.79244635
   53.68867626  -60.03745224   47.99341983  -98.0052362   -13.68973549
 -151.52172354   15.77388904 -255.22601343  -70.87556692   34.88055329
 -104.72062107  -29.20375191  -83.32737685  -14.5433709 ]","[-152.08451514 -198.37000911  -20.51856838 -181.76364776  -63.5765817
 -112.59712649  -55.95673517 -159.13451911 -226.10035703  -13.81929613
 -216.26662899 -267.85216192 -232.72568964 -187.94316333 -272.1249943
 -232.64937164 -120.43489518 -116.88216286  -55.95673517]","[-259.56231273 -204.44061718 -169.15083689 -255.62529292 -353.69423325
 -143.77833734 -199.70971402 -408.82144685 -142.71216861 -357.13585986
 -162.81023235 -342.4363083  -295.75781165 -270.24639073 -280.59862609
 -242.48350538 -309.64019174 -364.05057068 -376.00429241]","[-335.76239793 -466.91734961 -188.01814261 -429.23615736 -243.10272258
  -49.08377801 -319.23141127 -446.77665809   -1.771433    -63.59446054
 -568.47418273 -398.45206746 -489.19222815 -231.65466774 -564.82129087
 -166.21758593 -143.57544413 -188.01814261 -429.23615736]"
"[-94.68957812 -94.68957812 -49.81655696 -49.81655696 -21.33564264
 -49.81655696 -21.33564264 -49.81655696 -21.33564264 -49.81655696
 -21.33564264 -49.81655696 -21.33564264 -94.68957812 -49.81655696
 -49.81655696 -21.33564264 -94.68957812 -49.81655696]","[-206.36433299 -126.76527092 -136.04546295 -220.80222049 -170.12253304
 -259.69801959 -181.76100074 -278.43369737 -220.67081339 -234.02106573
 -196.49774567 -172.95669967 -225.00306895 -169.07609293  -58.36540025
 -202.06807738 -195.74869037 -172.47166554 -206.36433299]","[-337.58270498 -220.81253186 -385.35089607 -297.36426901 -227.54447322
  -71.95565136 -330.83247054 -239.08975918 -199.05086709 -274.23516339
 -146.07187902 -279.80228451 -396.61098789 -333.33014346 -220.81253186
 -319.80924243 -239.08975918 -153.08301261 -313.64868794]","[-327.11068631 -131.03775383 -429.19358803 -103.89644569  -29.38604925
 -658.66094014 -473.15583989 -209.921043   -221.98131657 -106.84035799
 -279.63009028 -342.40917007 -297.38287605 -141.40228214 -405.13809436
 -228.90209614 -267.84753047 -247.29024194 -390.18953021]","[-159.13426012 -197.29770432 -170.61417171   35.20509631 -193.45386507
  -68.02663707 -311.64172841 -279.92400874 -215.72934185  -11.271896
 -124.01387547 -245.10920995 -127.36119499  -69.80461376 -145.6839319
 -107.51917286 -255.14716181  -83.4011648    49.95298212]","[ -99.10144983   11.654718    -51.87433573  -51.78820601  -34.72582591
  -40.35135759  -82.71990761   -3.44596526  -50.7492554     5.96874006
   -5.00180485 -159.39683974  -40.35135759 -150.5173073   -89.29264617
  -56.18603289   60.50773447 -155.74980003   19.37003471]","[  36.13381693  -94.5816815    30.19628515  -22.14982131  -71.3095993
  -12.15672508  -49.67647121 -156.76036845  -57.18904823  -47.74865962
   20.17809377  -17.81631137 -172.33930866  -50.64125657 -187.27776379
  -31.33361833 -189.46512778 -221.29655864  -87.50686654]","[-299.13308386 -138.0014402  -233.53299701  -24.1073884  -120.95087017
 -418.83149742 -138.0014402  -202.60474886  -99.22640867 -109.89974717
  -68.65401412 -235.45767876 -303.54005312 -104.0301995  -120.07888548
   -6.99296849  -83.50191708 -251.09209815  -12.91852015]","[-203.95533056 -346.52768765 -259.62745834 -200.55708301 -357.656247
 -233.17937158 -292.66104739 -215.24692105 -341.86005698 -185.03598656
 -185.65877629 -313.18957431 -488.40838143 -141.15347873 -307.83286561
  -90.1770854  -305.78580018 -354.78157693 -184.73140153]","[-220.70878764  -21.94834917 -309.9264224  -242.65609622 -433.13457961
 -310.81253166 -379.70344757  112.62566373 -519.23959491  -66.32081961
 -309.9264224  -242.65609622 -240.5885242  -362.14585644 -547.9524227
 -422.42063888 -330.70874877 -440.06297534 -477.18793493]"
"[ -19.66483827   92.19636957 -215.64102706  -74.4254368   -19.66483827
  -19.66483827   92.19636957  -19.66483827   92.19636957  -74.4254368
  -19.66483827  -19.66483827   92.19636957  -74.4254368   -19.66483827
  -74.4254368   -19.66483827  -19.66483827   92.19636957]","[-214.1092153  -214.52413327 -240.86446915 -183.9456405   -20.93531588
 -228.75073551 -166.67048878 -219.39938141 -316.21586584 -116.58034033
 -276.19846183 -183.9456405   -80.35142923 -250.19108804 -191.23848864
 -310.06432371 -190.0508721  -144.13808936  -91.02187701]","[-249.42067167 -322.97989885 -439.288846    -90.34430539 -170.61656303
 -244.34090074 -184.89832205 -105.84294861 -330.64415906 -228.81605797
 -249.42067167 -322.97989885  -90.34430539 -102.66607164 -110.4261749
 -295.10343793 -315.05259255 -254.26577331]","[-432.87134843  -80.11571248 -194.66343986 -305.39794102 -291.82383821
  -97.50906431 -327.74853149 -172.8857822  -206.61515294 -273.79215629
 -253.14087602 -237.23181048 -190.24969559 -349.30708273  -32.60264799
 -222.1966486  -105.33384294   55.72253538 -192.13502259]","[-100.69246199 -176.71205406 -159.291749   -168.0903299    -6.8864221
    5.30905818  -60.40878614 -251.81290518 -207.95905001  -46.23652211
 -441.61707518  -67.87810632  -44.79242409 -353.13952986 -251.05792896
 -215.28936704    8.21344523  -29.54713077 -344.11227242]","[ -80.63956682  -64.86538645 -182.24113514   29.3927923    90.58060769
 -122.69343891 -124.25690959  -43.82784816 -153.29553321   81.96986059
 -103.34407586 -175.30721984  -47.36743117    1.11847373 -156.3422211
 -167.12804613   81.96986059 -122.49057779  -49.41673541]","[-187.81704569  -12.40638524  -99.32425158  -42.40556778 -113.4965603
 -116.16699047  -88.95072217   93.6577596   -98.29937376  -35.82398266
  -65.67855155   26.63724172  -72.26984957  -22.30865805 -130.7936528
 -163.28137491 -162.90394281  -40.97107831  -43.24723414]","[-119.75546402 -168.62300674 -112.67405419 -137.97002074 -213.32084067
 -119.38808537 -177.8239182  -193.52304559  -75.9989935   -34.79340503
 -117.71602499 -101.46368113 -119.75546402 -168.62300674 -252.02965348
 -166.19983332 -146.47509271 -110.68522453  -46.07199259]","[-265.24059806 -204.92313354 -196.13052727 -326.44164721 -282.09868037
 -202.60221968 -182.30404162 -349.92198832 -274.34705388 -342.34045247
 -391.83876827 -495.61049497 -385.59052472 -339.23510436 -247.78052148
 -148.65981861 -242.47051172 -362.4445664  -414.43291648]","[-223.86802719 -256.6837793  -269.93172032  -66.03836579  -19.42719068
   17.28497812 -366.87550284 -620.46581583 -153.60816034 -510.64069414
 -436.92014982 -253.9043949    44.42230581 -152.39680684   13.42297581
 -394.69968958 -186.06821622 -421.57372927   44.42230581]"
"[  40.2261577   107.9842784   107.9842784   -36.49480399  107.9842784
  -36.49480399  107.9842784   -36.49480399   40.2261577   107.9842784
  -36.49480399  107.9842784   -36.49480399  -54.45384825   40.2261577
   40.2261577   107.9842784    40.2261577   107.9842784 ]","[-104.33668674 -105.17231568 -152.6304345   -91.68413996  -70.16779121
 -179.84785219 -219.11325531 -182.00216282 -141.7242246  -200.58184483
 -123.02366    -269.32071074 -184.55952027  -97.24303699 -206.2048618
 -189.40929317 -257.00246338 -141.7242246  -288.37807361]","[-150.74810481  -98.75570628 -163.63628315 -114.7591225  -386.14026396
 -138.79656734  -83.98905153 -280.37787052 -149.83481231 -386.14026396
 -174.58594721 -149.55484547 -202.46160675 -291.56737144 -202.46160675
 -291.56737144 -264.97693261 -258.50472374 -193.28894766]","[-419.05242124 -273.53759782   25.38725664 -285.54092195 -192.77166433
 -406.53767151  -94.08693274 -379.41638865 -270.41816872   -8.50164088
 -284.51570364  -21.059473   -236.72846692 -545.15737861  -67.91944888
 -471.0569098  -381.43110987 -306.79074753 -464.9467723 ]","[-249.36821526   76.91746506 -145.08916729   17.46038352  -58.50578971
 -330.21505253 -211.21335096 -211.84312504    4.41001382  -45.62057244
 -144.53431923  -90.83519316 -159.99536827 -227.64395113 -158.15038142
 -148.39400308 -198.68562459 -168.35194605 -284.38205938]","[  -6.52151113  -34.11004585   15.04739029   -9.25267204  -67.34660168
 -160.02744624  -34.66232401  -10.4037501   -70.44690435   92.49593333
   28.96774032  -34.66232401  -98.40942848 -115.30853279 -129.13340356
    4.02184239    4.02184239 -122.11718034 -108.76175756]","[ -18.74968229  -45.10321549 -172.32779393 -228.71054251   85.86490075
 -172.01145883  -87.33123933  -68.45752285 -188.16874408 -100.60218648
   55.59051094 -237.25173589   36.19275264   86.96426889  121.91310269
 -106.38413587  -37.3819432   -52.71801053  -66.38155383]","[-170.14240222 -129.4363863  -237.17904993 -253.68957877 -263.29699485
 -114.37101276 -190.8633112  -122.62414588    3.67312537 -157.34196035
  -57.12906433 -200.6433238  -181.07893387 -164.06612057 -260.79928263
  -50.37842946 -135.0332894  -127.51605482 -263.29699485]","[-174.61801313 -354.41731184 -322.02393617  -96.16105126  -85.33728229
 -411.20197478 -259.43148976 -348.95151316 -210.63570949 -293.96115915
  -66.78473041 -458.35014461 -382.6714003  -289.49230661 -486.33129489
 -323.43506064 -206.44616312 -372.44678711  -63.15732697]","[-250.00629008 -278.60273569 -334.20068803 -323.48968754 -265.24500451
 -108.74568277  112.05942469 -355.43132004 -190.55573375   60.36052041
 -463.27778906   49.90825987 -323.48968754    4.6790988  -229.33554689
 -206.91696599 -475.79561198 -136.13013331 -173.33456579]"
"[-14.76005538 -64.1778534   -2.36769297 -44.25510433  -2.36769297
 -44.25510433 -64.1778534   -2.36769297 -64.1778534   -2.36769297
 -14.76005538 -64.1778534   -2.36769297 -44.25510433  -2.36769297
 -44.25510433 -64.1778534   -2.36769297 -44.25510433]","[-157.4000155  -156.09347652  -88.64909668 -287.47811864 -282.42485961
 -167.12153584 -138.90152395 -252.15474153 -234.55720483 -137.55202712
 -145.00420523 -190.53882192 -106.11750515 -124.90737533 -259.104224
 -234.49890838 -116.08295127 -224.92650341 -138.90152395]","[-301.7929313   -31.87780235 -410.47391474 -363.06601214    0.80509085
 -224.85100204 -310.54850963 -450.03203115  -63.12732933 -232.45973195
 -141.63963387 -366.93904599  -50.37574341 -126.1763027  -339.50175036
 -346.51769231 -232.45973195 -340.65280149 -339.50175036]","[-177.8447599  -118.83684365 -212.74136577 -125.8756075  -451.65784827
 -343.90143901 -423.88165954  -92.33009387 -239.51249083 -326.7731872
 -332.11688767 -188.88837789 -376.29162247 -411.72862555 -345.94511833
 -323.97477796 -250.96576195 -323.62801677 -244.37090556]","[ -97.14002327  -84.11821628 -244.62485104  -42.1336885   -38.07845107
 -251.27820268   43.19866495  -38.31887521  -13.16052533   -9.09703591
  -96.81715064   -0.47701577 -102.16787962    3.66699642  127.61892852
 -150.26599569 -122.92203048 -166.87410587  -32.35771899]","[-127.81730148 -102.33997338  -39.68354612 -103.75952354   17.63531752
  -93.4055352   -99.39480294 -145.64603555 -175.93998359  -30.87213469
  -81.86370537  102.65267894 -175.0089979    66.5447216   -85.16728179
    6.45254743 -167.78348429   69.21649643 -127.81730148]","[ -84.17621307 -162.80812826 -232.83110291 -104.26124774  -76.79617797
  -57.42759176   25.49607741 -116.8017554    -7.5527652  -200.49467303
   60.09812851   -8.18202126 -127.1046235    98.89604638 -112.07525915
  -40.80269253  -66.73370869  114.35685434 -127.16247833]","[-271.82353841 -147.44729151 -224.70122908 -141.3953373  -145.70933348
 -268.47606617 -159.64107464 -196.22015835 -233.60144952 -167.48323096
 -143.99089053 -175.05742703 -147.44729151 -196.57669847 -178.14200289
 -224.91887658  -63.16505835 -161.60352495 -154.52737591]","[-194.76427856 -410.44940019 -346.30814339 -209.80700088 -208.820648
 -218.30984141 -424.77655487 -418.10918151 -177.91229726 -307.77429456
 -174.86676192 -215.18489033 -317.45534347 -231.03822793 -271.65847458
 -204.73811565 -439.85037687 -284.79875169 -348.0233818 ]","[-267.33577334 -427.24412481 -206.72510654 -480.38423398 -243.21686621
  140.17095683 -267.33577334 -427.24412481 -148.88440514 -244.34875021
  -38.73391544 -472.62553258  -27.57396998 -179.71004289 -239.78835931
 -274.46490793 -294.71599466 -389.14208756  -16.97322823]"
"[  49.32722107   12.59072516   49.32722107   12.59072516  -53.05363703
  122.4567427   -53.05363703  122.4567427   -53.05363703  122.4567427
   49.32722107   12.59072516  -53.05363703  122.4567427    12.59072516
  -53.05363703   12.59072516  -53.05363703  -53.05363703]","[-116.57483578 -310.11763836 -214.46417168 -233.6692787  -128.3079731
 -145.22333649 -196.94467237 -324.20220634 -105.75577292 -175.17536797
 -190.79987042 -232.72137564 -166.57140729 -140.68775828 -144.68637017
 -317.7649583  -116.57483578 -310.11763836 -145.221279  ]","[-163.00970149 -244.45524669 -383.00192689 -149.7897533  -149.7897533
 -324.79851661 -200.81370201 -146.90178462 -444.90578475 -210.48678857
 -254.02736258 -259.17414589 -204.33236512 -254.02736258 -300.01321691
 -340.97986982 -253.67257791   30.61860391 -264.68545301]","[ 106.5696298  -148.67939593 -556.16504252   65.53722535 -388.51452278
 -375.46480886 -416.0184765  -194.7968633  -332.73362415 -449.54388192
   69.7341892  -312.32327197 -111.81597117  -54.35976695   13.71812813
 -346.17004186 -432.25658761 -480.68225363  -78.17836221]","[-221.09213782 -127.29624469   34.09316901 -200.87239844 -276.70356902
 -138.84649075  -18.62588456 -324.67370749   10.28065103  -92.83495089
 -141.2312016  -146.16260211 -136.87096788  -74.6682677  -173.53290944
 -270.89114281 -257.44984657 -383.35760962  -39.00446983]","[  21.77053543  -67.57726029  -86.1858668  -105.32846496 -169.60808873
  -95.12891978  123.62047295  -90.86319605  -82.72791377  -58.16505418
  -31.13313314 -143.3875335    11.35506109  -79.06200265  123.62047295
   -7.39620989  -70.54682965   99.25807237  -84.02131355]","[  39.66584212  -50.20269689  -40.7367836  -144.48453956  -70.74679065
 -215.86164275  -84.53231151  -76.41594037 -164.81165154 -125.49277035
  -42.74120443 -165.18363429  -38.62958595   57.04704602 -185.75347181
  -87.37531965    2.33807196   -6.31993514  -68.15157079]","[-175.33564792  -30.8459956   -18.33452042 -246.66388047 -312.76377818
   30.37970366 -156.01827856 -253.13564518  -72.91894444 -184.6673281
  -98.29583794 -105.14227124 -282.00821676 -242.60135675 -210.4681214
  -52.75682094  -14.9301599  -246.66388047 -181.4819781 ]","[-395.51387093 -381.56301744 -355.53718431 -218.46885987  -34.92791162
 -403.80482216 -390.73405677 -127.54791926   62.19920314 -209.97755927
 -368.24084225 -338.91287354 -317.11980099  -75.96729294 -261.19630501
 -383.09850621 -283.94832732 -375.60598315 -304.82678907]","[-458.46568426 -291.20959245 -276.55152477 -304.73309796 -150.815079
 -462.51953279 -255.54740922 -108.6858716  -256.24637317  -92.60812128
 -158.83534902 -191.26328511 -380.43899205 -306.55433693 -421.3143213
   22.70095118   69.56832349 -458.46568426 -291.20959245]"
"[ -50.36372127   87.1180621  -162.00987344  -50.36372127 -162.00987344
  -50.36372127   87.1180621    -7.05405373 -162.00987344  -50.36372127
  -50.36372127   87.1180621    -7.05405373  -50.36372127   87.1180621
   87.1180621    -7.05405373   87.1180621    -7.05405373]","[-224.54215279 -132.19315513  -73.9810418  -222.51981669 -313.2366186
  -84.54628981 -176.83332548 -239.19290092 -193.18804677 -141.95668793
 -223.2135194  -329.06234842 -223.2135194   -80.49395727 -160.14249103
 -114.28951236 -215.24105511 -232.15811111 -270.74844585]","[-383.95732871 -302.07487145 -286.75143532  -85.69953193 -191.43122174
 -198.22802083  -30.75145171 -325.49187877 -252.33014336 -196.33534089
 -232.8264338  -333.08680338 -319.36190852 -235.52470891 -284.81799263
  -30.75145171 -241.55028788 -279.58266896 -320.34801713]","[-402.45339263 -342.84607953 -371.14149541  -91.39409276 -137.46829361
 -291.05652883   29.65203486 -276.17146175 -172.92121841  -66.22936659
 -375.0501375  -242.01943238 -190.33660927 -213.28792043 -447.66429112
 -305.29087802 -292.10726676 -321.81452719 -271.25432008]","[-179.74568923   79.51762605 -181.99044544   40.85051757 -169.39259016
 -227.74793812  -13.12837636 -232.92668722 -166.87742676 -207.2339445
 -287.95820874 -313.78833227 -128.35845105 -250.05055977 -146.42298257
 -253.07375161 -183.63485424   -7.92892832 -234.4294354 ]","[ -37.48878687   21.24276148 -292.70738308 -115.16695049  104.72562777
   74.01400437 -113.7180307    51.38404697   33.88733262 -158.92961898
   21.24276148 -134.55845105  -48.69288362  -24.09949598  -24.09949598
  -23.66115253   22.89571217  101.69880789  -49.31784246]","[-140.0575722  -152.09593006  -85.60951903 -200.76434062  -48.17004804
    9.95072583   42.88470012   -6.14955052  -61.95663001  -55.20287199
 -132.5414217    -8.22598861  -81.70576475 -172.99595852  -66.63703235
   75.82592973  -57.00056663 -189.53023562   22.29845373]","[-100.0296666   -53.59102939 -186.44600813 -163.06256916 -237.46059474
 -283.9946883   -82.64238169  -21.87711148 -105.00255325 -169.99248784
 -149.78684374 -133.19428619 -137.59807894  -87.02132809 -116.80201949
 -237.46059474  -45.6820875   -63.95605816  -87.70513832]","[ -3.54810062e+02  -3.69967268e+01  -3.51676527e+02  -3.74094043e+02
  -3.22384133e+02  -3.00761041e+02  -2.17535339e+02  -4.35301802e+02
  -4.07406852e+02  -2.03686868e+01  -3.97221357e+02  -3.90515726e+02
  -3.85774348e+02  -2.65306001e+02  -3.60116000e+02  -1.94012356e+02
  -3.50188321e+02   3.44021069e-01  -2.20043378e+02]","[ -67.81133725 -379.61307159 -401.9804926  -448.95329424 -238.73161589
 -349.38308884 -193.79025298 -239.66399362 -251.29351187 -378.94698288
   19.85761748 -240.54057693 -112.66491747 -158.58733527 -401.9804926
 -448.95329424 -507.48436613 -193.90730771 -290.51408713]"
