rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[  19.76941099   86.54356196   86.54356196 -156.19089417   86.54356196
 -156.19089417   19.76941099   86.54356196   19.76941099   86.54356196
   86.54356196   86.54356196 -156.19089417 -156.19089417   61.98425503
   86.54356196 -156.19089417 -156.19089417   61.98425503]","[-273.3676558  -313.58007049 -192.7621186  -192.25016952 -329.49883757
 -155.71073612 -229.39741157 -239.19840637 -313.58007049 -203.36396043
 -388.34001808 -112.34538152 -237.41746473 -217.87379545 -239.19840637
 -148.56190288 -184.3154633  -263.36161138 -191.27235903]","[-188.98238167 -248.99091182 -170.43296451 -188.98238167 -180.50286597
 -259.79624772 -141.59939343 -174.65281469 -218.29412839 -134.2423957
 -138.61783202 -355.76313908 -270.90709234    5.21776325 -110.26138944
 -259.25753269 -166.83515624  -87.3727279  -530.74429009]","[-378.83910611 -169.72855643 -240.71509146 -397.32253671 -175.0085778
 -203.7364487  -203.7364487  -133.73506526 -204.12644588 -537.43410178
 -133.73506526 -315.98449131 -281.42750807 -540.32956323 -101.71808472
 -415.85844082 -101.71808472 -185.22143959 -254.19959222]","[ -51.93049757 -200.76902104 -136.27777563 -126.59697491   29.73774745
 -191.27700585 -186.35275213 -207.9090484  -105.47429469 -160.85390997
 -283.81321947 -154.34445936 -202.1289503  -174.57740237 -294.85993966
 -192.26807141 -304.30486637 -283.81321947 -154.34445936]","[ 101.18262069   33.04347966 -102.71988941    8.99360489  166.15804254
  -62.1595898     5.8197149    85.83028201  -35.40550275   -8.97731177
   56.52154641 -178.12989803  -40.21456669   60.26943848  -50.32289798
  -26.11486539  -36.6579046  -151.52613023  -73.75519757]","[ -63.12258573  -62.28015566  -73.45212472  -13.71316454  -19.98747415
   27.66665883  -90.95649723   50.20065989 -193.279994      1.60335587
   13.99823226  105.50215567  -89.58695713  -35.02427897  -43.32636907
  -90.95716152 -128.51795477 -149.76570968   58.41374288]","[-327.58778864  -50.42906171 -170.7152339  -294.614693   -166.53846473
 -116.40231495 -129.9757766  -195.06279646  -40.40839839 -119.28198863
 -287.33999034 -263.96714194  -77.84085332   54.20988162 -318.56687745
  -84.70786055 -188.46730586 -151.70545038 -224.42602649]","[-238.66939093 -125.15735486 -359.06344984 -343.51081095  -96.12785803
  101.90941688 -219.08158012 -171.24270022  -63.04212691 -321.53638288
 -103.77702467 -259.53684078 -205.75465925 -349.05792262  -79.71578697
 -224.01674577 -496.6673931  -270.48724412 -346.58942319]","[-380.30832115 -339.46171372 -412.81652875 -331.1971853  -480.05875768
   99.17019295 -230.93803345 -118.27194841 -307.53944836 -566.27768743
 -377.72477683 -205.91720933 -350.76389435  -21.43242904  109.53398234
 -389.18768488 -120.07564571 -180.45615217   23.74001061]"
"[-123.49333201    9.65970485   58.40253545 -142.85570626 -123.49333201
    9.65970485 -123.49333201    9.65970485    9.65970485   58.40253545
   58.40253545 -142.85570626    9.65970485   58.40253545    9.65970485
   58.40253545    9.65970485 -123.49333201    9.65970485]","[-244.30243407 -252.71365044 -228.36656272 -306.77794002 -166.5974999
 -244.30243407 -146.25886359 -189.73783051 -216.54823261 -194.79639889
 -156.97725971 -105.14804704 -150.17859559 -165.8704783  -376.48715559
 -126.75594895 -139.0494607  -376.48715559 -105.14804704]","[-143.08922942 -230.90926159 -216.3183551  -227.40013396  -36.54631903
 -194.63626254 -130.01909337 -275.72945926 -280.12635549 -135.78623103
 -266.3697342  -216.3183551  -210.45770328 -323.75225722 -335.94365576
 -162.91787703 -150.14775954 -454.59632473 -239.94427143]","[-539.79884882  -87.19749163  -87.19749163 -312.50581186 -378.55678059
  -17.68152327 -304.55920705 -200.94038244 -276.56504263 -342.59572017
 -130.36481864  -82.49803696   -8.68373187 -716.05174374 -216.13032768
 -378.55678059 -236.91412489 -216.13032768 -153.3259046 ]","[-100.50393801 -113.93156621 -178.05069141  -53.2467528   -35.36241404
  -83.16137935 -222.8633077  -197.59021153   19.472908   -182.95418308
   19.472908   -182.95418308  -28.53215328 -100.50393801   40.92869954
  -75.37923006 -134.21013159 -157.58443297  125.37439522]","[ -24.50165564  -29.79602795   54.71505139   24.21882552  -27.70524321
  -71.66342425    9.05889211 -120.81532358  -60.0821289  -126.72058259
  -22.68914238  -48.04249444   -8.75779339    9.23954135  100.387351
 -118.39538069  -49.66522478   15.88621512   69.70004952]","[-216.63958368   98.40932933  -58.45887863  -76.37760281  -16.99334969
    5.31760821   -5.65255333 -140.56296298   79.87706871  -95.33796775
   34.26959313   69.48979477   27.74088996  -35.97668187   95.32868383
 -216.63958368  -72.3112988  -156.94853697]","[-237.95311856 -244.11285048 -147.82281127 -227.89590309  -79.26763653
 -172.36204471 -185.78989829 -196.81863651 -257.89131367   25.05284127
 -176.21928161   64.34719471  -95.92680463 -247.81028114 -382.73149743
 -194.72241003 -236.42578402 -138.36849334 -155.38180416]","[-292.09089259 -288.92843934 -248.87727228 -267.81172452 -317.59048587
 -495.52737395 -255.74333726 -405.60402598 -275.87161272 -192.32860946
 -366.85929844 -373.44641611 -215.91831458 -173.84050233 -309.99753971
  -99.57465592 -270.20648689 -236.13480058]","[-615.91483307 -126.69409663 -478.68972764 -160.12683863 -260.76907959
   -4.83443316  -34.3578568  -310.88697769 -325.4800781  -168.58044069
 -403.19520923  -73.54811506  -81.85620408   18.66067175  -71.5627791
 -206.95654163 -230.59951313 -334.20235939  -86.58390881]"
"[  16.57807525  -42.04268484   21.79287549 -144.00559724   16.57807525
  -42.04268484   21.79287549 -144.00559724  -42.04268484   21.79287549
   16.57807525  -42.04268484   16.57807525   16.57807525  -42.04268484
  -42.04268484   21.79287549  -42.04268484   21.79287549]","[-302.37064301   19.28747793 -185.89709494 -207.34837337 -229.81714312
 -150.74987368 -215.69490398 -231.85819751 -276.22665086 -185.89709494
 -349.24105102 -171.864685   -150.74987368  -84.15348012 -302.37064301
 -319.7380984  -177.91205706 -256.35914351 -211.11334118]","[-378.36542526 -183.00726998 -179.52049644 -373.12710136 -121.69312175
 -255.83977268 -218.84755071 -179.52049644 -209.32806649  -39.54234838
   -5.20656964 -139.30303136  -91.64354908 -142.89706898 -496.94513829
 -275.18402942 -145.90026606 -193.73172967 -227.62211882]","[-343.59091455  -71.35915688 -136.88951702 -512.11091551  -62.48713995
   55.48775561 -220.51930539  -73.64631455 -286.22210619 -447.28618394
   55.48775561 -239.04790137 -144.12641494 -492.3772226  -309.7236096
 -457.41231429 -506.68384509 -333.98090233 -144.12641494]","[ -94.36739557 -191.4084374    82.44549006 -220.50950385 -151.64304961
 -272.58437883  -62.27904326 -270.60834967 -149.81887339 -128.47842075
   47.39382296  -98.28554762  -96.86709396   42.16371873 -128.47842075
  -89.82235798  -93.54938767   47.39382296  -98.28554762]","[ -3.49543105  80.42867677  12.29000928 -14.42416641  70.51380398
 -32.28480379 -40.34429139   8.51664531  46.15697709  64.1873069
 -26.05127834 -97.47061334  65.89678981 -58.23533442  15.52786089
 -29.1978115  -86.38327277 -67.77998782  -5.9084783 ]","[  -0.35261761  -31.89451369   60.92309644   -6.27701768 -103.39879685
   16.30208599   86.32731585  143.68269357    7.91377733 -219.78653776
 -181.45355549  -35.39702243  -40.0738548  -186.30118645   69.00976523
   86.32731585  -66.15977903  166.54087546    0.36780909]","[ -64.92594657 -174.42269012 -227.14667703 -144.69821991  -93.36967541
   -9.75107142  -92.5325513  -247.45455329 -193.1938815  -140.19632383
 -128.55063751 -255.70890805 -201.33272117 -114.52488129 -298.35799265
 -287.78447041 -117.93218946 -155.53830997 -304.957429  ]","[-237.08515486 -213.6478778   -45.35435681 -304.20666063 -343.77961858
 -295.62431594 -144.15048248 -250.23820714 -228.45725082  -66.02466215
 -192.13135418 -193.59288092 -257.74921438 -303.27981314 -413.38457636
 -336.33839801 -266.77568499 -282.00283483 -472.29706393]","[-350.35253814 -217.28012016  -39.14985879 -288.26891184 -234.67027432
 -122.99169366 -255.46142292 -224.09245581 -250.36904257 -382.1816428
 -399.76049018 -195.69018745 -173.22785313 -410.16741065 -397.74502934
 -350.98094743  -16.88268354 -299.09169609 -550.2868905 ]"
"[ 57.27457045 -31.13729808 -73.46313786 -27.12797042 -71.42649158
 -73.46313786 -31.13729808 -71.42649158 -73.46313786 -27.12797042
 -71.42649158 -73.46313786 -71.42649158 -73.46313786 -31.13729808
 -31.13729808 -71.42649158 -31.13729808 -71.42649158]","[-281.47013783 -261.89488044 -105.20434049 -311.95973265 -140.76788201
 -234.56788749 -263.23430295 -117.93539316 -261.89488044 -175.51952115
 -311.95973265 -163.0150583  -117.93539316 -358.26473723 -238.02355103
 -131.46330349 -210.58056097 -315.51738064 -193.72068751]","[ 195.58988377 -276.91422825 -305.97674347  -70.51581697 -182.60873296
 -199.7552787  -163.28322542 -249.91552177  -61.41070194 -243.37960886
 -223.5668533  -377.54498634 -268.19267417 -293.9085196  -464.28200734
 -293.9085196   -32.37965323 -171.45159026 -245.83227153]","[-311.57036205 -515.91109415 -459.19470479 -111.27150147 -309.95022421
   -5.69540111 -134.82239033 -362.09803841  331.52116438  103.42126935
 -111.27150147 -343.36719071 -474.78217232 -134.82239033 -363.04725056
 -231.18431703 -273.32679955 -384.74775773 -253.41076887]","[-217.99820246  -68.5891693   -77.35210117  -79.98703023 -111.56026134
 -118.6349562  -184.05944194 -204.29015007 -238.3259565  -103.76901195
 -256.65558352   87.12472305 -111.56026134 -121.95515031  -43.95257388
 -118.6349562  -184.05944194  -85.82416437  -97.77300215]","[  38.22558336   46.34967647   11.4340701    39.17430714   92.75399091
  -23.64226528   14.32228334   -9.63200807   93.52416589  -70.9556714
  -67.81642601   12.60502574    2.07717793  -86.89300336   65.62180627
  -13.56732041 -155.56612178   48.15099211  143.31302592]","[ -62.60043467   83.72854967  -16.14487094 -113.80363288  -79.43756448
  -37.67241878  -80.19138321   91.04704791 -147.18429061 -128.92878886
  108.00374769  -62.60043467  -11.34660836  -74.6479133    34.408828
  -63.11973989   67.87880049   35.08630732  -43.47293555]","[ -97.66246643 -187.83526953 -120.94772596 -192.01272731 -252.47690553
 -249.24579472  -62.72165858 -208.80239204  -34.10546698  -98.6352404
   65.90585087 -348.50196527 -186.30436787 -228.88873385 -150.03454457
 -284.62940597 -146.05573557 -178.48852365 -175.2462784 ]","[-322.83511045 -256.65099184 -352.02682951 -459.7386797  -299.60802845
 -137.14622675 -352.20229645 -169.7590735   -60.94415949 -365.02730967
 -254.91490109 -223.05262015 -227.38356693 -212.99844322 -212.60714979
 -336.68462908 -243.45461953 -222.43045369 -203.35914076]","[-404.33211785 -216.77698524 -249.51888377 -181.94035061 -438.63764729
  -64.11488342 -234.79146883 -536.62120986   17.66666163 -150.76513502
 -231.61227264 -219.35081804 -141.35541182   27.21355122 -315.2234262
  -31.69962001 -347.27081592   78.8262381  -229.70053414]"
"[  37.60698994 -191.07653698  -18.05758657  -52.81708006  -91.29740758
   37.60698994  -91.29740758  -52.81708006  -91.29740758  -91.29740758
   37.60698994  -52.81708006  -91.29740758  -52.81708006  -91.29740758
  -18.05758657  -52.81708006   37.60698994 -191.07653698]","[-325.99606026  -68.71414671 -170.86654896 -261.36385037 -261.36385037
 -173.41525723 -217.41311051 -324.481507   -325.99606026  -68.71414671
  -95.52970867 -192.8522157  -119.68217399  -43.47533269 -250.75904625
 -265.21956523  -43.47533269 -171.67348842 -217.04065763]","[-110.06601108 -180.21102752 -126.20984916  -77.14061723 -142.7828096
 -187.00968067 -118.81046072 -257.75663735   92.32177718  -24.27294282
  -18.59183605 -165.82418988 -138.73346397   29.71771716   92.32177718
 -111.23499105 -319.9485433   -79.44633531 -246.61156296]","[-451.49069002 -355.5064855  -279.89820056 -457.19832536 -427.05519793
 -134.24495154 -441.91049625 -460.10851777 -457.19832536  -31.15050985
 -324.78662728 -230.44643995  -53.93437824  -69.2164696  -249.07241143
 -514.48038644 -441.91049625  -72.13245733 -253.83284652]","[-210.20944112 -218.82468048   17.98831337 -199.6460033  -152.42126447
 -220.20840609 -172.31070159 -123.28090353 -210.20944112 -218.82468048
    9.01432799  -31.30809674 -152.42126447  -56.18533856 -265.54441411
   30.16464465 -129.05891829]","[ -24.901766      3.54316157  -95.15674364   39.25884825 -113.03675472
  108.58809924  159.80003694 -114.19607699  -50.13945346 -102.50491128
  -47.43030368  156.28462938  -67.73893424  131.91803505  -49.06133241
   45.76903596 -137.79742771  -77.24102098 -121.14781656]","[ -52.90648029  -46.16030677   21.44742971   21.27787472   33.80319107
   56.75239046  -70.85616272   33.87922532   56.75239046 -133.20096737
 -101.20893318  115.48324772  168.2334427   -12.32332392  -51.70351498
   39.03800749 -155.78908558  102.41111926  -58.81204271]","[ -40.42869152 -146.42845708 -169.09965509 -307.35890223 -280.42472263
 -129.58737469 -209.89034338  -28.77165152 -285.05153277  -88.75918586
  -60.65796324 -236.81680054 -126.80077247 -174.90184247   17.52536048
 -180.26345912 -154.6476636   -74.42426154  -78.07811821]","[-145.98473745 -319.57610999 -251.64008125 -327.8815309   -24.04971905
 -234.67378584 -395.56733182 -253.94514292 -195.62571673 -151.07811939
 -173.08825141 -412.2674394  -286.9171287  -337.23657548  -38.73275057
 -366.59121858 -302.31031519 -330.73426175 -185.63148547]","[-450.10911496 -124.05534441 -538.54950277  -25.37496286  -83.0838184
 -174.58506073 -187.02676068    4.22750796 -290.44335476 -172.50544755
   31.52392388 -320.75413903 -131.15236844  -67.15847145   75.16118834
 -205.72965853 -186.99388862 -193.40941178 -169.53651812]"
"[-104.40761456    9.99475044  -56.21651122 -104.40761456   33.83852969
   40.20237478    9.99475044   33.83852969 -104.40761456    9.99475044
   33.83852969   40.20237478  -56.21651122 -104.40761456    9.99475044
    9.99475044   33.83852969 -104.40761456    9.99475044]","[-185.47145612 -211.27012306 -241.81550284 -146.00060564 -138.82812496
 -243.73307499 -194.6912025  -153.54711089 -180.49151417 -185.47145612
 -148.15704279 -180.49151417 -264.01971724 -187.86990407 -152.03018098
 -194.6912025  -264.01971724 -233.37043537 -146.74881037]","[ -62.58565264 -113.3339901   -51.55059927 -153.24856818  -75.71129838
 -107.35333296 -164.97792349 -102.8233378   -80.37701557  -25.52791145
 -116.79370038  -71.77843547 -179.65423495    4.05741163  -58.71866335
 -113.3339901   -51.55059927 -322.68455513  -84.81628871]","[-230.02797996 -297.01997663 -265.86964462   -3.43314873 -341.75648438
 -264.72462568 -372.88424085 -301.34833915   38.96124281 -230.02797996
 -268.83307179 -450.57541049 -130.10181862 -245.25830617 -245.25830617
 -233.71996751 -552.21197457  -84.16578138 -201.36369862]","[ -32.88058248 -140.8201541  -274.84970759 -237.29857213 -129.59749378
 -107.37746037 -114.57047247  -14.04002792 -115.80227545 -117.25487536
 -140.31066969  -82.30452539 -117.28449665 -222.35851534 -237.29857213
 -147.52314043 -255.3417736   180.27740205 -115.80227545]","[ -65.62032317  -20.59091979  -76.22705047  -83.34813382   19.34869185
   45.06400836 -195.65379208   29.69299656   36.90944584   95.95666311
 -109.47453996  -47.79724587 -230.59503656    9.94037918  -16.60622019
   15.27775687  -99.31920208  164.88832394  -53.31119138]","[-166.91154334 -109.8228569  -127.57666808   -8.07238096   -7.48584609
 -106.44155482  -10.44706912 -121.71777046   -5.05500602 -102.70540883
   -8.07238096  -61.48152593 -126.78456101  -43.4922909  -195.3191747
   39.07696167   66.49214193   -4.60053095   -7.34588085]","[-131.80090465  -85.40755088  -47.72054624 -249.34092758 -139.09424813
  -42.99667195 -254.98179918 -118.24401728    4.80224072  -40.15120885
  -94.32675129  -95.10263868   21.05062668 -240.16982742 -198.51574811
  -20.42642413 -146.58117777 -118.08844705 -214.45775322]","[-224.02652041 -223.49519647   51.54285782 -153.38709276 -175.38493446
 -241.28903652 -321.22919191 -330.11813611 -226.38855651 -201.61835891
 -190.72789639 -313.92141843 -167.97418818  117.18309934 -323.64810663
 -252.04172609 -389.3732614  -292.66471091 -376.79200126]","[ -46.27170434 -179.29636541   -1.36445079    8.18949681 -360.40249038
 -223.62299993 -128.64412769 -158.11327292 -653.19231117  -99.43994991
 -348.4436751  -568.72731546 -260.28199584  -48.02345487 -361.68741559
   46.78481258 -439.34669156 -106.35742832 -307.90783913]"
"[ -60.64147348  -56.73661899  -80.78957289  115.42653939  -80.78957289
  115.42653939   52.86140009  -80.78957289  -56.73661899   28.06339915
   28.06339915   52.86140009   28.06339915   52.86140009   52.86140009
  -80.78957289   28.06339915   28.06339915   52.86140009]","[-261.52361165 -165.32250464 -215.98453962 -180.92972848 -163.84523725
 -129.43786825 -129.43786825 -190.14532234 -199.97434319 -194.51257341
 -226.93117441 -261.52361165 -263.48147238 -199.97434319 -194.51257341
 -247.5413142   -15.94537978 -215.88893144 -136.11463618]","[-155.22363642 -255.02647338 -264.65911289 -212.08093196 -310.37918625
  -55.27024436 -203.39250901  -32.98696086 -187.00256065 -207.3035911
 -226.92242297 -254.56897392 -141.10427522 -174.4402857  -180.33283194
  -28.24686243 -161.78537906  -45.57918195 -310.37918625]","[ -20.32726222 -235.70741067 -138.90749667 -323.2808005  -392.06761823
 -371.31625939 -241.59255628 -392.06761823 -371.29773565 -122.9548138
 -192.97471576 -416.94069416 -118.13764777 -324.52127242 -583.04734794
 -323.2808005  -288.52341313 -200.19935453 -137.80730455]","[ -43.05433836 -134.49426417 -105.96944013 -245.32665135   62.98640053
  152.02522343  -49.27759156  -82.33838495 -165.09035578   17.40593222
 -133.40443916  -60.59702343 -134.49426417  -64.33744804 -106.65842987
 -333.89709819 -131.80827799  -66.66784523  -32.91913561]","[  32.43767691   38.71706251   34.10325317   75.9749967   -22.43825123
  -66.3450864   143.74027499   89.89125324    9.95513692   -7.87347071
   -4.14898762   29.36177889   79.29150206  -63.89132267  122.18486867
  119.00234298  -59.1576852   -49.637515     79.04776217]","[ -39.82184497  -40.36430228  105.84785241   70.53319584  -53.60843149
 -171.88790453   45.3647278   119.76863491   -9.33906317  -54.32130117
   15.21221864   92.13147395   35.68375162  -29.78860764  -75.20519711
   15.21221864    9.65984064   55.3694025    63.0798778 ]","[-299.96670479 -182.99491349  -59.64725185  -30.92327594  -98.07516815
  -66.68004688  -89.67152273   -4.35668003 -230.45983626 -267.27960952
 -114.948943   -220.32360787  -62.00676017 -212.37681317 -261.79970077
  -94.64232542  -58.6925943  -174.30766485 -241.54864381]","[-181.65400019 -222.21331807 -242.62672394 -289.3193099   -97.18712845
 -436.17889869 -296.79411205 -327.04425334 -239.28230412 -236.24301946
 -210.78976675   54.75452723 -159.47650724 -162.48680385 -279.80885399
 -414.43300719 -174.05065128 -299.39699895 -169.88187307]","[-326.46532616 -191.85698428 -312.34642472   57.67196119 -223.3915861
 -196.74081848  -22.26052915 -237.66762449 -269.30372365 -267.3614014
 -138.55510951 -267.45448776   59.28222829 -123.14561401 -219.92821683
 -185.54444677 -217.38365206 -160.44451876 -123.59844881]"
"[  47.28977899 -210.88207247   72.06651174   36.85437728   36.85437728
   21.49704097   20.17744036   47.28977899 -210.88207247   72.06651174
   72.06651174   36.85437728   36.85437728   21.49704097 -210.88207247
   72.06651174   47.28977899 -210.88207247   72.06651174]","[-252.61135959 -124.91897525 -124.31073683 -150.10887434 -130.07488499
 -179.4723676  -147.93278091 -130.07488499 -150.52265468 -320.06001144
 -162.71071469 -174.25601261 -157.81608222 -199.28429986  -65.37353586
 -204.52726844 -174.25601261 -150.52265468 -150.10887434]","[-271.0213754  -258.7079846   -44.40685128 -109.96428054 -197.25504989
  -66.61723592 -258.7079846  -194.81111132 -251.85756188  -97.08563974
 -223.89827407 -203.50052478 -173.43006086 -242.63912829  -70.52051564
 -153.42723715  -71.66001244 -200.57228555 -218.76731675]","[ -32.01825424 -322.70453087 -359.87186434    2.27597851 -297.28887539
  -64.84670552 -276.65458823 -247.72975711 -267.61649159 -306.58179052
 -203.82601049    2.27597851 -246.62092078 -345.87248942 -314.32884962
  -64.84670552  110.60612292 -547.38937512 -331.73691519]","[ -94.08242355 -338.86059815  -97.98690085 -105.06721156 -210.36618798
   32.11418649 -294.93015996  -67.32809127 -128.11501741 -147.55497271
 -157.0986121  -280.2799387  -110.94623405   56.91325107 -191.26165217
 -132.89212638 -195.38784956 -221.53421053 -127.07405455]","[ 149.61425043  121.92096883   26.07239841   31.47172178   32.44875817
   76.30698867  -53.37469836  166.60469613    8.22982831  157.21532112
  -13.26560825  220.70992066   71.27872001   33.58776432  159.25469504
  116.39816549  132.49015505 -132.99000859   41.26688316]","[  22.06485154   47.24335601 -110.61109414 -107.66274723   56.12015255
  118.70028659   77.8223543  -110.61109414  -92.57059484  -32.30811988
   85.50836033  -66.94992793  -75.07352683    2.10795903   22.08905779
   31.25197864  -26.15388416  108.33798706   42.97424224]","[-219.52980274 -275.21486504 -110.72929489 -172.87092671 -170.42873974
 -211.05594447 -136.04245576 -197.63165641   36.32044305 -130.47141027
  -74.34587594 -136.47122371 -341.5285202  -196.62134214 -172.22561679
 -216.80604515 -135.71287153 -103.51570875  -74.25124197]","[-192.90268112 -389.25720085 -188.28419466 -351.44418443 -169.69544612
 -229.17775362 -217.54710998 -231.81929282 -118.18262143 -276.90264414
 -284.77945364 -133.96090245 -315.07621236 -507.35656936 -254.24146954
 -391.7806318  -175.17838539 -232.98239553 -320.69113481]","[-279.50268702 -221.83999218 -241.41547608 -239.41874216 -266.10075044
  -30.42456229 -220.03603138 -255.7340518   -56.89685888 -154.6868464
  -91.34701774   72.0738975   -95.81410198  -83.91483862 -397.13343027
 -118.39951448  -91.89252677   57.78706279  -75.28752025]"
"[  37.81021837  -96.3525331    37.81021837  -96.3525331    77.73706227
   11.69757858 -128.71552541   59.80760486   59.80760486   77.73706227
   11.69757858   11.69757858   37.81021837   77.73706227   11.69757858
   77.73706227   11.69757858 -128.71552541   59.80760486]","[-160.42471751 -193.14366885 -140.80409426 -160.49635581 -160.42471751
 -193.14366885  -96.45750701 -260.47659492 -167.43075208 -199.661223
 -148.13622488 -260.47659492 -140.80409426 -186.47162595 -283.00433766
 -214.11007433 -199.661223   -113.4973001  -241.45757302]","[ 217.22243249  -56.39278553  -38.17464471  -27.5381623   -56.21980192
  -64.92315399 -147.93411836 -124.18272276  -93.24452169 -294.67753152
 -135.16547642 -103.34910461   -5.96041684 -212.71082186 -184.83669438
 -184.83669438  -93.23758191  -77.8119527  -110.01930314]","[-353.38314547 -244.26919141 -283.41956628  -80.37625001 -137.66248847
   36.79519296 -215.45882837 -148.43702016  117.62953336 -137.66248847
 -229.86031519 -412.83740121 -205.84209824 -346.14658173 -235.21557771
 -116.06429462 -352.18558226 -401.23342653 -248.01074813]","[-169.22504909 -193.96040104  -48.75502459 -126.44382084  -33.47045968
 -232.59335538  -78.60190138  -26.2821855  -245.8668219  -219.33795534
 -180.31687303 -255.07431746  -76.96134676  -75.53778436 -172.5682359
 -210.39247348 -194.80042113 -280.91125102]","[   2.92887711   -6.03922744   49.59137199  -83.37407619   94.80917279
 -103.83974642  200.1041626   -89.40969636   16.50718121  110.34786673
  -76.18206496    7.75065942   20.52793154   81.00161248    7.06386987
   81.8094942     3.95321025   94.47387467  -42.07671783]","[-158.25590492  -96.88437829   92.83449356   68.82505024 -126.36884101
  -83.23604018  -29.25831256  107.98524149   68.4136078     7.43134462
   -6.42953455  107.4303463     7.74463615   -4.32567165  -14.58594309
   16.66420906 -104.52608856   47.24252238  -80.05601147]","[ -96.074688     22.33795212 -208.40346936   34.39495202  -34.81829289
 -162.5815587  -169.13989062  -17.09288726 -116.69026868 -194.70885357
 -224.05431355  -70.31366876  -58.58817604 -241.48218132 -153.26780239
   14.14533471 -168.72521143 -152.62432998  -85.72363854]","[-238.90299129   13.13912301 -209.77147684 -125.90555329 -298.18184048
 -211.19786694 -285.03958958 -219.3369713  -171.97367959 -323.32854502
 -154.26384619 -249.79158256 -268.58066327 -222.1373337  -379.58164116
 -163.00216663 -133.87884863 -127.45261564 -219.30029469]","[-340.26155538  -90.34266857 -180.15112829 -159.98118542 -248.79957405
 -274.13233549   56.26346605  -56.42656685 -350.59994876 -331.35683939
 -265.44769569 -278.76303169  -15.09287114 -179.07190391  197.89129968
 -138.74165389   81.32674228 -308.08147959 -297.40641147]"
"[ -41.73767465 -112.86489414  -46.6697988   -45.38869583  -41.73767465
 -112.86489414   69.00324969  -69.38726741  -46.6697988   -45.38869583
   69.00324969  -69.38726741  -69.38726741  -46.6697988   -46.6697988
  -45.38869583  -45.38869583  -46.6697988   -45.38869583]","[ -61.31870513 -268.26638611 -191.68062775 -235.92566165 -106.44529393
  -22.13118036 -216.99109038 -208.91733896 -132.69333563 -140.25275519
 -132.69333563 -140.25275519 -103.76854753 -214.69663344 -142.6445989
 -208.91733896 -122.74915199 -268.26638611 -106.44529393]","[ -78.28898423   25.27749447   80.67178929   -5.54462028 -185.92829994
 -124.89925066 -124.05595511 -229.44398963 -179.20304805  -16.23589637
   60.53350874 -124.05595511  -65.50192399   24.86194892 -219.68146992
 -121.38648525  -67.5554021    63.00625569 -168.76095152]","[-243.08162875 -117.9655957  -235.11728234 -124.76846694 -710.72214585
 -114.48716174 -186.77886882 -498.9656603  -405.78334729 -158.33110182
 -322.04328611   -6.47336738  126.63344412 -238.52991458   -6.47336738
 -157.21239773 -213.69236537 -285.12605137  224.92255089]","[ -87.07478317 -174.25885847  -76.07470619 -163.23479229 -153.44679308
 -105.04284228  -65.42335047  -58.76180425  -93.68669895 -245.54270549
 -177.22108682 -161.69916888  -69.43003246   23.47556633  -47.14260861
 -211.40602637 -161.12727416 -226.51282042   46.22403325]","[ -50.1262609    21.03791352   65.45795268  130.85704058  -50.91358938
  -52.13158037   25.1031325   -50.15557403   25.01696338  157.31443385
  -94.02715264   52.95127686   78.49723355  149.58847729  223.80134331
    7.9489646  -124.32839781  -36.58018316  -80.19387529]","[ -76.05721129  -33.53515657   41.78756485  115.83629914   57.84379429
  -93.21097098  -14.92576959  -54.68816036   58.44616978   61.63063549
  -68.44661108  104.06468179  124.43287503   73.93291576  -95.73412478
  -68.77576241    3.49160154   91.71240917  -88.85698475]","[-188.66340558   42.22334937  -41.58952511 -288.398163    -55.53780938
 -140.29431932 -270.21325017 -121.97662305 -189.40124008  -42.76383078
 -153.54894965 -125.20410812  -98.88652096 -141.08119346  -89.44264619
 -140.14634003    4.2576654   103.32854483   -6.34391346]","[-224.72326888 -273.77694993 -291.41020266 -417.75864869 -144.70786566
 -194.12190224  -50.90778871 -211.0217206  -177.60477062 -164.08906895
 -320.16395372 -133.31341464 -238.85846337 -180.23096022 -197.90538507
 -143.84444538 -263.79881553 -283.92613866   78.8623443 ]","[ 134.49931268 -348.63632226 -235.19653587 -392.02248424 -200.33316749
  -55.33922731 -209.38855487 -245.91812482 -347.90363463  -31.70621026
 -176.05504645 -406.00178003 -203.14371252 -271.93768326  -50.72359633
 -283.64882207 -349.45692136 -143.80561484 -132.31149714]"
