nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
18.0,2.0,4.0,4,4.0,19.0,4.0,5.0,8.0,5.0
17.0,3.0,19.0,1,3.0,10.0,15.0,6.0,19.0,7.0
19.0,6.0,19.0,3,3.0,9.0,19.0,5.0,5.0,6.0
19.0,3.0,12.0,19,4.0,1.0,3.0,4.0,19.0,7.0
15.0,2.0,12.0,3,11.0,3.0,9.0,3.0,6.0,3.0
17.0,9.0,17.0,3,4.0,5.0,11.0,13.0,5.0,2.0
19.0,7.0,5.0,1,19.0,7.0,7.0,5.0,4.0,4.0
19.0,5.0,19.0,1,1.0,2.0,4.0,19.0,8.0,8.0
11.0,5.0,8.0,11,3.0,2.0,13.0,19.0,11.0,6.0
19.0,8.0,2.0,2,10.0,2.0,3.0,7.0,2.0,1.0
4.0,5.0,1.0,2,8.0,9.0,10.0,1.0,11.0,1.0
1.0,7.0,1.0,6,3.0,2.0,5.0,8.0,4.0,3.0
11.0,15.0,4.0,2,11.0,5.0,6.0,5.0,6.0,11.0
19.0,12.0,3.0,2,19.0,1.0,9.0,2.0,14.0,12.0
8.0,16.0,4.0,1,3.0,2.0,1.0,4.0,2.0,14.0
2.0,3.0,5.0,19,2.0,3.0,6.0,1.0,3.0,15.0
17.0,13.0,13.0,17,7.0,1.0,4.0,8.0,2.0,13.0
6.0,3.0,9.0,1,6.0,19.0,3.0,3.0,1.0,1.0
19.0,1.0,2.0,2,1.0,12.0,5.0,4.0,5.0,1.0
19.0,2.0,1.0,1,19.0,5.0,5.0,1.0,2.0,1.0
7.0,9.0,2.0,9,3.0,3.0,3.0,7.0,5.0,7.0
6.0,2.0,1.0,2,1.0,4.0,16.0,3.0,13.0,13.0
3.0,1.0,4.0,8,3.0,4.0,1.0,4.0,2.0,3.0
8.0,2.0,5.0,3,1.0,2.0,1.0,1.0,6.0,2.0
19.0,5.0,1.0,1,5.0,9.0,5.0,12.0,5.0,4.0
10.0,10.0,3.0,6,14.0,3.0,7.0,5.0,11.0,10.0
3.0,19.0,6.0,1,2.0,1.0,1.0,13.0,1.0,1.0
1.0,1.0,2.0,7,3.0,1.0,5.0,6.0,2.0,8.0
2.0,8.0,4.0,3,10.0,4.0,7.0,1.0,1.0,19.0
19.0,4.0,3.0,2,4.0,3.0,6.0,4.0,3.0,11.0
6.0,6.0,12.0,1,6.0,2.0,4.0,1.0,1.0,1.0
15.0,2.0,11.0,1,3.0,6.0,1.0,1.0,3.0,1.0
2.0,3.0,2.0,1,3.0,1.0,1.0,1.0,5.0,1.0
3.0,6.0,1.0,5,7.0,5.0,5.0,2.0,4.0,3.0
2.0,2.0,8.0,4,4.0,1.0,6.0,1.0,1.0,2.0
2.0,1.0,3.0,10,3.0,1.0,1.0,2.0,6.0,1.0
13.0,8.0,2.0,5,11.0,2.0,5.0,1.0,3.0,18.0
8.0,7.0,2.0,2,4.0,11.0,8.0,1.0,1.0,1.0
13.0,6.0,1.0,2,12.0,2.0,2.0,12.0,6.0,5.0
9.0,5.0,2.0,1,1.0,1.0,1.0,2.0,2.0,2.0
13.0,11.0,1.0,2,6.0,8.0,2.0,2.0,5.0,2.0
4.0,16.0,2.0,3,1.0,2.0,1.0,1.0,1.0,5.0
19.0,2.0,3.0,6,1.0,4.0,1.0,2.0,1.0,2.0
8.0,3.0,2.0,2,2.0,2.0,3.0,3.0,1.0,8.0
19.0,4.0,2.0,2,2.0,2.0,4.0,1.0,6.0,1.0
4.0,3.0,1.0,4,3.0,2.0,19.0,10.0,5.0,1.0
6.0,6.0,4.0,9,1.0,6.0,1.0,1.0,1.0,1.0
5.0,1.0,2.0,1,1.0,2.0,3.0,4.0,3.0,7.0
19.0,2.0,5.0,2,2.0,11.0,2.0,3.0,7.0,1.0
16.0,3.0,1.0,6,5.0,9.0,8.0,1.0,4.0,4.0
2.0,2.0,1.0,4,6.0,6.0,1.0,3.0,3.0,2.0
4.0,6.0,1.0,2,7.0,5.0,1.0,1.0,3.0,3.0
5.0,1.0,1.0,1,4.0,3.0,2.0,2.0,6.0,16.0
3.0,10.0,1.0,1,1.0,1.0,1.0,1.0,9.0,5.0
4.0,4.0,4.0,4,5.0,2.0,4.0,9.0,4.0,4.0
1.0,1.0,7.0,5,2.0,1.0,6.0,1.0,5.0,2.0
5.0,1.0,1.0,1,4.0,2.0,1.0,2.0,1.0,2.0
