nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
19.0,19.0,19.0,18.0,19.0,19,10.0,19.0,19.0,19.0
19.0,19.0,6.0,8.0,17.0,19,3.0,19.0,1.0,19.0
19.0,19.0,19.0,11.0,7.0,3,19.0,1.0,18.0,4.0
19.0,19.0,19.0,19.0,8.0,6,1.0,4.0,13.0,2.0
19.0,3.0,16.0,19.0,1.0,19,19.0,12.0,16.0,19.0
19.0,13.0,19.0,19.0,3.0,19,6.0,19.0,3.0,19.0
9.0,19.0,19.0,19.0,12.0,19,3.0,6.0,7.0,10.0
19.0,19.0,1.0,19.0,8.0,19,19.0,16.0,2.0,2.0
19.0,19.0,19.0,19.0,10.0,19,19.0,3.0,5.0,19.0
19.0,19.0,19.0,5.0,19.0,2,3.0,19.0,19.0,19.0
19.0,19.0,3.0,19.0,5.0,19,19.0,19.0,17.0,18.0
9.0,19.0,5.0,19.0,19.0,19,11.0,19.0,2.0,19.0
19.0,19.0,19.0,8.0,4.0,2,1.0,6.0,3.0,16.0
19.0,19.0,19.0,19.0,19.0,19,2.0,19.0,4.0,2.0
19.0,19.0,19.0,19.0,19.0,2,2.0,1.0,19.0,19.0
19.0,6.0,19.0,19.0,19.0,1,1.0,19.0,10.0,19.0
19.0,19.0,5.0,19.0,9.0,19,19.0,19.0,10.0,2.0
19.0,15.0,4.0,19.0,19.0,2,1.0,9.0,19.0,19.0
19.0,19.0,1.0,19.0,2.0,19,18.0,5.0,19.0,4.0
19.0,19.0,19.0,19.0,19.0,7,3.0,18.0,8.0,19.0
19.0,19.0,19.0,19.0,3.0,19,19.0,19.0,5.0,19.0
19.0,19.0,19.0,19.0,12.0,19,19.0,19.0,9.0,15.0
19.0,19.0,2.0,19.0,19.0,5,2.0,2.0,4.0,5.0
2.0,19.0,19.0,19.0,19.0,1,6.0,19.0,19.0,1.0
13.0,19.0,19.0,19.0,19.0,1,19.0,19.0,7.0,12.0
19.0,19.0,19.0,18.0,6.0,1,17.0,5.0,19.0,1.0
19.0,19.0,19.0,19.0,6.0,6,19.0,19.0,1.0,2.0
19.0,19.0,19.0,19.0,19.0,1,19.0,19.0,1.0,19.0
19.0,19.0,19.0,16.0,5.0,19,19.0,4.0,3.0,19.0
19.0,4.0,19.0,1.0,1.0,2,19.0,19.0,19.0,15.0
19.0,5.0,15.0,19.0,8.0,11,5.0,2.0,1.0,1.0
19.0,12.0,19.0,19.0,9.0,1,19.0,3.0,14.0,19.0
19.0,6.0,19.0,19.0,5.0,2,1.0,3.0,7.0,11.0
19.0,2.0,5.0,1.0,4.0,4,7.0,2.0,19.0,19.0
19.0,5.0,19.0,5.0,19.0,19,19.0,2.0,11.0,19.0
19.0,19.0,10.0,6.0,19.0,4,19.0,17.0,8.0,1.0
19.0,2.0,19.0,14.0,5.0,3,4.0,19.0,1.0,19.0
19.0,19.0,19.0,1.0,3.0,2,8.0,12.0,19.0,19.0
7.0,19.0,3.0,3.0,19.0,19,12.0,19.0,1.0,19.0
12.0,19.0,6.0,9.0,19.0,19,2.0,4.0,3.0,3.0
9.0,19.0,4.0,19.0,19.0,6,7.0,19.0,19.0,19.0
3.0,10.0,1.0,19.0,19.0,19,19.0,1.0,19.0,6.0
10.0,19.0,8.0,19.0,19.0,7,19.0,2.0,19.0,2.0
19.0,19.0,10.0,16.0,19.0,19,14.0,19.0,19.0,1.0
19.0,19.0,19.0,17.0,7.0,19,6.0,4.0,5.0,19.0
19.0,19.0,19.0,8.0,19.0,14,6.0,1.0,10.0,19.0
14.0,19.0,19.0,19.0,19.0,5,16.0,19.0,19.0,3.0
19.0,8.0,12.0,19.0,19.0,1,11.0,1.0,19.0,2.0
19.0,19.0,1.0,19.0,13.0,19,19.0,19.0,19.0,11.0
9.0,19.0,19.0,15.0,2.0,1,19.0,16.0,19.0,9.0
3.0,7.0,19.0,1.0,1.0,7,19.0,19.0,7.0,7.0
19.0,1.0,19.0,19.0,19.0,1,14.0,19.0,19.0,1.0
19.0,19.0,19.0,19.0,2.0,19,19.0,19.0,19.0,19.0
4.0,19.0,19.0,3.0,19.0,1,5.0,6.0,2.0,8.0
1.0,19.0,2.0,19.0,19.0,3,19.0,2.0,3.0,5.0
5.0,19.0,19.0,19.0,8.0,19,19.0,17.0,19.0,11.0
7.0,8.0,19.0,19.0,10.0,19,2.0,2.0,19.0,19.0
19.0,19.0,19.0,19.0,1.0,16,19.0,19.0,19.0,19.0
19.0,19.0,19.0,1.0,1.0,5,4.0,1.0,1.0,19.0
15.0,19.0,19.0,2.0,19.0,19,19.0,19.0,19.0,9.0
5.0,19.0,19.0,1.0,1.0,19,2.0,1.0,19.0,1.0
19.0,19.0,19.0,19.0,9.0,2,1.0,19.0,3.0,19.0
19.0,19.0,19.0,19.0,19.0,19,19.0,19.0,4.0,19.0
19.0,1.0,19.0,3.0,6.0,2,4.0,16.0,17.0,19.0
19.0,19.0,3.0,3.0,2.0,19,2.0,19.0,17.0,19.0
19.0,19.0,19.0,19.0,2.0,19,7.0,6.0,11.0,19.0
19.0,12.0,2.0,1.0,19.0,2,2.0,17.0,19.0,1.0
19.0,11.0,19.0,1.0,19.0,16,19.0,5.0,1.0,7.0
19.0,19.0,5.0,2.0,9.0,19,19.0,19.0,10.0,19.0
19.0,19.0,11.0,19.0,3.0,19,19.0,1.0,15.0,19.0
19.0,19.0,19.0,19.0,19.0,19,3.0,19.0,3.0,6.0
19.0,19.0,19.0,19.0,19.0,1,4.0,16.0,19.0,1.0
19.0,19.0,2.0,1.0,10.0,1,1.0,12.0,1.0,7.0
19.0,6.0,19.0,19.0,19.0,17,19.0,19.0,1.0,19.0
19.0,19.0,8.0,1.0,19.0,19,19.0,2.0,19.0,2.0
19.0,19.0,7.0,2.0,19.0,8,8.0,19.0,1.0,3.0
