rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[  29.96119057   19.97295571  129.96536542   99.94252809   29.96119057
   19.97295571  129.96536542   29.96119057   19.97295571  129.96536542
   99.94252809]","[  79.93537133   99.92913854  219.86132641   39.98629176   29.95814068
    9.98865367   59.93880702  309.93990632   29.97178162    9.98065774
  159.80878013  209.91605609   69.93607329]","[ 39.95935913  39.96938176  49.98304732  59.98973153  49.96932066
  39.97034858  29.97264755  29.98756353  19.9842084   29.97207509
  49.9834932   59.9308303 ]","[  79.89019583   19.97549904   29.96860562   59.96387624   69.95935749
   89.97208      49.95171163   39.94856054    9.98655285   39.98258685
  229.90710261   39.98509972  149.91262085]","[  49.92463628   49.9608621    69.92731218   59.9762678   139.87961651
   39.9847818    39.95648413   99.97072212   99.9248306    79.9372691
   59.96340265   49.98414444   49.95443   ]","[  29.95582141    9.98274055   29.99094518   39.98361051  109.95601808
    9.98346941   39.98363964   59.9778434    19.96557159   59.98453096
   29.99315676    9.98300092   69.97253053]","[ 309.83787949  149.95411141  139.88344216   89.97670559  219.95013613
   59.9724391    39.9718357    59.91503165   19.97874611   29.95452211
   39.94360659   49.96930836    9.98040755]","[ 29.97406015  19.99157453  49.97994326  19.9746119   29.97272807
  49.96650026  39.96399731  29.99061345  59.98011336   9.98381849   0.
   9.98310754  29.96829807]","[ 349.87673442   19.96693772  109.9271965    49.97887326  229.91852218
  139.8077808    89.97363762  139.96319187   79.94252629  109.95026396
   49.93992901  209.88824242   29.97374456]","[  79.96647547   39.95444921    9.97985299   89.88698788   19.97505244
   69.97162037  109.943631      9.9834767    59.9723715    29.9674932
  169.90377513   59.92491135   89.9629677 ]"
"[ 99.9404262   39.98440929  49.95905732  29.9574749   39.98440929
  49.95905732  29.9574749   39.97715697  99.9404262   39.98440929
  39.98440929  49.95905732  29.9574749 ]","[  29.96693905   29.95477353   39.9766396   219.92034266   19.97939688
  149.88450226   49.95517592  189.93078641   79.97245177   79.97301768
  139.94678749   79.90336708   29.97118556]","[ 49.96633173  49.98345784  19.98670573  19.98060824  29.96197525
  79.92842054  29.98996803  59.96780667  49.97441212   0.          39.98396477
  29.95664374]","[  19.98078279  119.96402165   39.96760097   69.98654001   19.96323189
   79.96239097    9.98934232   69.9670652    89.96593115  129.93227191
   29.95739113   39.96224119   19.96880048]","[  29.96053058   69.97910507    9.98073772  229.88975847    9.98168116
   49.96895461   79.97867196   39.9670957    39.9548606   139.92212694
   39.96496368    9.9828043    19.96801757]","[ 59.97496219  69.97725096  19.99447537  59.91995024  49.97459752
  19.97386112  39.9577714   59.96781351  59.96591484  79.95314432
  39.98409479  39.95392801]","[ 309.90802865  179.94728351   29.97182227   19.96506805   39.96398104
  189.93250942   19.97620729   49.9565528    59.9699697   129.94700881
   79.97084338  129.93069663   49.9688592 ]","[   0.           39.96200167   49.9602345    39.98104978   99.96177784
   49.96401283   29.97244169    9.97907358   89.96941102   29.97836662
  189.97232829   49.97527882   39.97774032]","[ 339.83343936  319.92583465  169.90203935   49.9599242   109.89544901
  179.87248146  169.8199533   179.90915848    9.98812348  119.94514998
   59.9626767   129.87805083  129.8547497 ]","[  79.98701014   59.95783055   49.93901686   59.96072044   99.95548754
  109.9380429    39.96598751   99.85051647  189.91739795   49.94694601
   69.96007348]"
"[ 49.96124872  29.95791712  39.97793735  39.96785204  39.97793734
  39.96785204  79.95727658  89.94391123  39.97793734  39.96785204
  79.95727658  39.96785204  79.95727658]","[ 109.91381093   89.91513544   19.97572134   29.98107673  239.88247379
  129.88524677   89.97819769   99.95542972   29.95863198   69.95073119
  279.87367508   59.97166172  119.95732155]","[ 29.98505181  29.98439328   0.          69.94493951   9.98973825
  39.98754209  59.96436376  49.95869856  69.97329776  29.98394918
  39.96430761  39.9794463 ]","[  29.9723952    19.99123503   19.97632262   49.97144324   29.96915314
  119.95834007   19.97306559   29.98145944    9.98159708   59.96828327
    9.99071855   59.96936608]","[  69.96344772   29.96521636   69.95609402  129.94074587   69.95405483
   49.96546274  119.97137883   69.96903463   89.93983876    9.98155049
   39.96638068    9.98703206  119.94820382]","[ 119.88647255   29.95994099   79.9574541    29.98107901   19.98128875
   19.98873765   29.99087177   69.97403105   19.97940861   39.97005722
   69.95040854   89.92602044   29.97938917]","[  49.97619207  139.91503627   29.96670938  199.90640175   99.96008873
   89.90804246   29.97669208   29.97302772   79.95848747   59.97863058
   69.97743134   49.96753847  259.89996193]","[  29.97284411   99.86029423  109.97698344   39.97750046   59.97980184
   19.96919784   49.97820117   79.92628328   59.92629861   89.92470099
   29.97949618   99.95130833   39.97219407]","[ 189.90849452  199.95098322   49.92802313  239.91391442  249.91692729
   99.92325988   69.9272949    79.9445637    69.95235308   19.9787927
   69.97349026   19.98313016   59.91952076]","[  29.96240991   29.95687973  109.89802573  189.87772791   99.92906545
  189.91825659   79.88109299   49.94319525   89.94646854   69.93876162
   79.91945508   39.96660682  109.94511581]"
"[ 139.87318777    9.9855       29.96314091   79.89156886   79.96072977
  139.87318774    9.9855      139.87318777    9.9855       29.96314091
  129.94370377   59.96329907]","[  89.90846463  139.9117164   119.94017302   29.96716878  189.91014297
   89.94619827  129.88830147   29.97631641   29.9819868    49.96548347
   19.96797708   19.9730198 ]","[  49.97319289  109.97252989   19.99384096   19.98461012   29.97286157
   39.97446458   29.97798255   49.98491713   29.97335649   19.97444367
   29.96064075   39.97038385   19.98322571]","[ 29.98400642  49.96293078  69.9564007   29.966682    29.95668896
  49.98119705  99.95934576  29.96138683  29.97621559  59.96261378
  39.98463078  39.9852113   99.94165701]","[ 159.90664755    9.97995447   19.96410024   69.94110931   19.9825458
  139.93964045   59.94542884   69.97516695  119.96595255   39.98006976
   59.96466422  239.93207628]","[ 69.9779527   49.94502226  19.97291236  59.96393149  99.94794048
  59.96457194  19.98885257  39.98995857   0.          69.95278924
  29.97049674  29.98558736  29.97867066]","[  49.95468003   29.96379644  289.86550903   89.964395    199.90137234
   89.97857818  169.89335674   79.98377851   39.99059035  109.97156168
   49.97098786   39.98693537]","[  49.95893006   29.98018161   29.97079522   29.97762603    9.98346194
   39.98245126  189.92722902   59.97033361   49.96901095   59.95921462
   89.95587112   59.96077602   29.97086735]","[ 219.8299528    69.96539365   39.93570738   89.9294467     9.98054077
  119.91229949   19.97752307  229.86669431  129.91582575   69.94343571
   69.96504831  109.86038222]","[  79.94412898   29.97859213   79.98047179   49.97418452    0.
   49.95131382   99.95439587   49.95079643  179.89952854   49.98081386
  289.82059504   89.94735467  119.93243533]"
"[ 49.94936703   9.98046543  39.93646856  99.96082697  79.894284
  49.94936703   9.98046543  39.93646856  29.96289831  79.894284
  49.94936703  79.96277402  39.93646857]","[  29.96351348   19.96584347  259.93119228   89.94279141  119.94508177
  179.8544248    39.95826071   49.93394828   59.95741018   99.93774729
    9.98059536  179.87056052   69.94183608]","[ 59.98545174  29.97851269  89.96335019  19.98155025  39.9813346
  19.98404949  49.95957948   9.98896506  39.98215715   9.98512912
  39.98089188  39.98275794  69.97863844]","[  39.96963659    9.99097448  109.91294164   59.98018834   19.98181104
   39.96252228   29.98762857   99.87062302   39.97963147   59.95270456
   69.95916114   69.95545674   19.98887342]","[  19.98007036   19.97062698   49.94512864    9.98281354   99.92126539
   29.96819726   89.96952826    9.98350984  119.85395921   99.96505796
   49.97285133   79.96892813   59.95990253]","[   9.98926166   19.97824006   19.97786256    9.98140897   29.97370137
   19.97662892   29.97567328   29.98541755  169.89291578  109.94685933
   49.94578784   29.96349418   49.95857635]","[  89.94716853  159.91565488  159.93876337    9.98775196  149.88936503
   29.9841841     9.9856141    79.96634434   39.97832927   79.95656379
  209.82258343   19.97121927  229.82116857]","[  29.98587263   89.97960357   49.95247406    9.98821129   29.98773246
   39.97423373   89.93577962   49.97906084  109.96327732    9.98950221
   99.89047069   49.955523     69.92181386]","[ 119.85951795   69.94701911  169.89648732   49.9420317   199.85865509
   59.93019837  289.86119165  159.82097024   19.9714349   259.89281347
  119.86612802  129.93964964]","[ 109.92557853   59.95692068   49.97392839   79.93057329  179.85899834
  209.91023473   79.94395165   89.9607515    19.98303886   39.97497721
   99.97562348  129.92126658]"
"[ 99.95873014  39.96185194  59.9442361   29.976161    39.96185193
  59.94423611  29.976161    59.94743532  99.95873014  39.96185194
   9.98042528  99.84662137]","[  39.95082785    9.98231713   99.9482823    79.93429531   49.9640289
   59.91259308  219.92719193  299.89191818   69.91357667  179.94142967
  179.94960775   69.91282349  219.94295706]","[ 49.98452632  19.97948051  29.97957869  49.97424665   9.98064786
   9.99219614  49.97331337   9.98895884  49.98306379  69.97176488
  49.9715475   59.97266108  39.977413  ]","[  59.98055847  129.92014509   69.97491439   39.97081824   19.97071373
  149.88188876   49.9411672    29.97833917   49.981124     59.96832121
    0.           49.95754955   39.93961224]","[  69.96944393   59.92518971   49.95532701   39.94392667   29.95520249
   69.89553712   39.96927397  219.86877822   49.93609989   19.98378587
   49.97308503   99.94354596   49.94721107]","[ 29.98192472  39.96783488  19.97218858  39.98407473   9.98417422
  69.96932203  59.94483533  39.96563183  69.9783246   29.98129704
  69.97722832  29.97156196]","[ 299.87591778   59.96204563   99.96435937   39.95583551  169.95943826
  329.82157105  199.92977399   69.91354622    9.98655408   39.96089043
   69.92922382  219.77440507]","[  59.9657086    19.99060898   69.94222089   49.97610719   19.97841157
   29.963291     79.96983236   29.99103819  169.93402913   39.98477946
    9.98054826   39.97666188]","[  29.96910884   99.95377645   29.94985361   29.96094008  109.93930662
   69.91334553  149.9597679    49.95607709   29.9558901   169.87555508
  229.93071885  179.88066332  149.96772324]","[   9.98076934   59.97268661   69.96599562   89.96267348   29.96101196
   79.96687142   79.97575745   69.95638301  129.90317723   69.98600234
   89.91824641]"
"[  59.94157638   29.97599815   59.94888253   29.97613069  179.81605814
  219.91587854  149.94078992   29.97613068  179.81605812   79.95786709
   59.94888254   29.97613068  179.81605812]","[  79.93341688  109.94701822  149.91982013  259.88663298   49.98676645
   29.966456      9.98185703   89.94061667   39.96215214   89.96103499
  119.94861178   39.96297697   69.93263847]","[ 49.95985927   9.98332458  39.95717488  59.98335059  19.97568463
   9.9887519   39.98697223  49.9746655    9.98208023  29.9852391
  79.97732335  39.95815378  29.98031428]","[  39.97839999  119.95283352  109.9750606   179.93515672   79.9704806
   39.98427974   69.94416804  129.90730165   89.93376975    0.
    9.98871286   39.95326249   79.90457296]","[  39.96569791  149.94937292    9.98377834  219.87465941   19.9709093
   19.97193426   39.98728928   19.98745442   29.98438034    9.98751336
   99.95274874   49.94200402]","[ 99.94783612  39.95789381  29.96421059  19.97641144  19.98801383
  19.96619233  49.98214704  39.9869785   59.97313505  39.94807919
  29.9615234   59.95844721]","[   0.           89.9664461    59.90579714   89.96461097   49.94328034
   29.96173514  329.78189987   29.98857128   29.95544858  139.94176939
  109.93108587   69.94657515]","[  19.99262603  129.90676754   49.95409169   89.93772065   49.97227516
    9.97954898   39.98109012   39.9725913   159.91860367   39.95902858
   59.90691584   29.97511266   69.9621623 ]","[  19.96769285   79.88245387  129.89070126   79.93028031   49.9333432
   19.96886106  169.86889141   19.97970477   99.95320111  169.93801597
   79.91120558  139.89936986   39.94799096]","[  39.95234909   29.95422377   29.94784199   19.99361103   69.90352548
   99.94415913  139.91228783  239.89621232   39.95104105  149.88413048
   39.96497964   79.94946764   89.96825747]"
"[  29.96883399   29.95586007   49.92957186  119.89683614   79.93504421
   19.96694223    9.98166687   89.84460087   79.96019675   79.93504419
   19.96694223   79.96019675   79.93504421]","[  79.93730308  259.93095958   69.93265918   19.97334453   29.96836515
  209.90734881  209.87342064  129.90354162   69.93131502   19.97701158
   69.97581754   29.947189    159.84797907]","[   0.           99.97788268   49.97258414    9.98068668  119.94584346
   19.97665339   39.98879716   29.99046744   29.99096542   39.98094369
   29.98582682   69.96971633]","[ 229.85895606   79.9562941    19.98899092   29.97858401  109.91427155
   39.98689113   29.97278414   59.96893284   29.98584128   49.94609529
   49.93749722]","[  59.95846597   99.92057278  129.96212736   59.97085541   59.93432041
   39.95409089   49.96392727    0.          109.93092068   39.93900486
   39.98064263   29.96527075    0.        ]","[  19.97343954   39.96719452   19.9773701    79.96468048    9.98584434
   99.9563085    19.98223154   29.98119444    9.98795417    0.
  149.95015859   29.98351754   19.98078441]","[ 309.8670283    39.96985133   19.97663677    9.98764225    9.98487157
  139.93974718  229.86456243  129.9575988   219.93124382    9.98678795
   19.96284358    9.98797051  299.91872037]","[ 169.85388494   19.97846554  109.96953961   79.88743887   39.97838958
   99.94020898  109.96321406   39.98834052   39.98028905    9.98464227
   49.9495129    39.96615573   89.94938151]","[  39.9709265    79.97768167    9.98497469   39.95879927  269.82221722
   19.96002702  159.92405839   59.96035185    9.98773671  109.94842366
   29.97306627   69.97773022   59.93559975]","[  59.95575563   59.97117993  129.87419068   49.98104691   59.96396465
  269.82301501   79.94012528   69.97006468  169.94325357   79.94435916
   39.9618156     9.98477743]"
"[  19.96717087    9.98166687   89.84891875   59.93817964   69.94855248
   59.93817966   69.94855249  209.94069245    9.98166687   89.84891875
   59.93817964   69.93032243  109.95619834]","[  49.95510448   39.94173567   49.93933852   99.91077761   79.95714738
   29.97515385   69.96684695   19.99178802   69.95415291  129.90302331
   89.87935581  199.88869182]","[ 59.95997941  59.9063898    9.98018248  79.95875628  19.98051778
  39.96492937  29.98508295  49.97855444   9.98285519  39.98170388
  59.96166932  39.97404826  19.97658264]","[  39.98877742  169.93408894   29.99143443  149.89673586   69.94091628
   49.9650893    89.90849459   79.9451186    39.94309705   19.98006698
   39.97755821   79.95777805   49.97380899]","[  49.9337865    69.95200656  119.91096226   49.98762137   89.91069034
    9.98818008   29.98297047   39.9522672    99.93638457   79.92609579
   19.98651732    9.98601964   69.95668169]","[  19.97262911   79.95075431   39.95650073  169.94943037   29.96373604
   99.94089566   49.98443682   19.97887071   89.96400959  119.93113096
   29.96964284   29.98745904   49.96412845]","[  99.96059409  149.9165612   189.89084345  209.93503862   19.99126851
  189.90351869   59.97029976   39.97974333  129.88690364   29.95979306
   29.95519116  179.90853448]","[ 59.97055441  19.97302257  29.97170307   9.98144689  39.96534734
   9.98705371  39.97723931  49.9568068   29.97810687  89.97210333
  19.96574137  59.96943411]","[ 159.94652024   29.967777    169.92079379  229.91839948   99.95870097
    9.97938508  149.95349683   39.94629318   39.96470661   49.94765211
   99.96255536   69.95338716  319.8279908 ]","[  39.97414609  209.91581849    9.98710258   29.97623582  129.89496936
   29.96919281   49.91826903   59.9841993   109.97233447  129.90453184
   59.96838768   59.91047907  139.90434939]"
"[  69.94891409  209.94020696   59.93973055   89.95649727   69.9552971
  199.921031     99.93771605  209.94020686   59.93973055   89.95649727
   59.93973055   89.95649727   69.91954762]","[  19.97229581  119.89303462  199.8936118    19.97185566   49.93487728
  119.87512959   29.97347313  119.94911599   49.9538355   159.90776499
   99.94174666  119.91958358]","[  39.95253067   29.95447461   39.97772946   19.98979133   29.95493757
   29.98165012   39.98184952   39.98582307   29.9888634    19.97332684
  149.96518147    9.98414131   69.95127785]","[  79.98248233  129.92658759  109.94741795   39.98728724   19.98048314
   99.93582405   79.95406571    9.9889314    89.97151604   29.98129879
   79.89960362   79.96466529   49.97674998]","[  19.97820349   19.97147577   19.96936706    9.98454027   89.95468609
   79.92848113   49.96904855  139.92328512   49.93423453   59.95610685
  469.88297146  109.92184189   39.97198764]","[ 39.94872513   0.          99.92724283  39.97779185  49.98362905
  49.963832     9.98753452   0.          79.95179695  19.97448551
  39.96629371  99.89831886  49.97015435]","[ 299.81706069  179.94077396  149.90724807  289.73237203  119.95213939
   59.92561118   59.93987951   89.87665955   59.93022863   29.98226994
   39.96791602]","[  29.97079775   59.95552688   19.97527142   79.96306421   49.97434814
   69.97367007   19.98348393  109.89063266   59.98001904   49.93871786
   29.97688979   49.97567504  139.91358456]","[  69.92005621   59.96847127  239.79877475   29.95760033  259.92178066
   79.90024349   59.94548873   89.9779629    59.94607659  219.91319041
  139.945022     49.94580201   39.93702487]","[  49.96628739   89.93564613  119.90173733  149.88936593  189.91521866
   29.9789496   239.87360176  119.98199066   29.95447821   59.96723978
   49.97299557   69.97307869   89.9385698 ]"
