rewardsSnapshot0,rewardsSnapshot1,rewardsSnapshot2,rewardsSnapshot3,rewardsSnapshot4,rewardsSnapshot5,rewardsSnapshot6,rewardsSnapshot7,rewardsSnapshot8,rewardsSnapshot9
"[-5.80426356 -9.44727427 -5.80426356 -9.44727427 -5.80426356 -9.44727427
 -5.80426356 -9.44727427 -5.80426356 -9.44727427]","[-20.56967937 -19.31241044 -35.19586307 -21.13317864 -18.06753612
 -15.16246974 -16.39176762 -23.35080158 -24.16974554 -26.1846023 ]","[  8.95532051   3.88768492   8.6652902   -1.44653459  -2.14249445
  -5.55433677   1.89393142  10.36678041  -9.13565087   3.31543178]","[-7.85217343 -9.0263937  -7.94308918 -8.74755395  4.32223996 -8.59071897
 -6.32794986 -2.96930949 -1.29357755  4.32223996]","[ -7.52626417  -5.90775419 -11.02114518  -3.82675979  -3.68026398
   1.31119248  -0.98186227  -5.10009772 -10.38306669   2.69003566]","[ -2.45026661   1.40678035  -0.11984544   8.94265312   2.47422084
   8.08016293   2.83980688   0.555844    13.07315721  10.8077942 ]","[-1.68640482 -6.59023052  3.52848858  2.58760478  2.57037018  2.60320015
 -4.95871961 -0.4408158   7.88373044  2.19836457]","[ -1.54105341   5.96809111   6.61367541   5.15987322   5.93546906
   0.54086853   9.46875506   1.01819999   3.8904432   11.90721724]","[ 5.70476223  8.86842607  4.54623668  4.68723002 -7.44282035 -6.92153412
 -8.21706906 -5.38123379 -5.02916132 -6.4367681 ]","[-5.88542424 -3.0026146  -9.90290275 -8.11868233  1.29267075 -8.28158727
 -4.38184055 -4.02814798 -6.96640821 -1.31802351]"
"[ -4.26950657 -13.3688094   -4.47755484  -4.26950657  -4.26950657
 -13.3688094   -4.26950657 -13.3688094   -4.26950657 -13.3688094 ]","[-23.70672388 -24.72043575 -23.50355507 -27.20217856 -14.88845187
 -21.04745898 -30.47099815 -19.86342707 -14.88845187 -21.04745898]","[  5.33994995   3.27623527 -14.11770966   6.04922632   7.41501661   1.89508
  -2.38705164   3.05849556  -2.60342924   4.92904147]","[ -7.87870044  -4.06456668  -4.08139166  -9.10268389  -4.18810364
  -1.33849835 -10.64267941  -3.5558971   -3.00979814  -1.92264842]","[ -3.94360169  -6.64855061  -1.05982004  -6.77809658 -11.71135714
 -11.77632847  -7.43845821  -4.8876195   -9.15565061  -5.98865309]","[ 4.94901436  8.13784168  1.83949867  8.42953632  8.94708713  0.77722874
  4.45979948  2.57331223  4.40636665  4.46945347]","[  6.75000988e+00   2.19776770e+00  -5.24691329e+00   3.87227620e+00
   2.86200305e+00   3.68365871e+00   3.88571743e+00   1.76388437e+00
  -1.17849595e-03   7.84454092e+00]","[ 10.0206873    8.68027245   6.47565576   5.48306802   3.45129863
  -3.60622702   3.82731467   8.2090553   11.73436496  11.52181333]","[-8.329235   -4.87636663 -8.14459604  0.08964246  7.2025873  -1.16843624
 -7.08347685  0.09701073 -0.1239688   0.95455964]","[ -6.1104186   -4.59118817  -5.07228441  -5.79338667  -9.58272307
   4.76092548 -10.35452484  -7.12581552  -1.75745167 -11.27518544]"
"[-6.64580192 -8.33203572 -8.33203572  3.76330798 -8.33203572  3.76330798
 -8.33203572  3.76330798 -8.33203572 -6.64580192]","[-23.6673286  -22.08852056 -14.4191233  -26.48013701 -25.18027483
 -25.17182341 -27.95776731 -15.86485411 -25.18027483 -25.17182341]","[  7.83283802   6.05365648   3.0169854    1.8629068    0.34592747
   2.19827521   1.06983701  10.04223029  -3.56748393   9.34168016]","[ -7.61546378 -11.09468665  -8.42807628  -7.74843815  -3.28799731
   1.46668654  -2.51013237  -4.75967338  -4.20452882   4.27070372]","[ -6.45081986  -4.2086211   -4.25991568  -3.03937491  -6.60370907
  -8.39527946   1.49522816 -11.17898809 -11.42302069  -7.22091673]","[ 2.20816731  3.47368588 -2.68465063  3.20056095  4.63580406 -6.78209866
  6.37897578  5.56641609 -1.80585919  2.45523438]","[-3.32275723 -4.66473392  2.08217259  3.61005459 -2.84996019 -4.15576155
 -3.0086449   5.10352137  0.25119667 -4.83725651]","[  7.25718237   0.12646458  11.5838686    1.63400284   4.57751773
   1.82894023  10.52924209   6.13523051  12.81546584   3.93151104]","[ 1.7527074   9.90023173  1.23508766  4.40496134  2.84131411 -3.02812207
  5.87581591  3.85270981 -7.17479642  1.82976307]","[ -5.05284895 -11.39929881  -7.10330721  -6.26137598  -8.87808289
  -7.18948724  -6.95573174  -8.58561824  -0.08076804  -9.72363957]"
"[  1.74075193  -9.16053149  -9.16053149 -10.14453415  -9.16053149
 -10.14453415  -9.16053149 -10.14453415  -9.16053149 -10.14453415]","[-25.12619908 -22.73284213 -26.61127297 -21.89514219 -19.44650656
 -17.50690114 -16.30071822 -22.99302816 -21.24849877 -25.87640519]","[-2.87112336  8.42741665 -0.77461023  3.31794528  6.65406141 -2.48447105
 -8.04829025  1.24439393 -0.52343036  2.14937174]","[-12.73412388 -10.0007888   -2.5510433    0.27017193  -1.34994823
  -8.41892734  -6.96116724   0.61672305   0.42527771   3.38966732]","[ -7.48918258  -9.10414304  -9.61226508  -9.85120683 -10.10817103
  -4.23412783  -8.98975271   0.3751344   -6.82941167 -12.62303993]","[ 0.76843501  8.1043988   9.6033189   6.44026982 -6.57700068  1.64132605
 -1.12684405  5.24929697  7.38315642  8.94440742]","[-3.58616093 -2.66019406  0.26694391  3.06552721 -6.04773099  4.85013229
  4.4520915   1.91272585  0.20970555  0.06223287]","[  3.18930017  11.47531154   7.23633351  11.91172338   6.30730748
   2.27547567   0.04168903   6.07900024   1.34562492   8.07337137]","[ -9.99262037  -1.75713101 -10.01316613 -10.35943904   1.27828763
  -3.94656007  -2.33716819  -8.10085315  -5.44014198  -6.56947957]","[ -5.96879943  -5.58898399  -9.24772914   2.8573207   -2.16892574
  -7.35639878  -5.78702093  -5.14409278  -3.01789228 -10.92627629]"
"[-10.56224026  -1.30659851 -10.56224026  -1.30659851  -1.30659851
  -9.43715498 -10.56224026  -1.30659851  -1.30659851  -1.30659851]","[-21.63354394 -30.21392253 -26.41975583 -24.47415629 -17.80455888
 -19.13334319 -15.55660569 -32.72010817 -21.63354394 -30.21392253]","[ 2.95534268  6.29659285 -5.27413187  4.8041937   1.51120918 -4.68052767
  1.2774055   6.64857916  2.30165974 -0.39610954]","[ 0.44085331 -0.79470863 -7.28855107 -8.33371339 -0.79470863 -8.40425023
 -4.5437224  -6.93732027 -6.52791938 -0.50567681]","[  2.45635303  -4.05063839  -8.63695138 -10.09909781  -0.08476376
  -8.67413982   0.6775278   -4.71287108  -7.64387023  -5.98191008]","[ 8.86976871  7.48082821 -0.43329457  0.55106626  7.07549937  2.99819772
 -1.75388794  2.18218979  3.66860221 -1.24398423]","[ 3.7548709   6.70537012 -4.26302901  0.37495795  2.50315849 -1.78975761
  4.255266   -0.18764457  1.67275095  3.43085644]","[ 11.48029086   8.66815895   9.51742794   7.21375955   2.88421014
   4.55707343   8.61032029   6.49390872   2.41078778   5.32125549]","[ -2.73461721   2.90654004 -13.08675256  -2.17987497   1.40642494
   4.47190103   0.06957013   0.39564933   0.1522412    2.98207281]","[ -5.75789449  -9.59745715 -10.79687497  -1.07552506  -4.31500804
  -4.25234899 -10.80531678  -6.67395243  -8.67722807  -8.04786808]"
"[-7.75468547 -2.0350685  -2.0350685  -8.32323687 -7.75468547 -2.0350685
 -2.0350685  -8.32323687 -7.75468547 -2.0350685 ]","[-20.55614453 -23.53152043 -22.12388498 -24.84374988 -31.12406849
 -14.53667038 -27.24721545 -20.26673209 -20.55614453 -23.53152043]","[ 11.79214348   3.31690495   4.60525399  -5.5685175   -0.78777029
   5.69738001  -7.49992422   1.70005479  -4.39285944 -11.26781105]","[  3.43696883  -8.36040054  -0.54296312  -6.4591125   -9.93134847
  -0.74435701 -11.82308896  -9.05204991  -2.28860149  -1.96187379]","[  2.05023754  -0.17979292  -7.31743593  -2.97875083  -2.13246042
  -7.61647109  -5.00615993  -8.93843849  -1.12181552 -11.67341313]","[ 6.02017974  4.79863363  2.66961692  2.88992053 -1.32767877  2.39714912
 -7.44775435  5.62577177  9.30312216  8.73807458]","[-4.27532271 -2.45327557  4.51934151  2.12639538  1.01725613  2.44046647
  1.47448727  1.22254599 -2.85565068  0.9880513 ]","[  2.49926653   0.09783883   5.31246834   5.79714105   9.30872538
  13.30596484   6.25155821   6.97058263   3.47822193   6.54818309]","[-0.35344607 -4.34245631 -2.92563895 -5.30958772 -3.10924195 -1.54863733
 -1.01401095  0.86814751 -3.6118028  -2.21968905]","[-3.29163649 -5.8870807  -1.87017798 -8.2395134  -5.1198227  -8.34186713
 -4.18972197 -5.88597834 -1.44390898  1.0816954 ]"
"[-2.40154888 -7.76218037 -9.30551106 -3.30152084 -9.30551106 -3.30152084
 -7.76218037 -9.30551106 -9.30551106 -3.30152084]","[-14.55662366 -25.99390965 -12.11444196 -33.69798436 -18.75292262
 -30.47264107 -27.92635681 -14.20993916 -24.09421687 -24.84431516]","[-6.69122015  3.01132794 -6.57220555  0.49840313  0.02720933 -0.55495835
 -7.65190177 -1.68845472  6.35388119 -3.65415108]","[-9.23243899  1.51310299 -1.77364923 -7.83302788 -0.73333266 -1.77364923
 -4.02585803 -8.75530618 -0.71134151 -7.25715248]","[ -1.64452953  -8.09733634 -12.05007497 -13.57425633  -7.14082918
  -7.97940697  -4.34689413  -2.76891341   1.55861221 -10.27898657]","[ 6.98273254  6.70361986  4.7862304   0.09241794  9.89509952  5.06559842
  2.47190045  2.2472802   8.1232986   0.0345427 ]","[ 3.83764588 -0.67611529 -1.0211404   0.57372556 -1.51987297 -0.05969135
  3.3904537  -4.5276164   7.19256658  6.33500432]","[ -4.32985699   1.95974489  14.28980426   2.66593538  12.39565862
   3.48487461  -0.21618731  13.00035968   6.64786647  10.33030258]","[ 9.33524763 -3.57099515 -1.39301004  0.41782097  8.13973232  5.40555334
  4.42730885 -6.08499825  6.60120706  0.72398137]","[-10.14795097  -1.38782526 -13.21680497  -3.25798002  -9.97817526
  -7.2267819    1.08810584  -8.79629296  -4.17470406  -7.45384591]"
"[ -9.28471257  -3.3300665   -9.28471257  -3.3300665   -8.3785319
 -12.00238449  -8.3785319  -12.00238449  -8.3785319  -12.00238449]","[-23.41870297 -22.25012765 -23.68655836 -27.1647139  -25.26903579
 -22.02591839 -24.6984213  -22.47978306 -31.72367208 -16.81451629]","[-1.21668857  1.8468227  -6.3006945   0.3501026  -3.33016783 -3.12201078
 -0.47764757  6.3416558   1.46334299  9.95316403]","[-6.27310055 -2.70703058 -7.06351342 -9.22637589 -6.22384539 -3.94985359
 -8.78372365 -6.84250064 -1.75528675 -7.79859107]","[ 0.37179958 -3.60742635 -6.51858418 -7.20285633 -6.58482987 -8.38085283
 -2.37715786 -7.31091049 -4.13158301 -5.57922872]","[  7.11373533  -3.64598933   2.92746237  15.06000028  10.34850309
   6.88400379   2.44841972   7.07906344   2.47419023   6.47987347]","[ 5.65690092  1.46208558  0.56446616 -2.50801652 -5.630764    2.06595171
  1.46657787  5.12863409  4.79959682  4.08243966]","[  9.69891556   8.4362461    4.37776927   5.69016575  12.25901305
   7.48909793   6.89174737   8.26574227   8.61822789  12.20562503]","[ -5.44266026   2.55158159 -10.02477149   6.1546278    0.76472523
  -4.43582556  -9.35360886   1.06996591  -4.81800821 -10.04517006]","[-8.2728732  -8.15321839 -2.04421525 -5.44202226 -0.66482586 -9.23990645
 -6.5850593  -4.76075875 -4.52058311 -4.44752485]"
"[-11.54050255  -7.32992281  -7.32992281  -8.88164812 -11.54050255
  -7.32992281  -7.32992281  -8.88164812  -8.42738997 -11.54050255]","[-25.19200773 -20.74399726 -15.93045032 -14.46623426 -19.3340388
 -22.2969767  -23.10791388 -25.19200773 -19.30697972 -23.37055741]","[  5.06954367   0.62686228   0.1747479    8.57568115  12.73723338
   8.31186009   5.85792595   6.29015279   7.15799574   1.97918332]","[-10.73319571  -6.04303099  -8.06454584  -8.5239459   -2.92478439
  -0.06439016  -9.19927561  -6.19402456  -1.76589935  -7.37420028]","[ -9.32609256   2.26836127  -9.74553092  -9.36741729   0.76346969
  -6.47810278  -6.56580409  -3.82438317  -2.32414999 -14.23676968]","[  3.53090232  -2.15630095   6.43327043   5.74459117   3.83816421
   9.73790334  10.35528301   3.39267513   2.08701727   0.97387588]","[ 1.66704011 -4.67489938  2.21837786  0.4185739  -4.98656632  4.19624291
  6.34303215  7.90736273  3.74137481 -2.90022993]","[  4.2237832    4.40608596   3.29418029  -1.0261931   -5.960706
   0.06043301   7.11596485   4.18480521   2.82510188  11.019911  ]","[-1.29259956  6.59436248  3.23439857 -4.31268865  9.44746802 -6.89644667
 -2.08374587 -2.51696483 -0.68231292 -4.33223442]","[  0.55036618  -1.93357737  -4.30166804  -2.54071469   1.54968311
  -3.35401793 -13.42884657  -4.53822483  -8.09675157   0.28760062]"
"[ -6.6384401   -6.38883144  -6.38883144 -10.75219759  -6.38883144
 -10.75219759 -10.75219759  -3.57946803  -6.38883144 -10.75219759]","[-21.15581287 -22.97804968 -19.55233015 -18.06514994 -19.03564046
 -18.0375248  -16.90496818 -22.34323587 -18.73650628 -22.38056351]","[ 7.29598784  2.75342105  6.45951515  0.04833573  0.01166766 -0.92655148
  5.42031439  4.20480775  5.46667344  7.00706254]","[ -7.48446374  -4.77361177  -6.81988594  -2.93935139  -4.53559834
 -11.91472985  -6.69939786  -8.1098904   -6.07215986  -2.89495517]","[-3.35637061 -5.63084775 -2.87778628 -5.69580385 -9.42660505 -9.71618141
 -7.50975483 -6.00573301 -0.60691098  0.32585439]","[  4.00492266   3.51023023   4.63518664   9.30532558   9.18786991
  10.16692543   4.66302796   5.51699631   4.35187322   9.52584005]","[-2.44693444 -0.09002809  1.97694691  1.4615903  -5.22072554 -2.90719404
  1.6369107   1.86439732  3.04170998 -2.30368513]","[  2.99189294  -6.00609659  12.83746998  11.77871016   5.6919992
   2.84083248   3.66760978  10.54602703   1.34215786  13.37705211]","[  0.28053546   3.5318031    1.44123028  -9.28555199   0.9333819
  -9.89722843  -4.84642216 -10.10207649  -4.00881325   2.18968106]","[ -8.15219516  -9.06711274  -5.92616039  -2.40603375  -2.17040876
  -7.42091233  -4.43830909  -3.25029925  -5.52311219 -10.11994097]"
