rewardsSnapshot0,rewardsSnapshot1,rewardsSnapshot2,rewardsSnapshot3,rewardsSnapshot4,rewardsSnapshot5,rewardsSnapshot6,rewardsSnapshot7,rewardsSnapshot8,rewardsSnapshot9
"[-3.53103298  0.78029684 -3.53103298  0.78029684 -3.53103298  0.78029684
 -3.53103298  0.78029684 -3.53103298  0.78029684]","[-20.22746105  -0.77155487 -12.72822597   0.67368825  -9.77203304
 -14.00869256  -0.72553986  -4.46537097 -18.07982425  -3.22799733]","[  3.4499792  -11.7791398   -0.58409312  -7.21062475   4.89896977
  -7.60684437 -11.7791398   -3.81234048  -6.48727034  -7.48086568]","[ 11.03119371  -1.58935043   5.15847793   4.9522626    9.29481227
   6.83058605   2.14046009  -1.21596557   4.35657696   1.7368265 ]","[ -5.71966922 -17.94363521  -6.2500518   -0.52028571  -9.15929903
  -2.60413575  -5.71966922 -17.94363521  -5.8940602    1.19377462]","[-10.03569607 -12.47910662  -7.18726367   0.24860208   2.41598534
  -4.58178353   6.09565837  -5.22520474  -3.01854395   0.70643126]","[-16.9312016   -8.7853985   -6.62908682 -18.52914991 -11.5307516
  -6.56838019  -3.52495857  -6.20186641  -8.1137882   -0.95134193]","[-3.25251959  1.42359649 -5.62116857 -2.65613767  2.21910621 -6.80461112
 -2.25776395  3.64058882 -2.0325271  -4.4434264 ]","[ -8.37473648   1.04441103  -5.15252066  -0.66742708   3.34650293
 -11.89618078 -13.28479957  -3.57757098  -8.62395968 -11.19726398]","[ -7.3317477    3.67631445  -5.51924576  -3.29926837  -0.63088664
 -12.69624148   0.29893122   6.26710349   4.0430079   -1.47932292]"
"[ -0.27078122 -12.49231463 -12.49231463  -0.79585669 -12.49231463
  -0.79585669 -12.49231463 -12.49231463  -0.79585669 -12.49231463]","[ -4.22197704   3.09375708  -3.21837982  -3.79341366 -20.15987009
  -1.40907906  -7.28694103 -13.45921674   2.24318841  -9.23719655]","[-3.81202831 -0.57481811  1.11779133 -3.78421046 -5.02108333 -4.16427304
 -2.12157657 -2.3211299   4.10874882 -9.00015005]","[ -2.47346206   6.64499218  -0.38657603   6.53619933   3.8507247
   6.13823644   2.90358768   5.22267032   7.22927828  10.8707481 ]","[ -5.06935673 -12.02579571  -1.69074069  -7.31470272  -1.69074069
  -7.31470272 -11.76820432  -7.35415424  -5.06935673 -12.02579571]","[-5.29896821  3.32176516  4.57696325  0.79828046 -0.6241607   2.34304867
 -6.70703368 -3.43586686  0.31713566  0.73522752]","[-10.12417225 -13.93907887  -8.7470506  -12.42549641  -7.97884453
  -5.49266799 -10.21193061 -11.55225927  -9.8292919   -1.15162038]","[-7.68876737  1.31406362 -1.13460005  2.39115903 -3.36592316 -8.8372288
 -3.20958347 -5.30764397 -8.02206822 -6.33470024]","[-14.11733278  -6.37889593   3.72793074  -8.20215391  -9.8066445
   5.49680138  -3.3825624  -10.70807356  -2.05853492 -10.53902591]","[-5.53473245 -3.31184919 -2.38774293 -1.58855636  1.18249695 -2.02245291
 -3.95557724 -9.94948668  1.13768017  1.48640957]"
"[-5.31889958 -5.51846579 -5.31889958 -5.51846579 -1.04813606 -5.31889958
 -5.31889958 -5.51846579 -5.31889958 -5.51846579]","[  6.40275686  -9.13816198   1.73049248  -2.0420114   -9.18961783
  -6.68967327   4.44532049 -19.90495977  -7.25415592 -13.45302592]","[-2.3028962  -6.71690516 -2.1010932  -2.33022478 -1.97921215 -9.34214891
 -7.01104005 -2.1010932  -5.03581945 -4.12493498]","[  3.96370641  -3.19638808  -3.02230852   3.12670742  13.34587654
   1.07437686  10.89436744  -0.18757332  -0.85004796  -3.10000874]","[ -3.01318059 -11.21139527  -7.22335533  -8.42308019  -7.22335533
  -8.42308019  -3.62007959  -0.96789334  -5.91636551  -7.3127135 ]","[ 1.19681052 -5.168195    3.3104274   3.05581947 -4.63071852 -0.91222376
  3.23801659 -8.90777639 -1.7541908  -9.2326094 ]","[-19.74836803 -11.21694106 -10.1035301   -6.86247658  -6.41680205
  -6.62563923 -13.0078966   -8.76737195  -5.7119361   -8.45547071]","[ 0.44203795 -6.72791528 -1.65002456  2.8921178  -3.21105697  3.93840775
 -6.07402477 -3.21774755  3.73392684 -6.68456235]","[  2.99580454  -5.29958544  -5.92170697  -9.78010714   4.78508168
  -1.58419219  -1.73663657 -18.16453767   3.55874682  -8.35732503]","[-0.90982234 -3.76192372  1.85850169 -8.8712584   6.22677236 -8.30078515
 -8.75859376 -3.05153805 -0.30382165  5.64874918]"
"[-4.69007271  0.09037992 -4.69007271  0.09037992  0.09037992 -0.77472744
 -4.69007271  0.09037992  0.09037992 -0.77472744]","[  0.08072972  -3.63902274   0.08380595  -6.93239294 -11.6552699
   0.08380595  -1.82655329  -2.98716592 -10.30902957   5.78279892]","[  0.47792402 -15.65831521  -7.98185921   0.79203929  -2.55516413
  -9.43722896 -10.17390857  -5.28970598  -3.83532038  -0.53731576]","[ 10.15102644   3.70579794  13.31155768   1.07136363   8.11949792
  11.86541009  -0.81661785   4.91877657   4.92154246  -4.4076743 ]","[ -6.17346762  -9.59704377 -10.11642248 -15.33073968  -0.76704272
  -2.94706445  -6.55834053   0.92831261 -12.40551814 -14.16275722]","[ 9.35010202 -6.50636045  0.46440403  0.85333182 -4.44663107  0.8738747
 -2.7651454   0.68504637  4.69836954 -2.86419694]","[-12.35280043  -4.91126404 -13.50542862  -6.19461272 -13.03023453
 -12.77744122  -7.31329139 -12.41117679  -3.53291679  -8.45532851]","[-6.39429777 -0.79327621  0.66289961  0.72758051 -0.48071248 -6.17887802
 -5.14537558 -6.75185906 -5.69628867 -8.43629824]","[-15.95563484  -9.77306813   0.8850396  -16.46132109  -4.25718091
   2.35983102   8.68577907  -5.05254399  -0.88876368  -9.67972945]","[-11.11147494   0.4122621   -1.34927934   0.34306589   1.01518923
  -4.83986241  -1.56592801  -2.01159898  -0.31995141   5.63577284]"
"[-1.61616666 -6.61178929 -1.61616666 -6.61178929 -6.61178929 -6.61178929
  0.01193212 -6.61178929  0.01193212 -6.61178929]","[ -0.68344919  -1.5825839   -5.2687155   -4.19833649  -6.84851348
 -19.81818957  -1.96613977  -6.65097973  -5.2687155   -4.19833649]","[ -7.40549981  -7.97897996   2.0243435   -2.27461205 -13.87643858
  -6.649511     0.81994151 -13.84140521  -5.26614541 -13.87643858]","[  1.86188861   1.87902539   1.68324001   3.56503077   6.60890453
   3.58700434   0.7092473   -0.88871599  10.87913126   6.40533369]","[-11.68142343 -12.24136891  -8.07885774  -1.74818737  -7.2395207
  -6.12690334 -11.6543484   -6.38879191  -6.24090529  -5.78207415]","[-5.169638    1.16896407  2.20300043  1.27910052  1.81276798  3.52592537
  3.96249126 -2.92195316  6.07596234 -2.00474148]","[ -7.55453733  -4.1558551  -12.09824257 -11.46708798  -5.8603497
 -15.02505408 -11.05684272  -6.90993201 -16.78868088  -8.20306933]","[ -0.9917766    6.00383451  -5.25660341  -6.74715643  -0.13526774
 -10.7266977   -1.23834592   2.39818064  -0.8124853    0.96149111]","[ -7.964769    -7.24756297   3.55654372  -5.2635801  -11.59673646
   0.69711443  -4.62258666  -6.90412929  -8.52987692   0.81592786]","[ -1.34739702   0.33891482  -0.9960004   -6.6698444   10.12867808
   4.8596852   -4.70769312  -6.62217294   8.36951426  -9.73671369]"
"[-3.08988255  0.31584646  1.50397088 -3.08988255  1.50397088 -3.08988255
 -3.08988255  0.31584646  1.50397088 -3.08988255]","[ -2.20481192 -12.93531324  -9.59185324  -3.58114888   2.38412554
  -9.59185324   3.20229294   4.09930838  -5.27348187  -4.14491095]","[ -7.96976964 -10.54918127   1.46681227  -7.2892426   -2.32048796
 -12.91928743  -6.1651979   -2.70217481  -1.86598336  -6.39761622]","[ 5.79767876  3.45997854 -2.50095888  4.91705525  5.61642003  2.14257226
 -0.78983591  2.823446   -0.90505444  4.76383137]","[ -5.10502265  -6.70577712  -5.10502265  -6.70577712  -7.25839839
  -7.69546412 -13.44087075  -7.96331305 -11.7534175   -7.31922541]","[-2.63776598  0.57406822 -6.81889829  6.87380209 -0.67175916  0.25637959
  1.15514026 -5.85833392 -3.42071991 -3.44558374]","[-20.04910631  -5.73176356  -9.54105736 -11.38079001 -10.5095479
  -8.94864084  -1.22045078  -3.53196378  -6.76479813  -3.36895962]","[-2.54996943 -4.56847822 -8.36460533  1.69495893  6.3346273  -4.90877604
 -9.61725248 -7.38326277 -6.59287047 -4.98813757]","[ -7.42631934  -8.93692118  -8.11640574 -13.52601116  -5.58979085
   4.33889709  -2.04919085  -2.35978402  -7.65094419  -3.96380871]","[  5.70614063  -1.90872315  -4.32738526  -2.26125521  13.18896208
  -0.50733234   0.37735347   4.05475114  -4.72492677   0.76866794]"
"[-2.15838002  1.3808126   0.40644567  0.31728989  1.3808126   0.40644567
  1.3808126   0.40644567  0.40644567  0.31728989]","[  1.76511856  -1.81183903  -1.76008893  -7.15263313 -14.60605935
 -11.02413194 -19.59549634  -3.8394607  -19.59549634  -3.8394607 ]","[ -7.98789115 -10.38222889  -4.166639    -0.05416898  -6.55267942
  -7.63912268 -10.16348779  -8.19252612  -9.82728156  -6.80153829]","[ 11.09297429   0.0824382   10.37216721  12.25351072   7.78325689
  13.04624428   7.86034882  -3.09997497   5.42805389  -2.99363119]","[ -8.46615837  -9.3395561   -5.87442861  -7.31625436  -0.6664372
  -5.80764766 -10.46282595  -8.04165908  -6.0128028   -5.89115948]","[ -1.02937694   0.02911845 -10.16948501  -1.01823544   2.32714834
  -0.93940118  -0.3519219   -0.17921355   0.75133107  -6.22020791]","[ -6.75593987  -9.50983969  -9.71401171  -5.71289784  -9.10577762
  -9.99974903 -11.22229609  -4.97744253  -6.30288097  -8.51655871]","[ -0.50876318   0.69778002   3.80521815   3.47763687   4.66683478
  -6.72998069  -5.14729188  -0.73299769 -12.26275612  -6.37371308]","[  3.63182773  -3.36365996   3.87093066 -10.24021997 -13.49473122
  -7.29692871   5.13023808 -10.47374537  -7.64861383  -7.08819036]","[-7.39347958  6.22895104  0.96636817 -5.78263247  3.54769509  5.7122971
 -1.93876438 -3.74704457  2.16142867 -4.9022236 ]"
"[-0.99106914  3.90362491 -0.99106914  3.90362491  1.83944919 -0.99106914
  3.90362491  4.25511394  3.90362491  4.25511394]","[-11.97252438 -13.42346075  -1.67807789  -1.74708396  -0.31311574
 -10.91404778 -11.37888797 -14.83652445  -0.62717094   2.61719037]","[ -4.13033452  -0.05687015  -5.14273301  -5.01331726 -14.9052492
 -10.78337818  -6.68978666 -11.81045424  -2.70480109 -10.07697618]","[  9.72150709   7.06334702   3.74756188   1.75217556  -0.34611458
   5.85107584   5.37567823   0.96211184   6.1356538   10.74659738]","[-11.42237466  -2.63805417  -3.89246225  -7.63883514  -7.54339628
  -0.92236614  -3.58653454  -6.00305235 -11.84591981  -7.30133443]","[ 1.49552211  6.17780282 -0.47192863 -4.60510628  0.32640364 -6.27525595
 -7.8702216   2.29526836  0.6126265  -6.84764548]","[ -3.91173775  -5.63909189 -15.02415174  -8.73034128 -13.19664382
  -4.74230006  -8.59278275  -8.26445278  -4.25259235  -9.86851079]","[ -2.14427361 -13.57767956  -3.11787064   1.47375557  -5.8049873
   2.52147447  -9.59560347  -0.5662884    3.07679412  -7.15655817]","[  2.32856149 -10.40193021  -3.83380318  -1.02994317   2.19325238
 -18.91573945  -6.23856272  -9.72942328  -0.36349063  -8.69936203]","[  2.84089689   7.73871017   6.33922389  -9.79025723   1.34132213
  -3.33303315 -11.13540536   0.40981179  -3.15885917   3.66106943]"
"[ 4.26510151  4.97680673  4.97680673  4.97680673  3.48541005  4.26510151
  4.97680673  4.15013303  4.26510151  4.26510151]","[ -9.75974423  -6.12033874  -9.01125852 -12.93308307  -0.761326
  -4.55943049   2.56055299  -4.21394095  -1.66334739  -0.30411881]","[  1.74476605  -6.59969669  -0.11714984  -3.60648888 -10.9716433
   0.33659076  -1.47843825 -16.35035616  -8.14710462  -1.47273009]","[  9.59100026   7.18892431   0.32364523   6.96161563   2.14662483
  -0.44839956   3.66405871   4.68574485  11.95294393   0.40551159]","[-7.66970065 -1.01655718 -2.97955911 -8.28867621 -1.01655718 -9.1133719
 -5.90120401 -7.62863509 -4.57728135 -8.38327042]","[-1.58534763 -8.89129409 -1.76722709 -4.19286939 -2.40258842 -4.57729165
  3.62216219 -2.92470036  5.78003671  4.4114184 ]","[-13.17542394  -9.02886821  -8.98303667 -11.66328025 -10.5708651
   2.4255735   -6.25818257 -18.55902696  -3.47343024 -11.08133632]","[ -9.84786113 -11.11241193 -10.05656526   2.63399467  -2.10170098
   1.51166512  -6.33405827 -11.84283668  -1.66543511   0.34224177]","[ -2.98669838   6.51442238  -8.67796628  -7.95459253  -9.14161039
  -4.42492448  -7.00465296 -10.81311932 -13.56038631  -6.38610905]","[ -2.28282292e+00  -7.60229829e+00  -4.69710254e+00  -6.65923055e+00
  -2.56555849e+00  -3.38039282e+00  -8.35714858e-03   1.87776198e+00
   6.30025067e+00  -9.76432733e+00]"
"[-1.77757788 -0.31760938  5.69976845 -1.77757788 -1.77757788 -0.31760938
  5.69976845 -1.77757788 -1.77757788 -0.31760938]","[-14.47051068  -6.54364052  -2.18759417 -12.84639903 -14.47051068
  -6.54364052  -2.40439622 -12.39962539   7.77890671  -4.55379413]","[ -0.15546274  -8.11836055  -0.15546274  -8.11836055  -2.01135104
  -9.87494925 -11.6606068   -6.23872479  -3.71235558  -0.23734719]","[ -2.08962651   4.58009446   6.10762122  12.97925037   4.03493948
   1.78434153   3.97844812   5.9574243    6.155451    11.90393435]","[-2.41290738  0.28141644 -5.22263655  0.88077533 -8.50172685 -2.32482018
 -9.1280453  -2.41290738 -1.31458626 -2.99758232]","[  0.30193028   4.25815782  -3.96375848   5.60489096 -12.194916
   7.63455298  -6.31542102   1.98982119 -10.26198458   1.60249768]","[-15.43024421  -4.75204972  -3.95063938  -4.62158529  -8.67414041
 -12.26112437  -5.61400346 -10.64674386  -3.38572333  -9.35397422]","[  6.31350304  -4.84803694   0.22816885 -10.56722301   3.3323679
   0.09828067  -7.40787514   2.15281946  -9.57832184 -11.12526509]","[ 10.03418685  -8.1374039   -4.5748865   -6.50634084   2.13734776
   0.30595181  -7.54629757   2.57784068  -6.9384261  -10.08516249]","[ -4.90740171  -5.43023092   4.99982369 -12.76540892   0.18120669
  -3.50917694   0.64256413 -10.48553748  -4.69244712  -2.91733675]"
