nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
33,95,11,73,2,74,44,89,21,20
166,47,47,44,210,181,57,16,30,36
6,73,26,22,28,0,39,9,91,100
10,6,10,20,43,15,52,15,5,76
49,19,79,20,17,4,10,30,15,18
18,5,15,8,9,13,2,18,17,1
17,14,11,3,10,3,12,2,0,6
1,10,51,8,13,13,1,22,5,31
3,3,31,30,21,5,1,1,12,2
2,4,12,1,6,1,12,15,1,9
2,6,8,2,5,4,18,6,3,3
2,1,10,3,3,9,5,2,17,5
11,13,0,20,2,1,5,3,8,5
19,2,3,1,2,0,0,3,8,1
3,0,8,5,16,1,3,1,3,10
1,2,0,9,3,35,8,5,3,3
4,5,3,0,1,0,6,1,3,0
1,2,7,2,8,1,3,9,4,2
2,1,2,1,1,3,0,7,1,5
0,8,0,1,1,0,1,1,0,1
3,3,6,5,3,2,3,1,7,1
0,5,5,3,2,0,3,3,5,2
4,5,1,8,0,3,4,4,4,1
6,0,0,0,0,1,4,2,3,2
1,1,4,0,0,5,0,1,1,3
1,0,1,3,5,0,4,0,4,0
1,1,1,0,2,1,10,1,0,3
0,2,1,1,2,3,1,1,5,4
0,0,0,1,0,1,2,1,5,2
4,2,1,1,1,0,1,4,3,2
1,2,3,0,1,1,3,1,0,0
0,0,1,0,3,1,0,1,4,1
0,0,3,4,0,2,1,2,1,1
0,3,3,0,10,0,1,0,1,1
7,3,3,2,5,1,1,5,1,6
0,0,1,3,0,3,1,0,0,1
1,0,2,3,0,0,0,2,3,1
1,6,1,1,3,6,0,0,3,1
0,0,6,0,0,4,6,1,0,5
2,1,0,0,1,0,1,3,1,2
0,1,0,0,6,5,2,4,3,1
2,0,1,0,0,2,0,0,2,2
2,4,2,1,3,1,0,0,2,2
0,0,0,2,7,1,5,0,1,3
1,0,23,0,0,4,1,0,0,0
0,2,24,6,2,1,0,0,0,2
1,1,4,1,0,4,3,2,2,0
1,2,26,0,1,0,2,0,0,0
0,2,1,1,3,4,3,0,0,0
1,7,1,0,2,0,1,1,1,2
3,1,8,6,1,0,0,0,4,0
0,0,3,0,4,1,0,1,1,0
2,1,3,0,2,8,1,5,1,3
2,2,2,0,0,1,1,0,2,0
1,1,1,0,3,1,1,1,1,0
2,1,7,2,3,1,0,1,0,6
1,1,2,4,1,0,0,0,4,1
0,1,1,2,0,1,1,2,6,2
0,0,2,0,0,0,1,0,0,0
1,1,1,1,1,1,2,0,1,0
3,0,6,3,0,2,5,1,1,5
0,3,2,1,0,1,1,2,0,3
1,2,3,0,0,1,2,4,2,1
0,3,0,1,0,0,1,0,1,3
2,0,3,0,1,2,3,0,0,1
0,0,1,1,1,1,5,0,1,0
4,0,0,1,1,0,1,2,0,0
6,0,4,0,0,1,2,3,0,3
1,2,4,0,4,0,2,1,0,1
0,0,0,0,0,2,0,0,0,1
2,5,2,0,0,0,0,1,0,0
2,0,0,1,1,1,0,0,2,3
2,0,7,2,2,1,3,0,1,0
0,3,0,0,0,0,4,1,1,0
2,0,0,1,1,2,1,0,0,0
2,0,1,1,1,1,0,12,0,0
4,0,1,2,0,0,2,4,0,1
0,0,1,1,0,1,1,0,0,0
1,1,1,1,2,0,4,1,3,1
4,0,1,0,3,0,0,0,0,2
3,0,1,1,0,2,1,0,1,3
1,1,1,1,1,0,0,0,3,0
1,0,0,0,1,0,1,0,0,2
0,2,3,1,0,0,0,0,1,1
4,0,0,1,0,1,1,3,0,3
1,1,1,0,0,0,0,0,0,1
4,3,1,4,2,0,0,2,0,2
6,0,1,1,0,1,3,0,2,1
2,0,3,0,1,0,2,0,1,1
2,0,1,0,1,2,1,0,0,1
0,2,3,1,1,0,0,1,0,0
3,1,2,0,0,2,7,1,6,2
0,0,1,0,1,0,1,0,0,1
0,1,0,2,1,0,0,0,3,2
1,0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,2,0,0,3
0,0,0,1,1,0,1,1,3,1
1,0,0,0,1,0,2,0,0,1
1,0,2,1,0,2,1,1,0,6
