nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
109.0,15.0,17,41.0,69.0,229.0,28.0,14.0,25.0,69.0
53.0,86.0,79,51.0,99.0,32.0,25.0,251.0,80.0,20.0
8.0,21.0,89,25.0,16.0,67.0,33.0,69.0,95.0,4.0
27.0,40.0,53,83.0,32.0,35.0,141.0,30.0,6.0,7.0
18.0,16.0,1,23.0,3.0,25.0,2.0,5.0,15.0,8.0
7.0,42.0,6,4.0,27.0,23.0,37.0,47.0,2.0,8.0
26.0,14.0,15,9.0,8.0,11.0,44.0,8.0,94.0,108.0
4.0,15.0,15,6.0,1.0,8.0,2.0,11.0,1.0,112.0
28.0,8.0,3,10.0,7.0,1.0,13.0,19.0,2.0,81.0
9.0,1.0,36,15.0,2.0,6.0,4.0,16.0,18.0,4.0
1.0,3.0,10,51.0,4.0,3.0,30.0,10.0,13.0,5.0
1.0,25.0,5,7.0,62.0,9.0,8.0,2.0,3.0,39.0
9.0,1.0,8,6.0,21.0,55.0,4.0,2.0,27.0,2.0
6.0,47.0,3,21.0,8.0,1.0,8.0,4.0,8.0,2.0
39.0,18.0,8,3.0,10.0,2.0,6.0,14.0,6.0,2.0
3.0,9.0,1,1.0,5.0,2.0,7.0,4.0,7.0,7.0
4.0,8.0,2,6.0,12.0,1.0,8.0,3.0,8.0,1.0
6.0,9.0,1,7.0,6.0,4.0,2.0,1.0,9.0,3.0
5.0,4.0,4,7.0,2.0,7.0,2.0,1.0,6.0,1.0
8.0,5.0,1,6.0,1.0,1.0,2.0,5.0,4.0,1.0
8.0,2.0,1,1.0,4.0,2.0,6.0,1.0,4.0,1.0
3.0,12.0,1,1.0,2.0,1.0,3.0,3.0,2.0,2.0
7.0,1.0,2,1.0,9.0,1.0,4.0,1.0,6.0,2.0
2.0,2.0,2,1.0,1.0,1.0,2.0,3.0,6.0,1.0
6.0,3.0,1,1.0,1.0,3.0,1.0,1.0,4.0,1.0
8.0,2.0,1,1.0,2.0,1.0,1.0,2.0,1.0,1.0
5.0,5.0,2,1.0,1.0,1.0,2.0,1.0,6.0,1.0
1.0,4.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,1.0,1,2.0,1.0,1.0,1.0,1.0,1.0,2.0
3.0,4.0,1,3.0,2.0,1.0,1.0,1.0,3.0,1.0
3.0,1.0,1,1.0,2.0,1.0,3.0,1.0,1.0,1.0
3.0,2.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,1.0,1,1.0,1.0,2.0,1.0,2.0,6.0,1.0
2.0,2.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0
1.0,1.0,1,2.0,2.0,2.0,2.0,1.0,2.0,1.0
1.0,1.0,1,1.0,1.0,2.0,1.0,1.0,2.0,2.0
1.0,1.0,2,1.0,1.0,1.0,2.0,1.0,1.0,1.0
1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1,1.0,4.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1,1.0,1.0,2.0,1.0,4.0,1.0,2.0
1.0,1.0,2,1.0,2.0,1.0,1.0,1.0,2.0,1.0
2.0,1.0,1,1.0,1.0,2.0,1.0,2.0,2.0,1.0
1.0,1.0,1,1.0,1.0,,1.0,,1.0,1.0
1.0,1.0,1,1.0,1.0,,1.0,,1.0,1.0
1.0,1.0,1,1.0,1.0,,2.0,,1.0,1.0
3.0,1.0,1,2.0,1.0,,1.0,,1.0,1.0
2.0,1.0,1,1.0,1.0,,1.0,,1.0,
1.0,1.0,1,1.0,1.0,,2.0,,1.0,
1.0,1.0,1,1.0,1.0,,1.0,,,
1.0,1.0,1,1.0,1.0,,1.0,,,
2.0,1.0,2,1.0,2.0,,1.0,,,
1.0,1.0,1,1.0,1.0,,1.0,,,
,0.0,1,1.0,,,,,,
,,1,1.0,,,,,,
,,1,1.0,,,,,,
,,2,,,,,,,
,,1,,,,,,,
