rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[ 59.96185934  19.97120421  49.98493509  49.97879696  29.98566277
   9.98589174  19.98631852   9.98424651  49.98767576  39.97822938]","[  9.98298716  49.99037868  49.98212973  39.97865502  39.98000449
  19.98107487  19.9890186   19.97824636  39.97346147  29.98697116]","[  29.97866033   39.98123206    9.98423252    9.98239647   19.97291172
   19.97335311  129.9571693    39.97575568   69.96732738   29.96448809]","[ 19.98290003  19.97147543  29.96657082  49.97584461  59.96493016
   9.98452466  59.98181052  49.98337222  99.96148266  69.9412344 ]","[ 29.99316409  39.98208792  29.98654941  49.94708427  39.98462288
  39.96611351  79.97530001  29.97735739  19.98335558  59.98433966]","[ 39.97037324  79.95543875  89.97100962  49.95919256  49.9733228
  69.96073315  19.97465913  59.98819983  79.96265357  29.96270246]","[  9.98044928   9.98778118  79.94575548  29.95981276  59.91948213
  19.97811454  29.98445966   9.98426496   0.          79.94874464]","[ 19.97177783  19.99284284  39.97530089  19.98056087  39.97930534
  39.98278165  39.94960383  29.98355678  19.97934614  59.96537653]","[ 29.97950703  29.98823917  19.99210149  39.98642224  59.98319795
   9.98497704  49.97584329  29.99029304   9.98514355  29.98647976]","[ 19.96986596  49.94280485  49.97220578  49.96434113  39.9794077    0.
  39.98223941  29.95673439  19.98577221  69.97222454]"
"[  19.97952966  109.94369406    9.97970147   19.97136613    0.
   19.96922136    9.99063308   49.97258959   29.97346334   59.97436877]","[ 29.97417235  79.89522549   9.98808714  29.98453567  19.97413482
  19.97859434  49.96672098  59.97010912  39.96935813  49.94585892]","[  29.98827499   49.96229388   59.96152338    9.98976995   19.98262816
   49.9737738    69.94941319   59.97059605  119.91980578   69.97836869]","[ 59.96858997  39.97911993  19.99096695  39.96492632   9.9844085
  29.99076477  69.97158817  49.98197522  39.94697977  19.97813517]","[ 19.97123178  49.97845161  19.96682896  99.95353567  39.94219768
   9.98619936  39.97238984  49.97430107  39.97290995  39.9780778 ]","[ 39.98753148  39.98018485  39.97125498  29.98689981  39.98323571
  39.97934964  39.97373806   9.9801289   89.96237186  39.98103794]","[ 79.94587     59.97840737  99.95814846   9.98754203  39.97255144
  19.97339012  29.98653174  99.97616269  69.98864172  19.98161556]","[ 29.99073289  59.97957742  39.93088186  19.97009632   9.99043595
  29.97773332  99.9814787   19.97553616  19.98112354  29.9897245 ]","[ 29.99233615   0.          19.96894351  49.98543901  19.98196823
  29.96126276  39.98118817  29.98275499  29.99131641  29.97221701]","[ 139.92015907   29.99192064   99.97273037   19.98643951    9.98511626
   19.98450397   29.98970585   49.97900208    9.98339471   29.9760965 ]"
"[  29.95944765   39.94497005  109.97074276   19.9757683     9.98505897
   29.98590906   49.97878152   39.98526562   29.97129112   59.9704706 ]","[ 29.97836042  29.96106199  19.98247748  49.95882626   9.98413761
  39.96154399  49.97392626  79.96965341  39.98252301  19.98255167]","[ 39.97855368  19.96580452  29.98510424  29.978492    19.97757079
  39.98185169  29.96472153   9.98458873   9.98507481  39.97780001]","[ 119.95334444   19.98946674   89.96230721   39.96136465   19.98053872
   19.99222044   39.95836631  169.94182258    9.98390784   59.95363548]","[  59.96815012  109.97409808   29.98617113   29.98793966   49.97278236
   29.98882482   39.9508162    49.98008259   49.95983427   59.96862843]","[  9.97911405  29.97198484   9.98524343  49.96806511  29.9812718
  29.98320597  19.99002422  29.98252382  19.97404197  59.97408908]","[ 39.97858296  39.97744514  49.96903938  19.97151983  59.9745138
  49.96742183  19.98620693   9.98037332  19.96831114  59.96334874]","[ 29.98474355  39.98954477  69.95514823  19.99221803   9.98579845
  59.95807796  59.9692449   29.97476423  29.96997157  29.97973264]","[ 69.94926184   9.98859068  39.9730578   39.98919205  19.96812929
  39.94704214  49.96834621  39.98708589  59.97539376  39.95125029]","[ 49.96233048  79.95155435  49.97055177   0.          39.97841688
  29.98371823  39.98426107  19.97046538  59.95690856  59.97497227]"
"[  29.98301824    9.98474683   29.99146894   39.97874607   19.97816372
   19.96931251   19.9737173    69.97313792   49.97395052  109.89557705]","[ 39.97426115  79.96874018  29.99159328  59.94959315  29.98150713
  19.98791972  39.98060237  39.97460914  29.97170625  29.98678883]","[  69.95852457   29.98583427   49.98645314   29.99086339   29.98086845
   29.96724384  139.9513321    39.96227638   49.93928787   29.9889936 ]","[ 29.98184948  79.97477466   9.98845359  39.94401348  89.9633491
  29.9584008   49.98427577  19.9856423   59.97063617  69.9556468 ]","[ 69.97169473  39.9494037    0.           9.98726464   9.98556827
  39.97887535  29.97435694  49.98586434  29.98245303  39.97687648]","[ 19.99120731  29.99063985  29.97905575   9.98088869  79.98797152
  29.97506776  39.99084496  49.98084924   9.99138995  89.98706996]","[ 39.9807456   39.97459069  19.99370309  19.98770251  39.96791699
  39.97554753   9.98882586  19.97205559   9.99010093  19.97134667]","[  0.          29.98696667  79.96040028  29.98877233  39.95768348
  49.97007824  19.98968976  19.97103861  89.97162718  39.97999801]","[ 39.93360909  19.97797711   9.98690293  39.96773615  49.97884959
  49.95135691  59.96819175  39.960044     0.           9.98612234]","[  69.97205255   29.97694328   89.95503943   39.971752    109.90495334
   29.98979039    9.9816649    59.9833654    19.97576769   29.99103411]"
"[ 99.97646388  89.94808182  59.99031014   9.9819011   29.97875869
  19.99089688  89.9354213   89.95558559  19.99251931  59.9768693 ]","[ 99.97997867   9.98463266  29.98066035  29.955384     9.98498158
   9.9857202   49.96852038  39.98338715   9.98097159  39.9719604 ]","[  39.99016793    9.98450723    0.           39.95690713  129.95461587
   19.97200536   49.95974201    0.           59.97874361   49.97670304]","[  29.96139744   29.9909947    29.98994723   89.94722008   59.98337129
   79.95862504   19.98475943   59.97988544  129.95587567   19.9795732 ]","[  29.9893741    39.97464946   49.98547433  119.93516135   29.9763995
   29.98585801    0.           39.98751221   49.98195638  139.93417013]","[ 69.96529805  29.99082131  39.97252736  39.9867531   49.99040713
  29.98295012  79.96363448   9.98702352  19.98804731  89.94809484]","[ 39.97512659   9.98638451  19.97521044  49.96985616  39.98159044
  39.98790969  29.98790483  29.98996774  49.98133957  39.9808394 ]","[ 39.98537484  19.97343306  39.97004784  39.97543643  49.98492873
  59.96959425  69.96698122  69.97131332  29.98661423  39.98928442]","[ 49.97240418  29.97377037  79.96321176  29.99210182  49.98391662
  59.96992049  49.96133993  29.97501077  29.97392175  39.98168902]","[ 19.96782528  59.97430729  29.98821832  29.98663916  49.9875742
   9.98478395  29.96568168  29.96662467  29.97944619  59.9636438 ]"
"[ 19.97971375  59.96366513  49.97394253  49.96946953  39.97666856
  19.96838048  29.97029462  49.97071598  49.96410538   9.98263615]","[ 49.97343521  59.97371692  89.94562443  69.94362381  79.97707659
  39.97450615  89.95714557  29.97824989  59.96972728  99.96513021]","[  9.98806014  69.95866487   9.98030344  39.97213306  19.97829064
  79.962687    19.99253053  39.96823383  29.99206298  49.97400549]","[  49.94714333   29.96149657    9.98713778   59.96599151   59.98435804
    9.98580987   29.97667152   29.96581195   39.96526418  109.94555352]","[ 29.98049778  49.97091074  29.97630957  49.97549817   9.98467673
  69.97897221  49.96436202  39.98753422  69.95631012  19.9722072 ]","[ 99.95022603  59.97930894  29.99112994  49.97942246   9.98278391
  29.9922866   39.98571934  59.95698036  39.98428679   9.99219635]","[  39.95372592   59.98436957   49.98567777   19.98217301   39.96275372
   69.95702792   29.97795377  109.97225461   89.9572497    79.95101509]","[ 19.98911529  39.97297516  59.9624767    9.98787761  39.95445901
  59.96375217   9.98510588  29.99102996  69.97281532  59.96537248]","[  9.98547585  39.98066974  39.98213588   0.          29.98926363
  39.97691428  49.97227396  29.98747382  39.98572526  39.9861892 ]","[ 19.98252935  49.96689388  59.98345925  49.98129653  39.97151683
  29.96848466  29.9849221   39.98104701  79.98010567  39.96974992]"
"[ 19.98196197   9.98743936  29.98277418  29.98348465  49.9691131
  79.95294869  29.99008669   9.98817424  79.95902425  19.98915508]","[  19.97578998   29.98170402   19.97370773  109.90693134   29.97496142
   49.95509499    9.9793978    89.94388772    9.98379776   39.9649165 ]","[ 79.95725345  19.97814291  29.98050273  39.98886816  69.97366058
  99.97882075  39.97697066   9.98222928  19.97497384  19.98538452]","[ 19.97321689  39.99141899  19.97316349  39.98748903  39.98636327
  29.97296974  29.97583489  19.98553491  79.98372407  39.98565388]","[  9.98491941  39.94368068  39.9674001    9.98006284   9.98201059
  19.990062    79.95033942  29.99108897  19.97033858  59.98111255]","[  39.97575023   39.97117449   69.96728918   49.98004326   19.97084183
   49.98040326   19.96474704  129.94368265   69.98017418    9.98664413]","[  69.95957015   19.98728504    9.98380014    9.98119757   59.98144879
    9.98651267  119.87967048   69.95986431    9.98575426   19.97801575]","[ 19.98773369  79.9197713   19.98159754  59.95181895  79.98504127
  19.98058569  49.94962762   9.9886275    9.98808874  29.98881934]","[ 109.92931446   49.97937576   39.98180924   29.9860281    39.93925706
   39.98122969   29.97575449   49.97655223   39.97999887   79.96665141]","[ 69.96431176  29.97291581  59.95533435  89.93978242  69.92166066
  39.98599223  19.97929007  19.9702373   49.97250047  29.97530614]"
"[ 29.96883775  29.95781732  39.97816646  19.97237979  29.98947971   0.
  69.95915995   9.98461776  29.98899188  29.98643619]","[ 39.93940147  49.96610596  79.96179791  29.9919477   19.96127934
  19.98142714  19.98417217  49.97296329   9.98341585  39.9671386 ]","[  29.97474119   29.98052756   39.94597947   49.98600757   29.97473608
   69.96716819   19.96943473  129.87880951   49.98104713   19.98408965]","[  79.97206456   69.97271104  119.91092244    9.98666259   29.98916601
   39.98426355   39.96567776   39.97999203   29.97262504   39.94725133]","[ 29.96408391  49.97692514  29.96681668  39.97332456  69.97829961
  39.96702044  49.96965622  19.96646881   9.98436242   9.97960419]","[ 29.98718869  39.96531222   9.98739217  39.95994182  19.97374252
  39.97355511  49.96383761  39.9912337    0.          49.97757632]","[ 229.94065192   49.99059305   19.98959361   69.9901008    19.98496965
   29.99107427   39.97268353   39.96935998   89.96854899    9.98587585]","[ 69.98187471  59.97974889  39.97934747  29.98861636  49.97651275
  29.9901541   19.98883549  29.97350914  39.97422502  69.96950437]","[ 19.97576271   9.98208901  39.98394255  99.97279981  49.97279199
  89.97334775  39.98007816   9.98813446   9.98546883  29.98840296]","[ 29.98084778  49.97909877  39.98459503  49.95249925  29.96616914
  39.95620494  99.95025334  39.97995022  39.99063751  39.96865028]"
"[ 79.92435636  19.97136404  89.96968843  19.98566033  29.97919666
  49.96174045  69.97801147  39.97763428   0.          39.98261173]","[ 29.9839074   59.96949927  79.93020101  99.96506947  19.97161925
  79.93248834  39.98200069  69.95470169  29.99116058  29.98907784]","[  9.98464933  49.97812606   9.98455977  19.98265831  19.98207118
  39.98399059  39.94732298  39.97699538  59.98312127  69.96592122]","[ 79.97553446  59.97356767   0.          49.97583381  39.96998258
  19.97899726  19.98393273  29.98908106   9.98085816  39.98413149]","[  9.98836412  29.98605155  29.98559937  29.98695209   9.99005073
  29.95111311  99.91649451  49.97322046  19.97372935  19.98716661]","[  59.95849649  129.94839855   19.96692301   29.96346879   39.98399826
    9.9868817     9.98752554   19.97969983   39.98760917   39.98043439]","[  29.96663247   19.9697005    19.98168652   19.97387211    9.98281715
  119.97757839   59.97426617   89.95933665   49.95960417   99.97130753]","[  39.97226061   69.96323022   49.95402443   29.99149809   59.98901684
   19.9871333   129.95078815   49.97232253   39.96739154    9.98706163]","[ 29.95614339  69.97119879  39.97802523  59.96523481  39.98325101
  59.97543973   9.98580117  69.97164333   9.98090566   9.98412062]","[ 69.95543998  29.99095675   9.98757137  99.95518993  59.96187633
  39.95720067  39.96686461  89.96763807  29.99064244  59.97930375]"
"[ 39.95804618  19.96803257   9.98728243  49.96767445  29.99024299
  19.9856178   19.9946114   59.97510457   9.99119538  49.97050102]","[ 39.98262556  49.95184746  49.97393224   9.98928783  39.97830377
  29.99018014  29.96992609  49.96544849  59.98447779   9.98372408]","[ 29.98123987   9.98061376   9.98632479  59.95982446  29.98716793
  59.9653733   29.97753602  19.99144764  29.97222145  69.94063571]","[  29.96538335   39.97736434   19.96862721  129.9449844     9.98329975
   29.98928577   79.94929043   59.95846237    0.           29.98309123]","[   9.9881586    59.98721004   39.96845971   29.97859948   19.97230206
  159.87119872   69.95605345    9.98964204   29.97639657   39.97497872]","[  39.9779271   119.94648528   59.98339177   59.96946788   39.9827449
   69.97612826   29.99004977   29.98345157   59.93579322   39.97023125]","[  9.98183878  19.96634892  29.98897506  79.91239764   9.9826766
  39.97935377  39.97995429  19.98403762  29.98078158   9.98711122]","[ 29.98111305  59.96216788  79.92058964  29.97280069   9.98115465
  89.95801143  19.96871833  29.97854614   9.98301452  29.97900519]","[ 19.96544309   0.          29.98967879  19.97376351  29.99051646
  29.97659735  89.94291407  29.97510257  49.97809522  39.98748292]","[ 29.97928834  39.9730251   39.97420994  19.97508124  39.97682259
  49.96462188  29.98889165  39.9699215   39.98141239  29.9927525 ]"
