rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[  19.97429747  109.88708297    9.98846826  259.91170687   39.95121529
   39.92728307   69.9581565    49.96302929    9.9803279    49.92320786]","[ 169.88459142   49.97847745  149.86815599   79.94386863   29.95818928
   39.95422113    9.98693589   59.95285081  119.95373337   59.97483996]","[ 129.95178827   49.96875288  169.86951213   89.8756377   169.92832501
  179.92904669    0.            9.980362     49.97101395   99.9630625 ]","[ 119.92490963   59.95076105   59.95496638    9.98784423   19.96636044
   49.94898247   69.95327141   79.96667856   19.96595873   29.97740079]","[ 209.83276068   79.91186226  189.87694057  109.90183715   99.93443854
  289.92025426   29.9700324    49.96808719   59.98306195    9.9851867 ]","[  99.97153946  179.90108246  209.92443015   29.98322336  129.89267002
   59.93111561    0.           59.96505289   29.97737381  129.89022758]","[ 109.93611568  129.93306184   79.94389953  259.86876022   59.96483902
   69.94262893   69.97049829   49.95846846   39.98212245   59.9445302 ]","[  69.95772122    9.9805927    29.96417629   89.97162307   49.93677395
    9.98007613    9.98021579  259.87997766   79.95834387   59.96787031]","[  89.96990995  189.8608298   169.92387274   99.98066041   29.9698692
   19.96966251   39.9717381    29.96725801    9.98334486   39.96816529]","[  99.95519986  259.85002068   19.97404746   29.98595318    0.
   89.94499238  139.96058917  109.96624047  119.95735496   29.98948261]"
"[  59.98505962   19.97132901  139.95947134  229.84582037   49.97121473
   19.96460675  109.95495593   79.94353739   19.96822447   29.95201899]","[ 139.94650141  299.86438404   49.92221861  139.92289004   49.96172841
   69.98003345   49.97441952  259.88492351  179.90831322   59.94902008]","[  39.98523816   19.9785263    49.93808753   69.95535569  119.97261477
   69.95103835   99.91995229    9.9807402    29.97595101   99.91979321]","[  59.94475564  149.96944873   29.98537984   39.96788623  279.85360351
   29.96669551   29.96523214  179.84480936   69.96581335  179.89333112]","[  39.96235049  129.92264807   89.88972409   59.9711542    19.97568947
   69.96776011  229.79780537  169.81623089   99.94939641   89.97414114]","[  59.95876372  179.91999534  129.96048643  159.94697979   29.96851262
   49.98449817  189.85078864   69.92042948   79.93394748    9.98693636]","[  19.97360608  129.9477578    99.95338237   59.9806862   139.96653466
   69.98367953   69.94476931  139.83617003   49.96659258   19.96754319]","[ 109.93351854   89.96530442    9.98293034   79.93660611   49.93186535
  109.90876896  259.87324926  109.95151435   49.95983461   89.88480811]","[ 189.81856554  109.95242917   39.98499806   49.96905533  199.91999007
   59.97495994   39.96728551   69.9529756    99.96490235   19.96426555]","[ 169.91933576   49.94700831  129.96922901  289.88457388  279.88543153
   29.97221632   19.96862436   59.95081935  279.8198337    19.96209108]"
"[  39.95152817  109.91209639   49.92153465   29.96555442   79.97109327
   79.95387502    9.98626067  169.90535256   39.9795656    19.97324635]","[ 119.8786236   349.82859943   99.9432225    89.92131629    9.98673908
   99.95344989  239.91285644   69.9545545   159.94650552  199.87709285]","[  79.94105924   89.96307157   69.95325461  159.92999242   39.9394678
   69.91998257  199.91851623   79.96632747    9.99181897  109.93640114]","[ 149.88468488   99.96771422   39.98555927  139.95635413   19.97857385
   29.94865452  159.95376343  209.85384321   49.93239483   49.95780368]","[ 219.93826752  129.90388922   89.92902922   49.94067275  409.76935582
   99.89945421  109.96554207  489.85444436  129.96223401   89.97002555]","[  39.95830898  119.93518974   79.8931518    39.95476942   29.97933892
    0.          109.87691353   89.94237092  189.94619878   39.96934773]","[ 269.94381982  159.91943087  129.92252066    9.98880045   29.96690995
  129.96080267   39.97672574   29.96803513  169.91775266  129.95392543]","[  99.92971215   39.97785157    9.98437333  169.91778039   69.97402175
   99.95034188   49.97837803   59.94071103  169.95906678   19.97144862]","[   0.           19.97655927  149.85416194  139.90385356   99.88714079
   29.96833973   29.96422518  209.86962078   29.98576569   39.96228601]","[ 129.94413661  129.96086774  149.92107395  179.8906703   309.90509512
   49.9250867    39.97798794  249.75940771  219.90250867   19.96960213]"
"[ 159.90054039   59.9567384   149.88987088    9.98731346    9.98093325
   69.94168973   39.95538098   49.97100949  119.92732978  159.84501073]","[ 319.86318319  239.92479567   79.96428041   89.95697308  199.9081632
   29.94746587   39.96476461   79.94445937    9.98525509   49.97364849]","[   0.          229.74083456    0.           49.94729384    9.98091826
  139.96086405   99.92991344   59.96515381  139.93882836   89.94840002]","[ 389.79968415   39.98316366    9.98452672    9.98450506  149.96291166
   69.9323517    89.93117053  219.93809526  149.94057328   89.96364753]","[  19.97669148  119.95804584    9.9852996   249.89509584   99.93747223
  269.90929883  109.95160291   19.97263866   29.97335915   39.95590803]","[ 209.95056679   29.96287368   49.98381896  149.82527344   19.9828741
  249.78069496   39.97057915   89.94604305   79.97369766   39.97297024]","[   9.98297267   49.94313627    9.98973319    9.98556555  179.91987471
   39.95364405   39.96807974   49.93122303   49.94490275  239.82821171]","[  59.97275575    9.97970518   29.97558788  109.95246268  459.85054622
   79.91979412   59.95034849  309.90139333   49.93751144   19.97320445]","[ 289.92456186  109.94023913   69.97524906   79.96359537  129.95253893
   59.98282107   29.97609412  109.87653001   19.97099807   39.97935056]","[  39.95690428   59.93975285  119.88763337    0.           49.95614859
   79.95917748   29.97243944   59.93911736  119.96715762   59.98356492]"
"[  49.96396245   99.88499729   19.97235892   29.96921669   19.97106708
   59.93414522   59.9686927   119.92001678   59.96605618   29.97628941]","[ 149.87429674  109.92647508   19.97297869   79.91423963   69.964827
   49.96205969   49.96626322   79.90606699   19.98551484   49.98582432]","[ 209.91549416   39.98784204  109.95206567  129.96295641  169.92927354
   19.9689264    19.97002767   79.95487838    0.           49.95590342]","[  59.95942054   39.98020995   49.95098224    0.           49.97085098
   79.9756371    59.93524948   19.96343665  139.93374806   19.9707985 ]","[ 119.94263818   19.96368008  109.96414814   69.95842373  109.88851153
   59.95091855   39.98022942   49.96534958    9.9816228    49.98228657]","[   9.98524075   79.89903776   59.94323378   49.96566601   99.94966098
   19.98070416  129.92797652   29.95918762    9.98840323  199.95425162]","[ 169.82804845  129.8489648    29.96765301  139.89599056  309.86550037
   19.96929459   49.97861863  229.9472832   109.97229576   89.95019107]","[   0.            9.98255598   39.95756651   39.92828861   49.98396482
  149.93399713   39.97030395   19.98598881  159.94994743  109.9212706 ]","[ 149.94714647   29.96335904   29.9671488    69.96224855   99.88685299
   39.96360909   89.9392461   209.87125392   79.91267452  179.89036261]","[ 239.855332     19.97250343   49.96581148   89.97445916   79.95184182
  109.96535276  189.94817938   69.95321904   99.90770989   29.96815386]"
"[  29.94765363   19.97964922  119.9045322    39.92895181   89.96684738
   69.95993916   29.99304438   99.91868178    9.98509755  229.94480819]","[  29.97133057   59.98082755   69.9589896   129.95439226  189.92957851
   49.92975585   69.97269569   29.97856531   39.98108404  119.83586477]","[  29.96663612   49.96296482  229.91149671   59.97052361  149.89852417
  109.96076945  149.81646733   69.93325142  119.97039168  319.84133093]","[ 129.93192529  119.92613105   69.90773894  279.82180759   59.97533263
   79.97151487  109.9839299    89.96163588   69.94101392   49.97577183]","[ 149.82424552   39.99011065   89.96097136  139.93438159   89.93608844
   79.96836717    9.98831971   29.97111727  159.95132329   59.96465918]","[ 169.92405919  139.90590844   59.97411456   29.9748216    79.89127878
   39.96958337    9.97928278   29.95835252   49.94590932   19.97117728]","[ 169.86176979   19.97782085   89.94974625   29.98209448   69.94393956
   69.957631      9.98476066   79.94763344   79.97159755    0.        ]","[  79.87882175   19.96997675   69.94700416    9.98263165  229.87650046
   59.93218495   79.94678171   39.94530399  139.95249817  159.92159677]","[  39.97430141   29.96671157   59.98017406  119.95679764   69.95528964
  119.87390648   49.93196776   29.95698295   59.96823768  179.8858076 ]","[  79.972829    169.9227971    59.9790974   109.95070953   69.9385325
   39.98308666   59.91175326   19.98268777   49.97114889   49.97722774]"
"[ 229.93572563   49.97486729  149.95600791   59.95849183   29.96925922
   39.98061674  229.94627394   59.94193419   29.96693401  109.92900425]","[  19.98767058   59.97291528   39.97140791  139.8013149   129.90558955
   29.98967464   29.96661403   59.98099992   79.92521353  139.95266201]","[  59.96771384  119.87996471  209.91805167  159.92046536  129.85613748
    9.97913982   19.9719938    19.97368829   79.96556873   19.97794066]","[  19.9693596   149.85751756   39.98560403   59.95313594   59.97130638
  179.89552696   19.97531649   69.96052818  279.75769556  169.83637709]","[  59.9650564   379.88963121   19.97207344  109.8889865    49.96282884
   29.96067606   59.95792367   89.89262155   49.98681022  199.94863509]","[  39.9860572    29.98314379  179.91562467   29.9614488    29.98562289
   59.95793616   59.94877077    9.98764539   19.98777947   49.97458576]","[  39.9625729    89.93630674  129.87638342  149.95071841  129.90234615
  159.82817518   19.97276133  149.86403604  129.91497006   69.91882654]","[ 109.95238522   29.97150315   89.96130896   19.97004397   89.95804914
   19.97013029   89.95668587   59.96611172   79.97734314   89.95743579]","[  29.9586044   219.95628039  139.93934635  149.92010314   29.96321
   89.95826563  119.91905312    9.9820015    59.98015472  119.90612659]","[  79.94330453  139.94129917  219.83842029   19.97886197   19.98002425
    9.98349425   59.94260218  259.91363954  149.94215009  119.93999556]"
"[ 149.93159443   39.95769092  139.95123589   99.90365258  199.96226764
  159.90009718   39.95240362   79.94423689   19.97910212   69.94709371]","[  39.97121412   79.96411238  129.87660045   19.96874297   29.96641553
   19.97897326   59.93452799  139.93272811  159.9633027    89.94514904]","[  79.95242815   49.96425003  189.81333732  159.93924194  109.92289499
  199.93282319  149.96983021   79.95318102  289.86486127   89.98088632]","[ 139.95052201   99.91224783   89.96323217  159.87978151  229.8693916
   49.9780521    19.97602002   59.93505341   49.95145129  119.96982127]","[  39.95250483    9.98158147  239.88976452   29.95911281   49.97006482
  129.93053697  199.96808563   29.95126993   69.97105825  169.88860131]","[  39.95224767   79.93519719  109.94032938   19.98408197   69.93307531
  109.92031512   79.92693191  169.94687136   29.96317447  159.84172703]","[ 149.96899401  209.82915559   99.89935605  139.88123231   19.97113729
   99.91704879   59.96315811   79.95578024   79.94401811   39.95549375]","[  19.97845383   59.9742025   189.88698828   99.91850899  139.94156542
  139.92350679   19.97227165   19.97744439  119.97044109   79.94044599]","[ 159.91650363  319.89917927  149.93846505   69.97310439   69.94922381
   49.97800911  219.87954882   99.92681611   79.90723657  109.9591405 ]","[ 249.85550589   69.91839049   19.9794385   189.94230779  259.91275817
   99.96246336   59.96475552   19.97236752  219.93002329   99.94886703]"
"[  29.9679637     0.          139.93011099   69.96044208  169.92425796
   39.93810888    9.97993097   69.96513471  199.93935282  219.86002264]","[   9.98454956  349.86491823  179.89773559   49.93256315   19.96851813
   59.93092093   49.95092586   39.96791045   59.96220931   79.95552867]","[  19.98267114   29.9507838   139.90252405   99.91739493   29.95866946
  109.94079462  549.74424585  199.85996441  119.92288099   69.9190529 ]","[ 129.95912847  349.79706464  109.94424791  109.89293668   79.93921143
   29.98128454   49.96767478    9.98611214   49.95374648  109.96785155]","[  99.95206759   99.93922613   49.95616856   39.95138494  109.92344912
  109.90620339   49.96023419   19.96827601  149.87169564  279.90786057]","[  19.96923144   99.93210404   89.94978031   69.90718163    0.
   29.96741122  129.94128109   39.96434274   29.97993184  199.88730366]","[  79.94007802   89.95560607  189.88406977  109.93488161  109.93672
  179.90267687    9.98668976   59.96086535   99.93383139    9.97949233]","[  89.90619462   49.9697274   109.91924781  159.88318049   19.97896926
   79.89482765  349.86918538  109.9485387    89.9619314   229.94844216]","[ 199.92702718   49.9441598   159.90613546   49.97450333  239.89410416
  209.87208087    9.98541346   29.97469949  129.92975528   89.92879785]","[  19.96876478   89.97697838  169.85210942   29.95211075  119.89627914
   39.93229436   39.95625092   19.97240856   19.98796197  159.90408783]"
"[  59.95002803  179.90811548   39.95742671  159.88353766   29.97937221
  169.92566546   99.91735603   49.97317993  119.94792684   69.92813523]","[  59.91508786    9.98563536   79.96937853  189.95191882  159.87489207
  139.86725742    9.98514821  309.73893197  109.94322651  169.94370751]","[  79.95796394   39.97275856   29.97291748   99.958659     79.91325639
   59.93163982  149.89785841  299.86298529   19.97813773  159.92543199]","[  29.96402923   79.96478035   29.96287497   79.88332162   79.97412765
   19.96299014  119.96156443   79.96681665   19.96460232   79.96234811]","[ 119.93066904    9.9798773     0.          109.94881171   19.97329546
  199.89068857    9.98789993   69.96139459  299.91014385  319.72584215]","[  39.97341735   19.96201613   49.93974162  189.93199261   39.96683119
   89.93429646   29.9869787    19.98606127  169.93119759  179.9534388 ]","[  59.9233052    59.98141584   89.93915784   39.93753299   69.9556223
   99.94580824   19.96211222   29.98517603  179.92950424   19.98223132]","[  39.92826039   99.9403922   349.85554662   49.96626517  219.83515552
  109.96486938   29.954668     69.95446504   59.94330773   49.97605856]","[ 169.94896538  239.91859496    9.98282574   39.98185222   19.9743373
  239.8375228   159.92567373   89.9580012    69.95364791    9.98698305]","[ 109.94372861  159.93296092   49.9525014    49.96985023  119.94791005
   89.93033351  109.94351055   59.96099676   29.95637044  119.91877275]"
