rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[ 359.92203749  159.93252483   89.96189022   59.9467058   119.95347297
   49.95195474  289.92085943   39.93194267   39.97626041   39.93986149]","[ 309.85840316   19.96926264   29.97350393   39.96872768  139.94821123
   59.96047116   89.95031591  189.91973644   19.97710491  109.92075641]","[ 119.9334762   149.91050024   39.97023231   29.98280504   69.97948453
   29.97869714   49.96502347   19.9792263   209.85895839   49.95949313]","[  69.92862499   79.95113742   99.97166523  209.85383126   79.96141685
   59.93653114   29.96313222   29.97388987   29.95817881  169.87279   ]","[   9.98760126  169.94121053   19.98036789   89.96139919   59.96213068
   69.93780115  159.86900963   79.95805809   79.90807467   29.95968403]","[  79.93491542  109.91135745   89.93209924  139.88783878   19.98032731
   19.98472575   19.97679459    9.98181763  119.95454393   39.96031776]","[  49.96921926   49.9208801    59.96724722   99.95814526  149.9127726
   49.95285805  139.93189727  129.91074325  119.94202469   49.97500123]","[ 159.84738619  139.91553548   89.94251732   99.95472002   19.97069942
   79.94851566  199.80971986   59.95781299  379.83808951  179.86433444]","[  19.97445113   79.97580048   49.97835367  129.93638069   29.96033523
   29.96079784   39.95887536  149.94186152  239.90993067   69.94520462]","[  49.94563571   29.97145186   69.95073163   19.96866393   19.97266378
   59.93739942  229.92912776   39.96250431    9.98120142   19.97571188]"
"[  39.97046451  109.92475505   19.97436599    0.           39.97125702
   69.96327125   89.91495256  129.87390386   39.94567464   69.96931264]","[  69.96075465  189.87693962   69.95331762  259.82710117   19.97730736
   79.96909624   89.9227093   369.76318466   79.95803626   99.95814108]","[ 119.93967436   79.93323922   89.95388622  399.76937002   19.97673855
   39.98932492   89.9533691    19.96755659   29.97283412  119.93327421]","[  49.98411164   89.95694654   39.98206574   39.97160934   29.96305941
   39.95989634    9.98317381   69.93708384  179.94460851  149.9147309 ]","[  29.96015572   69.9663023    19.96913152  189.89515066  179.86559724
  169.87618702  119.90090853   89.97279778   59.92395594   39.96787173]","[ 109.9071634   229.93961727   19.98136563  139.83435725  129.94666164
  169.90817492   99.95892431  349.7806348   149.90091163   99.93431011]","[ 159.86741262   49.96481579  109.82155302  169.96452702  109.92315928
   99.94952404   59.9824058    69.94574829   69.91870156  209.93716381]","[  89.94941611   39.95911313  149.87729791   39.97345283   19.97268302
    9.98132216   59.94319506  169.88034945   39.95852215  219.92844371]","[  39.94995778  109.9135249    39.96977699  109.95211038  219.80204332
  329.80165475  119.93634033   29.9704671    29.9607838   189.86534861]","[  19.9706644   239.76071224  329.86525975   89.93180927   69.98320693
  219.94504377   19.97184598   69.97766917   39.9573568   169.95081891]"
"[ 129.95467561   39.97270536   49.9658731    59.92656952   89.94477063
   59.98107621   69.96948692   39.97492002  189.93201436    9.97939709]","[ 189.91411796   19.9747317     9.9825907   119.97883233   49.97466729
   39.9643667    59.96607031  199.8906737   249.90446386  139.95610864]","[  19.98399893   19.97334231   29.96424204  109.93517458  169.91571978
  219.88152338   39.98382792   99.91617806   29.9524361   109.93847092]","[  49.9756102    19.96952814  369.77215788  219.89073329  189.90147314
   89.9546202     9.98493912  179.84504056   99.95490308   59.97925355]","[  69.94360059    9.99047973  219.93541947   69.94022255  109.87341214
  129.88873053   39.95048602   49.91853492   99.93803024  139.96659102]","[  69.94485352  109.9351767    19.97491062   99.87389804   19.96533714
   39.98698623  109.95661065   49.92644488  139.89270568   69.94208461]","[  69.94272832   29.95177412  159.84725057   89.95938442   49.95099759
   89.94904589  129.95325815   59.95297699    9.98495173  119.92392055]","[  89.92931005   19.98362342    9.98703824  179.90295532   39.97278433
   29.97525609   39.93935879   59.92481684   49.92227797   49.9640663 ]","[  59.96685421   39.95360648  169.93494421   89.91724553   29.97894838
   49.97630239   59.95542188   89.9460158   109.92889689   49.97742372]","[  29.96185828    9.98389569   19.9811862    19.97187236  329.85566396
   19.97491628   79.89644596   39.98011607  119.95583632  129.95790719]"
"[   9.98183083   79.94784476  139.87464591   99.93882989  129.90219039
  149.93220998   19.96275919  139.93974085   39.97822085   29.97369072]","[  69.95329511   29.9727182    29.95716805   79.92258799  149.88548175
  169.95217692  129.94957984   79.94277678  199.94195509    9.97964689]","[  39.96091033   99.95938827  139.92662076  129.94403845   69.96296811
   29.96877937   59.95520925   49.97125496   99.93550351  189.93039769]","[ 189.8620743   309.78025961   59.9604382   129.95364968   49.96392271
   69.94956545    9.98564258   29.97115544    9.98226923   29.97751545]","[  59.97896942  249.84468435    9.98338665    9.97985493  119.93279048
   49.97579014   59.97389538   89.96284056   69.92939515   19.97371526]","[ 259.93871251   99.93185898   59.93693608   69.96984885   29.97894164
   59.94685657   29.98291459   29.94833199  209.83947318   69.92303533]","[  89.9203117   139.84551077   39.97848136  129.94640531   59.90406075
   19.96290393   39.95141732    0.            9.98341414  129.9582104 ]","[  29.95754355  179.95059783   79.9020706    69.96596299   29.97508547
   59.93433772  129.93351427   69.97025806   39.93359828   19.97061097]","[ 169.90360482  119.9432221    89.94608787   69.964461     79.95502703
    9.98761904  139.96939951  149.91880757   39.97352866   39.95734402]","[ 109.87562449   49.96199055   99.9103042    49.93371455   19.96954158
  309.91921243    9.98544232  169.88087776   39.95558322  109.94796273]"
"[  99.950153     39.94166253    9.98326302   89.88935821  139.96905044
   39.94807649  199.8542962    89.951697     59.92878403  129.91074058]","[  49.98408541   39.9765478    99.93266802  149.93372704   59.924507
   49.96531684   69.95260201   19.97050545   19.97248775   89.94961114]","[  79.96612161   59.97345918   29.95500604  159.98117419  219.94171917
   89.95518856   29.9624867    49.9729306   189.93548909   49.94094447]","[ 149.92325178   49.94557687  149.86746913   49.93589275   39.97682517
  169.89613065  309.90031429  199.75743096   49.93925321   59.96460687]","[  49.94661431   29.96660487   59.94798109   19.98036744  129.97585833
  119.9405878    59.97859648    9.98808422  279.87063871   29.95619237]","[ 149.93199979   29.95374633   99.8937351   109.86154306  109.94488896
  199.90154313   49.95611182  159.8990986   149.96306709   49.97194838]","[  49.96731243  129.92979311   29.96077998   79.90709154   89.95319317
   19.975015     99.85253759   59.96204514   79.89414622  199.92837655]","[  49.96962026  169.93908856   59.95478788   19.97645497   89.97331598
  289.85162108   19.97681703   49.96583451   39.97911364   99.8975527 ]","[ 149.91418476  129.9232457    79.97401687    9.97968147   59.97406113
   39.96118614   39.95530568  159.9222516   179.88205898  109.95833618]","[  19.96977415   79.95502715   39.98088175   89.94636154   99.94204513
  179.87858095   39.96940923   79.9699059   199.88586295   89.85586578]"
"[  79.97811068    0.           29.98148372   59.93465717   29.98067711
   49.95572697  279.86458833   49.96530989  129.92053208   39.9459626 ]","[   9.98516019   39.96099686   59.94374689  139.95996417  209.87980884
    9.98863438   69.95604416    9.98269733   59.97032837    9.9878013 ]","[  39.98387946   69.9516973   209.77740761   19.97216699   89.96030014
   39.96918295   69.94062549   19.97051329   19.98172836  149.88113941]","[  49.96736747  209.97868631   59.95222251   89.95924886   39.97017744
   19.95945475  169.96038619   59.95907964   49.92736854    9.98997673]","[  49.97516947  389.89815209   69.95803756  149.90483904  139.88997993
   59.98254584  279.85380291   39.94073707   39.92729591   59.97000461]","[  39.96596322   49.96126288   69.96155677   99.90548966   39.98855685
   29.96431818  119.95233285    9.98283405   99.95379047    9.99198762]","[  19.97605135  159.87633014  139.89282482  119.97056641   99.91175912
  169.9114157     9.97946855   49.93225264   79.93859784   19.96978263]","[  59.93242952   79.97052653  189.84890887   49.93306473   29.95666093
   49.96134799   59.94779969    9.98751273   49.98714721   29.94334305]","[  49.95593359  119.96209245    0.           99.95505499   29.94879515
    9.98235229   69.9618952   129.92476061  169.93954994   69.94217118]","[  69.94023121  199.84342406   59.95811917   49.96438484   79.93413224
  219.86424198   29.97856619   79.92433413  119.94456228    9.98472937]"
"[ 299.92360907   19.97787975   39.98741066   69.94689851   89.9402964
  109.92054416   19.97203719   89.91916547   69.90964014   19.98061875]","[  39.97295993  259.8767916    69.95993749  159.90491965  249.90277361
  179.88597636   39.95980513   49.96236609   69.98332618   69.96430384]","[  69.9726393    59.94517745   29.96282354   39.96713836    9.98716873
  289.91136803   89.91513253  189.85916356  129.9628729    39.97187082]","[  69.95012968   19.96893071   79.96101919   49.95392859  219.87558122
  229.91775796   49.94730722   29.9822808    59.9535419   199.92930081]","[  59.97017296   19.97575401   79.94160139  109.9284209    79.97204458
  139.91922662  189.81389088  199.88263935  289.87971536   59.96963136]","[  39.97269714   39.98023961   19.97321515   29.97864282   89.94927552
   79.950541     79.89443226    9.9792561    39.94948547  179.9624504 ]","[  49.97846224  129.97226182   49.97261879   19.97821724   39.97028082
   79.94733761   99.96259266  119.90899847  129.83403122   59.93853335]","[ 219.94048244  129.96135733  379.84651594  279.90713065   99.90078989
  229.88279499  159.92540688   69.95800307    9.97972685  159.91986006]","[  39.94678263   59.94791489   19.97411086  169.94109369   89.96482858
  109.95389975   89.94133971   49.95552728    9.98629841   99.84216321]","[  49.95027667    9.98042823   49.94906871   19.98341586   59.97252571
   89.96282883  169.83302816  319.89746377   89.93877564   59.93392638]"
"[  39.9691403    79.94391355   59.9785506    79.94195249   89.9469321
    9.98876978  119.94786007    9.97995431  169.94671827   29.97015246]","[   9.98107132  259.86816196   69.94285538   59.92788299  129.90143637
   29.97020365   79.89132745    9.98710746   89.92546959  139.92256371]","[  59.93876724   89.94305359  179.91935867  129.95790483  189.87182677
   39.9446273   119.94122945   29.95382213   29.9663514    49.96778627]","[  89.91128589   79.95376563    9.98218738  239.92961384   69.96119703
  259.86688989   49.98068252  149.93330778  109.95290772   69.95600505]","[  29.95824377  179.89582724   29.95692072   79.93021339    9.98093036
   19.96613593   29.94900219  279.94532749   79.95685066   19.9702808 ]","[  29.9691618     9.9793456    29.97982879   39.95644464  279.77877526
    0.           29.98947022   49.93522957   89.91911589   89.95420809]","[  79.91918194   79.92635797   49.96606772  319.87592784    9.98255919
  119.90630704  149.91913488   79.9485017     9.98541434  149.95986728]","[  89.95839693   59.95503447  179.88313624  119.95678426  159.93853359
   29.9653755     9.985156     79.96512217    9.97922996  209.84983137]","[ 159.95804525  139.90689544   19.98335325   39.9867947   129.8107767
  109.94418367   59.94465558  129.95329817   29.97146383   49.9842585 ]","[ 249.92258514  169.94670762   19.98055287  159.92420496   49.98499445
   39.95165388   39.97708534   39.97022472   99.94358266   49.96280961]"
"[ 109.96005868   99.94748133   29.96920812   19.9706314   189.90546633
  129.90597188   99.96597875   79.92956651  249.89361638  179.9395105 ]","[ 199.89144312   89.9657364    49.97688099   69.96331306  289.95135921
   39.95998102  419.84106535  339.94184862   99.96017001  119.90094233]","[  19.96987439   99.95919431  169.8805914    59.95834173  309.85235308
   19.97531234   89.89624509   89.96192516   79.96386462   99.88144302]","[  59.95393758   19.97218865  109.96535314  109.95102554   59.98031894
    9.97927717   29.95207469  119.95309955  109.91150133    9.98205209]","[ 159.93017817   29.96649804   89.95743148  129.94951132   69.93263379
    9.98743855   89.92290416    9.98302591   69.95395714  239.84794407]","[ 169.9404081    39.95256954   19.96690147   79.92016673  269.86629265
   49.97929353   49.96373363    0.           49.93483248   99.97829783]","[  59.95785686    9.98731884  249.91439798   29.97618507   89.96095466
  129.92684351  119.95220636   29.97312188   19.97687258   49.95727669]","[ 159.8861759   179.93727779   29.97772705   99.91078902   19.98030538
  189.87837953   99.95805932   59.95996009   49.98023328  169.93202726]","[ 159.89951002   89.91917911  109.94974387   79.95631708   39.96754778
  229.79031683   39.95499403   39.96364909  129.9771538   179.89776392]","[  39.93246664   69.94654011    9.98721123   39.98620321   99.94032808
   39.97081212   39.96551181   49.958074    409.84390508   59.95521882]"
"[ 249.95922829   99.95591284  109.9357747    29.97705246   89.97358387
  149.86928874  109.90807304  229.83363203   39.9691171    59.97369652]","[  29.98531477   19.98864058   89.9507206    59.95759037   59.95971264
   79.95102494  309.77381707   39.95540464   99.92524606   19.97171797]","[  29.96945263   39.94727448   89.93268428  139.94532909   89.9230204
  189.91563489   39.95951915   59.95731349   39.9651227   139.94975177]","[  39.95138458  109.92754475   39.96984486  289.89553245    9.99177971
  139.9208443   159.88556513  109.87015878   79.95546428   39.9728143 ]","[  29.95982863    9.98827293  109.90395826   89.93510301   79.93672801
   69.95697864  149.96287074   19.96360946  129.94505942   29.96417916]","[ 439.89654187  109.94609985  109.9588621    29.98477485   39.94802548
    9.98008019  329.87896737  119.91451421  299.88895526   69.93518974]","[  89.86653975   79.95137667   59.91161387  359.8054082    69.90543994
    9.9854759    39.96677065   59.92820428   29.97931445   29.97349085]","[  39.98291258   99.96433627  169.93565396  199.92926409  109.93038831
    9.98693164  169.93035428   59.9290588   249.83316655   49.97116673]","[  29.95587138  109.96858197   49.94074369   79.95019562   69.9707258
   19.97835987  269.87074631  159.96168068   99.95503177   29.97470781]","[  89.94492532  399.84806561   79.89486696   39.96453007  169.87596969
    0.           39.9683045    79.95286163  199.8845582    29.96916213]"
