variancceSgd0,variancceSgd1,variancceSgd2,variancceSgd3,variancceSgd4,variancceSgd5,variancceSgd6,variancceSgd7,variancceSgd8,variancceSgd9
19287693.88407368,12100418.519741537,7317891.877169382,3665033.217497954,6330271.010222633,11607651.570162015,9943814.89186902,2115661.411606573,2094296.7627736907,6593372.953027339
19287693.88407368,2955928.351048596,10480400.77041374,3678737.438936004,6330271.010222633,4615238.217554194,9943814.89186902,2115661.411606573,2094296.7627736907,2574427.167076092
11532542.929897526,2955928.351048596,10480400.77041374,3678737.438936004,6330271.010222633,4615238.217554194,2363970.201566482,770509.0325911496,7059177.745263565,2420111.897918034
3749998.3616895447,4454798.811949172,5810925.007384022,2172849.707951162,4366979.375545654,6411160.756582321,3284263.4017048697,770509.0325911496,3160563.0707040606,2420111.897918034
3433997.0581341386,3989785.413616858,1213030.9584095578,2172849.707951162,2213800.6492136535,3141156.5224407357,3284263.4017048697,5611112.221656446,3160563.0707040606,2420111.897918034
3433997.0581341386,4828522.552150845,1213030.9584095578,2172849.707951162,2213800.6492136535,3141156.5224407357,3284263.4017048697,5611112.221656446,3160563.0707040606,2420111.897918034
2626057.1775325662,1348081.599144701,1731635.3417633586,2301860.739754401,863578.4018012055,3141156.5224407357,3284263.4017048697,5611112.221656446,2055890.287606262,2420111.897918034
2576853.090079661,1348081.599144701,1731635.3417633586,2301860.739754401,863578.4018012055,3141156.5224407357,3284263.4017048697,733860.6619573634,1707806.2972500175,2832880.6228718404
2576853.090079661,5494373.199668904,1307171.9325666402,2019693.4141253214,803044.7869532695,3141156.5224407357,625943.6911604617,1762277.4849383521,2801331.749420005,3693045.5299048475
2576853.090079661,5494373.199668904,1307171.9325666402,2019693.4141253214,2953816.3687099973,3141156.5224407357,625943.6911604617,1762277.4849383521,1530405.9126397832,2342232.464568787
1607930.5643350158,5494373.199668904,1379646.649506044,1018983.3036098623,2953816.3687099973,3141156.5224407357,1309506.1424853439,1762277.4849383521,1530405.9126397832,2342232.464568787
2178957.2972835023,5494373.199668904,1852967.9333693967,902405.1570899774,2953816.3687099973,2519608.942929035,1309506.1424853439,1762277.4849383521,1530405.9126397832,2342232.464568787
2178957.2972835023,1874475.856541378,1852967.9333693967,902405.1570899774,2953816.3687099973,3428972.506413636,2543406.080574767,1762277.4849383521,1530405.9126397832,1444343.6442001325
2178957.2972835023,1874475.856541378,1852967.9333693967,902405.1570899774,757484.6179143032,2982588.206257589,2543406.080574767,1384783.7605345685,9823591.576660402,2720339.5528487433
2178957.2972835023,1694021.506589306,1852967.9333693967,902405.1570899774,757484.6179143032,3484392.224999232,3169498.805669968,1721478.5780209696,1175407.5080569175,2720339.5528487433
2178957.2972835023,1694021.506589306,1852967.9333693967,902405.1570899774,757484.6179143032,2258755.1931720385,3169498.805669968,1721478.5780209696,1175407.5080569175,2468764.4968077736
1222753.9115872218,1694021.506589306,1852967.9333693967,902405.1570899774,757484.6179143032,2258755.1931720385,3169498.805669968,1721478.5780209696,1175407.5080569175,1044400.5275931039
1222753.9115872218,1694021.506589306,1852967.9333693967,2481233.907182532,757484.6179143032,2258755.1931720385,3169498.805669968,1721478.5780209696,4419930.453230624,1044400.5275931039
1281907.2561722687,655044.1510898174,2519947.1657465836,2481233.907182532,757484.6179143032,2258755.1931720385,2460149.951179162,1721478.5780209696,994121.1072202644,1044400.5275931039
1281907.2561722687,655044.1510898174,2439923.1428765454,2481233.907182532,1298016.9968776645,2258755.1931720385,2460149.951179162,1721478.5780209696,994121.1072202644,1044400.5275931039
1281907.2561722687,655044.1510898174,2439923.1428765454,2481233.907182532,1298016.9968776645,712192.6193640976,2460149.951179162,1721478.5780209696,645745.5928199507,3206938.3943721736
1281907.2561722687,655044.1510898174,2439923.1428765454,968150.3268930813,1262128.1719686366,1068443.822182576,829386.7382773024,2721362.616090368,645745.5928199507,3206938.3943721736
1281907.2561722687,655044.1510898174,2439923.1428765454,968150.3268930813,1220091.800160449,1068443.822182576,1735643.0386039384,1287928.9688992568,645745.5928199507,3206938.3943721736
3184337.6569903507,655044.1510898174,2439923.1428765454,523472.1572092784,1220091.800160449,1068443.822182576,1735643.0386039384,240670.36110005688,645745.5928199507,3206938.3943721736
3184337.6569903507,655044.1510898174,2439923.1428765454,523472.1572092784,1220091.800160449,1068443.822182576,1735643.0386039384,2426820.723478939,2178215.2244463116,6998126.301681807
3184337.6569903507,583444.2493561266,316266.8396558294,523472.1572092784,969984.6063995356,3124311.922403519,1735643.0386039384,2426820.723478939,2178215.2244463116,6998126.301681807
3184337.6569903507,583444.2493561266,1355306.0803274463,648204.8187758491,969984.6063995356,1792327.6286505614,1735643.0386039384,1584798.86421325,2178215.2244463116,3696020.459740894
3184337.6569903507,728485.1383318915,1355306.0803274463,648204.8187758491,890017.0718643069,2706422.702403643,3836377.539894557,1584798.86421325,2178215.2244463116,2416091.5671980954
3184337.6569903507,3580395.6727647106,406825.4251325316,638559.8012792937,890017.0718643069,2706422.702403643,3836377.539894557,1584798.86421325,2178215.2244463116,2011400.201867999
1821927.6888175213,3580395.6727647106,406825.4251325316,638559.8012792937,572824.5401164988,2706422.702403643,3836377.539894557,1584798.86421325,1685563.0423203565,2011400.201867999
1821927.6888175213,865680.3011325806,2046864.4614217419,638559.8012792937,572824.5401164988,2930488.22968164,1685364.5333929295,3110020.5642808652,3566832.100575515,1620952.4828287316
1821927.6888175213,865680.3011325806,2046864.4614217419,638559.8012792937,572824.5401164988,2930488.22968164,1685364.5333929295,3110020.5642808652,3566832.100575515,1892718.676639241
1821927.6888175213,648911.8144554716,2046864.4614217419,860773.0913398112,355078.1662268627,2930488.22968164,1685364.5333929295,3110020.5642808652,3566832.100575515,1892718.676639241
572353.7744333119,1363941.2841897667,2046864.4614217419,860773.0913398112,355078.1662268627,1488432.6323674144,1685364.5333929295,3110020.5642808652,1655920.594951081,1892718.676639241
572353.7744333119,1363941.2841897667,2046864.4614217419,860773.0913398112,355078.1662268627,2380760.2135929554,1685364.5333929295,3110020.5642808652,812007.6726496068,2897992.0131695755
524585.6634342363,1363941.2841897667,1653565.1528660848,860773.0913398112,355078.1662268627,2380760.2135929554,1685364.5333929295,3110020.5642808652,1809044.1836419234,2227865.5415498368
1029367.167484748,1698680.5396499885,1653565.1528660848,860773.0913398112,355078.1662268627,2380760.2135929554,1685364.5333929295,3110020.5642808652,1809044.1836419234,2227865.5415498368
1337745.4033081871,1698680.5396499885,1653565.1528660848,860773.0913398112,355078.1662268627,2380760.2135929554,1685364.5333929295,3110020.5642808652,1809044.1836419234,2227865.5415498368
1337745.4033081871,1698680.5396499885,2343385.067702405,860773.0913398112,1585611.1460806578,1771115.868207273,433848.2596619806,3110020.5642808652,1809044.1836419234,2227865.5415498368
1337745.4033081871,1698680.5396499885,1108766.7049553297,860773.0913398112,1585611.1460806578,1599800.0138239881,433848.2596619806,3110020.5642808652,1809044.1836419234,2227865.5415498368
1337745.4033081871,1698680.5396499885,1108766.7049553297,860773.0913398112,1585611.1460806578,1599800.0138239881,433848.2596619806,3110020.5642808652,1809044.1836419234,505507.8393711223
587579.4620799975,1698680.5396499885,1108766.7049553297,860773.0913398112,1585611.1460806578,1599800.0138239881,715745.878578153,1384587.0752300841,1809044.1836419234,1591858.8338676388
587579.4620799975,1698680.5396499885,1108766.7049553297,1444227.671391555,1585611.1460806578,1370767.5887212094,715745.878578153,1245036.6397444478,1809044.1836419234,1591858.8338676388
587579.4620799975,4998740.7819288345,1108766.7049553297,1444227.671391555,1585611.1460806578,696194.5266529087,693360.7888270768,1245036.6397444478,652378.3067915295,953107.0233008012
587579.4620799975,4998740.7819288345,1108766.7049553297,1444227.671391555,574591.8154314416,559325.8077428561,693360.7888270768,970534.3048903943,652378.3067915295,3444349.9854770163
587579.4620799975,4998740.7819288345,1013685.9092533056,1444227.671391555,574591.8154314416,1206930.0539165237,693360.7888270768,970534.3048903943,657130.3793353962,3444349.9854770163
587579.4620799975,2291867.375155456,1013685.9092533056,1444227.671391555,843404.1863315769,1206930.0539165237,693360.7888270768,970534.3048903943,657130.3793353962,3444349.9854770163
587579.4620799975,2291867.375155456,1013685.9092533056,1444227.671391555,686701.6889063937,1206930.0539165237,693360.7888270768,970534.3048903943,657130.3793353962,3444349.9854770163
556722.4439384541,1094254.4191093142,1013685.9092533056,1444227.671391555,686701.6889063937,374891.394212737,693360.7888270768,778196.1484672269,1933260.5991085847,3444349.9854770163
556722.4439384541,1094254.4191093142,1013685.9092533056,1444227.671391555,1784296.4211414743,374891.394212737,693360.7888270768,778196.1484672269,1933260.5991085847,3444349.9854770163
452955.43759705155,1094254.4191093142,769540.9514815682,1444227.671391555,1605675.0105367466,374891.394212737,693360.7888270768,778196.1484672269,1933260.5991085847,853472.8671626878
452955.43759705155,264760.9873901863,769540.9514815682,585771.2154530658,1605675.0105367466,987902.0698123025,693360.7888270768,778196.1484672269,1933260.5991085847,403592.1247730099
452955.43759705155,264760.9873901863,327254.6357200157,585771.2154530658,1605675.0105367466,987902.0698123025,693360.7888270768,778196.1484672269,1933260.5991085847,1738068.770795664
452955.43759705155,264760.9873901863,661720.1843317183,585771.2154530658,1605675.0105367466,987902.0698123025,693360.7888270768,778196.1484672269,1933260.5991085847,790481.5300570257
452955.43759705155,957637.7983201881,661720.1843317183,585771.2154530658,1605675.0105367466,3682812.6368862814,693360.7888270768,778196.1484672269,770742.1881850385,790481.5300570257
452955.43759705155,957637.7983201881,661720.1843317183,585771.2154530658,1605675.0105367466,341685.906251295,693360.7888270768,778196.1484672269,770742.1881850385,790481.5300570257
1593307.1270514722,957637.7983201881,661720.1843317183,585771.2154530658,1605675.0105367466,341685.906251295,693360.7888270768,778196.1484672269,770742.1881850385,790481.5300570257
1593307.1270514722,1094819.9816223108,2116710.576915002,585771.2154530658,286005.39348920237,1470208.4427720404,227089.93939508992,778196.1484672269,770742.1881850385,790481.5300570257
1593307.1270514722,1094819.9816223108,2116710.576915002,585771.2154530658,286005.39348920237,1470208.4427720404,227089.93939508992,778196.1484672269,770742.1881850385,790481.5300570257
540664.3895467629,1094819.9816223108,2116710.576915002,964887.979684522,286005.39348920237,4092433.6633676295,227089.93939508992,285130.42026611476,770742.1881850385,790481.5300570257
298354.1932443163,1094819.9816223108,2116710.576915002,964887.979684522,286005.39348920237,4092433.6633676295,1002285.4895945033,285130.42026611476,770742.1881850385,427629.3318873227
298354.1932443163,1094819.9816223108,2116710.576915002,964887.979684522,286005.39348920237,4092433.6633676295,1002285.4895945033,939897.7568145766,770742.1881850385,354863.60032531363
450074.9540540715,1094819.9816223108,2116710.576915002,789308.2248179072,286005.39348920237,4092433.6633676295,1002285.4895945033,228285.49334553856,770742.1881850385,354863.60032531363
1618280.5521774357,1465771.6676847022,2116710.576915002,789308.2248179072,839037.2129985798,1372083.5680019557,1002285.4895945033,228285.49334553856,821298.0364292479,354863.60032531363
1618280.5521774357,1465771.6676847022,2116710.576915002,1687295.7961987066,839037.2129985798,1372083.5680019557,1002285.4895945033,966346.3319423321,1117954.3400119136,354863.60032531363
1618280.5521774357,1465771.6676847022,2116710.576915002,1687295.7961987066,839037.2129985798,1372083.5680019557,1002285.4895945033,717942.9505479477,1117954.3400119136,354863.60032531363
550991.5511781801,564247.6473142038,2116710.576915002,1687295.7961987066,337595.60556152934,336721.41760814085,1002285.4895945033,717942.9505479477,1117954.3400119136,354863.60032531363
655433.2038635287,564247.6473142038,2116710.576915002,1687295.7961987066,337595.60556152934,336721.41760814085,1002285.4895945033,717942.9505479477,1117954.3400119136,354863.60032531363
655433.2038635287,564247.6473142038,2116710.576915002,630189.8036288056,337595.60556152934,336721.41760814085,1002285.4895945033,1775358.87793943,1117954.3400119136,354863.60032531363
655433.2038635287,564247.6473142038,2116710.576915002,630189.8036288056,433544.98083222116,336721.41760814085,1002285.4895945033,1775358.87793943,1117954.3400119136,354863.60032531363
647914.4568866431,477179.1403992186,2116710.576915002,766177.0609082232,433544.98083222116,357652.49929172965,1002285.4895945033,1775358.87793943,1117954.3400119136,354863.60032531363
781345.3503439764,477179.1403992186,2116710.576915002,380552.4449048927,433544.98083222116,357652.49929172965,1002285.4895945033,4303274.079587474,1274522.4508381584,354863.60032531363
327801.59645365993,477179.1403992186,2116710.576915002,380552.4449048927,354092.92867043515,2532681.7644790495,1535944.7526768595,4303274.079587474,1274522.4508381584,354863.60032531363
322225.38764374214,477179.1403992186,1343262.155098746,380552.4449048927,354092.92867043515,439192.37040263414,1535944.7526768595,4303274.079587474,251992.94723635097,354863.60032531363
322225.38764374214,477179.1403992186,1343262.155098746,380552.4449048927,354092.92867043515,770496.3100241988,1535944.7526768595,4303274.079587474,440431.58655106754,354863.60032531363
245343.74234546276,311692.22477747005,974016.950087603,392495.93942537514,354092.92867043515,770496.3100241988,486275.0009387661,4303274.079587474,440431.58655106754,354863.60032531363
245343.74234546276,311692.22477747005,974016.950087603,392495.93942537514,354092.92867043515,770496.3100241988,486275.0009387661,1140776.4136466836,1106819.543214292,309242.4011124228
245343.74234546276,879102.9142507085,974016.950087603,392495.93942537514,354092.92867043515,770496.3100241988,486275.0009387661,1140776.4136466836,1106819.543214292,309242.4011124228
245343.74234546276,879102.9142507085,602540.7553660378,392495.93942537514,354092.92867043515,770496.3100241988,925825.0139255548,1140776.4136466836,1106819.543214292,309242.4011124228
1157628.2893942022,385292.3410327035,602540.7553660378,392495.93942537514,935319.6631069096,770496.3100241988,925825.0139255548,791526.8871013392,1106819.543214292,779556.5388659036
1157628.2893942022,385292.3410327035,385035.0289779404,392495.93942537514,935319.6631069096,770496.3100241988,266147.27941252454,791526.8871013392,659520.1008709813,779556.5388659036
1157628.2893942022,385292.3410327035,385035.0289779404,392495.93942537514,935319.6631069096,770496.3100241988,266147.27941252454,791526.8871013392,659520.1008709813,779556.5388659036
1157628.2893942022,385292.3410327035,385035.0289779404,392495.93942537514,935319.6631069096,770496.3100241988,266147.27941252454,2275564.6473358613,659520.1008709813,560950.5071585618
1157628.2893942022,385292.3410327035,1331548.5187064698,177744.57822828158,935319.6631069096,770496.3100241988,266147.27941252454,2275564.6473358613,659520.1008709813,560950.5071585618
1157628.2893942022,385292.3410327035,1331548.5187064698,715557.983821913,445080.24145144335,770496.3100241988,266147.27941252454,2275564.6473358613,659520.1008709813,347794.3085763392
1157628.2893942022,385292.3410327035,265210.9360280684,715557.983821913,445080.24145144335,770496.3100241988,1390446.00920268,2275564.6473358613,659520.1008709813,347794.3085763392
1469082.3733613784,171974.39204459862,265210.9360280684,715557.983821913,445080.24145144335,770496.3100241988,1390446.00920268,2275564.6473358613,659520.1008709813,875447.0615641648
275661.1799621535,946161.9271157346,265210.9360280684,715557.983821913,445080.24145144335,770496.3100241988,1390446.00920268,2275564.6473358613,659520.1008709813,875447.0615641648
275661.1799621535,946161.9271157346,293999.4075297032,715557.983821913,445080.24145144335,770496.3100241988,1390446.00920268,2275564.6473358613,659520.1008709813,875447.0615641648
275661.1799621535,521979.1588241014,293999.4075297032,314458.8826855348,445080.24145144335,770496.3100241988,1390446.00920268,686656.4609777667,659520.1008709813,875447.0615641648
325094.3309037914,521979.1588241014,576643.331577364,694027.6740395692,445080.24145144335,770496.3100241988,1390446.00920268,686656.4609777667,659520.1008709813,875447.0615641648
325094.3309037914,521979.1588241014,576643.331577364,826486.3251310859,299828.2345704617,770496.3100241988,1390446.00920268,569130.3153757944,274891.4449400798,875447.0615641648
325094.3309037914,155710.71888248474,576643.331577364,826486.3251310859,299828.2345704617,770496.3100241988,1390446.00920268,569130.3153757944,1754284.4740389497,875447.0615641648
325094.3309037914,155710.71888248474,576643.331577364,826486.3251310859,299828.2345704617,770496.3100241988,440735.80863051256,569130.3153757944,1754284.4740389497,875447.0615641648
545505.6684220186,155710.71888248474,576643.331577364,826486.3251310859,336252.03011013777,770496.3100241988,440735.80863051256,3029141.0671640993,1754284.4740389497,875447.0615641648
674668.0223157383,155710.71888248474,550676.9582055084,391579.6562520047,264607.4778013967,1100371.5875587654,440735.80863051256,3029141.0671640993,1754284.4740389497,875447.0615641648
674668.0223157383,682858.2827677855,550676.9582055084,391579.6562520047,264607.4778013967,1100371.5875587654,440735.80863051256,3029141.0671640993,1754284.4740389497,875447.0615641648
613762.0223757592,682858.2827677855,550676.9582055084,428948.2009547975,264607.4778013967,1100371.5875587654,440735.80863051256,3029141.0671640993,1754284.4740389497,875447.0615641648
613762.0223757592,682858.2827677855,550676.9582055084,859383.7572333086,264607.4778013967,1100371.5875587654,440735.80863051256,3029141.0671640993,1754284.4740389497,875447.0615641648
613762.0223757592,682858.2827677855,550676.9582055084,859383.7572333086,1114054.7783254436,1100371.5875587654,440735.80863051256,589459.6228165071,1754284.4740389497,875447.0615641648
613762.0223757592,682858.2827677855,684482.3615802039,494417.792929793,1114054.7783254436,1100371.5875587654,440735.80863051256,589459.6228165071,1754284.4740389497,875447.0615641648
613762.0223757592,682858.2827677855,684482.3615802039,494417.792929793,1114054.7783254436,1100371.5875587654,440735.80863051256,961437.0431189677,1754284.4740389497,574629.8209332438
613762.0223757592,1630479.2365341412,684482.3615802039,494417.792929793,1114054.7783254436,418075.9580121768,440735.80863051256,961437.0431189677,1754284.4740389497,574629.8209332438
348037.56318808213,1630479.2365341412,684482.3615802039,1681194.6256107735,1114054.7783254436,1378311.7095855898,440735.80863051256,280974.3871521758,1284104.7717059979,841509.185062533
348037.56318808213,1630479.2365341412,894785.2623157318,1681194.6256107735,1114054.7783254436,1378311.7095855898,440735.80863051256,779271.5231782148,1284104.7717059979,841509.185062533
348037.56318808213,1630479.2365341412,894785.2623157318,1681194.6256107735,1114054.7783254436,1378311.7095855898,440735.80863051256,498631.51398206275,323269.49465249473,841509.185062533
348037.56318808213,1630479.2365341412,894785.2623157318,1681194.6256107735,1114054.7783254436,1378311.7095855898,440735.80863051256,1831434.7495244876,323269.49465249473,324207.9809546656
1606840.636456464,557199.2033919339,894785.2623157318,1681194.6256107735,1114054.7783254436,1378311.7095855898,367367.8259903637,1831434.7495244876,323269.49465249473,324207.9809546656
1606840.636456464,557199.2033919339,894785.2623157318,1681194.6256107735,345515.40058164374,1378311.7095855898,367367.8259903637,1069955.6865938997,323269.49465249473,324207.9809546656
250255.11421287607,557199.2033919339,894785.2623157318,1681194.6256107735,345515.40058164374,1378311.7095855898,367367.8259903637,1131076.8017559145,323269.49465249473,324207.9809546656
250255.11421287607,557199.2033919339,894785.2623157318,1681194.6256107735,345515.40058164374,317839.48418798443,367367.8259903637,1131076.8017559145,323269.49465249473,815546.491805394
250255.11421287607,557199.2033919339,489269.77001201577,1681194.6256107735,345515.40058164374,317839.48418798443,367367.8259903637,531043.969611804,323269.49465249473,815546.491805394
250255.11421287607,557199.2033919339,489269.77001201577,342403.2047869445,345515.40058164374,138912.14723546494,367367.8259903637,1265672.9352315376,323269.49465249473,815546.491805394
