policyParams0,policyParams1,policyParams2,policyParams3,policyParams4
"[ 0.14115528  0.05037573 -0.04434142 ...,  0.34151491  0.          0.        ]","[-0.15622795  0.2340608  -0.05337624 ..., -0.41417694  0.          0.        ]","[-0.0660178   0.18746959 -0.08449283 ...,  0.35437688  0.          0.        ]","[-0.07149666  0.22075691  0.13949168 ...,  0.36856083  0.          0.        ]","[ 0.16792468 -0.20833804 -0.17445442 ..., -0.23917967  0.          0.        ]"
"[ 0.14015528  0.05137573 -0.04334142 ...,  0.34051491 -0.001      -0.001     ]","[-0.15722795  0.2330608  -0.05437624 ..., -0.41317694  0.001      -0.001     ]","[-0.0650178   0.18846959 -0.08549283 ...,  0.35537688 -0.001      -0.001     ]","[-0.07249666  0.21975691  0.14049168 ...,  0.36956083  0.001      -0.001     ]","[ 0.16892468 -0.20733804 -0.17345442 ..., -0.23817967  0.001      -0.001     ]"
"[ 0.13965528  0.05187573 -0.04284142 ...,  0.34001491 -0.0015     -0.0015    ]","[-0.15972795  0.2305608  -0.05687623 ..., -0.41067694  0.0035     -0.0035    ]","[-0.0625178   0.19096959 -0.08799283 ...,  0.35687687 -0.0035     -0.0035    ]","[-0.07499666  0.21725691  0.14299168 ...,  0.37206083  0.0035     -0.0035    ]","[ 0.16642468 -0.20483804 -0.17095443 ..., -0.23567967  0.0035     -0.0025    ]"
"[ 0.13665529  0.05487573 -0.03984142 ...,  0.33701491  0.0015     -0.0045    ]","[-0.16172795  0.22856081 -0.05887623 ..., -0.40867694  0.0055     -0.0055    ]","[-0.0615178   0.19296959 -0.08999283 ...,  0.35787687 -0.0055     -0.0055    ]","[-0.07699666  0.21525691  0.14499168 ...,  0.37406083  0.0055     -0.0055    ]","[ 0.16442468 -0.20283804 -0.16895443 ..., -0.23367967  0.0055     -0.0045    ]"
"[ 0.13615529  0.05537573 -0.03934142 ...,  0.33751491  0.001      -0.005     ]","[-0.16322795  0.22706081 -0.06037623 ..., -0.40917694  0.006      -0.007     ]","[-0.0630178   0.19146959 -0.08849283 ...,  0.35637688 -0.004      -0.007     ]","[-0.07849666  0.21375691  0.14649168 ...,  0.37556083  0.004      -0.004     ]","[ 0.16292468 -0.20133804 -0.17045442 ..., -0.23517967  0.004      -0.006     ]"
"[ 0.13415529  0.05837573 -0.03634142 ...,  0.34051491 -0.002      -0.008     ]","[-0.16572795  0.22756081 -0.06287623 ..., -0.41067694  0.0045     -0.0085    ]","[-0.0645178   0.18996959 -0.08699283 ...,  0.35687688 -0.0015     -0.0085    ]","[-0.07949666  0.21275691  0.14749168 ...,  0.37756083  0.004      -0.005     ]","[ 0.16042468 -0.19883804 -0.17095441 ..., -0.23767967  0.0015     -0.0085    ]"
"[ 0.13315529  0.05737573 -0.03734142 ...,  0.3415149  -0.001      -0.009     ]","[-0.16722795  0.22806081 -0.06437623 ..., -0.41117694  0.004      -0.01      ]","[ -6.60177956e-02   1.88469592e-01  -8.54928254e-02 ...,   3.58376878e-01
  -1.93894239e-12  -9.99999993e-03]","[-0.08099666  0.21125691  0.14899168 ...,  0.37906083  0.0025     -0.0065    ]","[ 0.16092468 -0.19933804 -0.17145441 ..., -0.23817967  0.001      -0.009     ]"
"[ 0.13465529  0.05787573 -0.03684142 ...,  0.34301491  0.0005     -0.0115    ]","[-0.16922795  0.23006081 -0.06637623 ..., -0.41317694  0.006      -0.008     ]","[-0.06801779  0.18946959 -0.08549283 ...,  0.36037688  0.002      -0.012     ]","[ -8.34966566e-02   2.08756913e-01   1.51491683e-01 ...,   3.81560831e-01
   6.38735623e-11  -7.99999982e-03]","[  1.59924662e-01  -1.97338037e-01  -1.70454410e-01 ...,  -2.41179669e-01
   6.01834803e-11  -9.99999995e-03]"
"[ 0.13565529  0.05887573 -0.03584142 ...,  0.34401491 -0.0005     -0.0125    ]","[-0.17172795  0.23256081 -0.06887623 ..., -0.41567694  0.0065     -0.0085    ]","[-0.07001779  0.18946959 -0.08349283 ...,  0.36237688  0.003      -0.014     ]","[-0.08499666  0.20725691  0.15299168 ...,  0.38306083  0.0005     -0.0095    ]","[ 0.15892466 -0.19633804 -0.16945441 ..., -0.24217967 -0.001      -0.011     ]"
"[  1.37155291e-01   6.03757303e-02  -3.43414238e-02 ...,   3.45514905e-01
   3.02288361e-09  -1.39999999e-02]","[-0.17272793  0.23156081 -0.06787623 ..., -0.41667694  0.0055     -0.0095    ]","[-0.07151779  0.19096959 -0.08199283 ...,  0.36387688  0.0015     -0.0155    ]","[-0.08399666  0.20825691  0.15199168 ...,  0.38206083  0.0015     -0.0075    ]","[ 0.15792466 -0.19533804 -0.16845441 ..., -0.24317967 -0.001      -0.012     ]"
