nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
37.0,9.0,36.0,39.0,22.0,33.0,30.0,38.0,35.0,46
36.0,25.0,25.0,30.0,26.0,41.0,15.0,15.0,33.0,34
11.0,23.0,19.0,16.0,23.0,15.0,33.0,20.0,47.0,12
14.0,34.0,9.0,22.0,16.0,24.0,14.0,3.0,18.0,6
25.0,14.0,9.0,15.0,14.0,14.0,13.0,15.0,4.0,15
49.0,34.0,10.0,10.0,5.0,9.0,8.0,13.0,29.0,8
10.0,31.0,39.0,6.0,12.0,4.0,7.0,6.0,1.0,2
8.0,16.0,17.0,2.0,14.0,5.0,29.0,8.0,1.0,13
11.0,1.0,10.0,2.0,1.0,12.0,7.0,2.0,4.0,19
10.0,4.0,4.0,5.0,28.0,7.0,13.0,22.0,2.0,2
4.0,11.0,13.0,17.0,16.0,5.0,7.0,2.0,15.0,1
30.0,17.0,19.0,12.0,12.0,13.0,1.0,4.0,7.0,5
9.0,22.0,15.0,26.0,5.0,5.0,5.0,4.0,12.0,1
38.0,13.0,19.0,5.0,10.0,6.0,6.0,14.0,7.0,6
14.0,4.0,9.0,4.0,5.0,21.0,5.0,49.0,1.0,8
12.0,7.0,23.0,30.0,6.0,38.0,1.0,1.0,8.0,3
2.0,20.0,21.0,8.0,2.0,12.0,10.0,12.0,13.0,7
8.0,16.0,8.0,2.0,5.0,26.0,10.0,2.0,39.0,9
8.0,19.0,6.0,3.0,3.0,7.0,15.0,22.0,15.0,4
3.0,2.0,2.0,5.0,1.0,9.0,8.0,8.0,1.0,5
18.0,9.0,1.0,6.0,8.0,6.0,3.0,3.0,16.0,16
33.0,1.0,18.0,1.0,10.0,10.0,22.0,4.0,7.0,1
11.0,18.0,20.0,1.0,3.0,3.0,2.0,5.0,4.0,5
7.0,10.0,2.0,10.0,5.0,1.0,27.0,1.0,8.0,2
4.0,3.0,6.0,15.0,8.0,6.0,5.0,46.0,1.0,1
11.0,5.0,28.0,27.0,2.0,2.0,5.0,1.0,1.0,2
8.0,46.0,1.0,3.0,14.0,3.0,6.0,8.0,5.0,6
3.0,3.0,2.0,4.0,1.0,18.0,13.0,14.0,10.0,16
8.0,2.0,9.0,5.0,11.0,5.0,17.0,3.0,1.0,24
1.0,1.0,2.0,4.0,19.0,7.0,1.0,20.0,15.0,16
12.0,17.0,3.0,20.0,3.0,3.0,23.0,1.0,38.0,14
1.0,14.0,24.0,2.0,1.0,18.0,1.0,22.0,20.0,6
11.0,2.0,8.0,4.0,3.0,1.0,1.0,16.0,1.0,49
12.0,4.0,5.0,3.0,12.0,7.0,21.0,1.0,5.0,4
1.0,32.0,3.0,13.0,8.0,13.0,1.0,2.0,3.0,9
8.0,13.0,16.0,13.0,12.0,14.0,12.0,5.0,14.0,5
32.0,1.0,25.0,6.0,1.0,3.0,10.0,10.0,14.0,7
1.0,1.0,1.0,2.0,8.0,3.0,3.0,2.0,15.0,1
14.0,1.0,2.0,24.0,6.0,1.0,17.0,15.0,5.0,2
22.0,9.0,2.0,19.0,6.0,25.0,1.0,8.0,15.0,15
1.0,9.0,27.0,7.0,19.0,7.0,17.0,14.0,1.0,13
21.0,13.0,14.0,30.0,3.0,11.0,1.0,4.0,1.0,4
,1.0,23.0,2.0,1.0,8.0,1.0,4.0,14.0,4
,2.0,4.0,9.0,4.0,4.0,2.0,24.0,1.0,3
,1.0,,2.0,8.0,5.0,3.0,7.0,2.0,14
,,,22.0,17.0,1.0,1.0,2.0,4.0,3
,,,1.0,3.0,7.0,11.0,3.0,4.0,10
,,,2.0,26.0,17.0,9.0,11.0,2.0,2
,,,,1.0,,8.0,,,10
,,,,42.0,,9.0,,,6
,,,,,,,,,1
,,,,,,,,,2
