rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[   9.98340004   49.97271713   29.98482677  139.81450518   39.96309206
   19.96772043   69.97660781   39.98136165  119.86014883   29.97380281]","[  79.97692328   99.93699807   69.92427936   49.96116493   29.98317181
    9.9807374    49.97231937  159.91771262  119.96105315   39.97539957]","[  49.92399637  129.89855705  149.94117013  159.91176888   79.95830173
   69.95713068    9.98363862  109.88996304   89.96069369   19.97059603]","[ 229.86620846   39.95460574   39.98463006   39.97580845   39.97854692
  139.93881131   59.94361775   69.92290217   59.94554107  169.90478598]","[  19.97084804   19.97588458  489.78680475   39.9451069   149.95352085
   79.98301995  369.8685112    79.87729214  239.8984266     9.98627945]","[  39.96040123   49.98685132  119.92547345   69.90367295   39.96797585
  119.94279572   49.9503105    29.97853088   79.92060634   99.87102105]","[   9.98660873   19.96837106   59.97336384   79.97918226  239.94623057
   39.96697806  179.95802957   89.93272812   79.9229838   319.79414264]","[ 169.92084379   79.92905335   49.94331446   59.959999     89.94500633
  379.81122582   19.98183084   69.93199319   29.96485425   79.98112083]","[  39.96165167  479.79980176   59.96643574   39.94707408   19.97723243
   89.9809053    49.97504452   19.98527572  269.90184182   29.98073319]","[  49.96506619  179.94586155   19.97367668  219.90210643    9.9876536
   29.98507293   39.9545508    69.94473871   99.9334624     9.98271608]"
"[  79.96886198   49.97888976   49.93816973   19.97949238  189.9334339
   59.96524243   19.97316484   79.8830247   189.87027332   59.9704365 ]","[  69.96950557  109.92639424  109.97022806  129.96299559    0.
   59.96802552  109.95213986   19.9667044   209.84713407   49.95277274]","[  19.97687216  229.92082733   29.97541395   79.95944355   99.9553162
    9.98271717  149.95399242    9.9833273    79.90792749   19.97215818]","[  29.95361178   39.93645628  129.86287909    9.98495861  129.92775047
  109.87244615   79.95615425  189.85931068  199.92615744   19.97379343]","[  69.96355286   49.95288302    0.           99.90273727  129.92498087
  249.81901111  149.87319987   49.95449592  109.90941391  159.96356061]","[ 179.88290141   49.9517356    39.95620365  179.93125863   29.97729364
   69.96925043   79.93493352  159.94357978   89.89758769   29.96632789]","[ 99.90678398  59.96770723  79.87819481  39.97188972   9.98410549
  89.93371184  29.96401713   9.98068909  39.97789532  29.97443451]","[  49.97301969  119.93191974   39.96131994   39.94044174  129.92831979
   39.95258789   49.97038216   89.89613425  199.91436754  179.92567747]","[ 209.91532798   29.97487483   29.97581973   79.96649559   89.95291642
   59.90568165   29.97216764   19.97234606   59.96112051   99.94057997]","[  99.92749128  139.91614391  189.90491016  109.93586762  169.87495258
   69.97858301   49.96842386   99.97030476   59.9770332    49.98469945]"
"[ 169.91667028   59.96539238  159.95183657   49.97927036  169.93638753
   69.93068607   39.9803882    39.97525283   49.9285165    99.91422341]","[ 239.92836739   49.9871613    99.89874667   49.93500389   79.9597721
   79.9477611    79.9380002    79.93123629  129.86107911  459.81910469]","[ 209.87029538   59.9770463     9.98019623   19.97542784    9.98538605
   79.93684601  119.88010998    9.98307471   79.97017383  179.86203648]","[  29.96058932   39.95550251   69.92381083    0.           79.95274112
  109.93142988  119.94791429  199.90600565   89.87319814  129.88488939]","[ 269.88928089   29.96002481   69.9627524   109.92782851  119.96339855
   99.9704451     9.98316338   29.9587932     9.98011747   19.9759817 ]","[  99.93237587  129.95707175  139.967475     39.97995267   99.93705477
  159.92784326   89.95643179  109.88017439  109.96062375   49.96192773]","[ 159.93412364   79.96160865    9.98104368  289.85693403    9.98601475
   39.9781127    79.97031016   29.94745255   49.94434102   79.92633332]","[ 149.85576986  159.90756494   59.9602585   329.71162999   69.94562054
   79.95033672   29.95267946    9.98924496   69.95050257   59.94261294]","[  79.90636641  129.86925278   69.94753215  129.97088565   59.97043464
  239.87009698   29.9703539   319.82339265  229.89099501   69.94050642]","[  29.94488791  249.8255607   169.85212072   59.93511569   59.98103474
   19.97292385   59.96767829   59.96149446   29.9720823     0.        ]"
"[   9.98171303    9.98312329   69.95343253   29.9652937   299.78748331
   79.96027976    9.98442003  129.91363187   59.96485824   79.90768093]","[ 139.96002783  149.91918541   79.92374441   79.97489151    9.98300681
   49.95756609   29.97054715   69.96867421   39.94945353  149.83929191]","[  19.98035928  119.95188244  139.94762498   49.95403583   19.96972394
    9.97935981   69.92436011    9.98541325   69.96686311   29.97696214]","[  29.95620756   29.94519814   19.97899901  109.95055192   59.95022447
   29.95728036    9.98126786   39.970829     89.97803159   69.95769121]","[  29.96553641   79.94778191  159.95325643  209.93877869  199.89677216
   39.97385441    9.98428087  269.82081594  139.83608414   49.97501809]","[  69.96565982   59.97616091   79.95591531    9.9846626    29.95366635
   99.92551253  119.95596723   69.95360336    9.98457463   59.92696782]","[   9.98492865  149.90710535   19.96598503   19.97764009   89.92393745
   69.95871646  109.96810195  139.94302074   89.94491299  139.91994634]","[   9.98304514   29.94874601    9.98176649   69.8934658    89.91619563
  229.91209671   99.95264132  159.85885935  169.88594334   39.9727494 ]","[ 119.95770556  219.86023731  139.95194804   49.9379264   459.78162168
   59.97204138   49.97360024   69.92841449  199.83488072   29.95614619]","[ 119.95414655  159.93201101    9.98475039   89.95325662   49.94881455
   39.97408291  289.86089476   79.91718294   99.87574811  159.92280638]"
"[  79.94791661  279.9284681   189.89496413  219.91506966   59.94982069
   79.89812108  269.87654253   59.94999309   69.95105447  119.91417032]","[  59.92074073  129.88107064   49.96373329  179.87433404   59.96330617
  109.9662807    99.93019529   99.97606661  259.86429187   99.88328647]","[  69.96066717  189.93198685    9.9901746    59.96200356   29.96434099
  109.93035187   69.932268    109.9663647    59.94981749  119.92145547]","[  79.97314753   99.91987062  219.87459169    9.98365791   29.94569237
  169.96218548   39.95375375  139.82616147  109.95398371  109.89530874]","[ 139.84479153  129.93329058  139.85653587  209.95586422   39.97897015
   39.94996605  179.81782606   29.96702517   39.97710017   89.96314891]","[ 149.94227166   79.94829069  169.93558572  189.90555457   29.96290649
  259.88796542   79.96477487  129.90196093   49.93095267   99.94909818]","[ 199.93066465  109.91859347   79.96314271   59.96627483  169.94080679
  129.92490104  179.92886001  179.90208386  189.87932056   39.96236402]","[  59.98327953    9.98401786   69.96152444   89.94939884   39.97127815
    9.98229508   39.9830293   109.8944908    89.95137293   89.97170434]","[ 169.87840162    9.9853602   109.95445101  169.93757334   79.91798794
   79.88719539   69.90591908   29.95846558  119.93980781   49.9646748 ]","[  59.98048191   59.9033931     9.98028633   89.96102546   99.91838
   49.97003325  269.87939781   39.95865155  149.84587577   59.98003995]"
"[  19.97070007  149.94982198   89.95965433  109.93609705  189.79792109
   19.97465182    9.98381759  129.91842782    9.98481798  219.89696244]","[  69.95981911  119.93545964  209.92307907  229.93493772   29.96756163
    9.98433178   69.95962082   59.96428276  269.92260194   99.93855808]","[  89.95117503   69.90584563   49.94312612   49.95739765   39.9483475
  199.95028511   69.90702133   79.97566487  149.94115962   19.97352363]","[ 129.97004851   89.96977562  129.90248518   39.9714569    49.96102258
   89.9261801   149.91877233  209.8515265    59.94627399  149.93811217]","[ 109.85523475   89.94402615   19.97164232   59.97829734  119.94936552
   39.96520418   59.97507573   19.98171603   39.94055037   69.88281545]","[ 299.91352833   59.95601069  179.87692937  179.92033465   59.94129816
  119.94974079   29.96534844  169.83741207   59.96257684   29.96535497]","[   9.98495018  119.96334292  119.88147398  119.90077973   39.95668178
   39.94742692  219.86504075   99.93435435   19.98349581   29.96115187]","[  39.95806587  169.90600026   49.97724221  159.88920358  149.90585858
   69.91537991  269.83774156  129.95756526   39.96654141  159.95133918]","[  39.95006743    9.98019733  119.9196211    89.98038167   49.9460994
   59.93204389   79.95597488  169.94572134    9.98305323   89.87702907]","[  79.95106973   49.9201999    19.97396934   59.95008231   59.93872782
  119.94563049   99.9679091   219.90881711   79.94514062   99.94568226]"
"[ 209.85855626   49.95415077   49.95886512   59.97313903  509.75532637
  159.87150682   69.95847934   99.95000707   69.93782433  149.89139361]","[  79.96706702   89.97174571   59.97389024   59.9613404    59.9315777
    9.98113283  199.86950427   99.90680818  169.89688061   39.97756752]","[  69.95453026   89.9107259   129.87600844   99.89679211  129.97300971
   99.96052184  239.93533152   89.94752026   69.97193533  159.94975206]","[  69.94669193   69.95125103   69.97210806  149.95896684   59.93581501
   89.94987136  229.92207291   79.92296807   99.94348075  119.93521079]","[ 129.97268339   59.97896941  129.89547745  149.92243207   19.96375894
   59.93276007    9.98495436   19.97659411  139.89476177  219.82497502]","[  59.96174338  109.96150328  149.89842388   99.90946385  159.89490943
   19.98083526   19.97444173   99.95008738   69.97311672  109.90388909]","[  19.96901231  219.91189933   49.9514323    29.96900602   59.95866073
  139.84881211   49.95173029   59.92977612    0.           29.97816161]","[ 119.85251029  259.93559977   59.93350762  209.79796974  129.92115662
   29.95865692   79.9652248   109.95750692  139.9049462   149.95753844]","[ 199.88625996  299.91143767   29.96789335   19.98092873   59.96371132
   99.93726519   89.94402025   99.95995631   69.93845208  149.9293814 ]","[  69.97389039   79.93412175   29.96954981   69.96282837  199.93774834
   69.98048505   49.94847771    9.98803087   19.97570203    0.        ]"
"[  69.93891985  499.83335576  149.96148659  119.95924199  289.87395688
   89.9776248   189.92542408   79.91960961   69.9251403    49.96634629]","[  99.91977787   19.97125798   29.96186148   49.96702407   29.95347914
   39.96041074  209.86831909  149.90391149  329.86625947  119.90675848]","[  29.95823895   89.92851292   49.95788261  129.88336855   69.97538985
  229.90613879   39.95805244  109.90519346  279.83521691   69.92471397]","[  59.95846876  279.90788349  329.88276678   39.96724885  159.91947297
   79.97461587    9.98649415  109.95912307  159.9239207    59.97220027]","[  99.90238798  139.8572008   189.92778725   79.93600354  249.89118943
   49.96102512   99.95555355   49.96936918   39.97147886   49.94091563]","[  39.9669239    39.93483685   89.96582945  199.94235257   29.97253532
   49.91811165   89.92191883   79.97002398   69.97658823   79.95908713]","[  29.97507403   99.95334481   99.95052522  199.95373525  189.91919325
  159.90477615  139.92780586   49.96097649   89.94000795   89.94291866]","[  49.97536602   79.95930478  229.86882209   29.97205846  319.74963635
   49.93568365  239.9388678    29.98836069   39.93634857   89.94026364]","[   9.98899821   39.98602984   29.96816772   69.94893188  149.95408374
   89.90190966   69.96117928  129.93470836  169.93761795   79.9484804 ]","[ 209.93602505  319.80614255  119.93850032   29.97419282  229.92721379
   49.94494683   39.97513683  269.85241571  169.86013237    9.98703625]"
"[  19.97930502   19.98043684  109.92604179   79.96538866  199.89411271
  109.94719035   79.93591041    0.           29.97585546  129.90454372]","[  69.96011914   69.96945017   89.8875436   439.84920888  209.89946796
  559.78646029  189.84021688   19.96803715   69.9609747   189.90500621]","[  69.96057923   19.97678197   39.95379649  179.92967716   29.98346026
   49.94947983  159.90081181   19.97138529   19.97127756  279.84380441]","[ 249.84043257    0.           59.97137484   59.92021538   59.94384783
   19.97896697   99.97370546  199.92151769   19.96949883  209.92819159]","[ 199.89243999   59.94404998    9.98597047  109.93740298  169.89255547
   39.96951475   69.92381795  129.89031314  119.84884136   29.96526404]","[   9.98998745   99.96637575    9.98040253   79.94466116  209.82106012
  379.84427758   39.93955554    0.           79.89529277   49.94430574]","[  69.92142484   99.94669604   39.9574284   289.85219451   59.92286648
  209.89482789   19.97215528  189.84070249   29.97255418   89.98422989]","[ 179.81701928   59.96599238  169.93103795   69.96414399  259.84486062
   29.9520389   159.90809778   69.97282273   69.95082866  129.96388786]","[  19.97675735  149.93157665   59.97308649   59.93544504   39.95705191
   79.96402282  129.9432185   229.85975952   49.98235928   69.96641401]","[ 329.85051991  179.82139808   59.96481038   19.97130813   29.966151
   39.94379196  189.87616727   59.90652059  129.93779896   99.95737748]"
"[ 149.96326609   19.97385969    9.98291889   69.94569583  129.92584434
   59.96822104  119.97721776   79.9018131   179.94643857   19.97318775]","[  19.96988963   79.92576847   69.88367213   19.96831891  229.79725425
   39.95487205   39.95091959   29.97812348    9.98727763  109.95200413]","[  39.96657404   49.95765583   69.96517056  119.94691066   99.92373274
   39.97703214   69.94579702   39.97349633   89.90434987  349.81818786]","[  29.97160369    9.97969574   89.96035064   79.93909364  149.94160224
  139.945605     59.94925895   79.88528097  129.94296482   19.96755329]","[  39.9776718    39.96621934   39.98543212   79.91775374  119.91221503
  139.90508729   79.95879766  169.90026087   69.93678794   99.97076506]","[  19.97186326   49.94323801   79.87255534  229.86585618   39.95324288
   79.8647056    59.96248171   49.95122986  189.90147735   19.97241263]","[ 209.89000146  109.92064689   89.94956746    0.            0.
   59.93983969   99.96028938  179.92817336    0.           99.85587942]","[  49.98605636   69.90752322  199.87266232   19.9760837    19.96727032
  189.83018587  209.9208568     9.98196453   79.96365688  199.88305792]","[ 129.9293888   109.94749882   79.98117827  109.92165534   39.97106959
  199.87725528   89.9630418    79.95926027   19.96659117   39.95057634]","[ 239.93666082   79.93365035  269.89086401   89.95310686   39.94828951
   39.93594309  219.89990309  209.9372426   129.90356108  119.88227128]"
