variancceSgd0,variancceSgd1,variancceSgd2,variancceSgd3,variancceSgd4,variancceSgd5,variancceSgd6,variancceSgd7,variancceSgd8,variancceSgd9
1080.7190718684378,7925.589028319839,4543.580309881314,7792.333134460195,51296.24949728692,7694.939626291534,30967.110432409358,14746.304014060574,22537.351330127465,5808.787384662522
4104.472940443169,3284.9293271776223,7261.979426878574,8160.3291318179445,12565.035009420471,7809.489276281088,3367.5316381534826,4136.492153188288,8749.246261133241,8234.204406001836
6389.725081457773,25020.83464122065,4248.994763709061,11333.322503198497,4203.592566059529,3005.093080367381,45439.27163794785,66830.74882101787,40360.188886659475,7669.741592581189
10662.104246615863,8376.544082315355,5490.650389061525,3361.2176325643973,6749.509874051395,1846.7457956088774,5344.882850667047,13466.223127990532,14427.955042237823,54987.94135293633
22696.746751015795,9401.282588160795,6156.257835319208,19403.763068961893,11262.553497630193,13857.659483947296,12814.047473765659,1362.4385952232922,6985.537745822348,5515.445193933057
6798.956736090411,11087.855074055145,2093.7130835511593,8003.453193059784,2188.8594528695285,35991.20969967825,8622.094456755029,23813.118727445406,8149.121332411003,8200.167346485481
129513.46203367713,2796.506902395578,5178.523423192832,5595.765302838257,5427.804434181433,6020.7008411083625,3072.156685106249,16305.889041428549,17668.531207075426,5661.665590803277
46534.07881704725,19952.117551203606,17577.639364075756,68992.14882950256,32519.657565623056,13486.8938894167,8346.393739170062,20441.290699437435,11745.512979790901,22899.95332228725
8321.074379464095,102597.14900163477,3424.755275131017,5674.917781115071,6344.72460754493,17966.973660379714,13200.599727102765,12982.195686882762,3727.28161034447,35303.527201317156
5353.764799346387,6900.083527350311,16274.775099022498,12018.61240150902,3119.44902734207,9913.78217488269,6412.806358867344,10356.167869691018,11363.29133971587,57923.375799340945
44617.04576714992,17999.71084589102,21470.59871513162,26511.390329808222,24847.750204900385,39497.318490952224,55433.10195867343,39224.04553020079,34628.86820400427,12977.246468337238
30161.01571019725,147575.8777820473,22686.157565897243,5548.492932215993,104213.29915072766,11993.991118460988,3710.6329976998586,11255.9441587834,8744.12565643441,6513.857141410412
14591.924495091533,9266.484414868595,9458.599149649495,12148.844208619848,4525.9465335173845,22995.165262570536,34759.51170179093,2307.4002754520984,45636.59085806499,3501.420715817826
7135.153069117245,5847.874865542693,8940.250907339288,51427.59610758743,10847.71082873066,62859.82530979097,56918.67523470167,39451.503900160584,49188.9717026025,5858.964295475023
22993.16597743709,54334.218025819384,32579.260919590248,73397.27501389808,36900.90654759118,4241.183859160234,13716.48496950688,144583.29157194844,2010.028510278984,30090.718561437832
16061.525551331502,44248.15920764103,55619.49090348957,17235.168311423604,5502.503243179543,17702.17466255729,7776.960384348789,21340.56619898511,62329.055735566326,3862.906039317395
15449.752598376068,15015.965262697267,22890.95363398588,26577.235240405986,15245.702751050792,24276.732006611768,37195.15350016445,56940.06156717175,18956.82755610525,13212.906838689365
10848.829103253018,17839.064941666053,3545.35140127277,44203.197482555166,8908.664586975918,171644.27591409863,14936.127932571364,26703.561883319926,32158.74432651399,18097.71534729409
21178.221967359386,38856.11097894668,104275.75052426918,9592.151062566834,36556.63874330928,7256.759929808445,8080.886855044326,13277.736571081217,6064.874470722914,5903.385469361398
21213.226856593214,82880.80186763874,24927.110035510497,19835.250618155085,5186.13112707537,29265.09052866799,4573.0508490914635,14352.203560448652,49214.56168855564,32744.02805849126
23942.56850507446,7138.88068771718,30301.235772038966,35471.686741181045,34802.09524240974,6949.05588345445,71851.2509420419,6123.937003868183,14205.52529631175,34976.23292068214
48461.41752332906,10306.584501354822,17906.47328524496,37649.0725761357,168968.80504207587,93150.24402497406,47116.9260258041,86773.433602287,41709.76350545214,69044.99495170295
45522.55214816327,27008.70833821789,98144.2567539769,10090.40703809568,1127.2581711986174,9883.409598841807,24522.632875648815,60956.49726838572,70541.61492503753,37403.71856386864
19674.30086128648,67402.9618018893,6273.544616281983,22408.34446323694,124691.78687238344,13601.608570178998,105259.93447198562,53654.0433481394,7711.90644959032,33357.16561463299
11201.734710787365,58981.307343066364,10630.69480006897,3261.9004684109723,7660.963189013582,141767.62660278607,74860.21019041003,83846.20756019256,56168.5444103523,71195.22983918582
11042.786597410315,21112.78186452457,41789.27569999588,7868.8639061599115,29048.97703163266,6942.122459697442,53610.87861332182,23576.502954048818,24803.167169981563,81986.97946421488
6727.83125851553,4939.482215256431,11478.488727842298,30389.21698899135,56902.49324422091,59730.27490267919,20448.438061819383,33060.4895783774,40352.82869029492,4940.907018512175
21037.41005365504,12615.091850610008,48954.424363522456,47549.29804192141,21896.072277447103,10123.761816397415,8722.570741634663,17333.1601393191,54391.026154903615,21074.499177639787
70219.85416009382,49964.88211996274,8611.765939516601,62257.386788419346,47922.83131698399,37915.7228685482,12458.942810455788,91923.81627511742,11113.052377205697,50734.6462911947
36163.334893620224,59376.14237996356,29226.196728741066,95855.36353695205,33584.88188722773,42514.98679290374,97115.5123855827,22431.11423648323,38283.15734746404,19821.496230072287
40586.067371073914,39666.89684814225,14280.83324894126,20401.403063816768,106536.25745846966,116127.61817364521,47233.99823674605,29376.012037536988,29695.727507530835,13565.180943807463
52927.60658603915,23370.2370057106,6323.496433996075,137152.18159974858,36076.26384319387,100524.24868923402,19148.407065572057,167329.02465457757,104933.31710685627,5338.810642032426
17106.309267937388,45733.6924452252,85640.19907534914,72973.16228651562,26011.085798025742,51435.764146462374,56969.18961005642,42894.170950189575,37933.32770590626,91793.05544561654
11931.077660529005,294920.5996314151,26643.140426744885,121414.36304245247,70953.02284002796,198723.70623398724,49717.991874158586,9432.565935238166,131498.1168134216,29670.190439403872
46020.08441271019,120371.39387786204,40677.57798147794,5488.406697650627,76982.9070052528,49173.253660458955,56764.46121592436,127636.12332951283,309140.64205578127,68138.86621084216
27404.93494461303,110802.90643306196,229892.1986876201,532637.6054912882,28015.020668390905,27209.638820369284,65195.23601207686,78320.60707893263,188305.98508060444,62940.26730321062
52769.514532245696,33399.07375834335,58250.27548793323,82102.3747285998,217717.46333752287,318254.6297202465,78710.04582841828,32421.8725235827,22434.77719447106,52285.21228556661
563576.876451761,59531.23362224591,26766.00990904318,11668.848466811247,238637.75397769018,45302.261350083805,31081.539579785327,150238.87963522878,43702.1684416768,44214.55267753249
70587.88638998612,234063.49317886966,212326.73168196285,350677.121236398,48092.23020376188,133993.68956281143,466051.98188636533,33047.86023725876,14068.478182674535,15959.131905620974
149168.4348053424,144970.62948517056,25798.254951804833,49194.771615295744,69088.47647970963,57536.018055942775,116601.51165369955,61933.620553591005,39478.03667704287,37257.26619761728
51597.84665412827,54314.86024192368,32076.71861411669,30236.80813080479,95289.06056626304,85240.75254341771,117983.99358142888,217807.19333103742,94797.52735055513,33486.57239921467
41275.23236731673,44927.261941908975,118397.11882266603,61856.70596005325,96963.2819481501,75126.1166407413,45564.72948468358,60042.702650474064,41372.006502925135,234983.060030188
100372.05835931862,183184.12043264782,33604.382506791386,69292.0701798322,291452.51567808597,306769.6235090506,407858.57106821553,30160.46925121107,25559.890777034605,52465.70914005923
29816.819985519447,68457.84480203659,65220.12994264251,55409.484578327974,25733.84022626216,276570.56457112776,125775.83024894109,68204.34437368349,168073.24844174492,34090.481674854214
50969.740215907404,156856.57265198164,63969.748983579004,35408.80235988376,38076.56959588751,165438.79675515677,245769.82516263396,216582.6944108369,83479.41593979485,341289.82067008433
54814.39545344494,71520.01682251215,113059.17394593832,25754.22455953223,49281.028799508946,148537.43232897166,202553.4129391706,112340.30714525872,50895.25964613231,288720.5727280557
130099.69514737919,283900.57682181185,92664.99656125528,57115.46357009117,291427.0829719497,305366.8676915398,160427.1791565391,363514.2990339591,94372.04519500954,32798.68804123478
110967.46036491462,231450.525628888,34966.22378226148,120423.39563352236,1112431.371804816,31636.11892056862,219792.61710201437,225779.4179109026,190482.39164943874,73638.05856277554
