nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
15.0,30,19.0,17.0,21.0,8.0,26.0,29.0,6.0,13.0
41.0,16,29.0,5.0,19.0,17.0,46.0,23.0,28.0,14.0
17.0,19,16.0,23.0,28.0,21.0,30.0,35.0,3.0,33.0
18.0,23,12.0,48.0,11.0,14.0,21.0,27.0,5.0,23.0
15.0,27,18.0,17.0,44.0,8.0,12.0,12.0,18.0,17.0
49.0,15,31.0,13.0,23.0,44.0,3.0,1.0,22.0,1.0
21.0,11,12.0,33.0,26.0,42.0,20.0,9.0,44.0,18.0
23.0,12,21.0,4.0,1.0,6.0,13.0,46.0,1.0,4.0
1.0,8,26.0,4.0,5.0,2.0,12.0,13.0,7.0,21.0
11.0,11,6.0,16.0,1.0,6.0,4.0,3.0,11.0,5.0
9.0,3,3.0,2.0,26.0,4.0,21.0,12.0,13.0,23.0
1.0,17,14.0,49.0,4.0,17.0,3.0,9.0,15.0,13.0
4.0,2,14.0,6.0,5.0,19.0,5.0,6.0,49.0,3.0
16.0,1,1.0,1.0,2.0,1.0,1.0,7.0,5.0,2.0
11.0,1,2.0,2.0,5.0,1.0,5.0,3.0,7.0,15.0
6.0,1,5.0,4.0,12.0,5.0,9.0,3.0,17.0,2.0
10.0,1,3.0,6.0,8.0,2.0,1.0,5.0,4.0,19.0
9.0,1,1.0,9.0,35.0,2.0,7.0,25.0,9.0,9.0
10.0,5,3.0,12.0,6.0,17.0,13.0,17.0,3.0,8.0
28.0,4,1.0,8.0,7.0,1.0,1.0,5.0,2.0,1.0
4.0,5,2.0,5.0,1.0,14.0,3.0,4.0,1.0,49.0
2.0,6,5.0,2.0,27.0,1.0,13.0,4.0,7.0,12.0
12.0,9,6.0,3.0,7.0,1.0,1.0,3.0,6.0,1.0
4.0,1,14.0,3.0,9.0,1.0,1.0,7.0,49.0,4.0
1.0,1,1.0,7.0,5.0,31.0,3.0,6.0,5.0,25.0
2.0,8,1.0,2.0,9.0,19.0,1.0,8.0,5.0,26.0
24.0,1,2.0,1.0,3.0,11.0,9.0,17.0,12.0,5.0
6.0,1,8.0,49.0,1.0,3.0,3.0,6.0,1.0,1.0
22.0,2,4.0,1.0,1.0,11.0,15.0,6.0,4.0,13.0
5.0,2,9.0,2.0,7.0,2.0,4.0,9.0,1.0,3.0
7.0,4,3.0,5.0,3.0,4.0,7.0,3.0,5.0,2.0
1.0,8,6.0,4.0,39.0,1.0,25.0,2.0,4.0,3.0
1.0,1,1.0,1.0,7.0,23.0,5.0,9.0,25.0,3.0
1.0,4,2.0,1.0,2.0,19.0,3.0,3.0,1.0,1.0
1.0,3,7.0,2.0,6.0,3.0,2.0,6.0,1.0,10.0
6.0,9,3.0,13.0,1.0,6.0,3.0,16.0,1.0,17.0
1.0,2,10.0,3.0,9.0,11.0,2.0,1.0,2.0,29.0
9.0,2,44.0,5.0,5.0,6.0,5.0,1.0,21.0,4.0
1.0,1,2.0,6.0,5.0,1.0,1.0,2.0,1.0,1.0
6.0,1,4.0,2.0,3.0,11.0,9.0,1.0,10.0,13.0
7.0,1,1.0,5.0,17.0,2.0,2.0,3.0,4.0,2.0
24.0,15,1.0,1.0,3.0,6.0,1.0,22.0,5.0,1.0
1.0,23,4.0,6.0,2.0,5.0,23.0,4.0,1.0,7.0
5.0,2,1.0,2.0,1.0,2.0,5.0,1.0,9.0,1.0
5.0,9,8.0,6.0,1.0,11.0,40.0,2.0,3.0,16.0
1.0,8,1.0,1.0,1.0,4.0,10.0,3.0,4.0,1.0
9.0,14,1.0,2.0,2.0,19.0,11.0,13.0,1.0,3.0
6.0,1,6.0,12.0,1.0,1.0,4.0,3.0,5.0,1.0
2.0,1,5.0,4.0,14.0,14.0,11.0,1.0,1.0,7.0
5.0,12,5.0,8.0,18.0,19.0,24.0,3.0,6.0,
,3,1.0,2.0,,,,3.0,11.0,
,4,1.0,3.0,,,,1.0,,
,6,2.0,8.0,,,,6.0,,
,5,2.0,3.0,,,,,,
,13,1.0,,,,,,,
,4,8.0,,,,,,,
,1,10.0,,,,,,,
,6,,,,,,,,
,2,,,,,,,,
