trajReturn0,trajReturn1,trajReturn2,trajReturn3,trajReturn4,trajReturn5,trajReturn6,trajReturn7,trajReturn8,trajReturn9
"[ 49.97715434  19.97561866  89.92658373  29.97582866  49.97715434
  19.97561866  89.92658373  49.97715434  19.97561866  89.92658373]","[ 29.9879571   39.9867829   29.9922662   39.98292445  29.98810773
  19.9734239   49.96834149  39.98629862  29.971281    19.96847424]","[  9.98343827  19.96702358  69.95323595  89.97557704  59.96909651
   9.98586004  59.98868438  19.97903665  39.98231557   9.9804086 ]","[   0.           69.96346665   19.98335534   29.98347559   69.98154644
   39.95200132  109.955051     79.95538595   79.98144275   59.89726419]","[ 39.98652228  39.97854983  79.96454438   0.          59.98436314
  79.93846905  39.97622813   9.98969209  39.97796899  59.96433693]","[ 39.98444925  19.98835096  39.97580089  29.98265746  59.97305185
   9.97995502  69.95832045  19.98873857  29.96135231  49.9726395 ]","[ 39.98582376  39.96715901  39.98272595  29.97292337  39.96997783
   9.9857082   79.96050534  29.98915503  29.97049305  29.97111082]","[ 29.99096412  49.96076408   9.9901595   39.95825909  49.9731812
  49.96492153  69.98444297  19.98390963  49.9782145   39.97410789]","[ 39.9865635   29.966931    59.98541395  29.9841531   39.96260325
  29.99236984  69.97361859   0.          39.97344238  19.98805014]","[ 19.97792139  29.98028869  29.97718899  49.95422766   9.98505746
   9.98537575   9.98682823  89.97346506  49.9698465   39.94565389]"
"[  79.9448295    49.9740294   139.86639904   29.97652858   19.97400771
   49.97802344   39.98370867   29.97652858   19.97400771   49.97802344]","[ 49.98368539  19.97944268  49.97631217  29.97611002  49.97878721
  39.98855627  59.97686054  29.98370104  19.98329637  69.96102069]","[  29.97464303   49.97624723   29.96095202   19.97090055   59.97285478
   19.9910352    29.96805158   49.97400714   59.96245938  189.84853523]","[ 79.97218662  49.98623591  29.98618827  39.97309457  39.97466881
  39.98580918  59.97731886  49.97996092  19.96783424  39.97533156]","[  19.98720402   29.98587405   39.98700473    9.98907511   39.96456412
   29.98754024  139.92425437   29.96915742    9.98187361    0.        ]","[ 19.98023911  39.97788869  59.96984725   9.98255685   0.          29.98712769
  29.97030713  29.97154088  39.98174639  19.97152346]","[  49.98421122   69.9715494    49.97401191   29.97583849    9.98208751
   39.96963185  129.95407681   19.99053642   29.98607799    9.98550848]","[ 29.98411686  19.9933164   39.98568118  19.97674589  19.98533061
  89.93722297   9.9840128   49.98567981  59.96453609  39.97362215]","[ 49.9905609    9.9847873   19.97721485   9.98872482  39.97823368
  59.97857042  69.98716128  19.97990345  39.97715665  79.96215361]","[  39.97004869   39.9828099     9.98911278   29.97864136   49.9727638
   19.98958394   49.9804493   119.94949496   49.92346991   39.96784078]"
"[ 69.89747485  29.97392055  49.97522204  29.98575829  49.97892154
  49.97030121  29.99019304  59.97254503  69.89747485  29.97392055]","[  0.          29.98658086  59.96809611  19.99440548  39.97868334
  39.97451198  59.98899468   9.98952072  49.98431164   0.        ]","[ 39.9826353   29.97865786  59.9886112    9.98395623  29.97506688
  79.94356954  69.96248573   9.98446771  49.97251628  59.98488066]","[   9.98588129   49.9293762    19.97276234   19.9920004    39.96889161
    9.9892122   199.95384948   29.98147869   39.96497496   29.962177  ]","[  9.98440044  49.96443821   9.98715287  19.97925444  59.978497
   9.98237324  59.95084935  39.97317617  29.97637951  29.96261469]","[  9.98534276  29.95511647  59.96906862  19.98446953   0.          29.96539144
  29.96879723  49.96299971  29.97582377  49.97871768]","[  29.99212127   79.96574922   19.98019737   39.97127355    9.98617918
    9.99081444   29.98786756    9.98322429   99.92678131  119.95700387]","[ 109.96922345   19.9874646    29.96973134   19.96820661   19.97609002
   39.9648911    49.98094524   49.98338224   59.96912879   59.97636498]","[ 29.96721733  19.97984424  49.96607641   9.98722002  49.97119893
  39.9783162    9.98229707  99.93011199  19.98900438  49.98148222]","[ 29.98670667  39.95919379  49.97550492   9.991586    59.98563532
  59.96297385  19.9930327   69.98643822  79.97200729   9.98442505]"
"[  29.96834944    9.98123784   39.97349841   89.95006778   49.98035133
   29.98756347   49.97632853  149.93191616   59.96460052   19.9650805 ]","[  9.98605832  19.97039935  49.97204928  19.98395694  39.98305939
   9.98267625  39.96881438   9.97973355  29.98545363  39.95606044]","[  9.98524661  29.96615945   9.98517705  39.9769015   79.95848746
   9.98410681  49.96903782  49.96952683  29.99051828  19.98590657]","[ 19.97595762  79.9612278   39.96157052  19.97807005   9.99184111
  49.97365717  39.97987556  19.98690579   9.98352568  19.97530453]","[ 39.94400086  19.96862461   9.98798835  49.97707847   9.98088054
  49.98212242  19.98759055  19.9794637   19.99153978  39.99051572]","[   9.98567528   69.98245143   29.99059185   29.96246531  179.92960707
   29.97055564  119.96386288   19.9854587    39.9673318    39.97506695]","[ 19.96387229  29.98642191  49.97407449  39.97368214  49.98208545
  19.99421959  39.96311743  59.97598114  59.96454961  19.98219501]","[  9.98929342   9.98042556  29.97752756   9.98524798  89.9685092
   9.98121252  69.97321463  49.9808995   39.98455978  39.98471394]","[  9.98549265   9.98756114  19.98319112  29.97583545  19.97259314
  59.98292439  19.97426141  19.98308498  29.96394067  79.98260075]","[ 49.97587119  79.95837547  49.96873766  29.99016678  29.98037966
  69.97336522  69.96196398  59.98013762  29.97476769  39.9675463 ]"
"[  79.96612917   39.97178402   29.98742132   39.9709875   109.96304631
   69.97356617    9.98368809   19.9860184    19.9729815    19.98838179]","[ 49.98609935  29.97926841  59.94750803  29.98565102  29.98214509
  59.96964231  59.97460481   9.98764105  49.96334236  19.99032977]","[ 19.99228509  49.97245736  79.92312369  59.96825763  39.98610873
  19.99153849   9.98064633  29.97043865  39.97074777  39.92952722]","[ 19.96883648  29.99164948  19.98202549  29.97967665   9.9801435
  29.96942391  29.97391645  19.96936323  39.97863577   0.        ]","[   9.98784996   59.96421197   59.97236127   49.9439223    79.96715996
   39.98341754  129.91062815   49.96797691   19.97170246   39.98189705]","[ 19.97501584   9.9849367   19.96989316  19.97394532  29.98984585
  49.96660035  69.9594664   29.98262728  19.97666474  19.98073431]","[ 29.9479748   29.97397205  29.98562174  19.98000326   9.98327205
  19.98037205  99.94843597   9.98066178  59.96271228  19.98391329]","[  9.97907524   9.98739619  39.98404644  19.98412853  19.98307595
   9.98215664  29.9728497   89.91728476  39.96259094   9.9875787 ]","[  9.98494187  19.98923203  19.98170927  49.96682107  19.9780942
  49.98120755  29.96809216   9.98679748  39.97462253  39.98659186]","[ 109.90576311    9.98802784    9.98654321   19.98017747   49.95894992
   19.98207175   49.92911154   39.96629416   39.96611956   19.97696392]"
"[  39.96959174   29.96236157   39.98017585    9.98564505   29.98543202
  109.95806546   29.98067718    9.98066813   49.96925677    9.98125256]","[  69.9631771    79.9666439    49.93201728  139.94590442   19.99232143
   19.96795492    9.98538107   39.98303368   19.97261061   49.98292626]","[ 49.98321436  49.97676705  39.97972099  29.97256524   9.98583505
  39.98058022  79.96159588   9.97941132  19.97604792  79.95876179]","[  79.97286577  139.97498748   59.9598725    29.98496391   19.98731752
   79.95623861   49.97340237   19.97827543   19.99442664   79.96446276]","[  69.9745368     9.98871303    9.98410978    9.98682702    9.98988315
   29.99225208   29.96823062  169.92891397   49.98333479   39.99013974]","[ 69.98212877  49.9729491   89.93568355   9.98152886  49.99220318
  19.99331453  19.97870653   9.98595421  49.96580399  29.98015564]","[ 39.98282327  39.96969481  19.99149544  49.97529625  39.98021004
  39.98196544  39.97446233  69.92348812  29.98755688  29.96208574]","[ 39.97899195  89.97419656  69.98456778  39.98567018  39.98756308
  29.9717985   79.95721047  29.99255335  29.97733786  39.97933302]","[ 19.99103013  39.98080724   0.          19.9764599   19.97675217
  29.97076275   9.98445888  29.99233599  29.98898891  69.97745456]","[  29.99068156   89.96636965   19.98416622   49.95793993   49.96101308
    9.98287424  109.9307122    19.97189926    9.98531115   19.98617989]"
"[ 29.98994417  29.98113587  39.97778158   9.98695513  29.99103138
  19.98392121  29.97351462  39.98166231  29.99345429  59.92284772]","[ 49.98465678  59.95934771  19.98165394  19.97071959  39.9747519
  49.98402506  39.97248404  39.98180402  29.99037262  69.93737645]","[ 49.95589461  39.97259593  29.96104864  49.96605133   9.98202769
  99.96528001  29.96130701  19.98991229  49.97507705  59.96874747]","[ 49.97439602   9.98506306  29.98322665  39.97321559  89.95157256
  49.96462745  39.98134064  49.94599643  49.98036107  49.97816061]","[  19.98523194    9.98389077   29.95923946   39.96625801   79.95221132
   89.97302555   29.97202456   19.98845949   49.96622064  109.97446558]","[ 49.97875645  19.98312163  19.98166271  19.98786186  19.96670979
  39.94709197  49.94896566  49.96755691  19.96941887  59.98271588]","[ 139.95620051    9.98208853    9.98710103   19.9715753    59.9710059
   29.98771155   49.96670298   59.92608643   39.9775915    29.98930919]","[ 39.97585365  59.97304104  29.98410981  29.97456558  49.9744779
  39.98229978  29.96685122  69.97004529  69.97279651  49.9774568 ]","[ 79.98604005  19.97956946  99.97496807  19.96919078   9.99059353
  29.97073611  19.97644234  89.9606351   39.98237863  29.97171827]","[ 19.98373934  39.97347559  39.96791504  79.96183672  69.95575195
  39.97600776  19.98767747  29.99006692  39.96850042  19.9783794 ]"
"[ 69.97967779   9.98073336   9.98575039  69.94553744   9.98640559
   9.98404821  69.97967779  39.98778865  39.96226556  29.96692326]","[  19.97516463  119.97883162   49.98594102   69.9217423    39.97106331
   49.97026497   49.9862169     9.97939207   69.89356326   29.98023228]","[  9.98503875  29.97386001   9.99202599  39.96755089   9.98303374
  89.94768787  49.96869483  39.98653431  29.96681651  29.97455954]","[ 39.96364951  69.92789088  39.96419005  59.96645836  29.97955466
  49.98000646  49.93622872  79.96172853  29.99170074  29.98197548]","[ 29.97606126  49.96719299  49.96885005  19.96819867  39.96430227
  39.96172504  19.97936645  29.98521663  39.96316819  29.95862974]","[ 19.99067305  29.97193623   9.98384472  49.9650957   29.97789072
  59.96441982  39.97544021  39.98197007  29.99246733   9.99185272]","[ 39.97917138  29.96627068  69.96717858  59.95791341  19.98332284
   9.9859814   49.98385551  19.97080024  89.9493456    9.98427005]","[ 59.98305973  29.98439614  29.98774199  49.98080376  89.96374226
  79.92684615  79.96380897  49.93092411  79.95912425  49.97611825]","[ 49.97754688   9.97949982   0.          79.97052206   0.          39.97621352
  29.98197028  19.98658147  29.97685483  39.97780208]","[  29.98382097   19.97888417   29.94634025  129.96474573   19.9726589
   49.97781549    9.98867228   29.98599173   29.98626837    9.98963046]"
"[ 39.95729098  89.95060126  39.97201742   9.98073336   9.98575039
  69.94533786  39.97201742  19.98373087  29.96248389  39.96014649]","[ 39.94617826  29.97867589  29.96645997  49.97851238  19.98168152
  89.96471027  29.99175646  49.96037921   9.98726558  49.97876311]","[ 19.99129492   9.98507563  59.96761548  39.97931159  19.98307658
  29.97757501  29.98531339  29.99013231  19.98307088  29.98141783]","[ 59.94722851  19.97950043  29.96155679  19.97558425  19.99196361
  79.91269867  29.98037012   0.          39.98786794  29.96764115]","[  29.95998431   19.97654696   39.98604972   89.93949445   79.97524295
   29.98666413   29.9872279    39.98514677   69.9513784   149.83680227]","[ 29.9769422   19.97712145  59.96252756  19.98319295  59.9301814
   9.98055602  29.98325662  39.97385523  29.97972588  49.98185554]","[  39.97240917   39.97110202  139.95524633   29.96048128   39.98101992
   49.96871109   49.98133863    9.9830314     9.98012723   69.97657152]","[ 49.97573151  19.98995656   9.98534651  29.98221982  19.97369444
  39.9836682   39.96837261  99.96608226  89.93924292  19.98598443]","[ 19.97479582  39.99175646  39.98699823  29.98468278  39.97128831
  39.97975848   9.98422718  39.98946654  39.97967385  19.96620434]","[  49.97028178   19.98475033   39.98318576    9.9800753     0.
   59.97619074   49.97037593  109.92528175    9.989937     29.98124711]"
"[ 19.98388512  29.96172908   0.          59.9617824    0.          59.9617824
  19.99082807  19.97811466  39.9725425   19.98388512]","[ 69.92845399   9.9874569   19.98439281  39.97646903  59.96911955
   9.97936099   9.98059523  39.98584925   9.98394806  39.98854947]","[ 19.98139328  19.99421317  99.96404263  49.96579353  99.96791974
   9.98234737  89.96191721  59.95108044   9.98892714  59.93379272]","[ 29.97841804   9.98427497  39.97531968  39.98716942  29.97953107
  79.93300934  29.98461298  69.96958927  19.97098122  39.98048559]","[ 119.94977233   49.96549498   29.97578615   39.96368641   49.97635324
   39.97329798  119.89105141   19.9734202    19.9823483    49.96314835]","[  69.93929384   19.9754536    19.96736172  129.85687253   59.9852669
   29.97719654   29.98356067    9.98796316   29.98928804    9.98908199]","[ 39.96628285  39.98082023  49.98000599  39.98880473  39.98539698
  29.97706605  49.97365515  29.9883942   49.97397594  19.98321603]","[ 79.98004059  19.98024869  29.98974172  59.95728266  19.99310553
  59.96637193  59.99077693  49.98330264  29.9597226    0.        ]","[  9.98527445  29.98759121  39.97626269  19.98677268  29.98823414
  49.97656452  69.98086683  49.97592027  29.98009236  19.98027432]","[ 49.98133017  29.99071228  69.96761302  29.98949784  19.97032144
  19.98290526   9.98900013  39.98763268   9.98669344  29.9909091 ]"
