rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[  29.98035177   59.97604897   79.91940718  159.94175764   19.97990492
  119.93599419    0.           69.95963288   29.98035177   59.97604897
   79.91940718  159.94175764   29.96673654]","[  29.98019072   89.91245855   49.96404007   29.96023623   29.96470106
   79.93486489   49.95725443   69.9827826   109.94989047   19.96933228
  229.91950608   69.9207269    99.95893926]","[ 29.96860549  29.97949343   9.9846799   49.97552718  39.96706818
  19.97865687  69.94013258  19.9720535   19.98746826  49.95639009
  49.97539771]","[   9.98899675   69.94512888   79.96981967   39.96489737   29.96949339
   79.9658331     9.98791246   29.98111329    9.98118244   29.99123875
  189.91024998  109.88649132]","[  19.9807116     9.98285911  209.92528742   69.95683252  149.95908576
  129.93182903  129.88673395   99.96513588   39.96587924   19.96595978
   19.97662655   89.95309555]","[ 19.97129264  39.98176404   9.98511089  29.96288657  49.98600963
  19.9760255   39.98912406  59.99020587  29.95917015  29.98684899
  19.96277854  69.98601266  39.97862506]","[  69.96789979  169.94223287  159.90085557   69.95126933  319.84843627
  199.92060938   59.96428831  399.92574442   19.99075651   29.95901575
  109.96964741   69.9540867    19.97284156]","[  39.9533107    19.98071441   49.94453452  109.96119615   29.98578916
   29.9809169    59.9576182    59.95310555   79.96790895    9.98674353
   39.95974681   59.95515552]","[  29.95528235  399.85855264  169.93676251   69.95553804   29.96883254
    0.           89.91952529   49.95346073    9.98804436   49.9596424
   39.97822803  159.88138013  119.84884641]","[  99.93359907   59.95048835   79.958097    119.88888132   39.97152071
   49.9725532    49.97406903   49.95702588   59.97191859   29.97920616
   79.96641143   89.93085636  119.95203246]"
"[ 69.93606927  59.97440233   9.98088856  29.96684896  89.9649457
  69.95873575  99.91642304  89.96494571  69.95873574  99.91642304
  79.95558083  29.96684896  89.9649457 ]","[  39.96217813    9.97969722   89.92621793   89.94418575   59.97869748
   79.95718195   29.94783634  149.95818247  209.87777272    9.98122273
   79.96385445  279.86308398]","[  9.98606683  39.97253592  59.97853748  19.97299277  29.95551333
  49.9752045   49.97324771  39.97461689  29.98573022  69.97133658
  49.97981975  59.94864345]","[  29.96371491   49.98697996   59.97624312  149.89804688   49.97162156
   39.96174538   49.98364486   69.93274698   59.97429132    9.9866533
   49.96817767    9.98488467]","[  69.97176539   29.98465591   79.95012033   39.98031755  119.93118992
   49.94512196   99.9474065    29.96344484   79.94909156   29.95626678
   39.97008922   49.971073    119.96229906]","[ 79.96318733  79.96939754   9.99014646  69.96249152  39.98027631
  19.96540097  39.95451844  89.97112182  29.97397775  69.97472425
  79.95817535  69.96573773  49.94702762]","[ 349.91001391   19.98655138  129.9471661   169.94555279  129.90004493
   69.90167816   29.96468527   99.92751914   49.95893863    0.
  129.91960143  159.90806953]","[ 139.94311893   19.97302189   69.96246219   39.95338476   49.97528052
    9.98023435   79.97050619   89.97390985   79.95687907   49.96909065
  109.93529091   59.96336447   99.96365137]","[  49.96218174   39.98980066   19.98315421   49.94404801   59.95990609
  119.90619991   59.96704132  229.93340234  169.96287728   29.97849085
   69.92821288   19.97542136  189.90044697]","[ 29.95804245  59.97728549  29.97959076  39.94464078   9.97938494
  39.9891714   19.96249583  39.96542221  99.93982025  99.95704194
   9.99073658  79.97738875  89.95929365]"
"[  69.95890011   99.91692621   79.95629666   59.94398924  209.94394851
   99.96220858   49.97095413   59.94398924  159.94443655   99.93132215
   79.95629666   59.94398924  159.94443651]","[  49.95282303  119.90453642   59.97449924  129.84838763   49.92467035
   49.97188045    9.98369674  139.94439865   29.94939221   59.92449763
  199.94943354   49.98833846  169.80454678]","[ 59.97916365  39.94837391  29.97235375  29.96865698  39.97237038
  69.96501999  39.97036553  19.98674615  39.96771427   9.98188719
  39.98750834  39.97772784]","[  0.          29.95497401  29.98879306  39.97018744  59.97113865
  29.99141718  49.96787681  49.97236966  29.98690262  39.97953113
  19.96061821  19.9837477   29.99155203]","[  39.97568923  169.9238351    89.96975136  129.93157017   49.96519034
   69.92853494  169.92422049   19.96808872   99.93043558   29.95338983
    9.98581415   19.97794605   79.95961435]","[ 39.97019344   0.           9.98796125  29.98553971  49.93294303
   9.98914205  29.97138118  49.97836858  19.97893897  19.97959766
  79.96913087  49.9668336   49.97573424]","[  79.96694495   49.94519186  229.93511423  139.93140407   69.89051125
   39.9670615    99.9521484   319.76645758  179.90380456   29.96482393
   99.92793076  139.95415009   49.97696721]","[  49.9702095    29.96501973  179.96772725   59.96951637   19.98583781
  209.8954367   109.96585527  109.94376345   19.97862774   49.98388288
   59.96298482]","[  29.96944877   59.93891308  109.9641045    29.96857715   69.94421733
   29.96841645  329.8645906    79.93098524  199.88414983   29.95697639
   69.91839806   19.97225455]","[   9.98007406   29.97400957   79.96263155   59.95975551   49.95873981
   29.96789178  109.91871305   19.96850627   39.96243508   39.9894844
   49.98892134   79.97072094   99.94910771]"
"[ 109.93557606   49.96662973   49.95931398   69.96372509  129.93375841
   99.93208781  109.93557603   49.96662973   49.95931398   69.96372509
  159.94503039   99.9320878    99.94174288]","[ 229.93477697   19.97124028   59.96317098   59.93856913   29.97250424
   99.91600458  149.93536357   19.96699096  209.870918    109.92619806
   59.948297     39.93616773  119.94545257]","[  69.98229914   69.97790351   19.98226244    9.98661008   69.96079332
   19.97375874   19.97728688  109.92250177   19.98099443   49.99253012
   39.97469106   39.97113373]","[ 19.98782136  19.97044195  99.97294683  49.96537988  69.94465753
  49.96172398  59.955725    49.96268242  29.97340754  39.96788527
  29.97313401   0.          29.96317353]","[  79.91129416  139.95893826   49.96631809   79.96494058   29.94615319
    9.9826907    59.92071562   29.95912182   49.95517691   49.96029348
   59.95667465]","[ 29.95820097  49.97042133  79.96936812  39.98610301  89.97494361
  19.9935307   39.97698863  89.94707887  49.97342383  49.98124101
  29.99207063  39.97842619]","[ 189.83374078   19.98907943   99.94494055   69.88982984   39.96690351
   99.95259509    9.98676612   59.91043796   19.96829205   39.96917236
  229.9170113    59.96343747   19.97507754]","[  29.96972353   29.96770628   89.97060331   39.96336927   29.95442147
   99.95887771   29.95663168    9.98260826   29.96002122   39.98425136
   49.9707069   109.94025752   29.98103191]","[  79.94224595   19.96500202    9.98298841   59.93882445   79.93319864
  149.93539062   69.91977878  189.87346823    9.98089854   59.97648424
   99.94278428   69.92889348  269.88402677]","[  39.97322744   39.95294181   19.97125958   99.9532986    19.98011002
   19.97328849   39.98787799   69.94387768  109.95297571  129.95605331
   59.93478736   39.97005719   39.98327832]"
"[  69.95076469   99.95762878   89.88528699   59.94247087   29.96526616
  129.93049752   69.93905661   29.97395888   49.96463327  129.93914837
  109.93323761   49.96648939   69.93905659]","[   9.98740285   59.92945955   49.95349405  119.92542049   59.97115581
   19.99068414  119.96178809  129.9460636   149.95853784  149.94420388
  139.9447221   189.91171422]","[ 49.98337649  79.98639311  39.96264023  59.97078852  19.9772577
  19.97445627  49.95498978  39.97532011   0.          29.97429436
  49.96904858  39.96957538]","[  59.96897781    0.           19.98225781   89.92322474   49.97681832
   49.97655856   59.950334     79.96029022  109.97743036   29.97976771
   39.98069544  119.96551372   39.94336289]","[ 59.97595846  59.96807125  69.97278191  99.93867599   9.98325573
  59.97382731  19.97437869  49.96104865  29.97181203  89.91889091
  69.91278988  29.97067824]","[ 59.98385466   9.982399    79.97543583  79.94700112  29.9871846
   9.98382002   9.98542865  49.96850194  69.95433006  49.98211735
   9.98891275]","[ 319.77134302   59.963552     29.99237242   39.98185436   49.97710557
   29.96721344  149.90510956  269.86840426   59.97838796   29.97700693
   99.95633507   29.97670498  519.80111443]","[   9.98254043   49.96829779   59.97038113   29.98215088   59.96562236
   49.94641191   69.96270547    9.98126189   39.95322869   19.97465312
   49.95648176  109.91658752]","[  89.89302989   69.92609815  119.96381221  109.90006329   39.9462914
  159.94227283  359.91023447  209.91768776   49.96050771   79.96984822
   49.95857085   59.93972006  189.88884402]","[ 79.9451517   69.93571612   9.98536067  69.95851986  69.97253812
  59.95802699  79.92008769  49.91994606   9.98451726  89.9582177
  29.98465515]"
"[  49.95887116   69.96293946  129.92998493  189.88850077   99.88428089
  189.89781999   19.97483407  169.86932647   19.96763974   39.96868596
   29.97391571   49.96502471  129.9416298 ]","[  39.97333494   19.97638193   29.96460718    9.99173847   89.9595133
  199.91050614   99.93848429   39.94736954   19.98033842  129.87853079
    9.98353688   49.93783824   79.94938182]","[ 59.97350661  79.97556747   9.98848921   9.98049829  39.96363258
  69.98032076  49.97352143  39.9776674   39.96367491  49.96438625
  19.97818723  39.9651053   29.98786589]","[ 49.96824743  39.97536183  39.98853095  79.95986616  19.97993889
  39.98533743  29.98321039  19.97432657  29.9647207   29.97268344
  49.97578584   9.98176351]","[  59.92191506  109.97122726  109.89448911   19.98465699    9.9844584     0.
   29.96262022   29.97371163   49.91817706    9.98769115   49.94736446
   19.97738074   49.95968758]","[  29.97689759    9.99281441   59.94129519   39.97789005  109.95859235
   29.96054092   19.96902285   29.99022833   19.99232777   19.99084688
   29.97428785   39.98215821]","[  49.98844244  139.93202802   29.96218101  119.91082216   49.94224773
  239.94555563   19.97510432   29.99240525   39.98187974   49.97704002
   29.96730905  129.92947977]","[  9.98252556  39.989656    29.9479187   19.99154558  29.97041397
  59.98301813  59.97594104  19.97528641  19.9827824    9.98323055
  49.92694481  19.97646512  39.98013006]","[ 139.9464069    89.96651663   79.91493356   59.94903048   69.92565437
   99.96407953  159.85901288  109.88211274  189.92596277   59.95702538
    9.98291482   79.91674086  169.95336872]","[  49.96521432   49.95012409   59.9361932    99.9804322   109.95613325
    9.98079035   59.95607522   99.94035496  109.95651915    9.98931912
   49.95934216   29.97459842   49.97737411]"
"[ 149.91569549   19.96783332   49.978777     19.98644858   19.97486452
  169.86948995   19.96766391   39.96862484   59.95839371   29.98878051
   39.96671674   89.95020853]","[  79.96382608  109.94621454   79.92911848   89.90582777   89.89193802
    9.98018718    9.98481862   59.95050216   49.95198104   19.96859127
  389.89627177   59.95609009  269.87701981]","[ 29.97123352  29.98853299  19.97661828   9.98852412  79.9265822
  59.97664135  19.98864614  19.97032165  19.98190048  29.98240319
  49.98485943  19.98618443  39.98097274]","[  79.87800043  109.9486596    59.96004046    9.98134639  229.92961905
   49.9770917    49.9701924    59.97134022   19.97315374   19.97374266
   19.97989694   39.98635591]","[  59.9539516    39.97717631  119.92859317   49.95572376  109.9844109
  249.94896174   19.98300974   19.97090365   69.92618392   29.96966158
   49.93730465   89.94709626   79.93796663]","[  49.97540324   19.98446698   49.98185946   69.95902225  139.92122642
   19.96963474   59.96989401    9.99075249  109.96593036   79.95120384
   39.9716036    29.95640236   49.97160563]","[  29.97944811   29.96177361   89.96120791   59.95846766  149.90114378
   49.94253606   59.96921577  179.94425001    9.98281411   39.96614103
   39.94335556  189.87953781]","[  19.98537564   59.96934577  129.92280996   49.97339823   39.98021189
   19.97758337  119.93597791   19.96914543    9.97927783   69.96643339
   49.95559396   19.99178067  129.9056946 ]","[ 159.88592047  129.95146      89.95050993  119.9258248    39.93404151
   49.97628082   59.93946571   99.91369614  219.89263314   19.96510422
  149.81658542  119.94783955  189.8859691 ]","[  49.94061534   49.98081128   39.97265509  109.93615186   29.96129147
   49.95642934   79.97204669   99.88749473   29.9720343    69.96644564
  209.90354646  109.95525596   59.96069474]"
"[ 149.91804176  149.92665148   59.97665436   39.9777111    79.93440405
   69.95746754   39.95475633   39.98623278   49.95651775  139.96345883
  129.95803758  129.94547706   19.97489808]","[  99.94653046   69.96798638  119.94538887    9.9878568   189.88228144
   59.93232519  129.95570971   49.96928726   59.9802621   259.89531551
   59.9345328   129.97794276]","[ 49.97336659  19.9882927    9.98438644  39.96428256  39.97834986
  49.94533195  59.97544523  99.90267969  29.9808828   39.99012671
  29.98958323  39.9847385 ]","[  79.96626522  139.93297268   69.91905146  109.96182695   89.94642966
    9.98851997   19.98639944   39.97696878    9.9890321    49.96081016
   19.96743388   39.97341015]","[  79.94630955  109.97624382  139.87191051   29.96279016   69.88715236
   59.97933298   79.90115288   89.96125671   99.96778385   49.96637976
   29.96925905   59.96542169]","[ 49.97762794  99.93186909  39.97055448  49.97124909  29.99235867
  19.98012578  49.96923619  69.91169721  49.97002049   9.99054242
  39.97682896  89.95229747  19.98670972]","[  49.96578221  169.94251929   39.92733636   79.96010477   69.98714156
   39.97860257  249.80008223   19.9795411    29.97040025   69.96892659
  239.94445439   29.9795668   149.86798716]","[  69.94877564  149.93799526   19.98405405   29.97006148   39.97398899
   19.97479637   79.96271926  189.9214692     9.98499427    9.98152785
   49.93566501   89.97425939]","[  19.97310586   89.928947    109.90500774   29.97523372  139.93948188
  149.93826961   79.90526866  109.91271295   39.93543551  199.92651983
   19.96207762  259.91425044]","[ 49.96606356  39.96929535  19.97780164  39.98229529   9.98210769
  69.9811246   89.9726364   19.97367795  19.96771951  89.93954934
  79.94199736  49.96525206]"
"[  19.97517323   29.96408177   99.88677811   19.96886115  169.86741687
   19.96769865   19.96791196   49.97872295   19.9864255   159.90719201
   49.95882179   49.96680062]","[   9.98439142  179.93818601   49.96844215   89.96778549   29.96189555
  169.83994302   69.96702565   19.97436766  119.89645124   59.96634434
   99.92671653   79.95758752   79.9419737 ]","[ 39.98051861  19.97476555  59.93851598  69.94312638  49.98699059
  39.97902246  19.97068911  39.96640538  39.98826826  49.98428481
   9.98256731]","[  69.98368642  169.94749635    9.98339347   49.96856971   39.9857052
   99.96031112   39.96609776   19.97054238   49.97560432   19.98342233
   89.942131  ]","[  39.95579016   29.97723531   29.95882242   29.95777526  109.91793183
   49.96332948   99.95323843   49.9670633    29.96265433    9.98595715
   89.91536562   89.96150261   79.9729852 ]","[  29.97914824   89.94678674   49.96837309   29.97656993  159.94602002
   29.95754116   29.98804616   39.96279627    9.98238122   19.97736069
   19.98130111  199.86610209]","[  29.96156682   89.95957688   59.95853361   49.96558644  169.94165317
  169.91453627   29.98895413  419.62003928   99.95427294  109.95241473
   49.97618372   89.96155733   19.97051523]","[ 89.96662408  69.93339836  29.9858755   99.93300715  29.97997063
  39.98249823  39.98348764  49.97080704  29.96843098   9.98322031
  19.98742872  29.97789004]","[  39.94593557   79.88372102  149.85137695  119.94343766   39.946234
  149.92236448   19.96814615  119.95378137    0.            9.98013563
   29.97988492   59.93408645   79.97104164]","[ 179.83558043   49.96862883   99.95262608   49.96593607   39.97302045
   49.94170398   79.93810873  129.90641475   29.98192384   49.97272467
  179.94528536   79.95975243  139.87964734]"
"[  89.97240089   69.94658833   89.94831181  199.92337884   19.97957736
   59.9513224   199.86269174   29.95959042   39.96850969  149.91609841
   19.96789405   49.97875351   39.96979101]","[ 159.85075253  129.91369917   99.96007197   19.97501379   39.96194115
   49.94689884   29.9701908    89.8795564    89.96088552  139.91513747
   79.96547586   29.98024785  189.8379078 ]","[ 59.95416772  39.98280138   9.98562991  29.9883915   29.97439463
  49.96033917  29.9804574   19.9785053   39.9861762   69.95362955]","[  19.98358167   99.96188656   39.96358194  129.94751979  129.94899999
   49.96254917   59.9778394    39.97678704  129.93738413   39.9842227
  119.90636661   89.92224405  129.92761736]","[  29.96899696   99.93141467    9.99136743   89.96701945    9.98143678
   29.95027652   69.97988028  139.96606142  109.86415588   49.9763037
   29.96447071   79.96558056   29.96811792]","[  49.95668436   49.97485433   19.97612204  159.92305809   19.97422447
   39.97782209   49.96712133   39.98000596   69.91936686   49.97776497
   19.97235791   29.97915035   49.97859573]","[ 119.89041832   89.93607627   69.96413311  349.90256372  299.83132263
   79.9389928    39.92740317   79.96134733   69.98678409  169.91857472
   19.98422379  139.96697399   89.95509115]","[  49.9768204    39.95419038   59.93498871   39.9788918    19.99103107
   59.96848526   19.97788229   59.96616685  109.83970816   39.95132301
   59.98230484]","[  79.9053873   239.85004801  219.91030149   89.85414084   69.94353713
  259.88160269   99.91349993  129.8881856   129.88969369  209.94737611
  259.88318848  109.96010814   79.93313999]","[ 259.84372055  139.93564228   69.96617406   49.96756697   39.96288245
   39.98087021   49.91538475   89.91831398   99.88528337   69.95349378
   49.96185759  159.93950663   59.92252434]"
