rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[  9.98491445  19.99453357  19.97799522  29.97708203  19.97799522
  29.97708203  59.96724355  59.96198757   0.          19.99453357
  19.97799522]","[  9.98556769  49.97711449  89.96259946  39.98091664  19.97576454
  29.98241535   9.98615641  19.980127     9.98473     79.95065647
  59.95056077  59.9741309   39.98304596]","[  39.97359743   39.97605838    9.98073029   29.99234924   19.97351815
   19.98436186   19.97355882    9.98735897  109.91369284   39.98067801
   19.97295982   69.98135161]","[ 19.97860905  39.97997752  69.96615755  29.96244785  29.96948118
  19.98853412  69.97482332  39.9729216   29.96299021  29.98451901
  79.9614934   49.96948088  79.96549288]","[  49.988535     19.97361032    9.9903827     9.98533807  129.9647999
    9.98803324   69.93595338    9.9860597    19.97736667   39.98974131
   69.96901784   49.97231438  119.93976138]","[ 99.96479165  89.94386343  49.983655    19.97714463  49.92145852
  39.97553904  29.97026904  69.96191522  49.97304752  59.98388848
  39.98075278  39.97830521   9.98177932]","[ 19.96822819  29.97845203  99.9535249   29.98916934  29.96485599
  89.97852185  29.97844514  19.97698887  39.95010732  29.97097271
  29.98794425  39.97826982  19.97270713]","[  19.96901228   29.96989256   29.98634303  169.95841842   49.97607247
   29.99161231   19.99036951    9.9872128    39.96918768   69.96245846
   49.97191672    9.98177956]","[  79.92908108   39.98110725  159.82029018   29.99092976   29.98788063
   59.97510113   19.97759098   29.96290924   49.97616586   29.98190464
    9.99040077   19.98495441   19.98692391]","[ 29.97619657   9.99283983  19.96938162  19.97026792  69.96032693
  49.95642741  39.96550734   0.          19.98120119  79.97743174
  39.96731197]"
"[ 19.98024961  29.9804845   29.98169947  19.976       59.9709795
  19.98024961  29.9804845   29.98169947  29.98756668   9.9854265
  39.98509742  29.97708203  59.9709795 ]","[ 49.98332417  29.97977243  99.95204928  19.98816983  39.95942134
  19.98100923  29.98570102  29.98594092  39.98630389  19.97928301
  89.98151263  19.97738558]","[ 29.98756808  29.95908011  39.98287349  59.981874     9.98527147
  39.9765403   69.97712583  19.98157206  59.98305129   9.98261471
  19.98019684  39.97133875  69.95661772]","[  39.97878733   19.98944754   49.94217561   19.98650124   39.96854087
    9.98308096   59.95618311   29.98134629   19.98799296   19.99045659
   39.97052825  119.97219876]","[  39.97040466   39.97554341  169.96292002   29.98114852   39.98165092
   29.97097581  169.97069406   39.97356353   69.96313131   29.9782923
   29.98260031   39.98718412   39.93706941]","[  89.96496115   69.97675468   29.98028985    0.           19.97289416
    9.98615358   49.97554895  159.96477979   99.97513562    9.98096891
   39.96975741   29.96352638]","[  49.98625175   19.97191852   49.96721403  109.95804722   19.98839425
   29.97119784   39.95286676   79.97458102   39.97962784   39.97553727
   19.98219715   79.93576337    9.98259142]","[  19.98626994  119.9717276    79.94098204   59.93745054   29.97216509
   29.98810856   39.98613136   19.98541785   49.98431698   49.96594376
   39.97243118   89.91104265]","[   9.98605227   89.93245189  109.96184794   69.94739632    9.98258998
    9.98696109   59.95665411   59.9753793     9.9842191     9.98555401
   39.95993388   29.95491791]","[ 29.97929903  29.94881547  19.97012981   9.98577658  39.98535548
  69.96691721   9.98737179  39.97293182  39.9857924   29.98800615
   9.98216487  59.97426932  29.96389981]"
"[  9.98330089  49.98544271  39.94734083  29.9842976   69.95620947
  29.97808605  79.97732358  29.97430497  19.98010934  29.98104073
  29.98184356  19.97652973  29.97808605]","[  39.96491054   59.96604948   19.966498     19.98449193   69.97172143
   19.98253742    9.98393606  109.95200009   49.96893359    0.
   29.95851578   29.98278266   39.97967617]","[  99.9907739    69.95726692   19.97426585   39.96739213   39.97501339
  119.9305049    29.98394272   49.9896191    29.95924973   19.96313896
   69.97390967   59.98090069   99.97549375]","[  49.97770935  129.89015008    9.98584917   19.97718436   49.97603851
   79.95906191   79.92928159    9.97953997   29.99135173   79.98687146
   39.96297082   49.9491173    29.9824367 ]","[ 69.94061551  89.97809226  29.98416625  19.98692202  69.96081134
  39.98446611  39.97030361  99.94272469  69.97285512  19.98496961
  49.95833636  59.97231897]","[  19.98965377    9.98556895   39.9493459   109.9557413    29.99287093
   39.97495592    9.98405442   59.97392023   39.96753999   79.97427158
    9.98911844   19.97273997   39.97787284]","[  19.98273309  139.85424648   29.98133866   29.99154534   29.97824069
    0.           19.97023877   29.99209692   49.97672422   19.98833891
   29.97902336   19.97382684]","[ 69.93141305  29.98473476  29.9869237   49.97052967  19.96544198
  29.99303172  29.98471793  39.98034303   9.9843106   99.94098457
  29.96017905  39.94968778   9.98224016]","[  39.98462175   19.9741423    29.97908615    0.          149.92284078
   79.96251129    0.           29.96837072   39.98023412   19.97258935
   19.98308546   69.98351063    9.98231392]","[ 49.95863913  19.97367622  59.97518971   9.98572241  89.96644298
  19.98894736  19.9740881   29.97215224  49.96652815  39.97504586
  39.9826929   59.96136456]"
"[ 19.97704601  29.97765838  79.97647888  29.97478123  79.97647894
  29.97478123  49.9243536   29.98404952  39.96825189  59.95293493
  49.9243536   19.97825761  69.97002333]","[  29.98221469   29.97559452   49.98559501  119.96331672   59.97252302
   39.98282717   19.9772612   109.97884089   29.98595844   89.95411454
  109.96101595  119.93651699    9.99014092]","[ 39.97418698  19.98865319  39.96304974  39.98139732  59.9604246
  59.97567071  29.96615483   9.98979701  39.97591531  29.98694678
  49.97758864  39.94650327]","[  49.97013855   69.96986477   39.96618387   19.97594606   29.98701025
   29.97340087   29.98425554   19.97345464   49.98145922   19.98629905
  119.96558465   29.98312547   69.96154445]","[   9.98046301   29.97595773   29.98713597   29.98810653   79.95923001
   99.97649865   59.9643134    29.98365301  109.93658172   19.96958593
   69.98911793   89.96172215   79.97162843]","[ 39.98878124  29.97953443  69.97015537   9.981509    19.98138536
  49.97033373  29.97139742  29.97310317   9.9868993   29.98780229
  29.98912162]","[  9.9811029   49.98152109  19.97354587  79.9708602   59.97599674
   9.98458956  19.98390183  69.96246023   9.98680741   9.98342052
  29.97443763  29.95488643]","[ 29.98725438   9.98687658  39.97521982  19.97459856  39.98636602
  19.98437552  29.99170913  49.95914928  49.98344498   9.98092903
  29.98021998  59.97679003  29.96331405]","[ 89.94599546  19.97128571  19.97010007  19.9754465    9.98014742
   9.98250053  29.97324255  29.9863475   59.97289001  49.97844513
  19.98915623  59.98383774  19.98699254]","[ 29.99060045  79.97055234  19.97072689  29.97132111  29.97198105
  39.98156833  99.95066114  29.99018857  79.93906205   9.98368988
   9.98780871  49.98565559  69.95373273]"
"[ 19.97840354  69.96976953  39.9911491   69.97179759  89.97370753
  49.97135613  39.97200462  39.9911491   69.97179758  39.9851867
  49.92782028  19.97840353  69.96976953]","[  9.98606687  49.96812054   9.98706248  69.93610189  79.94154802
  19.98064896  19.97409575  39.97841888  59.95775302  39.98773072
  49.96662002  39.97890403  89.93456747]","[  9.98573568  59.97612266  99.97730505  89.97569868  59.96200428
  19.97628686   9.98075794  19.97016473  39.98119816  19.96961928
  49.94461643  39.9692164   89.960386  ]","[ 19.97180165  19.99338961  19.97012136  49.99048873  59.9698148
  39.97646421  29.97497298  39.98696299  79.96707434   9.98691507
  19.97658808  89.92348559]","[  0.          69.96709228   0.          39.97229236  49.96824218
  49.96449398  39.99102712  39.97884856  59.98711233  79.93671647
  19.97927724   9.98658599  69.95658257]","[  29.98236083   59.92721815   19.97564647    9.9799096    19.98591504
   59.98406338   49.95728272   49.97488272   59.98376376   49.98847511
   49.96264215  139.93997467   39.97452758]","[ 29.98014895  29.96541674  89.9326675   39.97964023  29.97217029
  39.97226452   9.98870749  29.97827568  59.98539569  59.97728742
  29.96149629  59.96595361  39.93940128]","[ 59.96808676  19.98231247  59.98313905  29.96831041  29.99086586
  29.97475439  39.9869089   49.95928127  49.98797442  39.9846762
  79.9662981   19.98894581  29.97789032]","[  9.98788007  39.98283493  49.9734312   59.97434338  19.98454773
  19.9767037    9.98771881   9.98255722  29.97437183  19.97867706
   9.98385764  29.97444047]","[  39.95266318  109.96720414   69.95724581   29.97751945   19.97196094
   69.93610176   69.96741317   39.96436591  109.96529418  109.91185037
   69.97147037   29.96424003   69.95803327]"
"[  19.97989952   79.95296899  169.96119025   39.99126576   69.97141798
   39.98570665   19.97989952   39.98570665   19.97989952   79.95296898
   19.97307633   49.98012498   59.92738753]","[ 69.97704697   0.          49.98489568  59.95331099  19.98515873
  29.97299946  59.95988336  49.97587907  19.99043954  29.98860425
  29.98921905]","[  49.97009745    9.98210843   69.98840399   19.98432096   89.98168115
   29.98730866   19.97415317   39.97009768  119.95008054   89.96963046
   19.98948972   59.96521059   29.96935722]","[ 69.97113993  39.97229405  69.96508068  49.98022303  49.95259104
  29.9603095   39.97208824  19.97390966  29.99211329  29.97229568
   9.98223019]","[  39.97734069   79.98303793  109.93518141   29.98853809   29.97904556
   79.94851089   39.96592584   29.97656178   99.92826888   69.98283724
   79.95808987]","[ 89.93964796  39.97705821  19.98037615  59.97801346  19.98168126
  49.98472743  39.97928294   9.98721768  59.99308775  59.94753664
  19.98507653  39.97375421]","[ 49.97858236  19.97101729  19.97969688  39.97208399  59.9835697
  19.98289363   9.98090808  29.99002575  19.97368153  29.98891025
  29.97352451  29.97991613  29.97639579]","[ 29.97461639  99.95198131  49.97368636  29.95919305  29.95671018
   9.98645291  39.94563385  29.97212565  19.9923706   29.98255499
  39.97197829  39.98417853]","[ 59.97304507  29.99017071  29.96836027  29.98764216  19.97768202
  29.97526433  29.95362039  59.98206653  59.97366724  19.97576938
  39.98736664]","[ 59.96714446  19.9811601   29.98219158  29.97238812  89.9725334
   9.98684192  59.98158863  79.97168256  79.96699758  19.98212764
  39.97701997  19.96705542]"
"[  79.95292617  109.96979078   39.96571995   79.97791358   79.95292617
  109.96979077   39.96571995   79.97791356  109.96979096   39.96571995
   79.97791358   59.9669709    89.9809603 ]","[ 39.97443181  19.99335542  39.96537799  19.97911559  19.9675793
  29.96116502  29.98308009   9.98839057  79.98724174  29.98699906
  19.98336185  49.96569463  19.9822836 ]","[  29.9765373    39.98699331   69.93240509    9.98110125   49.97610121
    9.98245228   29.99223385    9.98680436   19.97568793   49.9737538
   29.97872821  109.92784697]","[  29.96445938   49.97398311   69.92950676   69.96486984   29.96350885
   39.95378502   39.97965569   49.98025512   69.9875037    29.96634388
   19.98387355    9.98402179  169.82766833]","[ 49.9744524   39.98319125  79.95945024  29.98171269   9.98574563
  29.97757229  59.973595    69.95225723  79.96050446  69.98819432
  49.96265524]","[  39.9702749    39.9816542     9.98895411   49.95838319   89.96256501
   49.98319096   39.96730991   29.98180084   59.98970051  119.97079903
   19.98352677   29.97327223   29.98461627]","[ 39.9836155   29.9772312   99.97145979  29.97198836  29.96975772
  59.95623058  49.98176597  49.98490829  49.97613505  49.96694902   0.
   9.98456428]","[ 19.9888827    0.           0.          39.97756741  49.97648181
  29.99011851  69.98206221  29.95497864  59.97205579  29.97894047
  79.95204243  19.98273305  79.95680384]","[  19.9719107    59.98183959   79.9413188    19.97500932   19.98006175
  139.8416262    49.97283335   49.98154994   69.97824267    9.98183682
    9.98430506   89.94256101]","[ 19.97553039  89.98346395  29.97295417   9.98886865  29.9803152
  39.97892491  19.98015373  39.97964122  59.95517188  39.98172644
  99.97642363  59.95980588]"
"[  59.9769052   109.96109011    9.98154444    9.98318477    9.98382645
   59.97222073   39.98123147   29.97316697   39.97350517   59.9769052
  109.96109011   59.97690519  109.96109011]","[ 19.97191395  29.96699276  39.9751881   29.98523734  89.96983813
  79.93545333  29.97491719  19.97290115  49.95466697  39.98497333
  29.96882496  59.95292933]","[ 19.99029685  79.97732034   9.99068485  59.96977851  19.98396468
   9.98411901   9.98445443  49.97913063  19.98683791  59.97746955
  69.94013519  29.96912175  99.95755436]","[  39.98788829  129.95566016   39.95917628   19.97899314   29.9645711
   49.96838604    0.           29.98971811   59.97235868   39.98143591
    9.9790971    79.94535757   79.97633069]","[ 39.97964475  19.97186045   9.98599162   9.98791886  19.97082522
  19.9823981   69.95537332  39.98702324  19.97444154  29.97787439
   9.98431611  19.98217369  29.98449885]","[   9.98938118   49.96918655  119.95993879   59.94237646   39.9877012
   59.9282883     9.98925714   39.98651987   49.97289499   89.9456206
   89.95234556   19.9677668 ]","[ 49.95292684  39.97183635  59.97915464  49.99013032  19.9733888
  29.97269194  39.97477873  49.98689111  19.97065626  29.96329199
  39.94203655  19.97225824  29.98444565]","[ 69.94711955  49.9749487   39.97065884  39.95886952  79.98710721
  59.96747176   9.98134164  39.96928699  29.96130657  59.96959579
  49.97387536  39.98718153  39.96388735]","[ 19.96947251  79.94409542  89.91390784   9.98319382  19.99235923
  59.97018808  19.97318666  19.98962302  19.97695742  59.96381175
  49.94926075  99.95780435]","[  59.97399259  109.94268447   29.96347965   39.98615757   29.98730404
   29.98135871    9.98443095   69.97289262   49.95691443   69.96569973
   39.97197988   39.9846628     0.        ]"
"[ 19.97887408  39.95158453   9.98503207  59.98552257  39.96575532
  59.97539356  19.97095552   9.98167105   9.98330614   9.98396073
   9.98167105   9.98330614]","[ 49.97106729  29.96157977  39.9617955   39.99034861  39.97778929
   9.98284615  99.95435955  29.97725024  29.9797356   39.98274033
  29.9770279    0.          49.98098269]","[   9.98063979   59.9686667    29.97917033    9.98472238   29.97315497
   49.96180393   29.97778213   39.97456977   99.92396178  139.91581931
   19.96222899   39.97817214   29.99043041]","[ 109.97355355   59.96180815   29.95356849   49.98719587   59.97174594
   29.9708142     9.98585506   19.97571264    0.           39.95869225
    0.           29.98725018   59.97795642]","[ 29.99241788  49.96448075  29.97340154  39.98291886  19.97084144
  49.98027043  29.98647585  39.97319922  49.9873787   49.96755974
  59.9596445   59.97119518]","[  39.97267263   49.97500381   49.9825431    39.9795349    39.96144642
   29.97980732   29.98725686   29.99035176   19.9697866    39.98506617
   49.96614035  109.96674744   49.95854728]","[  99.98560726   99.96520705   59.98876256   49.9715874    69.96979645
  129.90826251   19.97550183   39.98968729   19.9654924    19.97418406
   39.97418196   39.97232795   39.97072291]","[   9.98620112    9.98779186   29.97635398   39.96771653   39.98165901
    9.98502845   49.94563216   49.98045796   29.98381869   39.96343781
   29.98424686   29.99106326  129.9289631 ]","[  39.97723819   59.98302498   49.95252947   39.96983616   69.98056874
   39.94766644   39.96463544    9.98737471   29.97484534    0.          109.9389457
   59.972518     59.97432756]","[  49.93541899   29.9769568    19.9715948    19.98675266  129.96882852
    9.98761231   19.98522049   59.94730674   39.97470502   29.96869087
   39.9681762    19.97905324   19.98730463]"
"[ 39.96575533  69.96239186  19.98484483  49.98086091   9.98388945
  39.96575532  69.96239186  19.96852038  49.96496433   0.          19.97394826
  29.98976817]","[ 69.97399575  49.97244187  19.97626097  59.96838777  49.95844266
  79.97193307  39.98451992  49.96924239  19.97170162  29.96556842
   9.99027174  29.98811097  59.96098564]","[ 29.98402677  59.97801043  29.9784867   49.94982111  19.9851278
  69.95850414  89.90129701  29.99119344  59.98495001  39.98000256
  49.98298199  19.97433295]","[ 29.96223467  39.97973085  19.97856595  29.97320208  19.97242947   0.
  29.98242372  49.96028841  29.98562924  59.98276489  49.98761888
  39.97030691  49.96616248]","[ 29.96198237  59.96914666  69.94089629   9.98830717   9.98527242
  19.98647893   9.98280982   9.98666485  59.92323976  49.95265804
  19.98445707  39.97594764  29.95414183]","[ 59.97034092  39.94211984  59.96414339  39.98455061  49.97121467
  59.98071583  59.98227155  69.97529189  39.96287878  19.98418546
  49.96642404  29.99015564  39.97980781]","[ 29.95296061  39.95424311  29.98821105  99.9578298    9.98314374
  19.97348788  59.96997544  59.9639962   49.98336867  29.98431495
  99.98073583  39.98285453  49.98205191]","[  59.95989976   49.94499175  119.97763079   39.95362908    9.98450973
    9.98303239   19.98108709   39.98092161  129.93649612   69.93455439
  149.92524401   49.96121971]","[ 49.97830503  19.98844565  69.94379156  39.97564999  29.9910264
  49.97141569   9.98961809  39.97833737  79.945757    19.98837876
  49.96989755  19.97873194  49.97168491]","[ 29.95639665   9.98386322  89.85251557  39.98627253  89.92188249
  59.9280641   29.99237266  29.97075049  19.98092557  59.9708248
   9.98588912  39.96342653  59.98233322]"
