variancceSgd0,variancceSgd1,variancceSgd2,variancceSgd3,variancceSgd4,variancceSgd5,variancceSgd6,variancceSgd7,variancceSgd8,variancceSgd9
77216.25265512316,133177.13012882255,113184.095837951,120665.72195412347,191422.45385954535,100510.19603937518,101319.5774772026,76135.59449393343,111527.59711845568,71291.3152711204
110929.77820222461,128657.31030973076,119290.08438190806,85618.02524907769,169858.84911250428,110414.9342007958,66437.55364336896,95356.10533622334,212142.37517291552,94167.62417853819
143303.9992684153,178200.71036639056,127386.23171278775,134917.04027731228,194458.59070070414,159308.33847823163,216142.24529923138,112413.39663601476,127319.56669556981,181049.5084518919
95974.56068573454,244894.42886111347,110008.6869536032,148979.6173225388,199134.20872700482,169309.70630662615,231602.5571765283,129686.48524067111,166720.9348732269,185577.6020669197
141088.76425876794,166949.46386782418,116170.15430073597,153000.20360769646,208508.97721537395,118038.7705979664,150897.77845778852,210528.0065406625,161564.43268524559,190543.45175824923
102761.17215545266,255204.2062909832,137171.81830747728,172517.31247318463,164654.31592442605,162637.29300416453,161753.2070617265,198620.63873822082,98985.83884638351,166490.65718066145
147455.90450915354,180316.36910164572,258710.34494566222,160549.91291425374,207895.37310047704,146918.0961847455,169167.60845032934,161889.7605450857,168697.60637342217,214913.7589482693
111662.67746238667,233172.25974505793,133278.1696743329,191870.08293399174,220745.42695810908,259724.2131492067,260578.17770695902,228218.6315473313,120981.7087344394,155446.35878981775
109539.58436634451,241321.09234578302,162574.88812900084,154517.1855767286,177506.4956211992,180764.50426829868,149672.28008912446,237976.5132076834,152519.0986797957,220122.15452077275
108557.45392655394,233385.5000597784,165107.05837305033,157251.69876988736,338115.13864238467,348071.8300947314,221687.88123844523,271971.4084210001,170193.55710157607,237627.25305788248
126716.14847445823,341347.8811399705,148047.10850227383,191512.47746920504,500709.51516453526,214204.96900183498,260940.68127459812,317272.2240506003,284398.40137960395,237953.14365676366
166484.69136455312,322007.3660148243,188061.24574344698,190295.07828852377,364900.5411807501,252203.79144578773,222839.1557902395,278422.08987338236,181913.3774968817,237910.72419061087
433588.08595045697,302778.82530223846,214247.99560600935,205550.47667416668,413941.8189409838,256793.637618633,176580.9505820927,255084.3104645912,221173.56757046044,167838.13234461987
440630.4005484617,343828.6248928101,192346.08199021273,233848.7554519788,386724.52741797187,335192.5990078076,138312.06022451987,351964.0778215066,235267.60902835143,335374.1643875013
193401.95029890907,310742.6388840645,217372.9421637113,246450.86336721916,477102.8720016004,505044.83309064014,242972.5407556495,249433.3497323246,223254.0857093669,283053.89215347834
143177.39328901868,422654.18953340175,125465.83996282365,241016.32574331822,515646.7885209966,202822.46720656523,343420.1677737985,430143.0553855806,249898.9498227336,242505.93470121245
281877.76184465375,320506.63677494717,173355.78287574495,195860.7388674606,602512.1212979516,405092.0664683089,276934.99835693324,358042.8937376192,197049.23068714928,314401.4147779357
224320.6211568095,284308.43436416716,119442.03423807153,206810.42041320086,776632.2935892148,329954.1011170157,397591.72101419966,382320.80126822635,159595.8474690449,357409.38032923307
315790.8117137612,355459.598700374,161799.81822944095,234593.9715044989,567545.5172279302,254184.76674543353,374231.4703226832,418821.087344229,312614.23033509555,236980.65110663837
221494.26274578855,292929.0616383811,185944.36007723946,323619.7834427133,538271.2791784948,226019.33653867524,239872.77706358698,627447.2311279153,216611.9871353951,237588.91499319856
421087.23701579624,426208.0591367697,183580.19494222463,378294.09342673206,570964.1401684325,236675.93540766824,320955.2226949368,459522.5093189041,382891.7420419623,175472.54098498417
263582.3940065576,308957.9568133678,198463.83541578043,210575.08552053175,838163.692096866,274213.16710727976,257530.0252460263,444706.6032290532,358280.55720627494,210183.6037108687
255816.01675200573,353231.00194959645,222256.82123440335,181697.52931817475,603235.3278587192,284776.2630140839,213112.92323896268,362417.98463259067,225917.47973373416,211379.742072221
215867.1274778478,355236.8707468121,195524.15379746232,257111.98716194226,598851.2629103693,271394.975331958,204817.53565622636,536763.604989634,286485.3144495397,314970.77080903057
271304.648467507,422626.9806541702,142119.85861154378,257801.84520109784,482016.8762299641,267910.17209020315,349957.16486312484,308322.1474675837,354310.575018945,190843.1284851201
166957.67273101618,279567.13262842427,136558.35069050503,452230.06622458156,621708.2500472671,403865.7468022979,230144.30296066334,604714.86646518,315837.02371992264,188721.02589941223
140915.47738254044,273686.4184608762,132545.46441551985,235664.3140273937,705058.9982407119,448522.3672256765,269737.4247087688,406482.5617211927,272138.7428761583,156665.9631766461
154982.60906486935,335140.0294311967,211470.59089841406,353947.20960144536,675374.477870804,166396.2194599965,250084.23536610918,476732.8748562092,227473.45519703225,215697.85122557177
202223.35729622777,313682.1597382594,246961.35416083323,438630.70708413754,901930.3473348174,279452.38548496034,305436.90181243315,462159.0062668936,217402.95929884474,162301.59578442277
235076.96260914585,322052.7423818698,161700.63744546936,324980.7538450983,528047.5079169378,196024.3123399369,184011.02905089982,578823.0297573789,347740.9247170972,181614.7619420444
216456.19419410222,413517.8342738057,179303.48342195016,271693.6861177471,726665.1946906954,250333.64568792935,253659.1285172322,516522.4785458265,384592.4210139913,181545.05800219197
165547.1821817982,352671.4143185903,119029.90884452821,586711.9710664174,755703.9133956607,181571.25711435624,184349.9228106905,499502.13670009293,256031.21337063133,177213.71919993186
220048.68975814537,324130.23403600376,117023.11991615027,224209.72058298413,659659.7754589189,172827.31995833237,214045.73098237935,404083.98533266294,300423.9772072432,122884.16490369866
149148.51500463006,256998.8310043197,170134.13379707036,238459.16494066882,421611.87672627927,452167.5301014879,348765.77221399907,557343.0743306472,346573.18913671933,121490.94761579024
