rewardsSubIter0,rewardsSubIter1,rewardsSubIter2
"[ 57.21996067  74.29249351  44.13888663  69.46532444  57.21996067
  74.29249351  44.13888663  69.46532444  57.21996067  74.29249351
  44.13888663  69.46532444]","[ 40.08863354  23.10938145  18.25956739  65.04451519  18.25956739
  65.04451519  83.4343622   42.90262007  83.4343622   42.90262007
  82.72243914  79.80054454]","[ 36.23244641  40.92133373  69.35073991  34.06043559  51.36318127
  63.23052595  48.8168401   36.23244641  51.36318127  63.23052595
  48.8168401   36.23244641]"
"[ 69.72126876  73.9548841   50.00556228  67.40455745  69.72126876
  73.9548841   50.00556228  67.40455745  69.72126876  73.9548841
  50.00556228  67.40455745]","[ 73.98374526  46.41008759  66.44812383  63.28920511  95.9170051
  16.57269135  93.36459757  57.05374349  93.36459757  57.05374349
  73.98374526  46.41008759]","[ 35.95108114  63.54133006  34.23021461  53.54369972  35.95108114
  63.54133006  34.23021461  53.54369972  53.54369972  28.5341836
  44.50304079  27.33366694]"
"[ 80.40580593  52.76455078  77.03848978  72.9716178   80.40580593
  52.76455078  77.03848978  72.9716178   80.40580593  52.76455078
  77.03848978  72.9716178 ]","[  36.7498835    98.17630213   70.13452267   77.44745314   70.13452267
   77.44745314   70.24229378   75.44637253   70.24229378   75.44637253
  117.1129485    71.75591058]","[ 81.59789893  53.23681525  52.4563631   48.54342961  48.54342961
  43.67515325  58.96759216  72.45905251  81.59789893  53.23681525
  52.4563631   48.54342961]"
"[ 90.42687265  80.57888927  63.72859896  96.75620616  90.42687265
  80.57888927  63.72859896  96.75620616  90.42687265  80.57888927
  63.72859896  96.75620616]","[  63.32464845  112.08348325   56.81822723   83.04559241   50.45213071
   96.88067799   63.32464845  112.08348325   99.75310468   84.02227649
   50.45213071   96.88067799]","[  60.31755254   68.48261591   58.05334535   80.60288272   74.39689938
   46.6583707   106.14748279   60.31755254   74.39689938   46.6583707
  106.14748279   60.31755254]"
"[ 48.13108036  83.68753005  42.58478353  60.66735394  48.13108036
  83.68753005  42.58478353  60.66735394  48.13108036  83.68753005
  42.58478353  60.66735394]","[ 45.88175178  58.06356733  65.56265405  99.42431155  65.56265405
  99.42431155  69.64879336  95.13776131  75.63327878  82.74668258
  45.88175178  58.06356733]","[ 73.97873923  49.54931055  67.69665637  98.68358775  73.97873923
  49.54931055  67.69665637  98.68358775  98.68358775  76.25351301
  19.06703278  85.13366719]"
"[ 106.88904194   86.33440629   86.50924366   49.79703296  106.88904194
   86.33440629   86.50924366   49.79703296  106.88904194   86.33440629
   86.50924366   49.79703296]","[ 114.64051518   65.25843894   62.5311425    25.53793222   66.48063733
  111.21080494   77.62038621   43.25054489   77.62038621   43.25054489
  114.64051518   65.25843894]","[ 31.06757716  81.43573668  84.35762613  78.43802878  78.43802878
  50.65899461  58.14104271  59.51993902  31.06757716  81.43573668
  84.35762613  78.43802878]"
"[ 146.08326832   62.219545    100.42674404   96.57579994  146.08326832
   62.219545    100.42674404   96.57579994  146.08326832   62.219545
  100.42674404   96.57579994]","[  49.03702367   24.20753722   88.69711567   65.37072786  120.13422149
   64.30850753   49.03702367   24.20753722   88.69711567   65.37072786
   73.97970411   85.85507955]","[  49.09127772   73.01008978  100.18733913   54.1507143    54.1507143
   53.03572065   85.23545784   55.80869308   49.09127772   73.01008978
  100.18733913   54.1507143 ]"
"[ 110.46228142   75.41498307   76.34710363   49.99196347  110.46228142
   75.41498307   76.34710363   49.99196347  110.46228142   75.41498307
   76.34710363   49.99196347]","[  73.68304769   81.2756665    98.61678564   69.56837566   98.61678564
   69.56837566   70.4561966    26.43128888  107.19738825   64.76483518
   73.68304769   81.2756665 ]","[ 101.32072645   83.93204887  100.03743087   76.03550058   76.03550058
   50.24338269   47.13452329   25.15147373  101.32072645   83.93204887
  100.03743087   76.03550058]"
"[  95.79726845   69.30750841  172.91449426  128.84750981   95.79726845
   69.30750841  172.91449426  128.84750981   95.79726845   69.30750841
  172.91449426  128.84750981]","[ 86.08228435  86.27075163  66.96764785  57.48404627  66.96764785
  57.48404627  98.46066199  76.37444733  98.46066199  76.37444733
  99.20841706  61.52150982]","[ 70.59244606  29.45196396  97.19150246  77.43714907  65.11996275
  62.34859433  50.76731379  70.59244606  65.11996275  62.34859433
  50.76731379  70.59244606]"
"[  54.54393456  103.25283715   68.38414418   79.42240855   54.54393456
  103.25283715   68.38414418   79.42240855   54.54393456  103.25283715
   68.38414418   79.42240855]","[  90.75796874   85.14780245  103.6279651   114.83487933  103.6279651
  114.83487933   96.61076104   76.70936933   96.61076104   76.70936933
  163.02101759   72.44137831]","[ 103.86441074   84.41909319  100.9378392    66.74383937   72.06132727
   48.22379904   63.87956154  103.86441074   72.06132727   48.22379904
   63.87956154  103.86441074]"
