varianceSvrg0,varianceSvrg1,varianceSvrg2
39978.44296583235,99577.17529651496,73057.02556369142
53326.49574794133,157384.5706542182,88725.36337305326
200435.5834996255,128791.84958326674,119184.47856733331
142892.1093939174,92656.118114462,172937.2488909299
147941.19042744907,99760.10141343516,159077.31683366577
55972.89133852933,118607.59648364219,116011.90261973468
93350.06702696341,164603.68177987175,78372.73063904454
127709.66791279073,291194.6126263363,142664.71102647125
314379.299611927,189221.04500632192,54863.97028777883
84418.70389017984,199052.0063409732,171889.44472585185
217873.30452283812,173378.8549637709,121700.09885677557
264555.6954707587,262109.21726394497,153049.81436330825
305699.78495365975,198789.13141500836,79698.9288469897
145130.59787968875,229470.29013235983,139406.0148761853
286794.93631911714,233314.7723304212,121003.18771104344
228398.70775473487,216958.7175267937,111606.41865584714
229903.6434433335,266675.0789271976,190218.65611491754
351985.9425416411,281083.8591136287,126948.82584535038
421908.88451386814,180572.9702880323,96791.18784411429
238704.09450252604,439611.9801518774,125671.88362799588
144054.57529340335,413435.89483682124,123561.90395352077
325408.671025721,353132.5266072273,175322.2847438468
310879.98551202135,326579.9394600343,147120.55611831206
241486.42036287102,283289.38384735025,256586.05393783288
380952.36586472543,515290.35521819873,169877.07231667708
310351.91774355585,440777.97398360673,167799.37775283173
270392.15139682475,614760.9256312884,140488.77709543868
261531.43487700302,493978.0566641159,159185.2820854204
288603.8001301966,507434.52607663785,195800.5940801776
448890.0224726935,433032.0699596314,165538.25866531584
423810.2808950183,584896.6931048403,249475.1756753183
432119.5809314695,388463.7564000947,351947.599553234
423626.7873720594,555056.8279509945,239120.38019726594
336170.64820846095,387698.32531109557,421986.58384282276
835034.5876005968,449746.9254511003,389140.49658415874
432056.10434596334,492829.39822741004,339022.742729116
264458.8819594225,728958.9685302638,365990.37621270074
436683.44129514793,800857.5055233785,333440.6633360764
613250.0268725946,502253.39237204153,468732.32894160086
318618.3486971531,495582.17422784737,333506.8683572081
532309.8857698953,645241.2711070522,550039.8573135877
364786.28140901605,597281.7818823117,501938.29584430275
509722.0469240686,506767.72258867585,366628.62811072427
618393.1825384494,671067.1410453985,340951.7562665172
434517.6853055084,426815.9918051228,407646.6673067588
453738.98002053646,412260.04913305724,623413.90842919
639633.4585588016,590476.6822969698,656922.3593201148
806093.7503202579,657776.6002524099,594861.1486246234
528324.5356974322,719061.8123510788,369225.41422244743
563772.0242459227,533185.4565439334,671720.0593497197
447127.65371350746,589502.9845349818,432355.96462679433
660071.7536196894,340618.8503171025,547674.707429691
803750.8525105661,529631.6157811221,850306.2850449306
877608.0545508103,662188.7794152575,532706.1310773295
621595.3371012078,695716.2667427444,613481.4644201489
519057.27074287646,628204.6078309536,408615.50290441175
601034.1883339711,542550.8651069502,388333.2154507197
655243.4773234397,503323.0598913483,613226.5321643155
448945.1680742966,547115.1025748985,843181.5197065405
467794.4475639231,387685.1190053651,366239.73997021466
890633.0548146805,422214.24044313736,483788.8637476419
843164.248255725,555209.8114541346,516400.6244492487
785408.9021370037,571282.580096846,401223.4868241751
503678.3318525264,617641.941064464,686267.4370778366
743919.0936303395,448446.55975642614,728836.6443814056
831788.9763783598,482651.52342829254,778021.8516794282
1295198.0924687367,457547.3919528459,617662.9572761663
1085537.4693845864,572423.8717515094,679888.9355555284
960907.4739027526,570589.3334217407,609156.1395554268
928066.4092918929,638473.4548253489,555814.770302535
817218.1265463145,596115.3028030179,481544.059583907
901056.0126805973,607537.6494657381,518180.7241353755
1038767.1698897247,589003.3391556032,675879.327255287
1292080.5157600776,543763.183069248,784921.6469416812
957992.0951103349,312634.53382849775,485710.411542235
1241883.57979265,502607.94437799614,513133.0505198033
824847.1021034525,629596.9411866297,679472.2369627262
658139.7002274609,617384.1372685607,772267.0832669564
963346.6235814886,577518.0354223422,472980.1674117178
723573.9247808341,737846.3310117614,319788.05629601213
881107.757470379,647997.9929381114,384594.41853717144
