varianceSvrg0,varianceSvrg1,varianceSvrg2,varianceSvrg3,varianceSvrg4,varianceSvrg5,varianceSvrg6,varianceSvrg7,varianceSvrg8,varianceSvrg9
49515.383349700045,107176.67770884094,110191.74315261113,128035.74653008206,88785.31165503591,95989.93810484205,93502.60349557525,107311.20375537394,175075.61391400013,154666.32011860664
73426.74088205854,163517.0196381252,90919.46204836408,164362.74474384965,89335.71729968974,133256.4031021094,157254.1450553337,128315.50439988253,168883.7401034418,139828.67024232863
72040.42528114768,144790.6775507301,105966.38690372699,162796.4802571631,189648.7116192787,145403.9749627079,167768.80412512718,131350.93290013832,135119.835299871,131014.14280411946
111713.74155172934,177643.14076188803,176147.57703869618,140296.08078972512,202762.24517322663,144739.8209794693,178382.76447734924,102499.59701839215,140504.18544623593,117624.01406556742
80838.59567821343,107338.92119515662,171822.05636332702,192989.36339061143,149228.46720639203,207575.62657151616,167619.6366577433,170727.284465059,280157.31218353845,139208.04201003467
87065.87758406789,172626.73719302544,196284.26160818822,188854.2332841051,192886.25883900496,191609.72590487538,212687.69504931703,175531.91319562218,167874.97965535993,217917.9603925814
168188.4956305264,127242.27086445561,193573.0781243827,190493.93070722173,163757.85007991685,257487.54719053247,217104.36438582177,210767.07811213902,212648.75761979882,207477.0647798841
127457.38299801991,165634.29624229268,275355.6934603938,373626.5485284891,147207.28684940469,243810.60110239757,226245.33001503668,178353.26219943038,206713.93104005815,325056.5009190427
108176.94450208783,182821.1031661067,263760.1036717935,296887.44929133315,172792.73684165033,243909.74154521455,220710.90986563277,172019.37921623705,214604.4825074278,256624.97474035222
208799.98877177032,193529.99145836275,222552.81930783857,272515.4375362442,251888.03117551212,334858.8731666291,184945.92420677398,206166.2301174008,253986.44576092408,375173.2054024082
182223.02521280665,191238.45394412478,279676.5640212246,321563.82346666325,203626.19446935097,301998.4844923346,284315.6042658352,305653.44912435673,215760.7731205718,283120.65203825483
119824.98574675535,289887.5690604899,297584.46033057536,270220.2954146837,220788.37961944344,297076.0248207075,272849.9617022433,242366.5612937782,258149.5262963109,364756.0490900533
101241.23773796092,196396.98767470178,207662.05251503122,403440.3172256497,210475.36771340144,215436.19196494628,336808.3141897394,304658.9366141469,267093.25267918623,435441.5062729725
96572.72409386786,246419.4629080658,305491.69203567656,346614.5704596002,274358.49743965623,285446.3743500279,330465.6917733578,288680.47597821907,354464.44205992017,394098.80550001963
99534.88172448672,213256.34760138104,303890.73661461106,420110.9929081583,210402.49305927806,284686.44872572017,428343.82472362794,343167.17541883304,340332.4677542969,303819.0160373598
165383.95566196946,208036.31424375845,285542.86496577284,416999.357707121,223774.2860971303,351785.3857699845,342395.52655714913,308125.833690817,285307.839358352,332927.1398544052
172791.3296875173,199703.74374923186,286641.3283274546,433176.7035869839,171227.473580441,357477.30580547114,257852.89154710152,347311.08247460215,326951.5509249712,595175.9112499014
129842.70052634276,210896.854149535,289028.8368514348,475155.7717603899,188591.44709173994,424846.6998883905,312826.16576682543,381490.8502685935,355154.29113085347,286406.0078417786
93662.01307102735,255302.3684640767,304852.69268900837,500528.99025274103,193595.09146384,527023.2569251682,409760.78434254427,352054.2554653296,381983.7703611629,313789.6557540642
156082.47484831637,180950.5793594147,288258.5657674395,487522.8015555878,116018.13113558585,374658.50147751125,524797.6151112132,401397.5877106826,332302.801152913,577498.2903673942
113405.47250587973,285568.09554440033,471526.2520912765,617211.6215796941,114260.04000713884,452849.49719136965,409123.982189706,412578.8973064371,370706.43233860086,471994.9122963757
144369.00376773384,247000.94107053982,416098.0633228937,623511.9810793819,127512.23936886767,417158.3665582739,452565.68859735026,439362.5227604387,373933.92843144445,348824.92433988943
139174.33103012625,237269.79748497912,332068.15742574795,496647.7485387749,132573.53875060228,399770.7366583952,430336.03215128975,466179.65457706037,454617.5877772229,464998.231048362
139496.85374990525,195283.1687826505,381181.2515373156,663219.1984080882,109281.07131724269,479894.8260819606,585815.0165353541,335845.84564907395,381003.2762119605,292332.4249500792
189633.08175131393,231920.70131594787,360048.3262275834,409600.7053863153,281215.6423683069,447609.81553612923,621899.3287914989,373014.3843555403,426859.0030969194,323039.84545513405
