varianceSvrg0,varianceSvrg1,varianceSvrg2
28359.073281104094,65624.52557717872,58070.72113624781
39679.34517676884,89037.153488487,63080.42016484766
111617.3669597843,83889.68634296021,119331.28427605692
112196.41911135279,113763.53198139866,95296.26471211831
90137.33384751744,105642.27863389882,120041.11875163141
178318.07228141782,110975.19166732815,167583.2635869798
110729.15438141223,153602.02479506214,177196.02789401816
67152.52808377711,143690.3640541087,155568.45969382714
105365.75499490232,146440.89366591972,272668.8757720327
146712.94278996054,120624.32063250641,380216.854796735
108944.57230555164,128750.10999271131,324347.62486836815
108233.3832783301,180596.09740908,304551.59365227853
111647.93554994169,169317.9841576129,430257.10595160525
99502.1874253712,205387.428939894,398925.0256148239
104275.03782886337,292486.8812562155,457480.17542737187
111863.88155438981,202748.50465946784,629354.6457116506
106883.30801911911,210220.9468948135,440790.03430964734
119093.40240792108,248525.91746988805,586428.9689511579
110465.92402373279,335490.6701283829,505292.8973166089
71312.32493414446,320603.5898684666,709844.9525614295
57312.87161712188,268956.3435930229,560824.3789422638
68608.05408399136,265036.4268098081,560917.7463074247
97203.91807453826,316389.10023185116,678642.1290651988
114630.31492287052,354539.93366496754,765289.4937410976
118557.35316631685,337840.08430400793,953553.0435975433
59411.10461486205,308113.68866894906,585950.8830643506
117443.83839791757,322403.67536496784,691336.1406530644
37822.429852923444,282521.29650248075,629337.7799439621
50916.00670927921,402777.33940632234,670399.4427229068
28054.62437500023,306302.8813443059,649298.736921849
21558.078773342368,327451.6506179901,706983.2123384997
36019.85549237576,358779.757470874,670198.7878208664
28892.899424315932,338473.589103941,692426.4338132332
31272.04245373096,316579.07012393675,1024150.2880081262
25323.32450727922,345555.28798552364,933834.3407373204
43655.57084281724,326106.00257538963,850714.0011040948
37678.742374152775,353997.04294286895,929453.0504419382
74846.00326590126,320698.60431326006,798053.6174402353
50517.63379234841,486820.71766256366,742060.5499902046
79626.06218074972,313911.988796643,942835.9480171204
84186.60827513001,384769.437801138,955242.644620009
54396.83791200319,341953.80186752346,742673.855636277
73736.75661060515,439697.47822172893,1232979.3066728716
86396.76949014075,302808.77185047325,1365490.8446365185
86615.5410414151,313033.63817222044,880136.5177267079
82446.19160671951,370929.2535791417,1107001.1605608184
80504.00921030759,242865.9464526201,869114.8107347866
85517.17411205977,302220.8409449283,870242.7764797356
79646.54824664506,384848.9870663403,799042.9668070546
87488.93974360093,246401.8375917995,1155069.2243552818
92679.59792293789,236193.12159959303,963315.6794893151
78006.77042770154,249365.67692921683,1109372.1162406076
79632.12475280595,270634.2715227802,839320.6203019199
82699.11823187795,249012.26989137425,796130.3135607112
106963.53370504756,268413.7191107252,737445.8118079975
111008.46489326205,300930.8674836119,792775.8720172087
106102.80703196106,348698.7438789939,589815.386621678
110750.69510670367,335363.3275029952,543850.6002995435
123022.60770991027,296067.6092470846,654967.5658697488
139992.41869733,412823.5539826582,404077.4108925458
132252.5116228375,467292.7995432031,542347.1892844263
135749.64114972338,448880.6911760088,286920.9410058523
165662.22158468902,469413.2650604421,163908.29100301932
141499.31079403503,312260.11302680464,379344.1894873676
119234.3327313146,405674.0912204558,347344.72950438695
96247.62121766288,403141.4165674313,326612.4512282562
153710.44875836954,432193.7472263571,245829.0935796943
150332.57430016165,334964.3488018738,407386.85254474106
154971.12152210303,318677.3825342406,535897.1902537505
228039.32100493708,460099.65543885634,651752.3972661593
164515.68984583026,483674.011610333,773042.3031331428
172887.18209603144,436837.7049835801,551269.0799645039
207280.81319529496,374665.2310061235,672835.3119883412
226903.1653062403,368844.0094042443,627835.5355997696
169828.1376119071,372760.656911653,719370.1972772272
131747.43652446667,481573.70431653596,581349.4612860729
134471.9468337788,435160.472803858,655318.4652436647
153925.94064102432,357900.94646874047,924693.5295142749
128165.86471314527,430487.1380108779,745954.8942069282
169529.1827270427,423370.70918300713,1009849.636088196
93143.9436954108,299402.1508284932,630810.8083839644
138380.33391236616,343628.5769519976,846349.8767548385
212961.99933385305,412911.8403416116,905383.73135564
215190.31447798177,316118.2658191687,565429.3904495853
268127.4048962521,295468.8746167953,550404.4155650095
269293.52162543475,368932.56025575363,712392.7209790866
299123.56967894884,380270.80871319957,697545.9466688647
277717.08597802697,399291.70917960943,604665.3158214057
279238.75862124737,379687.4177341346,701311.5942736622
362515.0691998615,443031.27031745226,479791.6987814143
296146.5605889808,409837.6640626928,568399.3113505974
437626.81760095106,462994.7552529831,647461.7045941651
461637.6594828776,482582.52812188794,222355.45465339412
609344.7713404741,569433.8702181384,496169.6642137831
402630.1385890144,460924.4407230994,481193.41491982166
462287.6274802814,468579.17582254915,516181.86215835484
709372.9886972485,579324.7120917366,552712.0140948978
633029.3580543702,580666.47017706,358869.36509452085
448318.3446342833,555575.5480298989,559850.9492063071
552421.9678023721,684130.726277199,441275.1355457747
795061.5895579772,581920.4339830885,431992.32012014854
683622.7148158099,476248.22422976774,458897.12738029973
510349.762461644,577395.5075962923,423470.15803942655
976498.9403434544,518875.5105650027,494491.06031386397
664123.9422304244,532301.6839397815,471019.0317135785
753975.734932817,379550.4028567599,407263.29540962685
891120.0675221613,518888.2516046457,357513.1717304621
817391.3837218045,391962.12813475315,370360.38644380926
668021.5197726837,612275.8732199736,396080.5198325537
713033.5468051027,461689.1575650809,347501.0092273606
708427.3164652004,539402.1241688478,430797.5851130078
599633.7785553494,561695.0749921617,386429.3978929166
642992.4885394888,622612.6921820808,365103.63420800515
652905.4521485766,591979.9370067924,334518.5013350006
641687.3201450786,662819.3031634656,489273.75427431846
739588.5287310168,516200.60664434195,440355.7072593517
928452.4543777107,572846.3864865007,584828.9085734434
1107452.6636643917,692742.0989305922,531783.1884951962
787012.5420478199,559646.229018165,324137.6421048478
603843.3065530807,741673.4587938066,402576.76091550465
680434.6796779822,429709.39953070926,384527.3551147549
555228.7270237146,570541.8742449419,635085.5696910189
471285.7613620964,638361.2371273732,486911.1426159043
484319.9376986092,496238.1650696926,466170.07342884457
663287.8107813715,622798.4318124666,540280.1638641662
540768.2704652542,696057.8628940894,455518.8042271283
836757.9291528403,683956.4908103538,449142.353823034
533297.2697027999,524902.280086321,620808.1856674752
529932.6657549776,649783.4895246495,597995.4673390569
717346.7066323939,793681.9172626608,630409.712900003
499800.74417493166,787727.6955711758,464680.72330362606
459175.37440475187,724384.4994402191,441253.6890084543
458408.1493658547,743235.0516114107,545548.1419908071
480347.0467044088,878223.7369998167,454404.834651139
461670.8837474806,775263.4785580591,550878.822615237
365979.4474827766,552347.939916744,556636.4891605945
421086.5296710739,562057.2683897305,671684.415831849
425972.38713717926,636114.2801902189,673783.7924840465
451036.2675852649,581896.4781456782,827091.799482625
461984.27039565844,946696.4454782666,634879.4555992319
501908.9809029694,513001.43241523707,995979.6610122574
386637.2330380278,376684.3501049059,669335.4989621569
384437.85340720916,624080.087559937,740752.3540437256
449366.3531597118,608357.7476700987,740259.9513070958
400010.9287082354,500902.3709807428,606781.8390202578
411076.63869188714,486550.45311750757,867500.1065658985
430877.61134596646,462485.288849061,806368.034488755
499567.1902652122,457871.94757396093,726511.6533290885
451748.7732102865,424039.2033343931,742428.6818267915
536536.755808132,386110.5056961905,914696.4348197776
403791.8309375065,422853.7144669889,640683.1320090555
477366.728075365,375906.7416067598,769505.7983897232
387424.2211530112,442223.45970130584,955378.5030010825
777767.0131763773,611553.2244743041,619362.4612792484
519036.89901700534,589454.1508359786,854810.3713611693
708635.1330720227,601058.7030749059,753651.4814338912
554074.8409228876,526584.6680162875,810005.1900995187
677076.8564362212,784576.1135737111,668213.6901720982
797172.1965277318,434430.8189254267,712549.0152577977
543470.2703767831,600543.873841489,765078.0283837448
666142.8571122724,695778.6977289942,921327.5778758784
742855.7285610082,708369.5729762746,748236.7388606209
723928.9083648376,783817.5602580102,819260.9573639275
813451.1695887279,803792.683229986,762575.7505550112
821368.9422870176,886256.0597902325,803113.8110686735
819259.1793276604,550267.3391172967,724809.4514723229
962723.0911536925,739972.9788891327,973289.6255532708
712018.2825671402,758604.4439379032,1024983.2760705424
969053.7505834047,608702.2114500722,986494.1029760675
859879.0151125818,689157.4413125638,746703.5214708035
789918.616921921,606245.6475863844,746245.4019749302
726244.9195759755,590449.16928555,765977.2792329298
633766.4558675933,548193.5879116397,760877.8291908298
622582.6156842652,738179.6426062325,602142.0878641771
861087.4459513928,541663.4754105221,618626.4509680858
810670.7631288398,529494.1328016578,544190.0291725185
977444.4219867589,531796.1344973037,476810.0672522144
1178351.543192149,454304.94557259954,583667.7409444795
866167.3386614344,375163.91542452056,722691.5246194196
865683.3069472577,427817.88693381986,704260.1941677714
1081813.2707222411,392965.4393162854,500976.845122374
991896.2258368093,370665.32957481197,661517.8424944856
846326.839035432,326692.3291780421,498288.3116931734
1081702.8588075507,210134.18497162504,736743.6119937728
881077.1329407657,246176.46227092398,744983.4124707227
949832.8174547211,290444.6855842394,708296.4291339144
1064009.8921288422,278364.5484850763,835753.6742415065
928007.7102986306,273046.1624352762,1091485.7307912903
1356370.047177868,299392.4803753456,834032.2439075148
1446643.1853763952,267091.72418574267,1132483.8996036383
1162749.2373273089,241865.97544233038,750529.623804086
1396163.8090767614,364072.2990827864,1020203.945336252
1270503.0887890146,246962.49005137768,966642.2237225678
1272521.6000228133,216324.69672544254,783916.6981584653
1421349.7586903828,242470.55763069255,851591.6588303105
1121831.9493357567,274832.1081582228,905195.051764333
1117282.4037485071,240053.48975521146,929623.0633851764
1055197.3739965153,259202.1235603084,1119393.774578913
1050559.8074190826,286999.89326983044,928092.4972717483
1191174.383530667,220176.01979541485,1122455.1916811056
1607079.69142173,275822.74540355685,975911.962484111
1063029.548983265,273810.6151136105,1065363.9776356495
1177533.002916319,249089.0860860761,914792.270535318
1057224.7779918564,298176.145864946,956653.6222090904
997224.3628077953,224702.69018508436,918918.5476616357
1273295.5148598282,286018.2755052584,923228.7775084869
