varianceSvrg0,varianceSvrg1,varianceSvrg2,varianceSvrg3,varianceSvrg4,varianceSvrg5,varianceSvrg6,varianceSvrg7,varianceSvrg8,varianceSvrg9
69589.52243347616,122673.70028384583,107401.67481133173,109632.86603432985,172336.6196395729,87485.37760638085,96439.86720533801,70400.28212094943,106667.96200773073,65675.29350255267
100491.74843970017,117274.31778627115,115579.97551261123,79924.51827431392,157120.31711156282,105279.53419532761,100737.51578738194,93067.55141681473,200033.78108620545,91038.02059685218
129616.34761370088,157654.51374753023,120077.80391369185,117287.84992915869,184746.39147954606,152157.38883091358,439214.07904250594,105748.59577738351,120820.59766372827,157609.27084201068
140202.13530266954,232127.8447891681,106316.95948854297,138025.15202350402,191145.8034397912,156828.5536517042,241856.15322524332,124828.04772153494,157746.394365236,174195.29881515683
139023.5753043662,162110.8602405095,111814.69733458302,116268.39418791776,201305.23130632853,115476.21373920492,136638.40763678082,201846.2370061543,136943.11640160295,184145.27657018555
101784.92626955852,247952.94703836457,121971.49894942054,149532.98904054245,156612.49772541563,155600.69918271663,149292.79204377162,193018.41933870947,95774.92763240312,148404.19935755222
141078.11804519937,170110.49778280882,254966.12912906293,158936.4657333,201583.76154327826,139467.7987517704,157381.4102055366,158537.20499251195,166869.64234505832,200025.50685148258
111256.59790187726,216376.05774058186,127404.86760606301,181205.70683972642,215432.23459656132,256193.51462099102,249362.76949258457,331022.3429783045,121257.03812891667,150871.06791280993
102425.01686629435,240016.7662287983,159443.35248485632,151092.16187165873,176016.4948411954,175166.7092425892,139742.41357398476,231802.2098800724,157477.94339614734,216648.10536177453
99888.73563911728,227528.66525634323,162447.5736999287,151450.80767207372,333042.3569574977,358001.48865673464,205068.73556107754,291170.742133252,172118.3977158311,228028.23609982728
120380.01472233701,324859.3066660645,146377.61440881487,182654.4664872834,497129.7770194529,206470.9314356002,255160.1210494019,313325.0490481227,271199.88955615147,236723.68704233645
156134.50466973346,317636.3188303115,183812.12062910802,185959.72867125398,361762.24594098714,250969.8418713846,214670.84438681835,284306.81867102184,182251.05083845544,227644.86127928185
422309.3680738073,298789.78689950996,211088.5870222182,190883.2100881125,415659.5918457275,313102.2688187788,163508.59103953055,252696.25669635442,221839.86140860693,162478.8729134113
435123.62190226297,337451.4755266616,188587.51128899446,224732.61843636006,380516.9918293873,314422.1926081214,133522.0864994227,343325.3808440021,235815.90433540568,333438.29399796657
185926.86476733937,306910.947636239,222541.55912366105,246427.17098773667,473466.4930128341,447559.49857547163,237987.785775575,242494.79219096302,221576.42971633706,220808.38256829715
116119.927316496,411651.0245219016,125566.42845556322,233823.7442268109,514744.0000780842,192501.4926739838,340103.7634332939,428549.0615896112,235229.99286002258,256924.29690947392
278194.2756687261,320782.322122596,187619.9895587375,179222.37684734777,601159.0798589855,385852.12478799274,275515.4249447184,360809.4195036346,196396.62268868193,265217.3608644719
211104.53883804544,280440.05203908234,121288.06354955907,196888.20553553436,766683.3740536933,399358.1013108844,352893.4570277442,379364.7892988529,164038.16571285785,330305.3770797269
294806.3949778913,339678.588818488,159193.33886236744,212491.36709614343,561349.9707111329,246829.60368639886,305544.2047000182,415826.57411776256,313536.31606749014,234636.49528360093
