,diffLr0,diffLr1,diffLr2
0,1.5305611622187626e-05,1.199155592159581e-05,1.0792305090703522e-05
1,1.5647128706275266e-05,1.8956444578071452e-05,3.132863417280783e-05
2,5.061118062244134e-06,2.576636627857809e-05,3.029862199257233e-05
3,9.359016807930764e-06,3.0843989136492625e-05,3.501460944137178e-06
4,1.889317128184193e-05,1.2759968824079803e-05,1.043549004620187e-05
5,2.4199765472382837e-05,1.3126851892356282e-05,1.2683100575975266e-05
6,6.755137460995444e-06,5.4685214203162554e-06,1.3079390433207277e-05
7,1.3864481156502915e-05,6.026672196609965e-06,1.075309854755639e-05
8,5.534196348563493e-06,1.0244509614953487e-05,1.735572947896127e-05
9,9.255866572902609e-06,1.348276183458373e-05,6.215568757171806e-06
10,9.97794547151677e-06,9.494147290059382e-06,1.163109958456407e-05
11,7.808269964426953e-07,6.84531275418146e-06,1.2739533098794768e-05
12,9.319397856222524e-06,1.974944862171158e-06,7.352507069149104e-06
13,1.0038051041301996e-05,9.526079737712001e-06,1.3596111493439864e-05
14,-2.0185254212660488e-07,8.467568596335423e-06,1.2878289369306255e-05
15,2.0336106016528777e-05,1.8943695740170938e-05,1.765417843448907e-05
16,5.505505671416992e-06,2.6030218568240648e-06,8.438967434770616e-06
17,6.16763040282649e-06,5.972144382096261e-06,1.3962560710263846e-05
18,3.1772661126697235e-06,5.070278469358155e-06,7.775571762622199e-06
19,8.802223344186735e-06,9.521711779126364e-06,2.2195207445645284e-05
20,1.5616887331866127e-05,3.372897155938733e-06,1.4785410080009123e-05
21,1.1027231121616938e-05,7.847365724856864e-06,1.319524490060636e-05
22,7.865325228212652e-06,9.072359350381893e-06,1.6885215906120563e-05
23,7.072035793722096e-06,1.193006363888228e-05,1.0568788262978895e-05
24,2.211236667847793e-06,7.007690066451048e-06,1.97713796832723e-05
25,-1.193683760274833e-06,6.529328361871942e-06,8.978021757494028e-06
26,5.696621807983621e-06,9.599329766531665e-06,-2.5195849608189674e-07
27,6.070064556594684e-06,1.0604086712684493e-05,1.1239405866178834e-05
28,1.273482774846771e-05,1.2374814895860928e-05,1.2727510635608223e-05
29,8.144366194203082e-06,1.0224696275416188e-05,1.3850035754046675e-05
30,2.980117322041411e-06,2.5319821718463387e-06,1.0212180491311656e-05
31,1.071280451731117e-06,1.6192295270260363e-05,7.579774791433063e-06
32,4.373522437133808e-06,5.919254054728151e-06,1.2702022555777385e-05
33,6.243240698506875e-06,5.879914374109453e-06,6.384005053269366e-06
34,5.598243379195963e-06,8.100536626426218e-06,1.2339486140043978e-05
35,8.304799507742804e-06,1.5612390154424927e-05,1.0511462227208968e-05
36,5.386598943235799e-06,8.875581721676897e-06,1.98492853295028e-05
37,6.6446075038081555e-06,5.280898817791679e-06,1.466350760263183e-05
38,1.532119972153187e-06,3.643130535176672e-06,8.428842582716814e-06
39,1.459350155599274e-05,3.2078132698849866e-06,7.416254977671502e-06
40,4.683401112016016e-06,3.7860750769164632e-06,6.512640676632878e-06
41,7.718936356339724e-06,1.6844452717353612e-05,7.822729479234396e-06
42,5.596835315961736e-06,5.071836841164207e-06,8.450915744237435e-06
43,4.248458988191626e-06,8.670865570245372e-06,1.2830942981528026e-05
44,8.901733678375426e-06,1.1240044377372346e-05,7.645601366512196e-06
45,-2.827034849225707e-06,1.2343833054174386e-05,6.696553156752816e-06
46,6.989425505176509e-06,1.1371929144791634e-05,5.38047398183526e-06
47,9.801872129972522e-06,5.767083577817927e-06,7.802565642427842e-06
48,9.771389201678564e-06,5.391465118902886e-06,8.158833847973707e-06
49,4.354629800273552e-06,4.331782559933693e-06,6.072447436907372e-06
50,-5.378527824683791e-07,3.968906391408103e-06,6.698489947563052e-06
