nSubIter0,nSubIter1,nSubIter2
15,19.0,19
11,19.0,8
19,19.0,19
1,19.0,13
5,19.0,19
17,19.0,19
19,19.0,6
19,19.0,19
14,19.0,19
19,19.0,19
19,19.0,19
19,19.0,19
6,19.0,19
8,19.0,19
19,19.0,1
19,19.0,19
7,19.0,19
16,19.0,19
15,14.0,19
7,19.0,19
19,19.0,9
19,19.0,10
19,19.0,19
19,19.0,1
19,19.0,19
19,19.0,19
16,5.0,19
19,19.0,19
19,19.0,9
19,19.0,11
1,5.0,19
19,19.0,19
19,19.0,19
19,19.0,1
19,14.0,19
1,19.0,19
19,19.0,19
19,19.0,8
9,19.0,2
3,19.0,1
19,19.0,1
19,19.0,19
19,19.0,1
9,19.0,19
14,19.0,3
19,19.0,14
10,19.0,18
19,6.0,2
19,19.0,19
19,19.0,19
19,19.0,19
19,3.0,19
11,19.0,19
19,19.0,19
11,19.0,19
19,19.0,19
19,18.0,19
1,19.0,19
19,19.0,19
10,19.0,15
19,11.0,19
19,19.0,19
1,4.0,3
19,19.0,1
15,19.0,1
19,19.0,19
19,19.0,19
4,8.0,19
19,2.0,19
19,19.0,14
19,19.0,19
3,19.0,19
9,8.0,16
19,2.0,19
3,,19
7,,16
19,,19
19,,19
19,,19
19,,7
