nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
19.0,19.0,19.0,19.0,1.0,1.0,19.0,19.0,19,19.0
1.0,1.0,1.0,19.0,11.0,19.0,1.0,1.0,1,19.0
1.0,19.0,19.0,1.0,19.0,1.0,1.0,19.0,1,1.0
19.0,1.0,19.0,1.0,1.0,19.0,1.0,19.0,1,1.0
19.0,19.0,19.0,1.0,1.0,19.0,19.0,19.0,1,19.0
1.0,19.0,19.0,1.0,1.0,19.0,19.0,19.0,1,19.0
17.0,19.0,19.0,19.0,1.0,19.0,1.0,1.0,19,19.0
1.0,19.0,19.0,1.0,1.0,1.0,19.0,8.0,19,19.0
19.0,1.0,19.0,19.0,1.0,1.0,1.0,19.0,19,11.0
19.0,1.0,19.0,19.0,19.0,19.0,19.0,19.0,8,1.0
1.0,19.0,19.0,19.0,19.0,1.0,1.0,1.0,1,1.0
19.0,19.0,1.0,19.0,19.0,19.0,19.0,19.0,19,1.0
1.0,19.0,1.0,1.0,19.0,19.0,19.0,1.0,1,1.0
1.0,19.0,19.0,19.0,1.0,1.0,19.0,1.0,19,19.0
19.0,1.0,19.0,1.0,19.0,19.0,19.0,1.0,19,19.0
1.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,1,19.0
19.0,1.0,19.0,13.0,19.0,17.0,1.0,1.0,19,19.0
19.0,19.0,19.0,19.0,19.0,1.0,19.0,1.0,19,19.0
19.0,19.0,19.0,19.0,19.0,1.0,1.0,19.0,1,1.0
19.0,19.0,19.0,19.0,19.0,19.0,1.0,19.0,19,19.0
19.0,19.0,15.0,19.0,1.0,19.0,1.0,19.0,1,19.0
19.0,19.0,19.0,19.0,1.0,1.0,19.0,1.0,1,1.0
1.0,19.0,19.0,1.0,1.0,14.0,19.0,19.0,19,1.0
19.0,19.0,1.0,19.0,19.0,19.0,19.0,19.0,1,19.0
19.0,19.0,19.0,1.0,19.0,1.0,19.0,1.0,1,19.0
1.0,1.0,19.0,19.0,19.0,1.0,1.0,1.0,19,19.0
19.0,19.0,19.0,1.0,1.0,19.0,19.0,19.0,19,1.0
19.0,1.0,1.0,19.0,1.0,19.0,19.0,19.0,1,12.0
19.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,17,19.0
19.0,19.0,18.0,1.0,3.0,19.0,19.0,19.0,1,19.0
19.0,19.0,19.0,19.0,1.0,1.0,1.0,1.0,1,19.0
19.0,1.0,1.0,19.0,19.0,19.0,1.0,19.0,19,5.0
