variancceSgd0,variancceSgd1,variancceSgd2,variancceSgd3,variancceSgd4,variancceSgd5,variancceSgd6,variancceSgd7,variancceSgd8,variancceSgd9
48403.85295898268,87192.01594941702,117024.52979785643,154394.64245536173,97029.3701358792,144367.38394226276,129459.44863650482,134519.56689817505,76994.81881171229,93754.1656634291
46306.616945259855,132984.99577311752,71687.33133378127,132893.21163514417,122093.75936191273,146284.5353335534,166250.73288974402,138560.7365847468,174481.1305499562,99904.34502416881
42592.58266182919,111707.21213707782,103146.82224918266,212031.5348771984,136228.51102429617,175315.87881130213,115810.81194606083,150731.63442145806,146215.72769113313,100291.75543992047
28963.833323387786,153050.31703049445,197606.18976576655,223876.4022272705,175717.58989606652,176285.02814127604,138520.6109324576,147732.3790247203,214464.1592679857,145170.37134158335
100889.60093072179,169168.93662675456,149935.643220169,212989.18555465335,161914.07579367445,181839.1374953533,163543.33963371284,206922.99167224893,145813.20624625424,140534.57322949643
108962.90227891703,158089.46837154654,145869.13358805398,193769.939988193,182144.4954180937,246426.7494037656,116303.1595760349,227649.1354378998,197735.19459910857,229162.70385266183
45584.915006987096,180987.5833545262,180987.1303544166,249981.0289105737,207168.93471247592,191313.38671698637,125258.24595084647,205457.50169017917,190176.1372345842,188112.21914613308
118427.4380571922,272107.206507492,223068.21894988648,240933.94919178996,217899.53939904604,144621.67475820414,190507.83383378075,242347.12541199767,226686.75658706896,210245.92183347378
91597.28466470672,198463.98144025006,166575.91496703814,248668.2879458011,264928.910953486,250262.49606847472,161178.97796313665,277770.8359942692,232940.9138350028,141296.8717152613
35138.37540357233,213747.2263580695,158403.8499368858,224432.39562366952,217248.73061841074,230413.92849014574,155693.36479963493,239883.3902333423,250067.87074636095,290183.55669129896
89061.48417255304,278940.62963048735,173331.94559971322,280122.43521809357,343434.84555401624,211941.8576416091,109378.067155456,290763.111729319,194077.11554335488,279589.79704838234
88779.23565050538,356170.3417172724,241081.60040701274,219525.14527994534,268768.20089214173,250463.3981571495,132274.66561849255,283064.47099042265,245565.3188191271,299044.27105636196
62495.36432571454,252355.39520773911,175487.60704291431,206593.9668172429,337857.25796477374,206341.843134822,133241.51845848194,255730.77371922455,162424.47822757348,255971.62130963994
28714.531926855452,291471.6144444152,319006.5285414442,264778.8259648906,374646.00842301483,227926.33763144258,178168.34321210656,419326.2868212235,237297.83217008325,258296.32821506157
45705.75352634331,313342.0856155811,257860.58607191907,237411.36174165324,414676.8955898551,225270.97071706495,164619.28664910916,339530.78491361963,202450.74827980876,336262.0755535681
27729.197075307693,251103.6033704118,238861.62292463973,270383.6018774747,303332.9777779013,200583.53008017986,140584.75681203115,267472.987940861,191424.89697797736,227238.44469823872
23061.04825333523,310320.37637197634,286543.0499860784,265407.9235054128,319919.1238708212,284034.3766022189,140434.89483198815,387328.0242852693,254759.50411151955,251179.6663896041
22651.56454992599,239646.0849190689,324159.874023621,308379.6767693487,315077.65533274866,220398.62562816162,193786.81509403494,290648.0094498236,246858.71009180072,321064.15788974945
19157.132308987868,190993.28853978316,312364.19654408586,339628.162486561,330494.3548590917,208517.72457879825,140924.25388019034,307926.5052310979,188762.4448658326,396485.2378815351
55736.92714750205,241854.29631419916,390796.435342593,231931.26348605147,335185.59810897167,235451.15634395176,171616.99394025066,362149.56559964165,173319.2549053154,294421.9897448175
91348.61113393356,239632.44609193178,271409.4490265292,211008.37695910793,294372.938388429,216210.84439313496,218515.80653497847,348098.9573578056,158047.66797282302,239240.90172818254
163036.77787814382,257801.57171733904,285260.4862908416,275952.68215720716,266506.82172557147,230692.29214691673,196959.84054104018,407112.99417758256,141465.77713997167,246921.4596992659
124815.71942024585,320365.10782306624,371446.52125154977,265113.9375849443,292534.85401854606,236202.53593747976,187326.27165874554,359092.76263121184,171923.11559089433,345719.54317596974
243075.58936509906,461595.73065991123,286228.29431691434,229934.64774667856,251689.83673075002,245860.38220528534,161293.50531654464,454065.2239134826,187534.31234857364,199145.1274639048
150279.93160881964,378214.9607275242,422826.35560951685,231090.03171633222,274021.2498957658,289734.9354129343,296387.2012368593,368583.79000428796,182742.51584301927,197050.03196474706
181215.95711785427,541282.7629092863,311669.71955507144,470006.9272594817,294904.19660198677,291867.08460299444,279589.3767635563,481400.9654595094,166885.08635082003,169894.210629075
219600.448890289,495684.84547538316,397834.2503646829,270865.3470395355,314247.7133185732,329811.39558955113,219760.45783235604,415807.54725773557,209708.0089702987,186193.74790100922
