nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
19.0,11.0,5.0,12.0,7.0,3.0,8.0,12.0,19,19.0
19.0,18.0,5.0,1.0,2.0,2.0,1.0,1.0,1,7.0
1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1,2.0
1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,1,1.0
8.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1,3.0
1.0,6.0,1.0,1.0,1.0,1.0,2.0,3.0,1,3.0
1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1,3.0
1.0,2.0,1.0,1.0,2.0,19.0,1.0,1.0,1,4.0
1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1,1.0
2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1,4.0
1.0,1.0,1.0,2.0,1.0,1.0,10.0,1.0,1,1.0
19.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2.0
19.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1,1.0
1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1,6.0
19.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1,19.0
19.0,5.0,1.0,2.0,1.0,1.0,2.0,19.0,1,19.0
9.0,19.0,2.0,3.0,1.0,1.0,1.0,3.0,1,11.0
12.0,8.0,1.0,1.0,1.0,1.0,3.0,1.0,1,7.0
19.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,1,2.0
19.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1,19.0
2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1,7.0
1.0,19.0,1.0,1.0,2.0,2.0,9.0,1.0,1,4.0
1.0,19.0,1.0,2.0,1.0,1.0,1.0,1.0,1,17.0
1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1,19.0
1.0,19.0,2.0,1.0,2.0,17.0,1.0,13.0,1,19.0
1.0,19.0,19.0,1.0,1.0,2.0,2.0,1.0,1,11.0
1.0,15.0,2.0,1.0,1.0,19.0,9.0,1.0,1,4.0
1.0,1.0,15.0,1.0,1.0,2.0,1.0,2.0,1,19.0
1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1,19.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,19.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,19.0
1.0,1.0,19.0,1.0,1.0,3.0,1.0,1.0,1,19.0
1.0,2.0,19.0,1.0,1.0,1.0,1.0,16.0,1,11.0
1.0,1.0,19.0,1.0,1.0,1.0,1.0,19.0,1,2.0
1.0,1.0,19.0,2.0,1.0,1.0,1.0,1.0,1,19.0
1.0,1.0,19.0,14.0,1.0,1.0,2.0,11.0,1,19.0
1.0,1.0,19.0,4.0,1.0,1.0,1.0,1.0,1,11.0
1.0,1.0,2.0,19.0,1.0,1.0,1.0,2.0,1,4.0
1.0,1.0,8.0,7.0,1.0,1.0,1.0,1.0,1,2.0
1.0,15.0,1.0,19.0,1.0,1.0,1.0,4.0,1,2.0
1.0,19.0,3.0,3.0,1.0,1.0,1.0,3.0,1,1.0
1.0,19.0,1.0,13.0,1.0,1.0,1.0,1.0,1,19.0
1.0,18.0,5.0,10.0,1.0,3.0,1.0,15.0,1,7.0
1.0,1.0,19.0,1.0,2.0,2.0,1.0,1.0,1,6.0
1.0,3.0,19.0,1.0,1.0,15.0,1.0,1.0,1,11.0
1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1,2.0
1.0,12.0,1.0,1.0,1.0,5.0,1.0,19.0,1,14.0
1.0,1.0,1.0,2.0,1.0,10.0,1.0,13.0,1,2.0
1.0,1.0,1.0,2.0,1.0,12.0,1.0,1.0,1,1.0
1.0,1.0,1.0,1.0,1.0,19.0,1.0,4.0,1,1.0
1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1,2.0
1.0,1.0,8.0,1.0,1.0,1.0,1.0,14.0,1,7.0
1.0,1.0,2.0,2.0,1.0,1.0,1.0,7.0,1,2.0
1.0,1.0,19.0,11.0,1.0,2.0,1.0,13.0,1,1.0
1.0,1.0,19.0,12.0,1.0,1.0,1.0,10.0,1,5.0
1.0,1.0,19.0,19.0,1.0,1.0,1.0,1.0,1,1.0
1.0,1.0,8.0,4.0,1.0,2.0,1.0,3.0,1,16.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1,6.0
1.0,1.0,1.0,19.0,3.0,1.0,1.0,19.0,1,1.0
1.0,19.0,1.0,2.0,19.0,1.0,1.0,15.0,1,1.0
1.0,14.0,1.0,19.0,16.0,1.0,1.0,1.0,1,19.0
1.0,10.0,3.0,4.0,2.0,1.0,1.0,16.0,1,15.0
1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0
1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0
1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1,1.0
1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1,1.0
1.0,1.0,11.0,2.0,1.0,1.0,1.0,6.0,1,1.0
1.0,1.0,14.0,1.0,1.0,1.0,1.0,11.0,1,1.0
1.0,1.0,19.0,1.0,1.0,1.0,1.0,1.0,1,1.0
1.0,1.0,19.0,2.0,1.0,1.0,1.0,19.0,1,1.0
1.0,1.0,2.0,1.0,6.0,1.0,1.0,19.0,1,1.0
1.0,1.0,19.0,1.0,19.0,1.0,1.0,1.0,1,2.0
1.0,1.0,19.0,1.0,19.0,1.0,1.0,1.0,1,3.0
1.0,1.0,18.0,1.0,19.0,1.0,1.0,1.0,1,19.0
1.0,1.0,19.0,7.0,19.0,1.0,1.0,2.0,1,19.0
1.0,3.0,19.0,7.0,19.0,1.0,1.0,1.0,1,2.0
1.0,19.0,19.0,3.0,5.0,1.0,1.0,1.0,1,19.0
1.0,19.0,6.0,5.0,3.0,1.0,1.0,1.0,1,19.0
1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1,19.0
1.0,1.0,12.0,2.0,1.0,1.0,1.0,12.0,1,14.0
1.0,15.0,19.0,1.0,2.0,1.0,1.0,1.0,1,9.0
1.0,1.0,6.0,2.0,3.0,1.0,1.0,2.0,1,19.0
1.0,1.0,19.0,14.0,19.0,1.0,1.0,6.0,1,19.0
1.0,1.0,19.0,1.0,1.0,1.0,1.0,2.0,1,19.0
1.0,1.0,5.0,1.0,19.0,1.0,1.0,1.0,1,4.0
1.0,1.0,3.0,2.0,19.0,1.0,1.0,1.0,1,19.0
1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,1.0
1.0,1.0,1.0,2.0,12.0,1.0,1.0,1.0,1,19.0
1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1,19.0
1.0,3.0,1.0,1.0,6.0,1.0,1.0,6.0,1,19.0
1.0,1.0,1.0,1.0,19.0,1.0,1.0,12.0,1,17.0
1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1,7.0
1.0,1.0,1.0,1.0,19.0,1.0,1.0,6.0,1,19.0
1.0,1.0,1.0,1.0,19.0,1.0,1.0,17.0,1,19.0
1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1,19.0
1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1,19.0
1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1,19.0
1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1,19.0
1.0,19.0,1.0,1.0,12.0,1.0,1.0,1.0,1,19.0
1.0,4.0,1.0,5.0,7.0,1.0,1.0,1.0,1,4.0
1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1,19.0
1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,
1.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,1,
1.0,19.0,1.0,2.0,1.0,1.0,1.0,1.0,1,
1.0,3.0,1.0,19.0,2.0,1.0,1.0,1.0,1,
1.0,19.0,1.0,2.0,2.0,1.0,1.0,1.0,1,
1.0,17.0,1.0,1.0,19.0,1.0,1.0,1.0,1,
1.0,1.0,1.0,1.0,9.0,1.0,1.0,2.0,1,
1.0,19.0,1.0,19.0,1.0,1.0,1.0,1.0,1,
1.0,15.0,1.0,13.0,1.0,1.0,1.0,3.0,1,
1.0,1.0,1.0,14.0,1.0,1.0,1.0,2.0,1,
1.0,19.0,1.0,4.0,4.0,1.0,1.0,1.0,1,
1.0,9.0,1.0,5.0,1.0,1.0,1.0,6.0,1,
1.0,19.0,1.0,17.0,19.0,1.0,1.0,15.0,1,
1.0,19.0,1.0,1.0,1.0,1.0,1.0,19.0,1,
1.0,19.0,1.0,1.0,1.0,1.0,1.0,5.0,1,
1.0,19.0,1.0,1.0,1.0,1.0,1.0,19.0,1,
1.0,19.0,1.0,1.0,1.0,1.0,1.0,19.0,1,
1.0,19.0,1.0,1.0,1.0,1.0,1.0,17.0,1,
1.0,19.0,1.0,1.0,17.0,1.0,1.0,2.0,1,
1.0,8.0,1.0,2.0,5.0,1.0,1.0,7.0,1,
1.0,19.0,1.0,1.0,2.0,1.0,1.0,5.0,1,
1.0,,1.0,1.0,1.0,1.0,1.0,19.0,1,
1.0,,1.0,1.0,1.0,1.0,1.0,10.0,1,
1.0,,1.0,1.0,8.0,1.0,1.0,3.0,1,
1.0,,1.0,1.0,4.0,1.0,1.0,1.0,1,
1.0,,1.0,1.0,18.0,1.0,1.0,8.0,1,
1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1,
1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1,
1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1,
1.0,,1.0,1.0,19.0,1.0,1.0,1.0,1,
1.0,,1.0,1.0,5.0,1.0,1.0,1.0,1,
1.0,,,1.0,1.0,1.0,1.0,1.0,1,
1.0,,,2.0,1.0,1.0,1.0,2.0,1,
1.0,,,1.0,,1.0,1.0,,1,
1.0,,,1.0,,1.0,1.0,,1,
1.0,,,1.0,,1.0,1.0,,1,
1.0,,,1.0,,1.0,1.0,,1,
1.0,,,1.0,,1.0,1.0,,1,
1.0,,,1.0,,1.0,1.0,,1,
1.0,,,1.0,,1.0,1.0,,1,
1.0,,,1.0,,1.0,1.0,,1,
1.0,,,1.0,,1.0,1.0,,1,
1.0,,,1.0,,1.0,1.0,,1,
1.0,,,1.0,,1.0,1.0,,1,
1.0,,,1.0,,1.0,1.0,,1,
1.0,,,1.0,,1.0,1.0,,1,
1.0,,,1.0,,1.0,1.0,,1,
1.0,,,4.0,,1.0,1.0,,1,
1.0,,,1.0,,1.0,1.0,,1,
1.0,,,,,1.0,1.0,,1,
1.0,,,,,1.0,1.0,,1,
1.0,,,,,1.0,1.0,,1,
1.0,,,,,1.0,1.0,,1,
1.0,,,,,1.0,1.0,,1,
1.0,,,,,1.0,1.0,,1,
1.0,,,,,1.0,1.0,,1,
1.0,,,,,1.0,1.0,,1,
1.0,,,,,1.0,1.0,,1,
1.0,,,,,1.0,1.0,,1,
1.0,,,,,1.0,1.0,,1,
1.0,,,,,1.0,1.0,,1,
1.0,,,,,1.0,1.0,,1,
1.0,,,,,1.0,1.0,,1,
1.0,,,,,1.0,1.0,,1,
,,,,,1.0,1.0,,1,
,,,,,1.0,1.0,,1,
,,,,,,1.0,,1,
,,,,,,1.0,,1,
,,,,,,1.0,,1,
,,,,,,1.0,,1,
,,,,,,1.0,,1,
,,,,,,1.0,,1,
,,,,,,1.0,,1,
,,,,,,1.0,,1,
,,,,,,,,1,
,,,,,,,,1,
,,,,,,,,1,
,,,,,,,,1,
