nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
6.0,8.0,15.0,7.0,11.0,7.0,4.0,11.0,6.0,8
6.0,16.0,5.0,7.0,13.0,4.0,3.0,9.0,27.0,7
7.0,21.0,9.0,11.0,33.0,4.0,9.0,9.0,3.0,10
11.0,9.0,10.0,9.0,12.0,9.0,8.0,6.0,3.0,7
4.0,3.0,5.0,12.0,13.0,15.0,7.0,8.0,5.0,3
6.0,5.0,20.0,5.0,13.0,8.0,16.0,9.0,3.0,9
8.0,9.0,14.0,8.0,9.0,15.0,12.0,5.0,5.0,12
11.0,18.0,11.0,7.0,9.0,4.0,9.0,5.0,5.0,6
8.0,6.0,5.0,5.0,6.0,6.0,3.0,11.0,11.0,9
5.0,8.0,6.0,15.0,10.0,6.0,9.0,8.0,7.0,7
4.0,17.0,18.0,6.0,11.0,12.0,9.0,13.0,6.0,7
9.0,5.0,9.0,5.0,12.0,7.0,10.0,12.0,21.0,4
12.0,7.0,8.0,4.0,7.0,9.0,5.0,8.0,10.0,4
8.0,7.0,4.0,4.0,11.0,28.0,14.0,7.0,15.0,5
10.0,11.0,5.0,5.0,11.0,18.0,5.0,8.0,7.0,6
10.0,4.0,3.0,7.0,4.0,10.0,5.0,6.0,7.0,2
22.0,4.0,2.0,10.0,12.0,4.0,8.0,12.0,10.0,5
22.0,5.0,4.0,9.0,9.0,3.0,11.0,8.0,6.0,8
10.0,10.0,13.0,4.0,19.0,6.0,10.0,6.0,9.0,15
4.0,5.0,6.0,7.0,7.0,4.0,6.0,8.0,8.0,22
2.0,3.0,10.0,4.0,3.0,7.0,12.0,6.0,8.0,5
9.0,5.0,8.0,6.0,5.0,5.0,9.0,10.0,9.0,4
6.0,9.0,7.0,11.0,3.0,6.0,6.0,4.0,4.0,4
12.0,6.0,12.0,12.0,4.0,29.0,10.0,6.0,3.0,3
7.0,8.0,10.0,7.0,2.0,8.0,7.0,8.0,2.0,3
5.0,4.0,7.0,5.0,3.0,9.0,13.0,5.0,6.0,7
7.0,6.0,4.0,4.0,7.0,8.0,10.0,6.0,4.0,14
7.0,10.0,7.0,2.0,9.0,5.0,25.0,9.0,6.0,5
12.0,6.0,19.0,7.0,4.0,8.0,15.0,3.0,5.0,4
3.0,9.0,9.0,5.0,4.0,7.0,16.0,5.0,8.0,5
4.0,3.0,3.0,10.0,19.0,6.0,20.0,5.0,7.0,2
4.0,3.0,5.0,7.0,5.0,5.0,12.0,6.0,3.0,7
3.0,5.0,4.0,14.0,3.0,12.0,12.0,6.0,9.0,6
4.0,8.0,4.0,7.0,3.0,5.0,26.0,3.0,8.0,12
6.0,12.0,4.0,6.0,7.0,5.0,39.0,8.0,26.0,13
4.0,14.0,9.0,4.0,7.0,5.0,36.0,4.0,15.0,14
14.0,5.0,13.0,3.0,4.0,25.0,21.0,8.0,8.0,14
6.0,4.0,5.0,3.0,9.0,10.0,16.0,3.0,18.0,5
3.0,6.0,5.0,4.0,10.0,5.0,11.0,3.0,3.0,5
10.0,11.0,4.0,8.0,5.0,5.0,18.0,4.0,15.0,8
5.0,16.0,5.0,8.0,6.0,7.0,20.0,5.0,11.0,2
