variancceSgd0,variancceSgd1,variancceSgd2
28646.7054556874,87804.15531125128,90674.13884426166
70164.23448702216,82055.69225257919,82243.673550661
116572.2977734363,51677.603836536575,65490.11959881637
57784.54679210592,52808.208398774725,82376.26988716281
75800.38934764868,167289.849741965,125883.65466795911
71805.40079945307,84033.57002721139,161708.3956437876
120710.78009333559,101206.93641744512,115330.3445412361
237183.82562977937,101203.66466632849,142614.19733085914
219586.4422816013,166977.86253448125,195361.22358450847
103074.61434547347,193424.12149059487,192966.2931181173
116613.86927933001,144752.97958055133,215075.59520464943
86541.56805792685,184361.0198702796,135450.7902818058
112069.0365313866,143487.24913080034,210967.19225763832
111320.79002291276,227262.97786830485,191619.18147467318
82752.244494978,185391.914712005,222561.20646614392
94224.42899060773,170587.47224825842,256827.41715670098
152842.31835590454,250067.78207104045,267309.76135509385
120431.97283231704,254686.75500984892,348449.13977019786
125406.74130863654,293457.2245212267,276422.5280162501
112811.5536228455,315344.8592820848,286574.28039197455
137063.02068277405,416556.19372937526,300083.5130737992
111964.11550865957,350162.6501402975,280579.13423225505
113826.64002440091,540123.1421391877,244162.29634997988
118647.23084914501,605385.6093655829,195697.93843884172
161591.09099376193,474268.1727762292,228722.0597522467
160561.4907618329,652619.1359567359,305704.96633475507
103665.34143143098,571389.0471409308,287646.038212308
80916.49678267002,504129.2471526398,403273.91877798765
54370.457020552356,719886.4520776563,276823.1757250995
48862.253065313744,837309.5020289343,186463.36107795654
99432.01297555903,617428.3793769657,412994.397485208
88362.111893184,627573.3364162003,265843.3283235781
87692.21005219666,636883.8739475389,358821.3186961309
105478.25630111381,534708.4818008882,317357.68476755696
75944.10019367086,616858.3344327097,323258.0684497601
66174.22063008184,690291.7319814868,287834.34749968734
82763.48315517954,835126.7575407785,254149.39957187275
82336.22061822301,758552.470304861,260261.261179157
110154.5546937121,668760.808412398,216324.0833614215
71475.48201426168,701361.6784982942,248764.6353002379
75641.27175705135,674598.1507693668,308069.58314667153
