varianceSvrg0,varianceSvrg1,varianceSvrg2
26729.928244913415,79512.75012608759,79563.56597511927
62633.15163467295,74182.75334640394,76375.5851732003
112920.6585591537,48961.44798108439,56419.38484749288
57915.66647389252,50328.41874662773,74778.4316175149
67078.90557448835,153712.13521720615,117227.58059077477
68217.46325194948,73239.21285893346,154367.5685490266
126503.63292644313,100957.67556473956,104777.48971218197
215148.17049381242,97068.85047708124,138103.58127014275
203157.066920954,159999.26732818232,165890.46981006887
100959.87067979026,194379.3851891234,190069.12416711895
111592.17349888309,134700.580680736,198934.8294708151
86191.95674390683,178314.15877314005,127313.19098386457
107789.33587456454,138913.4082344034,207691.47559097726
106104.10565671243,229485.47133869867,183430.823180533
81063.9994060557,170896.38415065373,220624.80473642796
94314.18105907465,165078.9080106447,248968.498726753
130501.20639364909,202002.8397958753,266712.0764081131
115189.60409821334,254847.8993267943,345544.45620619174
120469.75253356513,273038.3503235518,261106.54167606606
111135.66138021513,309639.9495840758,286436.4244585901
134561.81861527447,413132.6972913482,298414.3823330328
111690.85615590012,346097.34191747283,281218.32498406724
112864.32186571255,539006.0702258878,225089.89746633294
118288.72890336311,591681.6987660902,183041.07060836055
153022.3168350218,474205.1449383455,221148.9352882692
153406.37131257096,664511.8980382227,300743.42471940565
97570.70042940119,508593.8417454481,276438.2771463194
80344.86055044463,505688.95637983555,403665.2876430077
53843.96008660013,680643.9787437294,252528.86819297975
49744.23305038077,801505.5504583593,167978.27494546928
90338.52400359791,598351.1761236929,241174.99100629325
82343.8084870807,629355.8835715344,249037.3314682034
83664.15150865517,599261.2465910291,311947.86448781425
104579.64700018978,513268.3080073112,290578.89255998173
75102.65301147482,619913.076270581,317889.47435814625
68500.8768854871,651984.0660944323,281096.5131600029
72260.53900286331,845879.8729819697,249990.03874600894
71804.80212582495,690457.4143220582,258781.53120073111
95750.59913656888,661800.1781501523,222680.3498995884
66308.80149516126,700624.2105407629,231388.33131066058
75793.69007425627,672688.1082689476,299133.24616655713
74031.55474084729,643472.5540221354,216789.81457513903
98708.92112154297,765255.6146052468,212579.04425450906
82926.21593012547,778941.4730252532,289811.55271151836
86218.19500796737,699862.8921765763,215055.54429603598
105366.42106153816,668317.9269261487,380480.9348017768
71118.38538093091,657273.8822571891,231842.25728719705
72634.32791032604,730138.4569621258,252072.86644390968
66600.0713873471,756736.9410225569,238327.11527208646
91892.22062198172,833598.4532977743,186572.21060747938
112059.77990284942,621885.004866371,288270.00524774496
106476.58076254133,592851.6192662093,264715.25051428773
79457.68495560224,655270.7116425415,35160.7755272304
98993.8578759403,694322.4823276554,191482.7976065199
82524.53619925195,734533.6324194607,255732.79404945677
68372.64358787335,541967.7971275598,121358.58177988962
115226.75034447233,566299.5448339157,225292.9327341451
127633.70583868961,664050.2458076715,206012.76552140623
49196.65659223701,505589.8631332461,231932.13600861913
61544.10538050825,615816.6216223228,278292.56804144906
68041.97623126575,761123.3358354834,154801.80413145953
64951.572863759924,660830.3291446313,234379.6322148931
83144.30419443097,579763.8753511496,266432.40476618084
59347.39064636003,498697.93905835954,268429.38293512474
84763.20375454026,480589.02738668857,268886.99159847654
93012.77466047653,597142.8004893246,350296.5232886166
81566.52643125551,562366.8761711267,408869.7923095119
63228.67920867705,649543.7378532946,461523.82300020696
87859.44390429619,606174.2432989741,335881.54963350005
66444.42726997494,647684.9205531036,262038.56964493854
78051.17780494143,552163.6768721761,328516.05281227257
85754.25238127158,878668.8150452687,341183.01471198804
71713.76851484214,606997.8287494441,390241.47042769345
79292.91824816965,902491.1761253143,387293.6623701869
