rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[ 52.12687463   6.89371353   6.89371353  45.13169004  52.12687463
   6.89371353   6.89371353  45.13169004  52.12687463   6.89371353
  52.12687463   6.89371353   6.89371353  45.13169004  27.33033014
  39.94774294   6.89371353  45.13169004  27.33033014]","[ 37.83360894  29.85072022  48.21732241  -1.05849968  42.691929
  55.11257452  46.54859623  28.55371454  64.57381548  35.70607308
  24.3716325   39.52342796  18.731614    48.21732241  60.49737443
   1.70472266  42.691929    42.68544653  56.67381146]","[ 57.10266005  66.33298731  27.73099926  19.15368742  19.36586806
  43.79050602  73.68484856  55.20100035   4.56996853  65.38595942
  55.05357879   4.56996853  12.14256019  53.11714697  59.23258146
  43.51439213  -6.87883286  33.43246545  13.32134969]","[ 23.75776857  25.35096133  45.56128684  42.82593319  64.16172138
  33.74259055  38.30396836  31.11857314  31.49337259  34.25511047
  16.83856087  24.09372956  49.01967756  65.40812665  65.93286397
  34.21574153  81.19600278  53.08326743  52.37125759]","[ 55.97155617  34.66583596  10.51106252  57.47211917  36.36150926
  39.73452303  32.15538053  55.74360788  40.00421833  -0.54003021
  34.78395471  18.50736714  30.76813554  21.2770874   43.93551765
  37.60464751  83.26239911  81.14217433  57.40888673]","[ 38.04070149  19.65425508  22.71293651   6.35467623  19.94954717
  10.46064776  43.82718183  15.98417303  -6.12968692  30.1022879
  43.44971126  16.26492851  48.88535938  17.80471713  34.79405041
  59.53390048  38.32224499  24.07782335  24.07664995]","[ 26.03269041  21.9399377   50.8500939   68.94528467  46.87499313
  15.92379694  50.23030348   8.13631543   2.86662828  41.2675893
  21.62097806  26.27438276  27.97152097  72.41967363  42.33681061
  29.04526259  30.49992573  23.32572093  14.28458349]","[ 34.17685837   7.83618273  -4.08190848  -2.64902546  25.84485985
  39.64826708  10.45978945  41.13414133  64.92252883  54.89474834
  61.63046648  52.6719542   29.31181176  56.53661219  52.44524751
  41.17187374  38.5957111   75.87659715  55.51680121]","[ 43.76954773  40.00837422  45.80312295  18.95178137   5.69488061
  29.36875008  18.95178137  -0.94885187  -5.01263716  42.4342294
  37.51479201  40.9626806   -4.25582128  76.80469234 -13.02680481
  74.00025225  45.91855659  37.90902343  68.11361572]","[ 19.53053813  11.58911941  26.33995749  38.56490936  30.1948544
  41.21380511  21.81233825  58.91114438  12.58791338   6.62046972
  47.2496565   30.12875168  48.0587475   14.42628344  14.4581949
  47.86509453  15.71830521  34.08932132  51.0308435 ]"
"[ 41.78170837  37.58181419  41.78170837  37.58181419  37.58181419
  12.98222593  37.58181419  12.98222593  41.78170837  37.58181419
  41.78170837  37.58181419  41.78170837  37.58181419  12.98222593
  38.35529543  47.88753057  37.58181419  12.98222593]","[ 48.09817652  29.90596342  47.53127515  32.61888041  53.09027444
  45.82900967  13.84192089  15.54486527  34.03503421  36.1727469
  59.68600662  62.24750558  72.96827062  59.68600662  48.12309016
   5.53735246  53.09027444  55.0227156   11.03239871]","[ 45.49697968  42.79812845  35.72058856  29.50269832  50.59974691
  14.91873864  87.1021937   25.35946723  29.62940899  47.0619278
  43.60511312  60.03733472  67.70020453  50.59974691  60.61192829
  47.59974704  25.9778122    3.40159853  53.53197377]","[ 40.94548717  23.22646587  73.81745248  46.48620764  39.53663403
  60.61904587  25.27858699  34.58460879  23.25680652  69.20811686
  54.41903427  47.64807647  51.79710664  25.1502589   83.06553102
  34.84933681  73.35395282  28.1739899   58.83747231]","[ 28.98268915  28.96605187  38.92342717  39.25621293  50.56080852
  40.88741452  43.89397514  24.40833616  43.00869401  38.78200655
  32.51069853  67.51275978  36.78968182  78.09387825  23.92056438
  24.98339023  33.89040891  21.97466665  55.91709801]","[ -0.5112951   51.41009247   6.80370268  35.73297036  29.62203303
  28.28181608  66.46568571  38.32346505  53.71825817  18.08916048
   8.83340825  -7.99896349  32.38389704  39.60623103  28.00614503
  20.94300735   4.31484359  56.97195231  12.75585611]","[ 63.33643285  11.14775835  66.54184881  51.10985515  46.76230093
  15.87347666  53.84888971  29.45241728  15.43379544  23.76494148
  16.73709527  65.65113559  34.62062768  67.80464366  49.36289292
  -6.17322515  62.51592967  54.09094628  62.80936356]","[ 56.83491485  69.42242617  53.57396957  40.56041109  33.80057547
  58.25680803  34.06168532  36.83041949  44.16662886  43.84340374
  51.63884754  34.0153304   48.83005621  61.86015595  36.16213218
  80.20478711  66.90760638  42.20496883  43.06639059]","[ 41.76894384  29.84412658  34.90680009  37.12336391  21.78464958
  63.97796167  -6.55888526  37.51141153   2.8592924   48.77741555
  28.47088917  42.94044928  26.04649607  44.25882307  27.09296217
  37.12336391  36.27738575  47.7798811   37.47496191]","[ 19.53621331  34.25308261  19.42301638  23.12050815  66.25271033
  62.49361581  25.66469374  46.19713771  15.53490178  50.57592156
  22.7197547   32.52789817  33.79663201  54.75605051  47.64054494
  48.13230733  58.25702743  40.13379662  40.3663501 ]"
"[ 51.97928907  62.90377778  62.90377778  35.42400888  62.90377778
  35.42400888  51.97928907  62.90377778  24.28246089  28.14835968
  62.90377778  35.42400888  51.97928907  62.90377778  62.90377778
  35.42400888  51.97928907  51.97928907  62.90377778]","[ 73.82834502  40.72177477  49.45396356  44.90113091  38.46336798
  12.21195312  20.75756698  15.10305097  53.76427588  55.32142522
  57.37172927  57.50949192  70.22161085  73.82834502  45.83091367
  84.64100536  44.90113091  25.48730539  48.28730664]","[ 74.5687509   46.88425037  80.88269961  51.30168716  58.57087635
  28.111604    32.38511985  26.32363852  29.98948813  46.16286806
  19.94692614  27.1574863   26.73156759  58.57087635  96.35749272
  17.21534191  38.53466349  36.49885599  34.24950093]","[ 38.9314408   13.90936601  42.20583654  41.56489739  43.10254665
  26.54502846  55.65891925  16.44207368  21.28767244  10.69996304
  50.90131051  93.98319688  24.47406741   5.93599958  59.16999603
  14.68528782  23.19768622  28.11235991  34.94259024]","[ 23.4487625   71.20276114  42.5323171   39.08240726  66.17079994
  22.10751072  75.28761788  51.16736556  -1.85207021  57.32469016
  82.46111937  32.32355069  68.29122909  79.19839293  23.4487625
  51.28203608  39.92415847  72.84718316  41.61605528]","[ 51.17377685  34.09524188  45.22685515  -2.4064156   25.19528511
  69.59945249  55.43290632  44.7469901   36.16674787  39.39601857
  59.58395444  42.04633479  83.68490056  40.28413565  53.32274383
  51.98905693  66.62254885  66.88686767  48.10240552]","[ 48.9218442   72.93576036  65.35412891  88.35203587  50.94519668
  45.1014086   23.50030873  53.27976044  44.40345347  19.45398073
  40.48088101  11.71517239  23.17202785  26.06334874  11.25848115
  62.48377882  55.46677116  42.24089956  15.49250718]","[ 35.51782009  50.47761524  29.69302687  80.07106646  -3.91124549
  73.26924022  53.2337494   60.57355152  50.680807    61.42513444
  20.09410625  54.24904251  68.4374164   30.10290002  62.8815446
  75.90368209  52.07547224  86.53512645  27.52494648]","[ 53.20612009  36.60745956  30.33685119  67.30034867  39.49588703
  62.53688287  65.35673726  47.84255421  36.66570323  39.49588703
  64.6094883   24.67308962  35.32104014  39.42408683  48.87279766
  54.53573593  71.44653735  21.27580554  38.39044764]","[ 32.05495671  20.58305652  70.08213921  49.10171054  82.44399506
  47.26647061  18.31255051  50.19842564  44.27162424  54.36314217
  41.608565    59.40918424  56.10439921  44.57200277  41.91042526
  26.50419504  41.0160975   46.10074097  28.91346955]"
"[ 66.04166958  14.53728591  66.04166958  14.53728591  66.04166958
  14.53728591  14.53728591  33.87731167  14.53728591  33.87731167
  34.00407303  40.92894543  60.33095049  66.04166958  66.04166958
  14.53728591  33.87731167  14.53728591  33.87731167]","[ 39.63823731  67.39542978  68.30011423  45.39646652  39.44285573
  68.30011423  44.75732418  52.60220481  44.75732418  52.60220481
  56.25032866  52.83818268  22.7812484   27.41110726  72.99144061
  41.46630415  12.27162423  21.5063772   39.10723893]","[ 45.65627693  65.83666757  52.20618497  31.65736884  35.95838778
  38.94904536  50.96232722  33.74765473  42.90278591  52.47466813
  51.34530797  23.64335089  13.06840042  76.89188671  26.68553076
  50.96232722   9.11293324  37.65920156  29.21882762]","[ 36.04840777  66.16465281  36.24729557  57.21416631  60.03993301
  80.09810293  49.29985729  34.12225334  45.77093073  70.90014633
  61.20380332  48.73166685  24.65748365  33.50680732  79.12596044
  54.06349934  50.68583337  44.49595632]","[ 40.37750943  47.86341365  69.43067838  53.13735753  28.5305743
   7.11059544  33.31429959  39.22828023  65.76243391  25.45817437
  73.23437228  31.61176816  31.61176816  70.13998768  24.58282514
  43.93973704  13.84408361  37.39075259  63.46684478]","[ 39.10750254  43.99482603  35.21945019  50.54993023  36.52652615
  41.80205133  82.56990785  63.66679126  40.82725287  22.17153326
  52.56329138  17.74938631  56.52733234  67.47298058  45.13910449
  29.60736287  21.39982791  33.46972491  49.26564038]","[ 32.81697236  39.93170079  15.59340623  43.39270651  56.42830503
  36.14607008  42.99485827  44.3176861   37.56670132  34.30973361
  80.90283623  36.28059984  46.50618994  44.87663865  81.62630234
  77.56813354  82.34853504  18.84196504  64.45417096]","[ 48.17647466  50.19787773  55.34809807  42.59766242  61.07052419
  23.30748638  60.35136724  39.67660899  61.39158338  56.54236347
  45.00878823  34.18889002  46.86643055  48.82398339  47.2806205
  33.41307937  69.51399728  47.87316016  49.83051142]","[ 16.37464359  52.29788322  79.41072097  51.62475618  22.35936345
  77.52006422  29.77796739  38.79788961  60.0001639   63.41474221
  32.77537848  33.45799193  86.79537294  73.8683377   52.90049077
  79.41072097  49.69067235  72.2370569   63.47818177]","[ 36.23527408  47.40432404  39.04598326 -12.67473521  72.92025582
  24.05478747  62.77545731  13.38796246  62.49194183  46.89677081
  33.99209505  60.17693082  62.74033053  12.80219461  46.37449746
  56.27083938  75.20398779  14.47882391  34.60709535]"
"[ 18.88442422  34.70004858  34.70004858  33.69264745  34.70004858
  33.69264745  33.69264745  27.4355755   43.84106539  33.69264745
  27.4355755   18.88442422  34.70004858  34.70004858  33.69264745
  33.69264745  27.4355755   33.69264745  27.4355755 ]","[ 79.89446782  31.28952877  71.41924401  56.20283301  44.05479284
  68.8009752   29.61864116  31.29994881  62.75197379  44.71788243
  50.7145211   31.00477155  49.06514317  34.69635347  39.26932501
  31.29994881  33.09084484  33.09084484  23.32913669]","[ 75.99399356  34.46848226  30.26404787  27.95029665  35.83783047
  71.34179876  54.41601544  33.22508485  65.95859954  36.99866396
  84.18271033  27.6424691   32.59463574  65.95859954  64.03677214
  49.27663755  42.77378182  65.35226472  18.34803985]","[ 44.4490522   45.15729059  40.30927824  64.54079829  62.76945969
  18.72978003  52.82532565  20.39486467  75.84908915  30.01295085
  65.15925182  12.31082117  28.87222966  56.70410653  59.55051556
  64.25659306  35.27910153  65.26599755  13.58196388]","[  59.70889492   48.61990429   62.08921312   17.38234744   48.92706428
   11.52663849   73.95013696   55.12729928   68.45780793   46.72878191
   54.46422226   40.77786782  105.189924     25.97368491   36.39254242
   50.71831124   40.77786782   67.07341566   36.85276347]","[ 61.98914603  32.12490777  56.42162831  28.68124535  49.36970985
  29.95505693  45.05475547  11.20174795  31.9757791   34.5503955
  57.71460914  32.95115609  45.53020085  46.25051673  44.51135549
  31.01528805  61.96763187  68.19542408  20.32731973]","[ 22.3552413   43.54529421  62.8948833   65.58744619  68.63189286
  16.0442641   51.73532842  59.78396417  71.36280936  51.19967897
  62.62666332  52.3007216   62.4266884   22.60686502  40.47821704
  44.97523437  75.06101737  63.97000193  32.22636524]","[ 27.42349421  35.51588924  36.4940027   61.36776448  63.91073658
  64.77190746  54.83620457  70.27167767  40.48080745  33.38441863
  59.83809387  73.48138262  20.5272893   71.859263    35.42865024
  42.10025831  73.1120124   81.01684599  26.79229013]","[ 50.36624583  64.21727967  55.142049    49.23124119  61.4106594
  41.10010669  54.19836502  45.23719616  45.82052643  79.72650881
  40.21303829  39.61589078  54.60859313  49.23124119  60.39997789
  38.27162736  39.56738181  51.20281623  70.39289181]","[ 61.48032491  48.0583174   35.1019167   39.8097354   32.03367271
  38.2375919   36.31728994  61.08919014  49.44343211  64.52915383
  58.42490145  92.4338691   82.13075104  63.60007902  72.33902729
  47.86489011  34.91996235  66.59049558  11.327137  ]"
"[ 25.47911501  63.30312916  41.09516131  25.47911501  36.22870639
  41.09516131  41.09516131  25.47911501  34.06472052  36.22870639
  41.09516131  25.47911501  41.09516131  25.47911501  36.22870639
  41.09516131  34.06472052  36.22870639  36.22870639]","[ 32.51702022  34.98104879  48.99093306  71.59497045  60.96199536
  54.89499605  73.16282969  73.99733775  78.40128953  41.33364552
  62.67766546  62.24879335  32.13563587  61.11647782  71.59497045
  41.60415606  47.76306545  32.13563587  47.37451489]","[ 26.37772989  89.48072874  53.31030608  71.14746744  59.26732052
  25.96945909  37.48136957  52.65881881  84.22084727  73.22825303
  71.42789053  81.16817033  44.16662738  43.08872979  44.16662738
  57.4982046   51.03377727  59.51318064  30.96678237]","[ 69.77407788  64.04841687  23.37253586  28.13851282  46.40428666
  22.5603685   37.71767813  87.30563142  22.43464663  69.26598471
  41.67214915  84.41393668  26.62616573  56.45140711  44.64245958
  52.15449651  82.69934556  56.29799697  18.32739993]","[ 82.01523888  54.45183844  76.75083751  36.74065613  45.42154377
  68.36078831  76.75083751  36.74065613  70.81765251  45.7313396
  59.76361593  51.12520518  18.03276756  64.24160656  35.85452563
  38.34621729  39.97519636  60.10122422  66.47766452]","[ 27.02273652  49.40335157  57.82440427  25.83635135  41.18016864
  35.93774817  48.90979015  76.35368878  39.93443747  29.68033161
  12.9422637   47.30455903  61.33516352  53.6095665   41.11915824
  53.99681695  44.85898525  32.06855761  47.17480341]","[ 26.72483181  28.68116632  39.04041789  40.03066732  22.97268415
  71.51610084  76.49529801  37.55878325  63.42305334  43.99072834
  18.13110639  25.75147864  59.24260027  53.84746255  69.26231213
  23.27830853  47.96440241  28.06491329  41.51656906]","[ 90.37168047  71.84972996  25.36676186  49.73193884  75.88317283
  36.27810364  69.16219422  11.07075793  63.37358945  64.00116903
  72.91016397  36.81495084  64.99936137  48.86020479  40.68284073
  70.01042032  51.46981315  54.68096753  54.717646  ]","[ 62.86573505  66.91762421  54.96787754  45.44224079  40.56052964
  52.05761298  86.95974277  27.99937914  55.13000067  52.3074826
  52.48459305  88.42591367  52.56045388  50.25359697  45.44224079
  63.97302642  51.26632478  56.692867    61.73785839]","[ 47.25764589  55.72941192  78.90537158  68.99959012  77.46187378
  51.43632998  41.22960273  32.9463355   60.39395734  49.22875028
  68.47367182  81.84070271  81.94941468  29.75743858  76.50800903
  58.53884685  53.07435672  41.09794588  66.48095705]"
"[ 22.30228587  25.4106141   67.63252994  22.30228587  47.46859651
  45.33845505  45.33845505  67.63252994  45.33845505  67.63252994
  67.63252994  22.30228587  47.46859651  45.33845505  67.63252994
  47.46859651  45.33845505  67.63252994  22.30228587]","[ 68.60988489  45.8596559   67.87725777  56.43408727  53.59213881
  30.95054926  49.92376846  36.51373469  60.54260412  67.165676    37.892026
  60.54260412  34.39353698  39.22375256  53.57546206  14.56791094
  34.86101698  72.7229591   41.87848495]","[ 40.01269216  55.95232197  40.01269216  55.95232197  73.09255561
   5.31740179  28.28441262  78.66334237  58.34396197  64.63888537
  56.28298408  23.19573976  57.80019731  70.46741131  48.77608957
  58.34304024  35.71721519  68.26230651  73.59948174]","[ 54.22002623  58.28697137  73.84390687  54.74415546  39.77651637
  73.40548682  56.12267215  50.97185009  47.7836517   20.20408233
  48.14333056  71.7182825   75.04764533  74.18226927  61.11031979
  43.90818935  37.26403135  63.59513753  39.95090477]","[ 56.84371015  44.55722753  73.96372     77.93118031  62.37666364
  41.1420697   33.56197558  64.03854132  47.93729001  24.94639801
  62.9156171   54.90857342  58.21459758  56.84371015  42.44476845
  77.32869775  36.52081209  33.14400115  65.88396623]","[ 13.3658565   48.63774028  21.12781561  23.52719163  59.15258155
  74.17392337  27.66578458  35.81134073  77.66996038  27.80618824
  26.38040136  47.19387072  56.93313527  61.2645963   30.1441546
  26.07759878  17.62254594  52.63164793  41.56036208]","[ 86.60192978  17.813114    14.58918446  27.01163098  76.45900632
  74.97051426  44.73000409   3.21049195  46.6849853   56.49428839
  88.0915958   49.54113746  75.98033951  80.82790027  15.98632526
  59.44987447  65.30252307  42.20949508  36.9239731 ]","[ 63.82481919  52.62801232  59.19720005  64.75911988  39.80127341
  71.86335271  48.84883101  52.68108631  56.96347886  24.78070699
  31.29688969  29.78278884  50.45867284  16.1062703   59.94847878
  93.29397348  84.632102    62.52797442  52.44173878]","[ 55.81900414  21.61732373  55.81900414  21.61732373  79.42933729
  59.37116864  33.70971424  69.83076053  83.4899163   30.81852358
  60.09291588  48.8308323   46.64129055  50.49692871  66.18917148
  41.43885495  53.0570721   39.84955378  56.13612593]","[ 70.22005076  32.5985399   68.78110756  19.29215382  65.14332729
  46.72765383  62.48701303  55.45202103  53.01585387  66.04467489
  47.82244863  68.9445978   83.90554213  57.4394792   71.60819817
  47.81565024  56.01392883  58.17690682  45.94444191]"
"[ 44.52798875  30.44260381  21.64020611  26.82644181  44.52798875
  30.44260381  59.40793776  44.52798875  30.44260381  21.64020611
  59.40793776  44.52798875  30.44260381  59.40793776  44.52798875
  30.44260381  21.64020611  44.52798875  30.44260381]","[ 58.72241823  69.7379128   78.27823415  33.4633908   52.34011586
  62.5613374   32.82921236  23.39251804  69.7379128   45.0972055
  74.81443103  49.05563123  45.10938442  66.89226844  33.41684059
  62.0175377   40.59555572  84.62640226  42.06828702]","[ 82.51584619  64.83318042  27.45634507  65.03405484  64.58022622
  37.80178192  73.95517246  37.34856518  64.58022622  37.80178192
  67.14365724  67.45313983  31.49275814  16.61975295  61.83280396
  24.91516317  61.4049626   53.38778703  29.86303791]","[ 38.99239681  23.21098841  47.48174362  49.92775169  58.21379307
  59.29901336  78.78820151  44.26841253  55.91811553  21.89792901
  67.93673822  58.92025645  47.86871037  59.54779208  49.80483009
  61.16706265  53.08110574  32.35465588  57.81516467]","[  44.61207548   74.5332087    29.11079069   54.53661716   77.51571298
   69.5162449    34.26270936   72.50983064   57.98964388   51.6942976
  105.9969324    64.50918089   81.15738892   67.6180833    28.22426551
   24.48590126   61.35099196   55.02744486   86.13322262]","[ 47.81286925  49.78232533  16.76230633  24.84144719  53.61542185
  69.01760332  52.6994375   50.22686203  26.2871981   50.05907153
  63.45246055  72.64920482  62.65282954  49.66690625  33.68243893
  52.77031759  69.08490664  62.67678345  70.5291322 ]","[  60.25950414   89.02326444   18.52858705   71.7538903    45.75278951
   44.89054645   77.47052741   51.83790079   47.18661824   81.76541654
  101.47674543   12.78849369   96.96136227   60.88436058   71.33375518
   71.6769017    54.72343078   29.17466816   40.73850801]","[  82.83717514   64.61002273   88.21178427   64.28638117   71.21737921
   52.64699028   75.82826655   72.30519401   42.09373029   65.23840822
   45.47986101  109.86995729   80.80662192   86.86704197   46.45225154
   77.62689675   86.48781638   68.46130087   30.98936458]","[ 83.22615469  69.20101719  41.89757966  59.54105995  91.32146577
  58.32883867  45.37010347  59.70500004  73.07172941  59.40256193
  45.37010347  59.70500004  52.7088587   82.42223888  67.42366194
  72.73774157  37.62877621  49.10777541  81.05826914]","[ 76.62810537  43.85316357  62.0598237   50.21486431  74.69742017
  43.250007    21.08189396  37.94200357  19.36260895  62.17541259
  14.22555133  82.93613905  49.05695858  59.25480746  61.05047772
  81.94903395  64.2172099   44.28326606  41.88121543]"
"[ 62.12391698  77.07681239  77.07681239  46.54555602  77.07681239
  46.54555602  46.54555602  54.31541751  36.74128204  62.12391698
  62.12391698  77.07681239  62.12391698  77.07681239  62.12391698
  77.07681239  36.74128204  36.74128204  62.12391698]","[ 24.05106682  65.05428523  49.10740435  75.6009558   59.497701
  70.64265964   9.6759668   56.15659196  35.69811363  60.88235161
  53.55741693  52.57408424  16.76450336  26.64020866  49.10740435
  75.6009558   34.08765513  32.82153497  82.82985561]","[ 30.49063705  81.8442593   55.40270193  40.49586843  56.80243285
  82.52745723  64.26732431  82.23619426  44.85607064  54.37771915
  44.85607064  54.37771915  62.54197693  56.35452351  23.65326566
  73.55921063  77.59431723  62.09480764  70.35721521]","[ 74.31069203  67.55433908  52.06794966  60.20721814  51.44480425
  36.81100736  46.43516371  77.47889568  60.1378527   62.28221719
  34.70060374  50.94821777  36.98500112  47.6142272   22.76051848
  48.21947843  43.38923829  53.88391986  59.24887991]","[  98.7895453    81.27675654   60.53316945   72.08911622   40.36933534
   69.88454852   16.48635806   23.32410536   70.58009296   70.0529452
   54.76913005   32.22071373   77.21233641   62.83779519   91.10411847
   71.06775213  112.7464835    37.87692464   57.80813348]","[ 37.16848894  52.89563547  53.01442503  60.78502574  58.75134828
  59.63464047  54.19454081  43.34914906  67.36516725  57.81614106
  27.83511206  21.25030868  10.85429585  44.96205409  56.00226221
  62.22603221  63.37263048  54.48605293  48.39213507]","[ 43.66859817  45.51741374  47.30108581  68.56708602  54.54495456
  72.11293249  45.8522224   52.19239025  62.10148452  56.56681345
  49.7583357   20.60836215  67.7202471   69.80061916  45.9334268
  37.96822153  55.39206987  93.93025977  71.44507007]","[ 76.86636917  56.99502709  82.28168539  65.75759556  87.93821581
  56.59539352  61.74419742  77.10778506  51.4416907   31.13481958
  56.66788675  88.33069254  82.88581608  67.53484876  48.86622207
  66.29297566  12.53594563  54.12163574  59.34203478]","[ 52.94241615  62.85732201  69.59928418  69.06643393  50.66907932
  24.18059679  46.27232892  40.59865814  72.33912077  29.61794898
  72.33912077  29.61794898  66.45863471  46.72883293  78.54288045
  56.88571999  79.96740989  52.82878604   7.61095538]","[ 51.41811462  42.04469687  50.22611262  50.91987605  56.20514161
  38.9894742   16.79015567  68.62028065  48.13070472  80.41265033
  54.2506595   31.69527584  54.61247107  65.710608    57.12013768
  67.96857536  72.88607029  65.53590936  39.90889463]"
"[ 23.98797238  59.67501248  52.34524751  29.16613078  33.83471955
  52.34524751  33.83471955  52.34524751  29.16613078  41.76334495
  33.83471955  52.34524751  33.83471955  52.34524751  52.34524751
  29.16613078  59.67501248  59.67501248  33.83471955]","[ 83.28847782  59.31492982  67.96831181  55.05345882  35.16719294
  28.20038445  38.91510542  36.12122297  34.29007994  58.01998143
  62.00462226  37.12687301  84.18692316  50.780711    47.69806103
  73.76641492  58.33584886  38.91510542  36.12122297]","[ 48.0813243   65.25719226  52.77911048  74.05177078  71.15428493
  69.84429402  56.52925589  58.4920892   86.05720437  81.71098321
  65.95571723  83.36436582  33.47047721  68.13136648  74.12042872
  95.99353233  48.70381116  83.36436582  33.47047721]","[ 55.25623532  60.216537    52.88288824  18.21331632  45.17390753
  73.17042021  62.15648592  80.58944181  67.61626367  29.23653135
  48.53258473  45.65164646  77.14677043  61.24106083  36.78102524
  43.47904176  73.70977441  29.85771738  19.82142198]","[  51.4575698    42.32769065   56.15442782   15.98926285   64.05661949
   58.78786424   69.40771082  104.35437814   80.67608872   71.71981953
   44.12261507   25.66605702   48.64165772   91.41874554   63.36027735
   62.34111051   53.09649128   54.85591019   55.47012974]","[ 92.8728964   37.87853867  28.34678232  65.01275174  50.74870307
  40.10336714  67.29728302  37.73924709  91.73013684  61.05125829
  52.67194317  58.60654141  30.28135288  85.60133672  67.53266442
  62.06377995  59.14636835  54.33849673  51.63586154]","[ 64.0061286   60.88749561  38.38272441  81.96763363  28.84782697
  35.12894958  66.84986169  74.46853366  61.04591018  71.7976366
  55.13966877  86.98714449  42.8758564   53.7126548   69.21103152
  54.91389924  92.62872299  59.73258835  44.44312445]","[ 61.02214797  85.39181018  92.3612445   75.15350208  60.67969902
  80.5373816   45.38653082  53.99431266  65.56962709  72.78705369
  69.18922298  67.76403243  41.82909033  76.89616815  35.55436889
  92.71810251  72.41993639  57.83526051]","[ 22.47102589  69.84220608  46.59758103  22.47102589  69.84220608
  87.95333656  58.68819675  23.79028919  62.49383315  41.76451269
  58.63123969  47.63673068  48.60376342  69.63133364  62.21108879
  50.00177073  14.74465311  52.66211239  43.52987404]","[  73.67086463   34.04101605   69.3073562    67.83391847   84.53529411
   46.7993964    62.15624132   50.99400073   75.89762802   71.29994465
   24.84668306   39.71153893   85.26840858   66.25654767   54.98361896
   71.48964032  100.62433499   61.93248274   48.98867856]"
