rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[-6.1257212  -6.90166609 -6.1257212  -6.90166609 -6.90166609 -7.87860409
 -6.90166609 -7.87860409 -6.90166609 -7.87860409 -6.90166609 -7.87860409
 -6.90166609 -6.90166609 -7.87860409 -7.87860409 -9.08210614 -6.90166609
 -7.87860409]","[-11.42191621 -22.46194016 -18.55261797 -17.78804448 -19.66006964
 -17.82669219 -28.60530747 -15.3946443  -19.0387398  -24.98826478
 -22.89825991 -12.5105855  -21.95731067 -30.20105864 -24.20948726
 -16.87750045 -14.76696049 -19.0387398  -24.98826478]","[  3.76249303   1.42494534  -1.93678842  -5.65585975  -3.40541426
 -10.74116447  -2.06727449   7.16098651   8.40208954  -7.54963758
  -1.82383108   6.11398549   0.61005912  -4.96336285   5.54162373
  -0.13622623   3.98551541   0.04579181   3.97246548]","[ -1.18919057  -3.89532168  -6.52789529  -1.1027068    0.61243373
   3.11822463   0.2288761   -6.29413036  -7.99269209  -7.64748026
  -7.83662915  -4.05494319  -3.58614487  -0.12237511   3.87377264
  -3.06617389 -10.30889675  -8.29350321 -12.07025128]","[ -6.2063438  -10.01577675  -6.72588389  -4.08545844   1.73767468
  -5.08791632  -9.22222882  -7.43646118  -9.67734079   2.06009935
  -9.71495698  -4.94843542  -8.83869893  -4.39888805  -7.00834534
 -10.47085485   2.27094928  -6.43700356  -6.74190398]","[  5.79920356   8.12887194   2.1096108    6.24357413   6.785733
   2.25643221   2.28050154   4.47598343  12.55999149   8.97822663
  10.35468995  11.96534403   6.785733    12.82168357   8.67126538
   3.59303983   5.32789467  12.1998745    9.91363636]","[ 2.87660114  9.3242592  -0.12389426  4.56921774 -1.89921883 -3.68871101
  0.66645453 -2.7492716  -0.61164822  5.56574785 -1.99595993  4.91516083
  0.35918273  6.65299245  6.40658929  6.26182682  3.06295244  0.04407046
 -3.21898096]","[  6.09527416   6.73627043   5.43729513  11.65201988  12.53378101
   8.6092458   15.67735461  13.52710333   8.87046747  14.1917703
   8.29462488   7.08015222   9.26266641  11.24955432   9.07165367
   5.87306607   8.60594213  13.33633525  13.96844316]","[  3.12187322  -4.78596197   3.01718519   3.40327348  -2.42097554
   4.03110699   1.67221646  -2.94300548   0.10481754  -2.54580421
  -5.83124161 -11.6475151  -10.38198957  -7.63798561  -8.26711888
  -6.31097792  -0.61082811   7.18798642   0.36578269]","[ -8.84237254  -5.84305594  -7.51496651  -3.59741676  -0.9559016
 -12.57859189  -4.98922489  -8.57576833  -5.0093878   -8.48899719
  -4.81996422  -8.69970595  -4.53509302  -0.78834669  -2.58976231
  -4.54190544  -7.28041763  -7.33958124  -9.5493908 ]"
"[ -7.92600169  -9.42658716  -9.42658716 -16.49817977  -9.42658716
 -16.49817977  -7.92600169  -9.42658716 -16.49817977  -9.42658716
 -16.49817977  -7.92600169  -9.42658716  -9.42658716 -16.49817977
 -16.49817977  -1.14270115  -9.42658716 -16.49817977]","[-24.63964072 -19.04255901 -20.14670133 -26.44979142 -26.7167469
 -28.51163613 -17.42721239 -14.61275236 -18.03332891  -9.49640442
 -20.27644242 -21.11829668 -20.36265417 -14.66217236 -27.19544067
 -16.33089159 -20.43238529 -26.7167469  -28.51163613]","[ -0.18294856  -2.54773453   3.51355694   8.3823208    5.14946087
  12.27948869  11.12526852   7.20973887  -0.28689648   1.97787238
   1.0386044   11.03422748   2.76305613   9.75360419   1.61638492
   7.28614331   2.69639235   9.87412497   7.29585723]","[-11.0213378   -6.98442677  -8.55898754  -3.58340663  -5.12761505
  -3.66414596  -9.12463846  -9.26383403  -6.46925984  -1.23104406
  -0.79344957  -4.66013592  -6.47265669  -6.56748339 -12.39235514
  -8.77548488   3.587722    -1.62802091  -9.50421319]","[ -0.43202043  -6.50226512   2.74921618  -7.72542372  -5.42449772
 -11.69863052   0.60236394  -3.43886096  -2.16782041  -4.14169162
  -7.19262273  -3.85698287  -4.92752316   1.87795762  -2.5088946
 -10.45854245  -9.53463442   0.96544339 -13.60499666]","[  4.26066515   7.94776364   1.07047757  11.24895794  12.20784097
   9.10150362   9.81890433  11.50061882  11.31145166  12.32109808
  11.65356539  12.38338928   6.87159469   7.68700981   7.76070841
   9.94872079   4.83795538  12.20784097   8.21370559]","[ 4.95164958 -3.10767813  0.94075004  6.46157834 -2.5403833   0.32986166
  4.06596033  5.16063694  5.26352462 -2.33102004  9.92313363  1.00205435
 -5.78870555  0.98442285 -0.55021674  6.36611166 -3.97233882 -0.92656486
  4.30614084]","[ 10.4477049   13.06971953  11.99434593   8.42874937   4.32103028
   5.18257332  -0.43186707   2.24350333   7.72144967   4.47294563
   7.02528296  12.67526785   6.10849035  11.64127761   3.92819838
   5.72635159   6.47321713   3.81954709  10.16055658]","[  4.49271692  -1.91166576  -0.85661532   5.96461163   5.57675308
   1.36924166   9.84392963  -8.85012126  -6.07381781  -4.57885577
   6.85467121   1.5067874    0.97211495   5.11740003  12.30629203
   1.65000507   4.17531283   4.9528217   -4.69496797]","[ -4.8281762   -3.13862259  -3.60766114  -5.87672413   0.80539791
  -0.98263821  -5.91739821  -2.20595516  -4.05475431  -3.39863411
  -5.42067828  -8.17915003  -5.56090619 -10.05659084  -5.45128829
   2.03658817  -1.13334496  -1.94852283  -2.70547843]"
"[ -9.09593016 -16.90731841  -1.41035992  -4.69926691  -1.41035992
  -4.69926691  -4.69926691  -5.09448192  -1.41035992  -4.69926691
 -16.90731841  -1.41035992  -1.41035992  -4.69926691  -1.41035992
  -4.69926691  -1.41035992 -16.90731841  -1.41035992]","[-20.18615286 -15.86082079 -21.50842176 -16.79947404 -19.38279455
 -24.88821277 -22.77478381 -20.67194931 -22.21471831 -22.29424481
 -19.67261497 -10.91101581 -22.77478381 -20.67194931 -26.6485607
 -19.72536682 -12.12945702 -20.14680969 -25.69851236]","[  6.15371651   3.57690305  -4.33596232   2.53139986   8.31369232
  12.2197016    3.08681609   3.91869094   7.03168442   9.17859454
   0.17422168   1.89908341   4.87849466   0.47985109  11.09400585
  -1.66895485  15.26498123  12.50708876   7.61243497]","[-5.56820377  0.6712654   3.60374336 -5.60164527 -5.37924589 -7.32004148
 -2.56727138 -8.12483421 -4.11476197 -2.84260239 -4.92351329 -3.57737049
 -8.05741947  0.20058729 -9.12980063 -1.81921219 -8.88028041 -5.08534224
 -8.58020624]","[ -2.60094523  -5.32265541  -6.6700593   -2.40527941  -0.25778019
 -10.24613875 -11.14587675  -8.47273273   2.73208588   0.92455293
  -5.27239982   0.46388278  -8.90367288 -11.5761356  -12.18563033
  -0.08013819  -6.76485552  -8.9081066   -4.24717871]","[  1.44979827  11.86415787   8.22250862  -0.52544797  10.65760904
   9.5097416    1.01695231   2.30216189  10.36346813  11.65996539
  -1.59013241   6.30717647  13.2475472    8.75897002   8.26932973
   1.01695231  13.94941799   9.67643165]","[ 3.46738829  7.6469325   8.77464076  7.01841647 -3.41851311  3.85755042
  9.57382959  5.86209705 -1.74369807  4.60317322  6.13638414  1.50615377
 -0.31198855  4.1295998   7.05477074  6.45887442  1.55033855  8.99790171
  1.50282481]","[ 14.37469609  12.13083727   8.64178774   7.58355029   3.8147491
  11.67898726  10.81983299  13.45227145   3.18460429   6.93117168
   8.26035614  14.2890434    2.77857374   4.89175055  13.47874399
  16.31586218  15.59148499  10.3064937    7.35137435]","[  4.31854387  -3.1315346   -1.54807453  -0.93594161  -5.12039387
  -3.22545854   3.85587002  -9.30900726 -10.95149105   6.15004892
  -1.68097291  -0.71230143  -1.00694144  -8.34079619   1.64935776
  -6.46326883  -4.09730681  -7.88370643]","[-4.93290246 -5.19034382 -4.90593014 -5.77934127 -5.37284916 -5.13229978
 -1.46881876 -4.39114742 -3.39546472 -6.03750507 -0.15883172 -4.39159103
  1.96718132 -5.86114126 -2.2396113  -2.62331655 -4.66355934 -2.94902327
 -3.65595763]"
"[-4.4295482  -4.98231428 -1.40680951 -4.4295482  -8.61539688 -2.12314099
 -4.98231428 -8.61539688 -4.98231428 -8.61539688 -4.4295482  -4.98231428
 -4.98231428 -8.61539688 -4.98231428 -8.61539688 -4.98231428 -4.4295482
 -4.98231428]","[-16.80297532 -13.04254509 -15.58821284 -16.56069751 -17.25907614
 -13.04254509 -15.58821284 -18.47546137 -20.05146269 -11.8578852  -25.97591
 -11.78175151 -12.39465486 -18.76009919 -17.65556949 -18.35771252
 -13.29394289 -20.82423892 -17.80256367]","[  4.88530373e+00   5.59532267e+00   1.61976531e+00   2.19391460e+00
   1.27736893e+01   1.16272829e+01   9.80838344e+00   6.53703509e+00
  -5.42904521e-03   5.57209495e+00   1.31604868e+01   1.04760430e+00
   7.71050916e+00   8.34404088e+00   1.06033935e+01   1.07446596e+01
   9.29991572e+00   1.44823467e+01   3.67723178e+00]","[ -5.01290122 -10.13830308  -1.6411458   -5.13483825  -6.85953679
  -5.19134998  -8.96739194   1.42676498  -5.92872422  -8.27291469
  -3.49261715  -5.51584074 -10.43738842  -8.03652046  -4.45476162
   0.35144394  -7.79066217  -3.8856745    0.91769303]","[  1.61102474  -4.41622701  -4.66903127 -16.56003979  -8.53701897
  -2.53468724  -8.82291111 -16.44796109  -8.93682681  -4.82085783
 -12.35164649  -0.95247497  -5.67661187  -9.56186207  -6.70700519
  -3.67310538  -3.48936775  -3.92433656 -12.35360845]","[  3.47130452  13.28878461  13.30871493  13.12908109  10.02198682
   6.5892848   15.728019    10.66720156  13.63886755  12.15548037
  13.30871493  13.12908109   8.37135374   3.81796681  11.86811929
  11.99544859   9.77768249   7.50343567   6.99810582]","[ 1.10133757  5.83090979  6.01526608  3.72861506 -0.36298632 -0.04287332
 -0.53413749  4.30747608  3.50338098 -0.35778055  1.70375763 -2.76771408
  0.71393657  3.22485272  5.81476234  3.25796105  1.76130139  3.9408739
 -2.2988688 ]","[  5.839977     3.42008373  10.3058603    4.08450653  15.30721414
  14.45752824   7.2199885   14.95893904   9.16742302  16.19867851
  11.80718654  12.3608909    4.01715586  11.59331969  11.38843034
  12.62262429  10.40123729   5.33491021  12.15144399]","[  6.77890292  -0.50396599  -2.70740625  10.72722882  -1.36369619
   5.0752624   -5.9800055    1.17840416  -4.24091135   2.1250956
   6.30361287   6.24888017  -7.20483198  -1.82041906   4.84769522
  -5.57925148  -2.01974676   4.22467647   2.00477538]","[  0.65262092  -7.28013434  -5.93620621  -5.31059887  -3.14504648
  -3.47503915  -3.88022056  -2.13593396  -0.53862365  -4.61497057
  -6.27940003  -3.33103578  -5.54787538  -6.98254783 -10.69815405
  -6.57911521  -3.75235406  -7.48933519 -11.29140088]"
"[ -9.20249377  -2.41861657  -5.36912952  -9.20249377  -5.6342151
 -10.42744584  -9.20249377  -2.41861657  -2.41861657  -5.6342151
  -2.41861657  -9.20249377  -2.41861657  -2.41861657  -5.6342151
  -9.20249377  -2.41861657  -2.41861657  -5.6342151 ]","[-23.40135011 -20.08339499 -17.14081614 -12.28399833 -19.26736898
 -13.63003184 -16.23131934 -16.07243795 -12.18439329 -16.07243795
 -12.18439329 -11.92028743 -16.74839784 -20.22507765 -15.45665757
 -23.5414817  -14.48282748 -12.75670041 -12.22761521]","[  3.70276756   5.81015551  12.8012908    9.45301553   2.77725699
   7.00708041  13.37094052   8.80940203  12.92508616   9.46592234
  13.19686057  12.28710717   6.94943331  11.55478704  11.07850336
   7.02991648  14.87451961  11.24193588   9.64864858]","[  3.98804402  -0.8685761   -3.31203245 -12.13140115  -0.79699677
  -0.28441268   1.79150317  -5.23843458 -10.25586419   2.85796609
  -0.18609702  -4.53981315  -8.8455178   -9.97730527  -4.46205301
  -0.64973022   4.51973878  -4.29322542  -6.83101204]","[-13.07478482  -6.08626104   2.77059597  -8.53344488  -7.14726014
  -3.41068611  -7.08004799   0.3842219    3.23755505 -16.51314104
   5.81792498  -3.54827393  -1.23951485  -2.33312156  -8.01037645
  -7.17659815  -2.2346386   -9.28713751  -4.40422511]","[ 16.01152279   3.40180635  14.83995985   2.94463466  10.64841606
  12.23402435   7.6315003    9.08440293   9.60819782  13.69609612
   0.78711253  15.27518478   9.60819782  13.69609612   8.73883964
  13.88459204   9.66486655   5.05620506   9.35251556]","[ -0.69127237   8.02756973   6.51273934   8.3518859    2.28988207
   6.58197493  -4.40579889   0.61796891   6.81059328  10.30159357
   5.98493409   4.66192154   2.6599713    5.80953799   6.32071661
  11.08846628   4.99682406  -1.05916421   4.9819348 ]","[ 14.8037135    9.41990551   8.98418687   9.99186047   8.60883464
  11.71660986   9.70746926  11.6275827   10.32907153   8.5272268
  10.06437017   4.25496671   9.25536735   6.92334678   7.15686184
  11.89849424   1.54213825  12.9377844    8.41563733]","[ -3.46103982   6.02289823   4.51811221  -3.03299909  -0.7494403
  -0.73514964   0.8861822   -2.83020094  -3.58976768  10.00679683
  -3.22091622   9.0723462   -1.79540905  -1.76565654  -0.8010738
   2.86588859  -1.46035684  -8.01594479   5.06314761]","[  3.33351819  -6.83507715  -5.66798621  -1.34824702  -8.20316944
   0.69192176  -1.98836415   0.61390351 -12.47482074   0.08601676
   0.02740886  -9.33347516  -8.58833776  -8.80451343  -3.80949322
  -7.46336785  -3.21766097  -1.66827285  -1.34639138]"
"[ -2.63438804  -5.66007546  -5.66007546  -5.66007546 -11.03262102
  -8.05541248 -11.9728911  -11.03262102  -8.05541248  -5.66007546
 -11.03262102  -5.66007546 -11.03262102  -5.66007546 -11.03262102
 -11.03262102  -8.05541248 -11.03262102  -8.05541248]","[-22.6485457  -20.40251376 -25.07087573 -19.18302979 -18.07915594
 -17.03339259 -21.39101499 -24.34839381 -20.65005949 -15.76038313
 -18.07915594 -17.03339259 -20.02821821 -12.84442958 -17.27588994
 -21.26544022 -12.93347833 -19.34463792 -13.94635213]","[  1.20665637e+01   8.52655867e+00   7.73763413e+00   3.33253007e+00
   1.18259734e+01   9.50928444e+00   6.60760248e+00   1.46879023e+01
   8.27454540e-03   4.25433898e+00   1.52039037e+00   1.15060126e+01
   1.42648726e+01   1.25322017e+01   8.40892746e+00   1.22332682e+01
   8.08531653e+00   1.28676114e+01   1.03640993e+01]","[ -8.9807082   -5.918644    -2.61819492  -9.3140559    0.11152867
  -5.61206995  -6.15213686   2.52567441  -5.78135437   0.80970794
  -6.11169891  -0.43198472  -2.40380934  -4.16494875  -8.21033087
   1.6276906    1.86558871  -0.25144846 -12.94481599]","[ -1.3517389   -3.87431164  -0.25310888  -4.81674752  -1.36630925
  -9.42533276  -7.43142121 -10.79627533  -4.3618697   -2.23306858
  -8.28909774 -11.0115965   -7.93833093   3.24569021   3.3056805
  -7.35764684  -7.39868389   1.88580406  -0.01511622]","[  4.25675966   7.84722952   7.598609    15.60304308  18.03552721
   6.55820654  11.25752433  18.93329052   7.598609    15.60304308
   7.77456872  16.33431146  10.47097103  10.86686321   9.70239729
  12.68691681  21.21608603  16.10063277  14.33807246]","[  4.51208985   6.30326142   6.74019964  10.19586272  -0.84066864
   3.4247932    5.6742406    2.31537857   3.92060511  13.36678906
   3.52078358  15.21206437   3.75743378   2.86171997   1.69651337
  10.23345332   4.21321116   5.68032731  11.89469406]","[  4.42086453  10.52751268  13.56264363   8.90207021   8.30588909
  11.74545371   9.2882439   10.21577925  11.89930558  12.51342945
  15.12890812   8.5752855   14.21717181  13.31437918  11.70597233
   4.68621068   7.69732052  11.02531289]","[  5.39294404   2.65078627   5.72343973  -4.95897828  -1.45057141
  -1.65209588  -4.58361451   1.92287982   5.44374702   1.01163452
  10.0632189   -7.51246048  -3.89779612   3.4232588    2.64240226
   3.72312829  -1.79925757   5.43797697   6.45030049]","[ -3.74250956  -8.87129079  -7.3159734   -0.60863785 -10.20776662
  -8.6191845   -3.80929636  -7.2102713   -4.87545416  -5.86201603
  -4.97075281  -6.27235825  -0.27623178  -9.79662979  -4.60486374
  -6.41538084  -3.25855052  -5.07868364  -9.86878656]"
"[ -7.62523338  -8.92436722  -8.92436722 -12.35418348 -12.35418348
  -9.91263798 -10.93023608  -8.92436722 -12.35418348 -10.93023608
  -7.62523338  -8.92436722 -12.35418348  -7.62523338  -8.92436722
  -7.62523338  -8.92436722  -7.62523338  -8.92436722]","[-21.20652161 -15.42960443  -8.94333635 -16.24574962 -15.6439024
 -15.94915984  -7.28745736 -16.64037108  -7.6372863  -22.42160187
 -14.11143243 -14.95343791  -8.94333635 -16.24574962 -17.19833736
 -18.52138089 -24.77466221 -11.52450635 -13.42201339]","[ 13.77183509   9.80561966  12.28912484  15.59711687   9.47133043
  13.78839175   2.27042405   7.91605644   7.52175865   8.93900067
  11.90941319   7.71191514   6.26223898   8.87121843  16.39038175
   4.00492944   6.90176922  11.21218688   5.66868872]","[-9.47405542 -9.66409475  3.88819943 -1.96322805  1.02097678 -6.83302137
 -7.73211786  0.4401393  -2.62019234 -2.84267225 -3.47476749 -7.8713215
 -1.1494787  -8.20797773  4.03220242 -5.45240611 -2.37691785  1.09847369
 -6.64695382]","[ -3.54659237  -3.37369924   0.21883774  -0.77933286   4.74930073
  -0.44916081  -6.4558121   -7.80473254  -3.25767006  -2.82133729
   2.83246779  -4.32825869 -15.28106294  -4.54703489  -7.44927714
  -3.95541566   4.84242891  -3.43211796  -5.32006517]","[ 13.33651949  15.26422135   7.14617881  12.71147173   9.77450269
  14.02588239  16.17303771  14.02588239  16.17303771  11.9368443
   3.61270096  10.29278144  17.93435609  16.82324395   5.90940829
  15.50058264  13.15030199   8.16561918   6.92164894]","[  1.74449234  -0.54227689   9.8741407   12.08458653   6.60187158
   9.42809544   7.2092874    6.10890611  13.44831286   8.22896279
  -1.47662924  15.71946114   4.97363164   6.79468133   2.6652701
  -3.37752389   6.89250189   8.49870117   5.60077982]","[  8.11725793  11.74387585   6.00377516   6.00515261  12.80580741
  13.93245192  10.33290656  14.80115981  16.07209445  11.58970022
  12.5317927    9.53642561   9.5823981   13.74320823  12.29993947
   9.15961295   6.95037882   7.87179307  14.09234395]","[ -4.82356368  -3.23241368   1.22720115  -0.73121296   5.57453812
  -1.69917676   3.36624758   9.22024941  -4.46715905  -2.35382692
  -3.18882949   9.7038562    1.33216624  -0.62707295  -1.88082038
 -10.14256544   5.54673221  -4.8565206    6.75342736]","[ -2.69104551  -2.15485538  -1.88889746  -7.15997022  -7.26865548
  -7.56829408 -11.20366507  -5.95963949  -0.89347614  -6.61923556
  -9.11125759  -2.90927681  -9.07232109  -4.66441598   2.82280781
  -6.97191927  -6.51123027  -1.96123288   2.59533655]"
"[-12.16650369 -10.06818861  -8.95940883 -12.16650369  -7.54923831
  -8.95940883 -10.06818861 -11.63671045 -11.63671045 -11.48822871
 -10.06818861 -12.16650369 -10.06818861 -10.06818861 -11.63671045
 -12.16650369 -10.06818861 -12.16650369 -10.06818861]","[-12.8056776  -12.38990298  -9.54373665 -19.06598161 -18.03231324
 -17.42601219 -11.98978606 -17.22131605 -15.79882769 -12.7545707
 -13.67289718 -12.15432776 -13.56157697 -12.91228691 -11.95799589
 -13.67289718 -12.15432776 -13.71464588 -15.25163783]","[ 15.76970802  12.56039683   9.65458579   3.39288822  11.91823686
  11.48874608  14.6915548    6.14439723  11.59088905  12.77819548
   8.96616307  12.74925247  10.09473252  12.54356628  13.51313412
   8.33651309  10.36487125  15.72132662  11.30488205]","[-4.88116594 -4.13169616 -7.59447213  1.94380078 -5.11031799 -0.59274128
 -3.26360126  1.64982668 -1.98646424 -6.51663818 -5.93998801 -7.49891734
 -4.82436327 -3.49675286  2.10609104 -2.12872494 -8.2058937   3.97933836
  3.28452165]","[ -2.96551458   0.2237329   -6.44785957  -5.97809841  -0.86520552
  -6.09354164  -3.53340207   1.35615205  -6.75483672   1.19913771
 -12.00417616   0.15324776  -2.30290593   0.09149921   0.95393711
  -7.79446431  -0.79229172  -2.96060212  -4.12965575]","[ 12.35605799  12.49071491   7.90364103  15.19161118  14.64089788
  15.26583884   7.90364103  15.19161118   8.39511358  17.30836527
  11.07847439   6.53950074  12.37444337  15.00405175  14.12121772
  12.09989003  11.66237919  12.62133475  15.83356477]","[ 10.39928809   6.43537645  11.93210563   3.68441576   1.45248264
   4.09403295   7.45100163   6.60527822   0.59715202   7.28743278
   2.35592032  10.9980005    1.4118103    6.22787851  10.83907421
   6.27814145  -1.65964914  11.64533783   9.01656204]","[ 16.80666629  12.24464197  12.19681365   8.31948776   6.99992005
  10.6375849   10.51956432  11.88390983  13.11171866   6.92225003
  13.10773585  10.6645119   15.84581569  11.5330698   13.87962918
  18.69023679   4.80628858  13.99797106  17.19051355]","[ 6.21585305  6.38944738  3.79821035  5.59766048  7.70363324 -3.98949972
  2.62126274  9.43173713  0.77723246  1.9913988   3.36166011  2.90719019
  3.79664626  3.29254172 -7.5820117  -1.77846769  5.9746827  -3.44730469
 -1.22104982]","[ -5.98345179  -3.80633015  -2.23648735  -4.70133115  -2.77073179
 -10.14304696  -1.09666622  -3.28114785  -3.35350511  -4.48287037
  -1.52949924   3.02681172  -2.5675978   -2.17018429  -4.51434969
  -5.24315057  -7.58852898  -3.58658722  -5.35135216]"
"[-10.10452829 -11.57624168 -11.57624168 -11.10371361 -11.57624168
 -11.10371361 -11.10371361  -9.56338825  -9.56338825 -12.23448216
 -10.10452829 -11.10371361  -9.56338825 -11.57624168 -11.10371361
 -11.57624168 -11.57624168 -11.10371361]","[ -4.99051279  -8.05492087  -7.72562815 -12.42437702 -17.33011422
 -14.9372964  -11.63089222 -12.11609456 -16.17599916 -17.72991264
 -16.17599916 -17.72991264  -7.92682455 -25.76288355 -13.80433857
 -12.68115931 -12.3660711   -8.15299666 -18.53223493]","[ 10.31051417  17.55704363  16.02146261  14.50007784  11.56938802
   7.8581993    4.9713145   20.38274698  15.1009035    9.87304491
  11.10667393  10.05175286  15.05429341  17.49951543  16.66527451
   8.72312525  14.54850959  10.03812108   7.12557021]","[ -6.88865229   1.29219185  -4.39135269  -6.98284128 -11.62843114
  -6.25864711  -1.58200111  -9.29212378  -7.75723379  -2.08238134
  -8.88018483  -5.39311303  -3.34351365  -3.67914087  -2.31993285
   3.72093239   0.3872091  -11.34767766  -6.36060164]","[ -4.60553849  -7.64265433  -4.06230147  -0.42423467 -10.3254481
  -2.87331516  -3.46141475  -7.33794601 -10.16117737  -8.70333649
  -1.30421351   1.27808499  -6.41852591  -0.52466473  -7.63049891
 -10.71742744 -11.2062369    2.94665035   1.9581099 ]","[ 21.36087992  19.0048612    9.40556147   8.68449556  10.90273058
  11.12480772   9.84690094  14.49516855  15.34732925  10.19577491
   9.25614246  18.2442566   11.90779779  15.57669694  22.81176723
  20.01882326   9.40556147   8.68449556   8.22420021]","[  4.36820732   8.31013799  10.42598824  10.86832087   5.85510161
  14.27504515  -7.3061455   13.47820375   4.74606501   5.0285205
   6.55807895   9.65503358   3.45682706   8.4346137    7.61563523
   4.85631063   8.6998257    3.31917938   3.57449906]","[ 13.17757549   7.87137723   9.44167388  12.30464816  11.2442182
  13.33969982   9.12059949  17.05169287  12.03818601  14.51062617
  11.3272567   17.05517509   4.30637001   8.55913773   9.46483978
  10.8401709    8.18935577  10.44373621  10.99585158]","[-5.47810311 -0.14994322 -4.25636496 -0.776399    1.86756871  3.57316422
 -3.75628164 -2.05458197  0.78545357  2.23562676  3.92776547  7.70551444
 -5.45700393  0.64009176  0.33564178 -0.14836272  3.18464964  8.29572719
 -0.31561178]","[-1.37026147 -0.38277661 -7.03638896 -4.31361987 -4.65312016 -2.0476349
 -7.77973206 -9.77922585 -5.11987132 -3.05139317 -9.04333248 -1.51842175
 -7.56901068 -1.94530152 -6.07341576 -4.86866872 -1.36180808  3.52651646
 -4.01341293]"
"[-10.89226145  -9.6261093   -3.7869339   -4.31415542  -3.7869339
  -4.31415542 -11.81197001 -10.89226145  -3.7869339   -4.31415542
 -10.89226145  -9.6261093   -9.6261093   -3.7869339   -9.6261093
  -3.7869339   -9.6261093   -9.6261093   -3.7869339 ]","[-18.62361133  -6.44961992 -18.69923813  -9.53715687 -16.63982213
  -8.46235031  -9.53715687 -18.79568123 -14.43154617 -14.45837909
  -5.9660258  -12.26748638 -14.43154617 -14.45837909  -8.71955513
 -11.11610828 -14.36784465 -15.51440954 -12.95333065]","[ 15.25864355  15.40933083  17.60995033  19.66996868  15.90678145
   5.16687506  16.36468253  13.99695311  15.87270627  14.65492555
  15.25125293  12.6596117    7.74263638  17.36530608  10.8988076
   7.78667838  14.46608935  13.437622    12.12770411]","[  3.51267003   0.11367307  -0.51775158  -6.82503683  -6.15513715
  -4.00873324   0.98020941  -6.72167539  -8.20463513  -9.63818173
  -1.98281765  -8.10889335  -6.11731395  -3.71781814 -11.00361045
  -7.19929676  -3.42425049   0.03920135  -1.5770161 ]","[ -6.9359384  -10.87465276  -4.91023079   2.52922486 -10.01957707
  -0.28783727  -8.2634581   -3.03902104  -1.65426127  -2.18016564
  -5.93773054  -3.97862425   0.92668358  -0.9980137    5.20774259
  -3.4134663   -9.0755491    3.07166192  -6.9103192 ]","[ 10.76177692  13.19695906   7.01571551  10.63675443  23.06592889
  21.07002535  17.25745358  14.3507819   16.00547279  14.75278496
  14.92881284  14.04141512  16.77766834  10.76177692  13.19695906
  13.26922997  15.30164168  16.81246789  19.24712965]","[  9.08958536  14.37996719  11.89427452   5.12363628   1.46362979
   7.20558197  10.79562863   9.98053123   7.70424003   5.80494768
   5.02914418   4.17873471   6.27687905   4.75884878   9.20321536
  17.29660642   5.73232078   3.78543861   3.47372772]","[ 14.66057311  11.03322281  14.8539174    8.70888887  16.11253203
  13.74938827  12.00863983   8.52286033  12.97198114  13.03522827
  15.38373671  12.02266115  14.75665897  10.33423781  14.64204428
   7.97178902   4.08711907  12.53868404  15.42057467]","[-0.10400712  1.60364196  1.05624689 -2.89112142  4.20108919  4.15022268
 -3.14248698  5.06014915 -1.07836239 -3.86050604  4.10908876 -7.02920867
 -1.723702   -1.35222926 -0.83591069  3.13877822  3.24184313 -2.65857364
  2.7611384 ]","[  1.38659074  -8.23660929  -8.08923881  -1.61317757  -5.96418437
  -8.14047863  -1.60874304 -10.13866726  -9.93896574  -7.17198524
  -6.20885193   2.43206531  -5.12889953  -3.82682047  -7.40412669
  -8.39447815 -11.23560195  -3.95323936  -5.43263051]"
