nSubIter0,nSubIter1,nSubIter2,nSubIter3,nSubIter4,nSubIter5,nSubIter6,nSubIter7,nSubIter8,nSubIter9
19.0,19.0,19,4,19,19,19.0,19,19.0,19.0
19.0,19.0,19,19,3,19,19.0,19,7.0,19.0
19.0,19.0,18,13,19,5,19.0,19,10.0,19.0
19.0,19.0,5,19,19,6,19.0,9,19.0,19.0
19.0,19.0,19,19,19,19,14.0,19,19.0,19.0
19.0,19.0,19,19,19,19,19.0,12,19.0,19.0
19.0,8.0,11,19,19,19,19.0,19,19.0,19.0
19.0,19.0,19,19,19,19,19.0,19,19.0,19.0
19.0,19.0,19,19,19,19,19.0,19,19.0,19.0
19.0,17.0,19,19,19,19,19.0,19,19.0,19.0
19.0,19.0,19,19,19,19,19.0,19,19.0,19.0
19.0,19.0,19,1,19,19,19.0,19,19.0,19.0
19.0,19.0,19,19,19,19,19.0,19,19.0,19.0
19.0,19.0,19,19,19,19,19.0,19,19.0,19.0
19.0,19.0,19,19,19,19,19.0,19,19.0,19.0
19.0,19.0,19,19,19,19,19.0,19,19.0,19.0
19.0,19.0,19,19,19,19,19.0,19,19.0,19.0
19.0,19.0,19,19,19,19,19.0,19,19.0,19.0
19.0,19.0,13,19,1,19,19.0,19,19.0,19.0
19.0,19.0,19,19,19,19,19.0,19,19.0,19.0
19.0,19.0,19,19,19,19,19.0,19,19.0,19.0
19.0,19.0,19,19,19,19,19.0,19,19.0,19.0
19.0,19.0,19,19,19,19,19.0,19,19.0,19.0
19.0,7.0,19,18,19,19,19.0,19,19.0,19.0
19.0,19.0,19,19,19,19,19.0,19,19.0,19.0
19.0,19.0,19,19,19,19,19.0,7,19.0,19.0
19.0,19.0,19,19,19,19,19.0,19,19.0,19.0
19.0,19.0,19,19,19,19,19.0,19,19.0,19.0
19.0,19.0,19,19,19,19,19.0,19,19.0,19.0
19.0,19.0,19,19,19,19,19.0,19,19.0,19.0
19.0,19.0,19,19,17,19,19.0,19,19.0,19.0
19.0,19.0,19,19,19,19,19.0,19,19.0,19.0
19.0,19.0,11,19,19,19,19.0,19,19.0,19.0
19.0,19.0,19,19,19,19,19.0,19,19.0,19.0
3.0,19.0,19,19,19,19,8.0,19,19.0,3.0
,,11,8,10,1,,3,,
