rewardsSnapshot0,rewardsSnapshot1,rewardsSnapshot2,rewardsSnapshot3,rewardsSnapshot4,rewardsSnapshot5,rewardsSnapshot6,rewardsSnapshot7,rewardsSnapshot8,rewardsSnapshot9
"[ -6.58542124 -13.22273318  -6.58542124  -6.58542124 -13.22273318
  -6.58542124 -13.22273318  -6.58542124 -13.22273318  -6.58542124
 -13.22273318  -6.58542124 -13.22273318  -6.58542124 -13.22273318
  -6.58542124 -13.22273318  -6.58542124 -13.22273318]","[-24.65495014 -24.17986517 -21.62247282 -24.27596667 -22.61899135
 -20.85599026 -28.98189117 -22.08656699 -19.94322987 -27.75995791
 -16.79645066 -22.86863364 -29.81574458 -24.17986517 -25.58960834
 -19.62672333 -20.86563696 -25.96105943 -26.60234667]","[  0.13273682   3.50647754  -1.38100459   4.02147188  -1.68939502
   4.29227965   0.25351098  -7.46005992   0.06792768  -2.8603648
   8.68527264 -15.88092065   4.75465248  -4.44622968  -7.49665572
  -6.99099279  -4.41123613  -4.3032732    5.94802151]","[ -6.08125349  -5.98634268  -7.66419276  -6.36998527  -7.32761863
  -9.20431883  -9.85206832  -4.5665908    2.82060487  -6.66565984
  -2.311823    -4.01299249 -10.38787807  -3.30041704 -12.75162181
  -3.39129644  -3.40901345   2.82060487  -6.66565984]","[ -3.63668741  -4.48196308  -4.12591084  -4.84407025  -6.11115047
   1.9371997   -3.01616192  -3.26663457  -8.51504128 -11.7901558
  -8.09965511  -7.83728086  -5.59443912   0.37302468  -2.07043507
  -4.48060206  -9.85315819  -9.84262102 -13.5932628 ]","[  1.18999929  -4.982898     0.11908728   1.24704165   3.8635889
  10.16817498   6.51404789  14.47739732   9.8597752    1.70185014
   5.62782897  -5.11607513   3.84020697   1.33704875   5.35551043
   3.50178701  -1.67041052   2.69835478   2.54128859]","[-0.5107884   4.89088296  7.94449507  1.1022385  -1.0449029   7.10897741
 -2.02764176  0.07348977  0.62444482  1.32091976  1.94514161 -3.37097025
  0.58678215 -1.93615298  4.77914583  1.33505595  0.75863085  7.94449507
  1.1022385 ]","[ 2.29741687  3.08312159 -0.20619439 -3.00244449  2.29741687  3.08312159
  8.39492786  9.9228748   0.87055686  6.87095553  2.63150039  5.77904335
  9.14909119  2.60540315  9.5575174   4.67171048  1.47291268 -0.52474567
 -0.86285536]","[-2.92224517  0.41889948  2.82534042 -0.09362465  2.4605195   2.61078009
  6.05309789 -2.55496265  3.65096943  2.97543482  1.26094686  1.25300562
  2.80528739 -0.10406027 -5.40302813 -3.38685034 -7.79052424  3.47745832
  2.11566851]","[-11.10374507  -4.54923013  -7.30242985  -9.28272079  -5.32643702
  -1.65064362 -11.39215457  -4.08648368  -9.95300703  -7.40935597
  -5.81283706  -6.83956029  -5.31063648  -4.86072659  -1.65064362
  -4.79839828 -10.31973727  -1.14516404  -4.9511573 ]"
"[-10.59670586  -6.5143184   -6.97923767  -6.5143184   -6.97923767
  -6.5143184   -6.97923767  -6.5143184   -6.97923767  -6.5143184
  -6.97923767  -6.5143184   -6.97923767  -6.5143184   -6.97923767
  -6.5143184   -6.97923767  -6.5143184   -6.97923767]","[-23.86230159 -26.67978227 -12.82492622 -29.35363333 -21.52187688
 -22.85639654 -23.4442536  -21.77303333 -22.04546104 -12.82492622
 -21.22360441 -24.71167749 -14.98411702 -23.86230159 -16.64701371
 -26.5198624  -28.65735224 -19.51832107 -21.44070679]","[  5.07095613  -9.49883149   8.82016965   0.73372592   0.8868849
  -6.39823237   0.57640782   2.55806754  -1.49076318  -6.43540705
  -6.90739083  11.26125745  -4.61816442   2.91368139   3.82270458
  -0.6209772   -3.07118732  -3.98967224  -1.75730576]","[-7.06401534 -2.96072147 -0.63613152 -6.17375411 -6.11689377 -6.45888808
 -2.27180031 -7.64115215 -2.20483107 -3.39639851 -4.80647065 -7.00277596
 -2.20483107 -7.88319969 -3.10359523 -8.59658684 -1.70827686 -9.42642784
 -9.05306909]","[ -7.57695757  -6.68743425  -8.457611    -7.88776376 -11.74638876
  -5.71222476   0.94987351  -5.9136593    1.91824614  -2.3611948
   1.26788244  -8.34566395 -11.97534314  -4.72088648  -3.5066267
  -1.67080339   2.04941193  -7.56310229   1.71367383]","[  1.94725645e+00   5.20976676e+00   1.27234440e+01  -2.84232892e+00
  -8.72744406e-01   2.46576059e+00   3.32813770e+00   9.78683264e+00
  -4.49158080e+00   1.03595052e-02  -2.22494848e+00   5.39862981e+00
   7.51726398e+00   8.44218386e+00   7.47821650e+00   3.28387863e+00
   4.57342962e+00   7.75738370e+00   9.12506533e+00]","[ -2.89591056  -0.21749893  10.49298792   7.0628258    6.62694313
  -2.29251736  -0.89441551   0.35795732  -4.83114893   5.70634177
   0.23266983  -2.0763339    6.62694313  -2.29251736   3.35106848
   3.40173711  -3.40974403  -4.64898716   4.15697436]","[  0.71346583   9.81739313  -0.43914368   4.39311879  12.18787991
   9.80632954   2.90042514  -0.41037336   2.82580201  -0.43914368
   4.39311879   1.51431235   9.35783646  14.36053464   7.39730112
  -0.27116158  -2.79340608  12.79904178   7.04277034]","[  5.12238403  -3.09325775  -4.02267141  -7.79180091 -12.60240315
  -3.95489113   3.54481581  -1.53257299   5.07142167   4.23741729
  -0.84223523  -1.51659097  -2.10184141  -8.34552336   1.25830928
 -16.15917228  -4.71236995   0.20385922]","[ -1.17206514  -2.57431943  -6.28465832  -9.77675283  -3.58231116
  -8.28438779  -2.70727496  -1.88434909  -8.56445032  -5.02347249
  -6.6025217   -6.00864562  -1.17206514  -2.57431943  -6.53734757
 -11.01631929  -2.95953431  -2.87109395  -4.63873931]"
"[  1.2620833   -7.33438293 -10.24399778 -10.79116693 -10.24399778
 -10.79116693 -10.24399778 -10.79116693 -10.24399778 -10.79116693
 -10.24399778 -10.79116693 -10.24399778 -10.79116693 -10.24399778
 -10.79116693 -10.24399778 -10.79116693 -10.24399778]","[-30.84774261 -20.46231069 -25.11673814 -25.47483135 -22.0944115
 -24.22926726 -20.52894055 -18.91047041 -22.39457335 -23.56775183
 -27.66277656 -15.60750683 -23.82267362 -20.80453804 -26.4203743
 -30.84774261 -15.60750683 -17.96396544 -26.24149166]","[  3.25663767  -3.63070578   0.55787644   5.76822906  -3.90282312
  -2.29699302  13.35793353  -4.92489475  12.79980691   5.62323678
   3.27729198  -1.32630689  -6.58641642   3.59585237 -14.57972139
  -5.63414434  -7.16152201  -2.23653904  -6.35258524]","[-3.45562407 -3.41190042 -7.05716956 -3.36119951 -3.41190042 -9.38411234
 -3.86308267 -6.88711534 -3.65902782 -3.27432097 -7.15838342 -7.75404565
 -2.54731706 -5.44808865 -2.19595237 -6.96480116 -6.88116847 -4.50746456
 -4.49926465]","[ -4.74394906  -6.70855574  -6.56154243  -3.27061363  -7.56845269
  -9.26229037  -4.45884257  -3.93681842   0.8024956   -5.91378447
  -7.66015546  -5.54574114 -13.98587683  -9.35430489  -7.67356258
 -11.33713943  -7.10277483  -6.01927296   1.07027483]","[ -3.5551988    4.05092571   4.05304335   6.67839281  -0.22800513
  -2.87183175   2.59611012  -5.61691749   2.66171311   7.36898573
   4.28230812   3.81278142   7.56368816  -7.46453367  10.14233487
   2.00947811  11.6288061   -1.23197179   0.11782741]","[-1.62283006  1.83140682  1.51740604 -3.08108395  0.44412322  1.67195751
  1.51740604 -3.08108395 -2.44875541  5.81937221 -4.6934584  -6.45444786
  1.35317664  3.85055762  4.06479151 -3.26310393 -1.62283006 -3.54348673
  2.27160783]","[  7.75499658  16.34501265   1.26095923   2.76838707   3.41677993
  -3.43832313   9.42824807   1.06228023   5.18056257   6.18125931
  10.03183735   3.55746982   3.93269914   4.27212002   8.51658194
  10.99730652  10.03183735   4.11858029   9.91846301]","[  4.54176922   8.83681978  -0.42466611   8.06512996   2.61634658
   1.20973303 -16.1045508    3.75249475  -4.10931851  -0.44179355
  -2.05703264  -2.19771179  -8.90056459  -5.52170467  -2.01828167
   3.15991713  -7.29200925  -1.81625393  -4.06867675]","[ -3.8616591   -5.03487    -10.64486013  -7.87101228 -12.44526535
  -7.93685232  -3.59262001  -8.07021992  -4.52932803  -1.45867376
 -10.53281986  -6.66636296  -1.04199967 -12.44526535  -7.93685232
  -3.63218655  -7.58558443   0.76916409 -10.38511867]"
"[-10.46913617  -5.00843038  -5.00843038  -4.70823946  -5.00843038
  -4.70823946  -5.00843038  -4.70823946  -5.37000117 -10.46913617
  -5.00843038  -4.70823946  -5.00843038  -5.00843038  -4.70823946
  -5.00843038  -4.70823946  -5.00843038  -4.70823946]","[-22.30327025 -24.72938134 -38.5459036  -23.17179526 -20.32233554
 -19.39654103 -23.21364839 -24.10176536 -25.98623172 -25.30199357
 -29.07743101 -27.25316911 -30.24554219 -22.96446055 -20.02453    -23.58222232
 -20.88883774 -30.24554219 -38.5459036 ]","[ 2.13635133 -2.52146025 -3.09365028  7.95952166 -4.3017986  -5.11865683
 -2.58149999  8.1289126  -3.02462736 -3.94503603 -4.49805464 -3.39204515
 -0.17480263  4.69207287  0.10317851 -0.77762076 -4.72521135 -2.01936267
 -3.94585683]","[ -1.61781262 -11.73893101  -4.09810184   0.66375059  -9.09784441
  -9.08602174  -6.05785093  -1.75362163  -7.08109334  -4.90571276
  -7.18144547   0.05680332  -6.88608563  -9.59309713 -11.91182917
  -9.08602174  -6.78411601 -11.70368285  -1.21180531]","[-3.27274953 -1.66571837 -2.69386166 -5.65337343 -5.12681551 -6.12115311
  0.86707693 -9.5724175  -1.74313683 -9.46639987 -4.24721799 -6.86742652
 -6.0173629   1.22541751 -5.83354284  1.15487855 -9.77384837  2.07326118
 -2.44884824]","[-1.01368527  2.39456969  1.11250969  4.01219991  4.69440233  6.32932484
  6.22942626  5.21547486 -1.15021969  2.18235486  2.66596875  8.02183238
 -6.24233193  5.56596152 -0.4057269   5.99665878 -6.93933901  8.91694076
  1.83191747]","[ 0.19199299  2.79637016 -1.05702715  4.57793618 -2.96668477 -2.58702296
 -7.17349396 -6.19383608 -0.92227023  3.19567563 -6.15537394  7.46238935
  1.4240884  -2.96668477  2.59132702 -2.89271628  0.59903178  2.59132702
 -2.89271628]","[  4.92455771   7.11707433   7.76501281   7.79103318  11.20836867
   6.66197034   6.60280606   3.50135885   7.38581681  10.87871636
  13.3847696   -0.44424306   7.11707433   5.49668131  10.6423163
  10.11678201   1.02505456  12.27614879   8.68444097]","[  2.88183381  -8.33449929  -0.05734699   8.72049419  -4.50989591
  -1.24535347  -1.10278087   2.5872037   -2.37850779   0.59588306
  -4.40424548  -6.41687398   0.33385541  -3.69922346  -0.42033967
  -1.92662993   0.62491605 -15.33247369  -1.2724562 ]","[ -1.87948114  -3.34626287  -9.27366812  -2.09191305  -7.14305169
   2.95812219  -4.98826073  -7.1374978   -4.66013393  -5.46167929
  -7.41363717  -0.91703261 -12.52104423  -6.07501812  -3.83555552
  -6.07501812  -3.83555552  -8.16713707  -5.16923673]"
"[-3.32361252 -3.93958813 -3.93958813 -6.10736805 -6.10736805 -7.31754283
 -6.10736805 -7.31754283 -6.10736805 -7.31754283 -6.10736805 -7.31754283
 -6.10736805 -3.93958813 -6.10736805 -6.10736805 -7.31754283 -6.10736805
 -7.31754283]","[-22.00512654 -25.23022139 -29.08787307 -28.13527338 -18.79549827
 -19.66696454 -27.79680933 -20.81302123 -23.12211536 -31.74789455
 -31.74789455 -20.94119039 -26.47793277 -19.44577643 -25.23022139
 -32.05546507 -27.52205495 -22.59160571 -24.62339704]","[  2.62964939  -3.36818162  -7.47160893   0.46048227  -3.80994107
  -5.0036163   -6.16785029  -1.14052208   7.23831794   1.23417962
   1.39820922 -16.69591053   8.4944911    6.04571367   5.12148868
   5.31501826   4.62128041  -3.26963651   1.10313325]","[ -6.78290363 -11.69345036  -5.74888896   0.27532078  -2.34883772
  -2.3538745   -2.30659204 -11.69345036  -1.21316572  -2.74272284
  -7.46446412  -1.69155413  -7.92520759  -2.06642328  -8.36489162
  -5.47161028  -6.11407715  -2.14572614  -9.7736524 ]","[ -3.60894277   0.6743896   -3.00718234  -4.73143045  -1.06948955
  -8.15553478 -12.46931172  -3.51254795 -10.32637056  -6.7612425
  -4.78869083   1.69520736 -10.10208812  -5.12744931  -0.43935825
  -8.40793051  -2.24982133   0.73504089  -1.77856064]","[ 10.18832219   2.77883547   6.34442064   3.46575079   9.24622902
   4.78695794   2.04615422  -1.03012982   1.77712598   5.17239853
   6.71287035   6.75055927   5.85348561  -4.57979198   2.7202161
   2.04870026  -0.36595758   3.81389002]","[-5.48709231 -0.22988444 -3.72377226  3.12978971 -2.52351611 -1.44296147
 -1.36954422  2.20014588 -4.13728937  3.25584506  2.30220293  0.06365203
  3.23434316  5.77264516 -3.72377226 -1.44296147  0.7489197   2.94117401
 -4.07291354]","[  5.9494039   14.42284137  -3.72295008  10.71455995   6.55948535
   1.26668919   5.53302605   9.03295391   6.26181279   1.4130061
   4.14587296   5.85466802   5.9802873    4.14587296  11.38318087
  -1.74416402   9.25179587   4.40586142  15.35709185]","[ -0.38683244  -4.47088052   1.20001136  -7.08041391  -0.36442395
   8.09641977  -1.38895667  -2.03705623  -5.10413487   4.25807345
  -2.0545088    2.87999966   5.53894062  -5.98317552 -16.91793193
  -0.32978722   2.14612034   0.73092299 -10.21129905]","[ -3.57893262  -8.33107735  -1.53744253  -5.9141069   -2.52425821
  -0.92361056 -15.04269937  -6.90619725  -9.58626927  -0.50930719
 -15.04269937  -6.90619725  -1.53333992  -4.84732586   2.71548092
  -3.96323545  -2.05262837  -9.9205383   -1.38642098]"
"[ -7.61804278  -5.67152513  -5.67152513 -10.82341454  -5.67440278
  -7.61804278  -7.61804278  -5.67152513  -5.67152513  -5.67152513
 -10.82341454  -5.67152513 -10.82341454  -5.67152513 -10.82341454
  -7.61804278  -5.67152513  -5.67152513 -10.82341454]","[-20.899021   -14.60287058 -29.87711183 -28.15845422 -25.51013169
 -17.24324826 -20.51580752 -23.27701547 -13.53507515 -29.55407753
 -19.95794806 -26.57032988 -20.79947312 -25.84000795 -20.51580752
 -23.27701547 -31.90757611 -27.81741163 -22.15641631]","[  2.02536846   3.13997879   3.55476281  -1.11612226   2.75846602
  -0.42645686  10.12822274   4.24533518   8.38723203   2.49608184
  -0.46271011   5.47773321   4.16712132  -2.41786967  11.82562379
   7.21421416  -3.51982716   1.07683843   0.4814018 ]","[-8.41137225 -2.31834758 -2.32853259 -2.30543834  3.00968007 -6.64337628
  3.40295497 -9.93352802 -1.27953241 -2.32853259 -6.42133831 -3.59933671
 -4.89636943 -5.63992965 -3.5493116  -4.04471101 -8.55825784 -4.83346797
 -2.16400269]","[ -5.60161121   0.80393045 -11.67721751  -0.7956304    0.43548342
  -2.01191146   2.69470938   2.15786183  -3.29426411 -10.84333806
   0.80345379  -6.00026566  -5.00062185  -6.1376046   -9.08704952
 -10.43099203   2.05625517  -7.90546513  -7.84741387]","[  8.20753181   4.76547884   7.81217658   8.73321962  10.98806181
   6.65639545   4.1497664    5.29689229  -0.37541608   5.33824285
   8.05488513  11.29947928  14.2679272    6.63146091   4.20183675
   7.2088476    7.57530407  -0.52103821   2.61232916]","[ 3.61198213 -4.80807796 -4.43665664  6.82020432  0.76848557 -1.29003134
 -4.80807796  1.0824809  -3.04117457  6.50009222  4.71010195 -0.53572545
  7.20144137 -9.2787836   0.34481675 -3.99590959 -4.43665664  2.01952238
  7.07996353]","[  7.30415862  -1.51236401   0.71940304   1.31442479   2.99607268
   7.65396147   1.69113063   6.87310797   7.27440703   9.24258509
   7.34426971   8.60521679  13.61683772  10.63776819   9.24258509
   8.13174866   4.83480798   1.98557499   7.75965147]","[-2.7661509   4.79037361 -0.50020475  4.71251685 -4.39309139 -5.52416892
 -5.21933599  2.69889233 -0.05134145 -6.61187741 -2.07219381  6.47706116
  1.2046495  -0.68125545  1.3630608  -6.58303236  3.14806068  1.76111645
 -3.35187883]","[ 0.61141065 -2.26225859 -7.45315951  0.61141065 -2.26225859 -6.89567952
 -6.60639605 -3.81037996 -2.07103183 -8.20838219 -2.11272124 -8.02568667
 -3.04441517 -5.96603538 -8.03140419 -7.38958979 -4.08452118 -4.68523541
 -5.69468328]"
"[-10.79272829  -9.96627379  -9.96627379  -8.93259091  -5.68475475
 -10.79272829 -10.79272829  -9.96627379  -8.93259091 -10.79272829
  -9.96627379  -9.96627379  -8.93259091 -10.79272829  -9.96627379
  -9.96627379  -8.93259091  -9.96627379  -8.93259091]","[-14.82738748 -30.2161664  -29.33923263 -28.66562335 -17.43893919
 -25.5162492  -24.77596116 -25.15606811 -17.43893919 -25.5162492
 -21.79523812 -32.42456602 -25.83817477 -20.33440446 -25.5429147
 -21.12462435 -15.00743112 -11.64355483 -36.95980762]","[  0.46634059   4.63590555  10.16437047   4.62109622   0.72356231
  -0.25798148   0.59950507   1.28302652  -4.74818173   9.40146528
   2.03871348  -6.68505792  -0.62959321   7.4994432   -4.34990151
   4.83382801   0.70052086   0.87856844  -1.09638607]","[ -5.41754396 -11.39850118  -6.23725832  -6.00140917  -2.27653688
  -3.92905675  -2.56986945   1.01664965   0.57971582  -2.89866363
  -3.474978    -0.85818792  -7.63221299  -1.3589177   -3.9750187
  -3.92905675  -8.51607832  -1.63586583  -2.16647799]","[ -4.97079537   1.27601093  -4.4425118  -10.572051    -5.34184951
  -1.51457885   2.49835636  -2.55395088  -4.25521842  -4.14563955
  -8.39927274  -8.00605538  -5.38729128  -4.40769035  -4.14660018
  -7.98113801  -3.91737699  -6.5241643   -3.44260965]","[ 6.22749424  6.43266445  7.36950948  5.77187058  3.93603123  6.51428236
  4.43486758  7.83754547  4.91502293  9.7731018   3.57941957  7.00954405
  4.35162025  5.48344976 -1.97734597 -6.89908808 -4.6118804  -2.100834
  6.38877267]","[ 7.58821965  0.67448614 -0.88033326 -0.08016925  2.59430958  2.66993026
 -6.42674968  0.75983169 -0.58891216 -3.53502087  2.59430958  2.66993026
  4.09684861  2.19468732  9.73734401 -1.33713666  0.67448614 -0.45507532
 -4.38548882]","[  2.80127549   3.28106476   2.2391137    9.26896621   4.94589967
   2.29585478   2.5531026    4.9124306   -0.51493376   0.89660132
   5.57873069  13.39366282   2.23710175   3.45112676  13.03335195
   9.44381714  13.39366282   7.68846449  14.92253451]","[-0.17340397 -2.30634654  0.19947937 -4.62131648 -2.99605625  2.72406112
  6.20430261 -7.26667962  7.10948493  3.77110355  0.88297141  4.44157084
 -9.91839524  0.07347213  4.52080989  5.29430014 -2.98554506 -4.36017545
 -5.31298751]","[-2.76861155 -4.28892596 -3.83566419 -0.51109298  4.85950795 -9.6417072
  1.98619502 -4.68236712 -0.73612651 -0.03053578 -2.83676318  5.04857526
  0.42776852 -8.03293586 -3.83566419 -1.66382741 -1.61654931 -6.0733664
 -0.20926139]"
"[-10.48945824  -9.05309611  -7.44916763  -2.61410937  -9.05309611
  -7.44916763  -7.44916763  -2.61410937  -7.44916763  -2.61410937
  -9.05309611  -7.44916763  -7.44916763  -2.61410937 -10.48945824
  -9.05309611  -7.44916763  -2.61410937  -9.05309611]","[-22.29557149 -20.35410459 -25.01534036 -15.28141076 -32.290327
 -20.24670803 -30.50486973 -26.02804302 -20.97817923 -25.58818706
 -22.80806311 -21.22453696 -29.131561   -27.69564307 -25.08603868
 -25.02502545 -20.97817923 -25.77193183 -27.93438335]","[  4.33156095   6.06120187   1.74094524   0.7986771   -1.1238621
   5.34340045   3.31283102   2.41007119  14.29236306  -1.48500327
   7.51258633   4.91162519  13.22489891   3.791566     6.53798006
   2.47974505   3.92811045   6.08035936  -0.91307603]","[ 1.07103561 -5.2115308  -1.65324833 -2.17820559  5.76944395 -3.3554964
 -8.39344778 -4.69660604 -8.47160338 -1.65324833 -6.10426356 -6.43594841
 -6.82425883  0.20524097 -2.58421797  1.95840085 -0.8085111  -7.67580076
 -3.41059014]","[ -8.81854961  -6.38491379  -4.3241838  -11.0069361  -12.78231112
  -4.645298    -8.7404334   -7.12950636   1.05820007  -5.90755711
   2.1549568   -7.66392589  -8.02043312  -1.16592324  -5.66333076
  -7.12005267 -10.30323692   2.20763081  -6.37844975]","[  6.16437644   1.28746308   8.14648962  13.79496298  10.54618651
   4.22159059   5.45500881   9.63403448   4.73867085   7.73874923
   5.43691092   5.69688641   4.07673355   3.54052472  -4.52885874
   4.64472534   2.60627135   0.02054561   7.486553  ]","[ 7.1966989   5.72032006  0.38843682  9.13821763  7.1966989   5.72032006
  0.38843682  9.13821763 -4.9800342  -0.9279493  -7.67649537  3.07963189
  1.88645836 -0.85153448  2.83850305 -1.40961833  2.69758036 -2.8600672
  0.10587707]","[ 11.9417544    8.40077928  10.37199837  11.70529135   6.4768945
  10.71522009   6.17739359   5.01789629   7.24614038   7.18920698
   6.23318563   6.37774441   4.1265098    7.78281507   9.10899001
   6.15986768  10.74804359   4.12735488   6.17739359]","[ -5.20144785  -0.48934505   3.17156587  -6.30064884  -2.02912019
  -0.18678216   6.49797716 -12.74670472   5.03074676   4.93616435
  -0.72573647  -1.80029329   3.95957694   0.20900441  -4.55674785
  -1.31815376   6.07237955  -0.22179027  -3.34750197]","[ -5.77596715  -4.94072018  -6.52090742  -6.4745097   -7.2193561
  -4.96013904  -5.08583263  -7.4221062   -1.47126331  -8.40438063
  -6.33457941 -12.61345943  -2.22750121  -5.4807088   -7.80036398
  -4.47022219  -3.3993248   -0.60755684  -1.47126331]"
"[ -8.14135599  -2.92493568  -8.14135599  -2.92493568 -11.36321375
 -10.26986797 -11.36321375 -10.26986797  -2.92493568 -11.36321375
 -10.26986797 -11.36321375 -10.26986797  -2.92493568 -11.36321375
  -8.14135599  -2.92493568 -11.36321375 -10.26986797]","[-26.15463262 -24.80056322 -30.13563042 -23.35223272 -15.95483785
 -24.99765997 -22.26207181 -23.87251193 -20.07767307 -24.92605972
 -24.42965108 -14.50455589 -32.89929929 -20.62208763 -24.80056322
 -24.60509134 -27.25374398  -9.25771935 -24.19257859]","[-1.37784619  3.09151392  7.7238555   7.68827307  2.73983631  3.82100429
  0.97181873  4.32326211  5.58552621  1.38589974  5.74778956 -2.10865768
  0.98352638  4.56678973  6.00880635  1.41143984  4.48871545  4.70535291
  9.4172373 ]","[ -7.49989401  -2.1878441   -6.82042232  -6.82042232   0.23504825
  -6.22324156  -4.74099896  -5.93683509 -10.56066022   1.96474583
  -8.63020632  -0.82851176  -6.44539863  -4.59417402  -4.44677459
  -6.86267477  -5.43495942  -6.09894508  -3.81408582]","[ -8.93041439 -11.69660535  -1.84292604  -1.94404329 -12.29702292
  -7.99228684 -15.20864096  -4.23420978  -8.28723416  -3.3491757
   1.26098131  -4.51216574  -3.52506918  -6.91753087  -8.29827185
   0.97326438  -1.32993493  -9.26564646  -4.96376321]","[  8.72553914  14.04079514   5.99133253   9.28963387   0.63010251
   7.23240317   9.17299066   0.58332097   2.13572074   7.398964
  11.56898167   4.62318422  10.00877544   5.11210926   4.44453438
   2.84624901   9.50888585  -3.38364812   6.18354792]","[-2.67865124 -0.16638165  4.14608372 -0.76400058  2.01736569  5.2989195
  6.99360886  3.42746453  2.01736569  5.2989195   3.34854205 -2.30891512
  0.25036767  5.54518443  6.99360886  3.42746453 -1.3831488   8.53018565
  1.14991056]","[  4.02331824  11.79465614   8.89848321  15.88723271  10.7509813
  11.8001404    7.21569057   6.85334775  10.27298133   4.13941493
   6.34203135   7.21569057   6.44397329  13.45346237   4.99889888
  10.3308212   10.80272652   7.76647939   9.37728093]","[ -6.06930239  -0.64772878  -9.97888856  -0.42590128   4.43937437
   1.72532978   5.08205367   0.5340323    5.55271652 -12.63269099
  -3.12099458   4.40347137  -6.38524319  -0.86331564 -10.24778971
  -2.37632226  -6.81514915   2.87487197   0.28535668]","[ -6.44427778  -2.59944585 -10.24692883 -10.3796004   -1.63297035
  -2.10530804  -4.35051593   0.74564187  -1.78232985  -1.37647331
  -1.46847486  -8.22765735   0.86666777  -8.37119105  -6.44427778
  -5.09824103  -2.57260279  -9.46648227 -10.70651426]"
"[-11.13897602 -10.33701324  -0.67279403  -6.4702084   -0.67279403
  -6.4702084   -0.67279403  -6.4702084   -0.67279403  -6.4702084
  -0.67279403  -6.4702084  -11.13897602 -10.33701324 -11.13897602
 -11.13897602 -10.33701324 -10.33701324  -0.67279403]","[-23.37912843 -14.81367558 -29.64176475 -22.39856607 -18.71547147
 -24.56792326 -18.71547147 -21.55565326 -30.47435766 -14.82801095
 -21.59759071 -16.84222699 -24.58986836 -26.38790304 -24.13302509
 -26.33707778 -16.81019093 -16.30422198 -23.3761338 ]","[  6.33462424   4.50973008  -2.24089182   9.15126891   2.60969942
  -7.78337946   4.3539592   11.68597563   8.11995527  -2.33099831
  -0.20200189  -1.04775068   6.07701562   4.56873093   4.27435065
  12.09862551  -0.33907547   1.59971561   6.94074749]","[ -9.53865283  -5.97648482  -6.97688023  -3.60168254  -4.64801923
  -4.01053443  -5.72353992  -7.04527786  -4.70279959  -5.94056789
  -3.42609439   0.25242035  -6.85141081 -10.22015303  -4.5185342
  -6.85141081  -5.40815557  -6.04932617  -6.5682951 ]","[ -4.40362497  -2.44468694   2.44808844   2.53713253  -4.54607903
  -6.5612714   -0.80193356  -8.01262604  -4.11336498 -11.70535638
  -8.84801737  -0.80193356  -5.80551889   2.62459035  -4.68555395
  -5.91837096  -4.50254611  -8.89482824  -2.0683398 ]","[  6.51512218   6.74353374  15.06025842  12.87318821   4.62808277
   2.57170991   3.01610659   6.55291776   2.11127388  12.67745016
   4.78445837  15.17694516   9.20663879   3.14778954   5.91784448
   6.26625244  13.52695326   2.10945294   9.35063788]","[ 1.53836885  4.5345503   5.49139208  0.65222601 -1.45461762  1.13247988
 -4.02769284  5.83435784 -0.89422648 -3.1073289  -0.89422648 -3.1073289
 -1.45461762  1.13247988 -0.28329022 -1.2525068  -6.3182349   4.50889361
  2.33811556]","[  4.45954154   6.21169015   7.27554047   4.43229793   8.66804238
   9.40069976   0.57482168  12.9738767    6.21169015  13.09309587
  15.56575225   5.89028243  11.20717527   9.27585642  -1.58916986
   2.42764153   7.7469159   11.67355102  14.38227887]","[  3.13397365  -0.63697822  -2.06802626   3.69569228   1.71217499
  -6.7982379    2.81247512  -0.01574732  -6.40498931  -0.50856279
 -14.24864548  -1.7860567   -4.62478543  -5.17481114  -2.39368687
  -4.7660395    0.95989784  -8.16526612  -1.92454264]","[ -1.04864305e+01   6.43329957e+00  -1.03963988e-02  -7.30851933e+00
  -4.67427965e+00  -2.07516796e+00   1.09822826e+00  -1.21616175e+01
   9.38295373e-01  -1.49233638e+00  -1.07216577e+01  -1.31301324e+01
  -1.06864261e+01  -3.79919921e+00  -9.19860567e-01  -8.39970361e+00
  -2.58596853e+00  -3.99939527e+00  -1.01551260e+01]"
