rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[-15.48079692 -10.54298687 -15.48079692 -10.54298687 -15.48079692
 -10.54298687 -15.48079692 -10.54298687 -15.48079692 -10.54298687
  -8.11141964 -15.48079692 -15.48079692 -10.54298687  -8.11141964
 -10.54298687  -8.16404891 -15.48079692 -10.54298687]","[-29.27778963 -18.59643263 -19.66027503 -21.30053547 -19.51945845
 -18.44729187 -20.85273344 -17.73621318 -12.63924269 -23.37478533
 -21.03164197 -16.90424743 -15.95934518 -22.67597119 -26.66322947
 -18.02363621 -24.9455056  -26.27834551 -19.66027503]","[  3.96753775  -3.12027261   7.2568625    5.75645218  -1.8568426
   0.2937633   -3.12027261   4.42834978   4.63269901   7.38140818
  11.3088709    0.64507303   7.19387547   5.06307608  -3.79300615
  -4.43655729  -8.00309501   1.27983795   3.69516125]","[ -5.1188905   -3.31710463  -1.18482007  -3.55617594  -6.58013478
  -2.59635818  -9.57897233  -7.74527126  -1.4029314   -4.85063747
  -7.04221222  -4.76606478  -6.58013478  -0.91596019 -12.08285796
   1.42180221   0.74737519 -14.64587721  -8.67671243]","[ -7.25201892  -4.25398131  -0.61523636 -11.43652913  -2.80614423
  -7.08743217  -7.26364641  -9.14361055  -6.28867882  -3.69045563
 -12.14937183  -4.09284881 -10.26916177  -8.74664534   3.39608365
   3.39608365  -5.4740495   -6.46709098  -7.30967086]","[ 10.15625015   9.07999042   6.87219358   0.83316278   6.59846086
   5.85390429   0.95737491   8.80032971   4.96735543  -5.83054413
   8.40251771   3.33378464  -0.29901351   2.58612975   0.63592242
   4.96735543  -5.83054413   6.17675441   3.04037154]","[ 4.92828908 -0.15564686  5.74649629  2.47902534  2.10887596  1.96147759
  3.48710085  2.54865571 -2.71036386  1.59029516  0.87806249 -5.13334443
  6.65289439  5.79041832 -4.44057434  5.26719741  4.77024769  6.2843789
  8.85876388]","[ 14.8406254    5.68085572   7.92024678  10.69572854   4.21083643
   4.02609061   6.92307742   4.13278346   9.14663916   7.77668548
   4.02609061   8.2653806    8.93867456  10.25942475   0.47113574
   9.1193267    6.64962493  11.75150284  10.00862931]","[ -1.01539321   4.18120569   2.18735895  -2.54967432   2.11176444
  -3.49224957   0.96251908   4.21454251  -1.09631794 -10.76207456
  -1.53117333   2.18735895   4.63108635   8.41977852   6.04322694
  -5.92345862   0.83920821   3.03779669   0.81071905]","[-7.54133551 -3.65332899  1.3182922  -2.75184216 -5.0914361  -6.41094968
 -7.73901917 -6.73384833  3.13239714 -1.96114622 -6.29304473 -1.27242691
 -8.38334815 -0.68987128 -0.98518655 -1.91220195  3.53929903 -0.68987128
 -0.98518655]"
"[-16.96844055 -10.28739251  -7.48765561  -5.87857749 -10.28739251
  -7.48765561  -7.48765561  -5.87857749  -7.48765561  -5.87857749
  -7.48765561  -5.87857749  -7.48765561  -5.87857749  -7.48765561
  -5.87857749 -12.29960694  -7.48765561  -5.87857749]","[-17.3194565   -9.49380699 -29.39160657 -22.20868991 -17.3194565
  -9.49380699 -17.85843809 -28.59541747 -21.37773551 -25.18583346
 -24.76168879 -16.32310977 -17.9686324  -24.00815639 -24.53073411
 -19.83305876 -17.97765658 -26.75635883 -20.24950282]","[ -1.27891676   2.09635045   6.29271163   3.17479674  12.67397767
  11.62465423   9.26657469   2.70941872  -1.29818913   2.04943359
   0.78222413  -2.68197177   6.62906916  -1.09961052  -0.24376418
  -1.29818913   4.45680348   0.81460453   3.42954464]","[ -4.92296766  -6.97134482  -7.88215402  -4.80265442  -4.92296766
  -6.97134482  -1.8869606  -11.45675389  -4.34924988  -9.07381586
  -5.43607261  -4.54808335  -7.36193294  -5.49805845  -6.91949503
  -7.19773044   1.31786278  -7.82508598  -6.29799803]","[ -8.66319939  -9.50553378  -2.9308003   -4.72050517  -8.32682445
   0.48544633  -5.0389582   -8.66319939 -10.26423628  -4.83875796
  -6.80779799  -1.81007421  -0.91352586  -1.87217017  -8.88119948
  -3.81112891  -3.25450286 -12.71575755  -2.41174744]","[  7.18783904   5.435131     9.87184424   4.49967274  14.91728518
   4.2390036    3.94320327   6.95383019  11.28422472  -1.1017754
   8.18073649  10.10520048   7.39484446   6.95383019  11.28422472
  12.38555404  10.22134625   3.13002551   6.7725621 ]","[  7.75686896   4.29534453   9.63440548   6.63648779   7.29071971
   5.18498442  -3.61891644   1.27189341   4.89178639   6.10019884
  11.57205813   4.05368574   2.64994631   6.12648578   0.91288763
   2.07101182   9.45640856   5.73927444   1.37459844]","[ -3.83180089  11.75173397  15.59971973   4.98704677   4.74171025
  17.17134074  15.59971973   4.98704677   3.75010145   9.16572196
   9.93646671   6.67321786  10.17471431   5.63517387  15.08180514
  15.88806402  11.01471809  10.12093464  12.04256584]","[ 5.2763268  -1.73564222  5.61037831  3.07992051  4.8203696   2.16534665
  6.59079686  2.87849101  1.83394193 -4.60736331  7.87319968 -1.08102948
 -0.06723436  2.5985017  -0.56052993  5.2763268  -8.85304718  7.47956954
  5.42002774]","[ -7.53478316  -5.74205387  -8.38107489  -3.57919888  -3.80408569
  -2.57583449  -3.63785686  -4.59177669   1.42812219   1.92219476
 -10.88638269  -1.5626257   -2.53566716  -4.79724523  -7.27772252
  -2.39544898   1.42812219   1.92219476  -6.93725301]"
"[ -5.70836607 -12.46636971 -12.46636971 -12.46636971  -8.04057041
  -5.70836607 -12.46636971 -11.07144837  -5.70836607 -12.46636971
  -8.04057041 -12.46636971  -8.04057041 -12.46636971  -8.04057041
  -8.04057041  -7.0164482  -12.46636971  -8.04057041]","[-19.45714264 -16.14801932 -24.28509995 -12.90070303 -28.99063315
 -18.53916392 -26.41728456 -21.48567098 -20.69630125 -24.28326205
 -25.95567131 -15.98364578 -18.25784025 -19.91516056 -16.57869142
 -16.4159831  -24.07470212 -26.41728456 -21.48567098]","[  1.54884554   3.39235417  13.83440958   2.16751073   4.44739818
   5.30730035  11.15819085  10.36703459  -0.81179586   3.28639235
  -0.17551669   5.30730035   9.70898893   7.14783205  13.83440958
  -5.73614232   9.09104557  10.08745751  10.39870658]","[ -7.98819103 -11.37796225  -3.69831073   2.49941723  -3.85177771
  -7.6411517   -6.65239418  -6.29158104  -1.45181275  -8.03041054
  -8.09068935  -4.53673477  -8.09068935  -4.53673477  -6.50774301
  -2.17504008  -8.56874279   0.63725289 -11.232296  ]","[ -3.9144312   -7.05684293  -3.7005441  -10.13044005  -7.05684293
  -8.25856637   3.0042604   -4.6574065   -7.93599262   0.94100723
 -11.67954048   1.68221552  -8.84028165   3.83689283  -1.68995595
  -8.64043818  -3.86173073  -2.80933503  -7.890328  ]","[  7.52224446   1.33663421  12.95422564   7.11533656   4.75424013
  13.58913091  14.820579     5.03573828   8.40964899   7.42239394
  11.94220167   2.30712346  13.64860112  14.03862033   9.59585562
   9.43419546   4.75424013  13.58913091   7.07150298]","[ 9.08868599  3.01312147  7.97212047  3.20299681  0.28631471  8.1620186
  1.50232606  4.03123334  7.108008   -1.84360773  1.61338553  4.76649442
  2.13692238  5.27105534  7.46794867  3.61504287  4.34708656  2.99944327
  2.48796861]","[  9.26867136   9.64895844   9.90424187  10.38597365  16.20542965
  14.73682941   6.4152021    4.18362256  13.18283311   9.90424187
  10.38597365   9.40592657  13.99008829  11.16203514  13.26933764
  14.10849636  10.95642696  10.40938746  -0.39059079]","[  0.64576785   1.10132417   0.36203822  -1.64565436  10.98496766
   8.96506274   2.3226753   -2.58731542  -5.23431236   3.81583909
  -0.93686344  13.61305657   1.35766455  -4.5459461   -4.36660733
  -0.7583978   -2.40977212   3.07288162   2.88561699]","[ -1.89437483  -7.29159562  -9.95984633  -8.36734343  -1.71574227
   1.8684729   -2.26708464  -0.95845321  -5.79759708 -13.10464258
  -4.58283219  -6.2516612    1.09149969  -7.2482356    3.69922534
  -7.2482356    3.69922534  -7.29365243  -0.30363004]"
"[ -8.02672186  -7.83996012 -11.84248709  -8.02672186  -7.83996012
 -12.17351594  -8.02672186  -7.83996012  -7.83996012 -12.17351594
  -7.83996012 -12.17351594 -12.17351594  -4.26017925  -7.83996012
 -12.17351594  -8.02672186  -7.83996012  -7.83996012]","[-20.71920573 -18.98610502 -20.08003542 -12.72803413 -11.54218855
 -25.92396275 -17.00179362 -22.59415828 -15.69928966 -24.99818484
 -23.72821928 -13.83437015 -25.53639864 -16.27357685 -20.92411396
 -17.23049549 -17.00179362 -22.59415828 -17.84067804]","[ 13.71736505  10.77354288   9.42303493   9.98485429  14.54337866
   9.37487485   3.75385214   6.2570129    6.82624752   4.93654715
   2.68779771   9.28411334   7.83048993   6.82624752   7.00219745
  13.71736505   4.68012942   8.89149225   2.68779771]","[-10.79749335   2.63855303  -5.25112102  -6.40178108  -8.16964949
   0.10270449  -6.57679787  -2.71287551   0.75681937  -0.07852436
  -6.57679787  -2.71287551  -4.19382699  -0.11849987 -10.46264761
  -6.34907358  -4.57734576  -9.12336752  -4.47025566]","[ -2.11162847  -7.08333545  -8.32383606  -3.72255221  -0.44672389
 -10.63633155  -0.98459472  -9.58381768  -3.39585398  -9.75575968
  -7.21776263 -10.107408    -8.60232741  -8.27402251  -9.75575968
  -0.03513991  -1.08188344   2.78569448  -7.62004933]","[  1.86773572   2.88169311  11.20748458  10.94145954   6.13374352
  11.4143744    5.61575291  13.6444201   10.95299977   6.8328736
  13.05907205  11.55252856   9.20176988   5.58353001  13.05907205
  11.55252856   3.43893182  13.30989948  12.51580837]","[  6.54937219   5.44786203   4.97600871   8.6848434    5.45591632
   5.14198046   2.10274326   0.30869844   4.39902761   0.10465912
  11.79883108  -1.03814278   2.5037565    0.74682439   0.48830781
   2.56052922   5.84097952   7.18426383   6.57374055]","[  5.97603068   9.16468014  12.83784509  11.59531387   1.15997278
  11.97929687  12.84836971  12.0726926   12.84836971  12.0726926
  10.47665645  15.62739433   9.31538385   2.62497937   7.90829563
  10.78755684  14.080863    15.97443265]","[ -3.57391529   4.32167367   0.14548382   0.05036098  -1.80881602
  10.50473366   4.05965096   3.06722284  -5.06235812  -4.08142523
  -2.26782725   0.84775927   7.98291217   5.26121328   1.99269882
  -6.33253912   3.38622233  -2.20090601   8.49689631]","[-3.95145938 -4.35610368 -1.31222802 -2.06794431 -5.78975691  1.96554583
 -3.97773931 -1.82851017 -7.30531487 -4.56830149 -3.97773931 -1.82851017
 -5.12905374 -0.51223038  1.77644353 -9.12893367 -5.35851509 -6.02125001
 -5.89001871]"
"[-11.99434039  -5.88495616 -11.99434039  -5.88495616  -6.57856242
 -11.99434039 -11.99434039  -5.88495616  -5.88495616  -4.64564562
  -5.88495616  -4.64564562 -15.88626427  -5.88495616  -4.64564562
  -5.88495616  -4.64564562 -11.99434039  -5.88495616]","[-28.19390933 -10.57140138 -18.86222855 -29.01350633 -16.10352126
 -24.60951956 -21.91709885 -17.8192947  -20.60873633 -25.26557114
 -13.71187706 -23.36898142 -14.6108652  -15.2099977  -17.0510103
 -16.10352126 -24.60951956 -16.70962364 -10.77201827]","[  2.59109269  12.67679214  13.01653166  14.37606195   8.21333032
   3.57693602  11.82245393  13.01653166  16.66850431   8.21333032
  12.48024283  -0.05404579   8.44411068  10.47704682  13.45338583
  12.48024283   9.11981818  13.5126149    0.83641632]","[ -0.34748536  -4.1446183   -8.81894334   1.16285165 -10.91118158
   2.59736328  -6.19864825 -11.56431138  -7.1395734   -8.48656617
  -1.09884451 -10.91118158   2.59736328  -3.97955665  -5.26310872
  -6.30969673  -5.01883091  -5.36678565  -2.50755498]","[ -6.44112833  -4.95481953  -2.91619803  -9.17191256  -0.5740402
 -13.93852243  -1.12940268  -4.45214202   0.55654391  -1.2358448
  -1.04459233  -4.45214202  -6.7875458   -8.42827317  -7.24447352
  -1.2358448   -3.73320522  -0.50888113  -9.55118898]","[ 14.32169323   7.98707412  17.49268745   9.83966537  13.72627806
  11.6184321    8.2586947    5.47371316   6.57762339   9.92603162
   6.57762339   9.92603162  12.93662269  10.19993037  17.5837919
   8.30281807  15.5951041   15.17072965  11.11363728]","[  2.34867351   5.07485426   6.89188894   5.44322828  -3.33976046
  -3.17913169  -0.60217957   6.89188894   9.44876473   1.71676855
   9.11031199   5.01626376  -4.06616037   5.21406399  11.93168782
   5.18999227   6.20601395  -0.54225519   5.66392415]","[ 10.12208789   5.33303766  11.94592986  12.37271663  16.98674879
  12.76683812  12.62216776  12.52312165  10.70865436  10.97732719
  10.70865436  10.97732719   3.74467114  12.61403095  12.71683699
   0.63162744  10.50707976  14.59958301  13.62019618]","[ 4.52744215  7.50820625 -8.24330895 -2.38139608  6.0433889   1.52846541
  2.15295065 -7.490368    3.05681879 -6.12221463  8.88863937 -5.38283041
 -1.72130323 -0.37573187  0.944321   -0.90005341  5.23195188  1.64863812
  7.2586977 ]","[ -1.24866175  -8.72161921  -3.63934067 -12.2299826   -2.22426103
  -2.51979748  -1.81263294   1.96069808  -6.66115744  -5.79660369
  -4.04724917  -1.81263294 -10.49798309  -3.83552321  -6.03535873
   1.64862193  -2.15939334  -2.9124493   -4.452709  ]"
"[ -5.29366436 -13.06412001  -3.13823825  -5.29366436  -5.29366436
 -13.06412001  -5.29366436 -13.06412001 -13.33583531  -8.39295214
 -13.06412001 -13.33583531  -5.29366436  -5.29366436 -13.06412001
 -13.06412001 -13.33583531 -13.06412001 -13.33583531]","[-15.18914191 -15.82221467 -15.42194871 -23.50053865 -23.15716874
 -15.42194871 -21.43746687 -11.42112826 -21.43746687 -11.42112826
 -24.28802346 -18.07191158  -7.82387122 -12.2431224  -21.07585813
 -21.15068473 -14.45812533 -19.95807015 -12.09404524]","[  5.88833398   5.00264483  12.60389078   9.66885772   6.92482583
  11.93581176   3.66147892   2.43309869   2.43309869   6.59774966
   9.03454336  12.08006543   9.03899843  12.60389078  12.52185752
  15.07460763   6.92482583   9.01783987  11.89514962]","[-9.85206756 -8.22887321  1.95670228 -3.62870795 -3.84447228 -7.10593514
  0.54898109 -7.91466173  0.6498139  -5.73752497 -7.31823804 -8.53345202
 -6.71497637 -9.85206756 -6.71497637 -9.85206756 -9.17046238 -7.41944224
 -3.83406848]","[-11.8556576    1.45645041  -2.34681654  -9.37231489   3.17680981
  -9.03167942  -3.60557737  -1.66028481 -11.8556576    1.45645041
  -1.66028481  -7.16287922  -4.2322157   -8.23762063  -1.93751217
  -2.01124726  -4.39049302  -9.19199799  -2.21809161]","[ 16.8455827   11.78770628  12.01596806  11.0340864   11.29096711
  19.47437802  15.93951082  16.51482805  15.48150174  11.64437253
   8.38991707  14.12444011   4.98077235  10.14980094   9.64257439
  15.80037866  11.29096711  19.47437802   7.63565354]","[  5.68229975   9.84575461  10.54456382  10.6960224   10.6960224
   5.01401903   8.31632344   5.9597941   10.56124711   0.75701187
   5.41699056   1.61213478   9.8124849    5.09890285   7.4871965
   3.38574383  10.0773975    8.56376167   4.3740625 ]","[ 13.3583322    5.04613949   8.42371679  18.37136667  10.45711764
  13.27556188   8.42371679  18.37136667  -1.60515647   6.78121432
  12.72747874  14.79114728  10.91519962  16.85490333  13.68338843
  11.67885612  13.19689427   9.72516411  16.81412103]","[ 2.03414232 -1.71045173 -1.64764821 -1.63199218  2.40552112 -3.8276952
 -1.4205487   0.60924955 -0.35761851 -0.17565571 -4.89522628 -4.5228481
 -2.63245247  6.39180848  3.8126263   4.42545667  7.13400931  5.76727015
  1.79571461]","[ -3.66769636  -5.01709436 -10.01149479  -7.33634421  -5.67693285
   1.15047914  -2.2386868   -6.28154689  -0.34379698  -3.365961
  -7.07722171  -6.30706232  -9.33644285  -9.80426105  -5.01709436
  -0.4708366   -2.86006325  -1.26600494   3.34139719]"
"[-11.15068129  -9.61581741  -9.61581741  -8.47902801  -9.61581741
  -8.47902801 -11.36918515  -5.25220599  -9.61581741  -8.47902801
  -8.47902801 -11.36918515 -11.15068129  -9.61581741  -8.47902801
 -11.36918515  -8.47902801 -11.36918515  -9.61581741]","[-17.13351491 -16.31954168 -17.57962302 -18.38439244 -13.82685852
 -17.8972914  -22.83714586 -16.03825394 -13.87711666 -16.59282711
 -19.98784392 -13.87711666 -12.20898373 -18.38439244 -13.82685852
 -22.65840035 -18.49622432 -24.43354422 -17.39987647]","[ 12.05568456   9.29466826   8.38221902   5.75504261  11.45093451
   7.89967033  13.82822909  10.87819281  13.13011597  11.45093451
   7.69149498   5.75504261   8.88874128  11.12893442  10.42312049
  11.87877798  11.12893442   8.67565061  16.66041568]","[-2.0091568  -8.07042475 -8.24481269 -1.46021153 -1.46021153 -4.07287873
 -1.98825959 -4.27662382 -6.7734714   2.59297337 -4.70601971 -1.91914221
 -4.54975748 -2.86011892 -0.07702297  0.75825682 -0.71212075 -8.24481269
 -1.46021153]","[ -8.5607936   -7.20736431  -1.21687846  -2.81177747   3.41896445
  -4.20272046  -1.21687846  -2.81177747   1.04229866  -1.13953269
 -11.87087722  -1.95601456  -8.25635361  -6.15378205  -7.3086229
  -2.77019134  -1.86908444  -2.77019134  -8.40182585]","[ 10.85195311  16.43215587  22.49021606   7.69355071  18.92151554
  12.76050897  17.91754596  18.19666401  10.31757654   7.47319989
  16.59108652  13.4508239   16.01318527  12.55100477  10.85195311
  15.61804488  14.63774963  12.84228137  14.7900518 ]","[ 11.24623488   3.10298713   9.21442639   6.54127453  10.11247174
   3.11063238   6.43704428   4.73564094  10.11247174   9.82254364
  10.69571227   3.96991612   9.0112157    1.17377812   9.43409043
  12.46424765   2.34834133   5.48174019   0.35400118]","[ 16.01187736  19.48311291  10.81389184   8.06120468  13.89184366
  16.03681875  12.84641746  13.54423903  17.4348051    5.52234452
  13.67877595  13.54423903  17.4348051   14.4189051    8.91820632
  14.35302964  14.8970655   10.52246014   4.2741028 ]","[ -4.67867571   4.72860525   5.52955481   7.52661808   7.09651117
   1.84290013   0.13745535  -3.60742037  10.24294747   6.688008
   5.91862584  -2.89636798   4.38220422   1.53702685   3.91084641
  10.98138392   2.24653295   1.59242244   3.43379126]","[-8.50336377 -1.72597017 -0.37149947 -3.99868663 -2.51288647 -5.55485555
 -0.15632133 -8.33007562 -5.35343176 -2.62097963 -4.2960585  -1.16193643
 -3.65446055 -6.09952562 -6.98439    -3.15064352 -3.99868663 -5.09937138
 -3.03558854]"
"[ -8.65081746 -11.39584413 -11.39584413  -5.32730604  -8.65081746
 -11.39584413  -5.32730604  -7.38761404 -11.39584413  -5.32730604
 -11.39584413  -5.32730604  -5.32730604  -7.38761404  -8.65081746
 -11.39584413  -7.38761404 -10.42187027  -5.32730604]","[-20.90563379 -17.30614626  -6.72968372 -20.89324092 -24.97755315
 -11.02799438 -15.31783963 -13.5120853  -13.34610252 -19.12444519
 -18.86756308 -19.12444519 -18.86756308 -10.40390539 -11.76372164
 -11.76372164 -21.83615375 -15.49867465 -10.98565111]","[  3.73369037  11.04012245   7.78734887   8.86975933  10.12911837
  13.12899779   8.8852637   12.43248862  11.57339286  10.12911837
   6.97569952   5.59855692   8.86975933  11.81233863  12.43248862
  13.34814574  11.14444431  14.18071679   7.8911954 ]","[ -5.98985369  -7.51619447  -1.81278429  -6.18920459  -2.48445518
  -3.93801251  -4.44358761  -9.3874866   -3.72337071 -11.07801028
  -8.21573784  -9.3874866   -6.92031299  -4.44358761  -9.3874866
  -6.57681718  -6.24207954  -2.62827429  -9.11632716]","[ -8.05815438  -2.76621274  -8.27259108  -5.81740455  -5.66577446
 -13.79120827  -2.5115724  -13.47454502  -8.27259108  -5.81740455
  -8.07689699  -0.20239359  -7.86957313  -8.64522544   2.5485361
  -2.33694927  -0.20239359  -1.26015665  -3.03289101]","[ 16.96239462  18.57427525  18.57427525  20.7702507   14.63097596
   3.89328668   6.55182256  15.58538778  17.06336786  13.59102148
  11.25941054  15.85758985  13.76336392  18.89433051  15.73887266
  16.67961491  13.00284519  10.58502076  12.6653302 ]","[ -9.26335767   0.68968397  -0.95835631  12.45245504   7.50850722
  11.06490861  11.90695926   9.10588779   9.68640396   8.26170294
  -0.95835631   3.08392194   3.94792768   4.33578926   8.69785524
   6.14311465  -1.06180197   8.65270983   5.93559455]","[ 15.11312532  10.90275748   7.77244461   8.77225988  16.99865989
  13.9849705    8.33694531  13.07736772  16.99865989  13.9849705
  11.37341877  14.0361598   10.13318501   4.74567893   7.9186425
   8.55769576   8.90564554   6.94880156   7.86910941]","[  9.5029671    5.70557698  -0.28306503   3.91752193  -0.1118976
   4.58175186   1.16069545   4.74434425  -4.47690459  -0.38565453
   0.64098243   3.72029096  -2.75381911   5.65330477   4.64416419
 -10.72247522   2.82765594  -1.20877773  -0.19992395]","[ 1.38436346 -3.90042961  2.82228492 -2.87382845 -4.42494648 -0.69547973
 -6.23532841 -2.67258543 -0.92720933 -2.34502946  3.12740266 -4.88941197
 -2.3371983  -4.27926922 -2.67258543 -6.76778186 -8.59141608 -6.4162953
 -3.85991694]"
"[ -7.4767175  -10.73031092  -7.4767175  -10.73031092 -10.73031092
  -5.22351984  -5.28500299  -7.4767175   -5.22351984  -4.29700997
 -10.73031092  -5.22351984  -5.28500299  -7.4767175   -5.28500299
  -7.4767175  -10.73031092  -7.4767175  -10.73031092]","[-16.89616719  -9.36634843 -21.66620312 -17.55559321 -17.5122148
  -8.09732138 -14.86803832 -17.46521847 -12.47232374 -17.88998824
  -9.35060917 -11.52481396 -16.81872194 -20.48007467 -14.86803832
 -20.16727341 -14.14490768 -12.47232374 -14.3875513 ]","[ 22.05562143  14.62946564  10.1119705   10.95639228  14.53467747
  11.94131698  22.05562143  14.62946564  11.60612942  12.41424898
  12.41723491  12.72329488  10.62223046  11.66349295  13.01124281
  11.94131698  11.13560632  10.62223046  12.01439452]","[-7.79328863  1.6365444  -7.49416878 -0.2188499  -7.05853187 -6.38199747
 -7.05853187 -6.38199747  2.48260585 -7.05159857 -6.38199747 -7.65071733
 -7.29260424 -8.80452589 -4.09496849 -7.85737815 -1.68862246 -6.77712826
 -3.8326703 ]","[-1.70870059 -7.22080067 -1.06915983 -1.60051181 -1.60051181 -8.19045303
 -6.26398813 -6.19067752  2.73103363 -1.174991   -6.32423542  3.32943649
  2.73103363 -1.174991   -6.3848702   0.16218339 -3.38370636 -2.13422051
 -7.22137655]","[ 11.09448601  20.05109274  16.49891802  18.25281075  21.23465037
  19.05246597  19.05246597  17.05316869  13.96234508  21.39485316
  12.62965572  13.38012759  11.60356164  10.38293171  11.26976812
  12.81573839  21.41827465  16.38336889  11.33487021]","[  3.9447705    1.11248398  11.26414674   9.31756075   6.99961684
   0.57517779   9.31756075   6.21266069   0.40248579   7.68870183
  10.86909448   3.24316425   4.81206635   3.60102998   2.54546429
   4.70526615   3.4177484    8.09657563  -1.97398755]","[ 12.04666073  11.38034967  12.31914441   9.22497754  20.95320583
  13.57139233  15.30675274  12.48566919  13.39833928  13.14983704
   1.8587555   17.20328906  17.18616581  10.13562064  14.44686282
  13.14983704   1.8587555   13.40809443  12.69268874]","[-0.36275706 -0.83949319  1.52284074  6.50438045  4.21698178  2.27833686
  2.16949185 -0.24037168  3.46601322  2.90779468 -3.07216812  2.30308769
  5.1656334   1.41910056  3.1614055  -1.51844728 -2.91713435  1.56715341
  2.37121659]","[ 4.88119267  1.53473816 -6.95010443 -1.85370315  2.56506471 -5.68142481
 -1.59980867 -1.17942678 -1.59980867 -1.17942678 -3.50019626  0.65476007
 -9.42679989 -6.73430513 -9.19799159 -7.00485424 -2.01717661 -3.91708381
 -3.01319374]"
"[ -5.58807356  -3.92230243 -10.71043097  -5.58807356  -7.393912
 -10.71043097  -3.92230243  -9.50988139  -5.58807356  -3.92230243
  -5.58807356  -3.92230243 -10.71043097  -5.58807356  -9.50988139
  -6.99115567  -5.58807356  -3.92230243  -9.50988139]","[-13.27867184 -19.98356182 -11.9991433  -18.6317786  -14.99708386
 -14.17740601 -14.87624219 -12.95239567 -19.98356182 -14.24009973
 -24.65689405  -4.34921204 -12.06683144 -24.13598634 -10.75500688
 -11.37357667 -15.97455789 -14.99708386 -17.3428888 ]","[ 19.24099567  16.41455128  15.72881214  12.6767621   15.72881214
  12.6767621    9.37987042  11.63997628  10.57825619  11.39391491
  11.87231917  18.3057428   12.71596222  10.57825619  15.36062146
  15.73339788  12.89331401  16.86812938  11.63997628]","[-7.36995568 -1.69550347  0.8974741  -2.32949601 -9.77078346 -8.53125815
 -4.2894112   0.16674555 -7.4079927  -0.1504101  -5.65246647 -7.11831123
 -7.4079927  -3.38967062 -6.38135961 -0.1504101  -4.32028257  0.31569712
 -5.95526679]","[ -1.97899456 -10.09210463  -8.06558734  -7.60595753  -1.79747707
  -8.16060983   5.29972994 -11.27418373  -0.07646681  -0.39312075
  -9.86367319  -7.60595753  -5.09773632  -6.68377858   1.87889273
   0.59153644 -10.60821677  -6.68377858   1.87889273]","[ 19.44249449  17.17834364  13.08261509  17.57478354  13.16344605
  16.84587489  14.28026634  14.28026634  18.50146615  14.68254662
  20.50243589  13.72313703  16.59968233  19.1859893    8.83113037
  12.52257769  13.83536924  17.62215068  12.34300429]","[  7.32496726   3.91216072   7.50219513   5.69775224   6.78339039
   9.97668169   9.31502918  16.19922271   5.75765728   6.9571097
  10.70510669  13.92237247   8.06649236   9.82904684   6.96508203
   9.90857553  -0.26760703   6.9571097   -5.23701086]","[ 10.77906666  13.44271483  12.20757394  11.3216868   13.03346998
   3.5750104    9.29569009   7.5845308   10.90246429  15.05825444
  17.17258134  11.92852196   7.41552713  12.20757394  15.02744919
   9.11400525  14.1999853   15.44291713  10.51026014]","[-0.28506308 -3.32874395 -3.66350593  0.99811673  0.69648038 -5.85736201
  3.18373293  3.32958882  7.62912119 -1.89075405  0.5886605   0.68851666
  5.98558197 -5.75053636 -1.06386603  0.52511088  7.41675516  7.41180857
 -0.36672423]","[  0.6859236   -0.24104682   0.97712125  -1.46342459  -8.42922658
  -2.23065388  -2.30881696  -1.93292655  -8.42922658  -2.23065388
 -11.21854942  -7.6686524   -4.11331543   5.51110908  -7.71796246
  -3.7780848   -4.74402806  -2.72983843  -4.86976446]"
