rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[-160.89744468   60.19911143   60.19911143  -40.84097777 -160.89744468
   60.19911143  -40.84097777   12.06583416   60.19911143  -40.84097777
   60.19911143  -40.84097777 -160.89744468  -40.84097777   12.06583416
   60.19911143  -40.84097777   60.19911143  -40.84097777]","[  36.70106965  -29.83380952  -47.78912182  -16.44852311  -47.78912182
  -16.44852311  -47.78912182  -16.44852311  -85.29231648  -29.67365053
   15.43211176 -136.99814852   -8.30279368 -161.45202568   27.7926575
   15.43211176 -114.89267016  -16.44852311  -10.11430885]","[  35.67572181 -115.94538026 -175.59900294 -156.77275404 -212.52350629
  -47.68416862  -98.22829451 -188.11791667 -156.77275404 -106.53780238
  -78.68309601  -86.93734098 -212.52350629  -47.68416862 -175.59900294
 -156.77275404 -154.62576144  -19.30291521  -82.56187577]","[ -52.51527968 -116.97066307 -127.2814112    61.56047805  149.88906616
   49.55998205  -46.26936137  -52.51527968  121.62513317    1.1400758
  -19.37645085  -52.51527968 -116.97066307  121.62513317 -241.91554623
 -128.49741665  149.88906616  -41.15391049 -114.73257937]","[  -0.45883825   84.75822762  -29.15150452    4.66681689  -74.95391667
 -139.65878373   87.05974228 -180.54884274  -84.09412685   14.74823344
   38.09776248 -152.57253835  -15.4879638   -19.60349625  -22.22548558
  -16.32350941   12.91374453  -22.22548558  -38.98672436]","[-147.04754084 -135.53347561 -171.22770104 -126.21194867 -194.17936825
  -86.78543054 -181.50315165  -41.96956898 -143.18386887   37.23139838
 -170.00624713 -209.55631205  -35.79401437  -92.17769046  -72.64991682
   54.15992758  -52.38871512  -34.14967768  -28.15869919]","[-105.41690794  -76.59257547 -144.37403048  -32.18239735 -177.36683544
  -37.1506124    36.88504091  -58.73538252    4.7333064  -135.19336306
  -61.32679215 -108.11646778 -119.58192737  -35.82577559 -163.65927543
 -105.41690794  -76.59257547   38.94663557 -231.54778561]"
"[ -64.56210679 -101.7581859   -41.59443735   76.08635444  -41.59443735
   76.08635444   76.08635444   76.08635444 -152.34698839  -41.59443735
   76.08635444  -41.59443735   76.08635444 -101.7581859   -41.59443735
 -101.7581859   -41.59443735  -41.59443735   76.08635444]","[-119.49820757   43.40353123   71.27441859  -92.94190051   62.54874836
 -187.67074612    0.67008411 -108.92691808  -51.43249919 -208.41251318
  -13.12181343   -1.91417706  -85.47232772 -208.41251318   62.54874836
  -66.4349707   -92.94190051  -92.94190051   62.54874836]","[ -39.45711098  -68.14184441 -188.06658738  -59.72047271 -113.82357688
  -99.6254368    -7.27522385 -113.23174904 -107.92814669   49.87514723
  -99.6254368   102.44014117  -58.11258411 -113.82357688  -99.6254368
 -188.06658738  -59.72047271  -93.34710555  -39.45711098]","[   5.44302538  -66.31505742  -91.83263452   27.32619127  -80.46013161
 -130.10965377 -130.10965377  -45.6763494   -61.59052969  -38.8559548
  -61.49100179 -131.57824568   31.43919586 -137.69225418 -116.74839997
  -66.31505742  -32.89258619 -130.10965377  -45.6763494 ]","[-138.2215554  -141.87090223 -163.89161007    6.26520081 -109.84899987
  198.28100633   34.25191944  -52.76614553  -69.01432116  -16.10281188
    4.04629069  -32.3239212  -178.91037777 -132.51544372    5.45356132
   34.25191944  -46.84188903   34.68827395  -97.01290088]","[-192.22383001 -164.57965687  -68.10047184   18.77010939  -16.83700521
  -40.97759663  -35.86851169 -136.01293755   16.23078794  -99.07587477
  -17.02598382  -96.75831929    2.42550845  -11.10581583 -153.65820162
 -206.04201855  -42.60012866  -55.61013689 -121.83246976]","[ -87.07695345  -59.92622834  -91.31239007 -101.32397875 -171.00631492
 -196.98582396  -10.07327126 -123.54870847  -58.8680132   -50.68644061
 -125.35863485  123.12749973  120.44706226 -109.92590991 -153.19990004
  -26.69302193  -87.07695345  -59.92622834  -42.80728089]"
"[-153.46922986  -11.6437593  -153.46922986  -11.6437593   -17.20697514
 -153.46922986 -153.46922986  -11.6437593   -11.6437593   -68.90172208
  -17.20697514 -153.46922986 -153.46922986  -11.6437593  -153.46922986
  -11.6437593  -153.46922986  104.81880493  -17.20697514]","[-102.08746068  198.76047402  -44.64708136 -172.30903354  -38.03294151
 -179.89259708 -179.89259708  -61.7482382  -179.89259708  -61.7482382
 -168.01861786   60.30722552  -61.7482382   -44.58391013  126.77519179
   44.68172038 -219.89099539   43.70140033 -170.7245309 ]","[ -57.53607543  -13.46380782  -21.24519744  -84.58495754  -13.46380782
  -57.53607543  -41.44784049 -133.14146777   31.2782624  -137.90083035
   52.00232738  -57.53607543  -41.44784049   21.21799157  -75.86077717
   21.21799157  -75.86077717  -59.64047345  109.28952432]","[-113.16754561 -160.18143836  -63.89330212  -51.00628934 -126.83758733
 -133.39983347  -30.17681427  -15.35144426   17.26414102 -164.61665962
   29.37750151  -15.35144426 -111.04863896 -173.25267915  -81.12306995
  -15.35144426 -111.04863896   32.97724559   54.70031373]","[   3.15890165 -132.49030763   18.34701389  -77.78840739  -13.68231455
  -95.0292062  -210.44940396  -28.68592882  -66.98950477 -165.49500594
 -165.49500594  -67.36992381  -68.2827661  -107.57875975   22.23484873
  -31.77389812 -272.31451322   -7.99597873   28.23678392]","[ -75.7078159   -14.55365966  -48.2989616  -167.34232444   30.94128321
 -121.50405999 -153.2552684  -100.99126957  -60.09351133 -101.12755224
  -12.32200448  -48.52502449   39.90232364  -53.97432904 -107.62155368
   18.69370259  -10.03403006  -26.4524271    90.03648589]","[-131.37332926  -88.70485884 -203.24393537  -21.04296491  -43.23180241
  -18.0748074   -93.26404349  -56.2885064   -77.78370012  -19.47086984
  -32.63332704  -93.26404349 -114.99216886  -57.51391736 -116.64908122
 -126.4005517    59.38115786   22.45397397 -106.59686062]"
"[ 42.98727146 -65.88928366  42.98727146 -65.88928366  42.98727146
 -65.88928366  46.55601707 -65.88928366  46.55601707 -81.66638741
  42.98727146 -65.88928366  46.55601707 -65.88928366  46.55601707
  46.55601707  13.6302787  -65.88928366  46.55601707]","[  67.47328109  -20.95789344   -8.71105299 -115.07741083  -53.31556133
   54.24551794   20.03692522  -53.8216818   123.27910762  -67.51516733
  109.57167428  -10.86405539  -11.66749113   20.03692522   43.17199667
  -80.63419986  -53.8216818  -120.57317011   20.03692522]","[ -57.72697242 -258.73488152 -258.73488152  -28.68364167  -95.06627374
 -116.69431649 -146.13983062   85.68696082 -258.73488152  -28.68364167
   -6.10014141  -57.72697242  -95.06627374 -116.69431649 -149.95331389
  -15.04363031   23.1138211   113.58144931  -28.4504464 ]","[ -42.60602421  -22.90093534 -176.0750513     5.80268225   21.71940664
  -86.96304418  115.67423583   54.43781478 -207.5394424   -32.09035497
   40.27575217   15.36491865 -142.86519686  115.67423583   54.43781478
  -23.75678617  -12.15701998  -94.9634712   115.67423583]","[ -55.36691877    9.77814161   -6.05665002   93.22965301  -85.10052655
 -120.02074603  -59.90418155  -81.93353135  -78.46392531   -6.05665002
   13.37936228   -4.08242986   73.86086052 -113.85403258 -176.29995974
    5.33238231 -111.85109541  -52.86671445  -42.90080232]","[-125.01731547  -24.36120874  -40.33995454   39.91489138  -38.74911841
 -244.49144881   -9.64180959   11.70341183  -70.5391296   -41.82213237
 -213.66406242  -43.90337024 -116.88141283  -24.26423764 -118.77685216
  -31.35140157  -63.45258892 -145.78658754 -116.60762319]","[ -99.39316141   26.25794729 -241.42512792 -182.8318738  -210.69342959
   -5.00186599  -93.19572668  -15.94799969 -186.65865403  -93.11271401
  -72.41062979   69.34773123  -38.88163362   26.25794729 -173.41738303
 -175.97071109 -161.52587976 -108.7205167    58.69173928]"
"[-109.2913559    -2.15473688  -81.47326478  -18.26832452   -2.15473688
  -81.47326478  -81.47326478  -18.26832452  -81.47326478  -18.26832452
  -18.26832452 -118.24536408  -81.47326478  -18.26832452  -81.47326478
 -109.2913559    -2.15473688   -2.15473688  -81.47326478]","[  -7.28074377   28.1015503   -42.90378423  -70.68960244  -46.45800617
  -60.01387845  -16.83350318  -70.68960244   -7.28074377  -67.1134489
   87.23742894   37.97134719  181.41929381  -42.90378423  -70.68960244
   15.49547251  -36.30774248  -42.42300814   37.68118323]","[-112.88384405  -28.82810223   13.85557726 -134.76001331   21.53813698
  -10.00392418  -35.23757636   31.93628853  -56.15370358  -25.68042334
 -199.79769783  -25.68350276   13.85557726 -134.76001331  -25.68350276
   13.85557726   21.64903615  -57.90721022   21.53813698]","[ -54.97478007 -130.70486896  -71.87555582  -92.13205069 -172.25019281
  -54.18323821 -157.68536842  109.26856709  109.26856709 -148.78020821
 -150.88710087  -46.79995692   -4.90692557  -50.60476342  109.26856709
 -148.78020821   -2.47145615  116.61967658  -68.04740049]","[-125.27556748  -33.25608547  -36.78595622   80.50195737   22.11027788
  -73.71720464 -102.57054713 -124.80366275  -90.01431711 -125.27556748
    3.00607057  -98.83657757 -223.92900611  -98.46724703   24.34292104
 -257.7712091  -257.7712091   -53.86978706  -60.0740525 ]","[   6.8271968  -100.94295458   17.41912706   91.84920309  -36.23675426
  -45.31683993 -143.36435251    6.80637805   -2.44207745   -3.63806776
 -161.50640733   74.79349608  -94.61402282 -167.43295827    4.28505943
    2.3201339    38.56074881 -181.89790065    6.13820261]","[ -75.35927869 -135.24863572  -18.70888478   28.74986367  -77.06674838
   37.58342061   -6.84228964   28.74986367   90.27266759 -101.32320811
    6.49253784  -56.8501065   -40.71376341 -132.83917365   37.85908522
  -28.94281944   -6.4816423   -69.39979233   34.20347288]"
"[  61.73550778   25.15682658   44.49632707   61.73550778   44.49632707
   61.73550778   61.73550778   25.15682658   61.73550778   25.15682658
 -130.01147029   44.49632707 -130.01147029   44.49632707   61.73550778
   61.73550778   25.15682658   25.15682658 -163.36810829]","[ 104.74611018  129.63457403  -20.89850062  -98.86822191   74.67996126
  -28.16485288  -99.80536866 -236.76240458  129.63457403  -20.89850062
   24.4858443    84.88493951  -99.40457866  104.74611018   23.86287759
  -99.40457866  104.74611018 -212.74904175  -25.33788439]","[  26.29006298   27.79983207  -73.92121095 -171.9190516    69.94674407
  -88.57359388   27.79983207  -47.26775217  -41.6796664   -86.84413872
  -58.8453118   -35.94073497  -35.94073497   69.94674407  -93.88230712
  120.15178698   69.94674407  -88.57359388  -37.42606776]","[ -46.64020872 -149.14544815    0.4460578    21.26069628   40.78160979
  -46.64020872  -45.13848766  -85.71638876   19.31842503 -136.0139266
   45.84275428  -89.39689096  -25.88987058    9.73884688  -61.76658267
   45.84275428   45.84275428  -89.39689096   10.3659053 ]","[  44.83138562  -79.10673052   77.70869594 -113.76068794  -91.80460402
    3.00017427  -67.03249048  -42.37467674  -23.94123525   83.35933434
 -138.16615869   44.83138562   13.22517471   44.26990565 -105.98655512
  -65.77978376 -138.16615869    4.38628035  -67.03249048]","[ -94.3321507  -212.85438935  -81.45041686  -84.24268437   20.22296696
   27.50832438   -7.468991   -119.41537769 -110.29416972  -82.72279994
   34.64312729  -31.94178351   35.99239514  -88.50158266  -46.86321257
 -142.70912902  -85.07835241 -152.0242911   -41.18465653]","[  75.3845998   -19.37214443   97.16851011  -41.46257564   90.28339846
 -130.63025592  -57.51679699  -81.87477279  -54.82054143 -145.74882121
 -116.5644743    -2.92878066  -54.64053089 -111.29971708   -7.80025729
 -111.29971708 -169.96210341 -199.89182302    1.44037621]"
"[-55.39233183  79.57886765 -15.1046373   16.12718902 -35.81745153
 -15.1046373  -35.81745153 -15.1046373  -15.1046373   16.12718902
 -15.1046373   16.12718902  16.12718902  99.1599727   79.57886765
 -35.81745153 -15.1046373  -15.1046373   16.12718902]","[-110.07047962   12.42358997  -29.78472418   42.08360365   24.82080029
  224.3601455    -6.50300963 -136.31217115  -62.67279217   32.04911777
   -8.586583    -62.91480401    2.99323103  -62.67085147   -9.98744023
  -61.22637709  -62.67279217   32.04911777   -6.50300963]","[  30.22992789  -95.82848718  -67.06057963 -137.25777276   45.80071801
   43.62769961 -262.01615337   45.80071801   45.80071801   43.62769961
   85.87427252   51.50334175  -49.02518139 -153.3827892   -46.19107651
 -118.32198145  -82.18522333 -262.01615337  -45.61336191]","[  22.65595106   -1.26537341 -113.23471414 -112.27624667  -80.99240708
   77.8797659    77.8797659   -80.16656425    8.94906445  -13.81780647
 -154.73921898   91.5884885    91.5884885     3.33091624  -80.49143232
 -147.0854615   -52.24104477   91.5884885    43.91236964]","[ -50.19123688   65.58446747   17.39076796    6.23449763   16.72204545
  -78.20328372  -14.15532606   42.89369029  -43.74085293   42.89369029
 -178.9113699     1.51038995  -50.19123688 -178.9113699   -46.75285621
   -4.47783082    5.21495164   22.81808072  -23.70613493]","[ -67.2675841   -57.94526153  -48.5382075   -90.62141364 -223.30220992
  -16.05651072  -72.35211124 -107.45411683  -79.91229958 -190.36397904
  -96.14483036  -48.57585011    5.80412727 -114.79827453 -156.92082723
  -49.58476438   43.45092874  -72.70014086  -83.64890927]","[-133.93186619  103.74027926 -163.53454055 -187.94753757  -56.28028426
  -90.9545257   -88.30524273  -30.48948111 -166.00197639 -113.73924621
   89.53427607  -10.19742133  -94.95705054  -43.82023533   67.84912448
  -88.39969253 -162.00152423  -56.28028426 -115.68005385]"
"[  94.69494529  -45.4529651   105.62297575   49.04551377   94.69494529
  -45.4529651   105.62297575   49.04551377  126.37492831  105.62297575
  105.62297575   49.04551377   49.04551377  -82.93733607  126.37492831
  105.62297575  105.62297575  126.37492831  105.62297575]","[ -15.7337598    -5.72766426 -187.51352112  141.7049441   -62.40630646
  -24.1100604    70.99500037  157.35819596   -6.90943815  -39.28966046
  -15.7337598   -39.28966046  -15.7337598   125.4105279   -47.92320775
   -5.72766426   80.28097372  128.62192042  131.41375413]","[ -19.65498622  -49.91169      -9.86210466   24.58998476   24.66078816
    0.45065629  -29.04806818  101.97263166   16.6168907    51.58938969
  -60.1580087  -232.76197527  101.97263166  -60.1580087  -123.76864592
  -15.22047465  -65.5656607   -11.70636358  -60.1580087 ]","[-190.02950984  -94.00525121  -20.45860142  -45.91710367   39.23084803
  146.30632285 -138.71403604    4.71643075  -20.45860142  -45.91710367
  163.08364956  -91.24271193 -135.28005493 -124.69588171   29.79179033
  -45.91710367   75.38152033  -86.28706042  -34.92081319]","[-131.50787411   67.02528291   23.99512948   67.63959268 -149.1894791
  -93.16826183  139.56059424   59.52648778   47.54594881 -144.13340301
   67.63959268  -11.07583207 -154.4607572    22.58263268  -93.16826183
   23.40516482   42.8759332    23.40516482   32.54795085]","[-100.74210247   68.31654258   16.11058674  -52.89390097   35.72552534
    9.97018486   92.80742805  -85.17785429 -139.45408126   85.90285561
  -22.56231063 -101.76263985  -97.65775502  -30.34700336  -14.58039381
 -126.16175258   -4.74564095 -103.69709336   11.82783685]","[-105.97201986    0.50531045  -54.27903223  -91.79113591  -27.8986631
  -97.7797255   -26.90396242  -39.12165086  -43.82539691  -32.28054156
  -61.93956356   32.06754161  -97.7797255   -86.7676912    30.22233885
  -41.03459898  -86.21795529   -5.70466846  -94.70060391]"
"[ -18.18213479   -3.69187624   -3.69187624 -166.12308646  -18.18213479
   -3.69187624 -166.12308646  -45.31288449   -3.69187624 -166.12308646
   -3.69187624 -166.12308646  -81.21055222  125.11211555  -81.21055222
  -18.18213479   -3.69187624  -18.18213479   -3.69187624]","[  48.25947788 -149.38310216  106.36615914   56.08467747  -38.76764844
  193.96449898  193.96449898  106.36615914  194.77860149   27.06254304
   -7.59902699  193.72850507  -15.62048468 -121.83927971  -38.76764844
  193.96449898   31.26848911  -35.97557138   46.4310087 ]","[-190.91186637   58.6460406  -127.97350852   34.6386979    -5.41069819
   42.09206974   58.6460406    10.3090431  -190.91186637   58.6460406
  -53.72724262  -51.7940723   -94.18574885  -86.42565877 -239.38162689
   19.51640002  104.69888645   -8.98628764 -138.19296794]","[  3.97882750e+01   8.45186865e+01   3.10975605e+01   6.66290311e+01
  -2.05859348e+01  -1.80020161e+02  -1.80020161e+02  -3.42524396e+01
  -4.58851081e+01  -3.33963156e+01  -2.05859348e+01  -1.80020161e+02
   5.93252375e-02  -8.61412308e+01   1.12607128e+01   1.58289350e+02
   3.12233858e+01   4.16626349e+01  -4.51120866e+01]","[  83.84249464 -106.62649019   65.20792116   22.34311093   47.78696936
   86.61854295  -88.44798701 -163.66629644   11.36420043    2.0109148
   22.34311093  134.09325147   47.72655734   33.15922286  -23.75046792
   -7.67742579  -82.71090263   33.15922286   47.78696936]","[ 101.29013876  -37.10569912   16.32546564 -118.7875033  -119.33365009
 -117.62410786  -33.70844523 -137.56790944   36.0184433   -54.48431853
 -138.61161104  -60.73760707  -54.76008119  -87.28065958 -217.55282211
   17.19667037 -176.34216599   45.95120002   -1.15438815]","[  74.19671584  -50.94965841   99.3371166   -92.72707008  100.81155131
  -12.06245102   33.36131594 -145.55759941  -56.7469197   -58.54295489
  -40.75044698  -58.19802761   13.38225504 -170.48593807   -4.68407289
  100.81155131  -59.72874573 -106.28366837  -38.74085405]"
"[ 123.26793957  -47.04463227   -9.21611938   16.47299578  -47.04463227
  -47.65105267   16.47299578   -1.43763814   16.47299578   -1.43763814
   -9.21611938   16.47299578   16.47299578   -9.21611938   16.47299578
   -9.21611938   16.47299578   -1.43763814  -80.67174386]","[ 202.82067214 -201.8015498   207.89928814  151.10816284 -146.11763705
 -200.94276178  146.08384256  112.22040624  104.33327212  148.8321694
  -56.59385557   13.57275875  -10.73572292  -56.59385557 -201.8015498
  148.8321694   -56.59385557   18.3246176    37.41362147]","[-156.53031033  -27.30229813   31.42999236   18.4854722   -62.00509152
   70.96627495 -156.713536     35.6766668    40.39707662   95.69228386
  100.41612129  107.52816586   19.78768485  -75.93685687  -78.98234061
   40.39707662   95.69228386   95.69228386   89.08935709]","[ -41.20121732  -22.82555853   21.96583819   80.81435319   80.81435319
  150.01177598 -124.36042136   35.4092131   -40.4191595   -48.78838451
 -115.27868954  -97.58501838   21.96583819   80.81435319 -119.42839181
   -7.92769203  135.14288525 -107.98902557   17.49521935]","[ -29.90748033   27.62493453  -32.53749839  -82.71756149   -7.20488655
  -62.82764224   24.4494686   -72.68987671 -140.30200544  -29.90748033
   74.73137714  -32.53749839 -113.96281908   63.51122108  -47.33527524
   21.72749449  -72.68987671   58.3591427   -56.15574078]","[  9.80666160e+00   4.94703348e+01  -6.44494725e+01  -1.39867943e+01
   1.61227331e+01  -1.69027678e+02  -4.19329238e+01  -3.21884017e+01
  -2.11217180e+01   5.90092662e+01  -9.07824677e+01  -1.46769316e+02
   5.00556568e+01  -1.83595336e+01  -1.55939144e+02   7.35508895e+01
  -3.33833203e-02  -1.01337492e+02  -6.82351743e+01]","[  60.17240965 -151.75732614  -55.82804367  136.89795192 -179.27759922
 -139.85497889   -8.25307226 -116.13269526   55.16172296 -165.21359031
 -161.2070451     6.76967352  -74.66314973  -32.65835628 -139.85497889
    0.52504498  -42.01923767  -77.20928332  -95.04673363]"
