avgReturn0,avgReturn1,avgReturn2,avgReturn3,avgReturn4,avgReturn5,avgReturn6,avgReturn7,avgReturn8,avgReturn9
-124.07399184520168,-202.56456689569217,-270.0659035386175,-308.97736650722726,-142.2207189741628,-95.99644329795748,-84.45706108523777,-165.520269013938,-306.8512105555984,-267.92339795640453
-138.29873464365033,-199.75166872385847,-242.8956250971556,-284.46208033420663,-116.28325227407252,-34.07029560786655,-46.12727520919052,-153.58479735690148,-269.6003857569454,-248.56448121890534
22.833018608468937,-218.79541938767287,-258.34239600728506,-255.86416795603577,-124.78911879610828,-72.60454292513573,-41.037491901578335,-165.6406448440248,-294.42046396285446,-201.27199631108806
-20.245606305921093,-181.377538491487,-253.59598316923683,-276.4791615267636,-162.20010445314014,-63.11933610318762,-74.64116720596635,-183.57835045100555,-286.32490165015065,-316.00382587312515
-28.692684500334998,-218.8988071495994,-236.50357145329562,-268.0496803325458,-176.17675013150165,-52.322657389735305,-36.241663097446875,-207.77145807720146,-300.32608386852144,-240.2099470812812
-47.80056759961823,-172.9750880301475,-208.52514609060768,-291.7678801201043,-107.80135546561135,-30.57012849904199,-27.692958287011194,-186.67522329356478,-274.2112573104286,-268.9516145527585
-3.7798606554721457,-181.9409753779176,-203.95810706814348,-229.0132085387549,-96.47376470303065,-70.87106293765098,-104.13000053983656,-185.6565279326635,-286.0177041189987,-305.1766469890923
-143.60235175451143,-199.19837581631074,-186.86262674822237,-258.8357808441199,-157.4016834511563,-74.6220355877286,-51.064310414660994,-207.39628152334663,-296.20866734319486,-309.074168148212
-24.149337202058966,-188.67594302437425,-216.82253534354746,-243.3641044208823,-134.53999889082692,-49.600544212304655,-45.568898583711594,-115.17972334320604,-254.94878786880565,-267.75137238109767
-72.36511870044141,-223.84854608844861,-163.0213035426993,-280.8519710981056,-133.38691005352115,-36.35808612492629,-37.07023107964,-157.34823847676057,-263.4648860848833,-321.0309253805257
-0.30754962770941674,-171.31367499707972,-164.45572641687852,-302.48117015734425,-131.99946121987736,-71.35344094705435,-86.86977036676515,-125.81488559855329,-283.941130426659,-246.99200452842683
-105.51220242343886,-199.8603052032881,-134.77144741010827,-251.6693821185522,-126.40183767625163,-68.15179342027763,-44.81783130400161,-97.38554700853686,-273.36437663945424,-179.6049534658285
-85.3357417545059,-154.93114200393967,-117.1810222345073,-284.12482767523034,-123.39536227328395,-45.492261095271566,-51.72314857988133,-177.58988430795827,-242.09402376816817,-252.50921903299064
-138.6927936333485,-186.342519524334,-95.82886783041103,-272.53922148268845,-121.07594935720884,-49.74107701969838,-67.62872441245212,-122.56549636097445,-322.0041664570708,-213.3418337501246
-43.45700992974573,-176.68241649966032,-132.8745311598804,-233.37959239679284,-169.84670564820254,-39.91741517125075,-59.599677946469214,-129.89159515907386,-288.21835877965856,-198.58600960675767
-43.59209476522115,-166.60881024297487,-125.3224844263889,-287.06831393053506,-135.77143022608666,-64.94398092907599,-35.6122705595052,-168.68839087602672,-242.23055928378204,-250.22849975452854
-44.01720334555947,-153.09523048498522,-102.82634191450755,-304.6218765507692,-121.9883462144792,-31.10140284929313,-50.52239292028927,-186.61448554476243,-229.23013491487157,-168.99805243728247
4.633504309728959,-151.8646383551754,-47.22606443859714,-267.43608465137004,-154.04813148198048,-19.88302034580355,-27.760993876234267,-152.91410128073045,-268.9207789709649,-142.724703680382
-30.94598067755288,-213.64637332348113,-47.61864255401591,-292.9495642414557,-107.39057761089325,-39.43924407336996,-34.642637479965074,-171.8748554967945,-296.37828932645635,-246.47903333862604
-116.28805026216868,-175.64736871036632,-12.280324012807453,-345.9174021729992,-120.8303464070874,-36.965773723530695,-26.047469688731688,-132.1734559341845,-237.48327977048294,-236.26576190177624
-38.721809671077175,-130.8601758002288,-33.2462790366945,-281.8805695382282,-110.09603782671236,3.5852804318984575,-35.00054406192327,-148.01144853962774,-215.62420065987345,-140.37672553810089
-5.563277029693103,-115.53977348533513,8.221937924891513,-270.5696825378575,-115.8515494132671,-37.9886336111357,-39.90213671917101,-107.8881558777137,-243.1845841767437,-157.3737577086268
-57.93315194245903,-144.47115253325376,42.70104177564851,-236.53242014417302,-90.59898019312948,-8.265960329471937,-28.963273670158696,-100.32975924168936,-202.19931257264193,-106.77539694756065
-2.62121854958079,-124.44117655628392,66.26960944207744,-267.38896117137034,-120.31478362974595,17.64266800596909,-13.215115142643889,-126.38706173050024,-197.55835397813675,-132.4635526202091
-34.60665161907537,-169.6150250414431,43.99600939701904,-161.19521430402924,-78.32051158408954,-12.768116972726459,-44.83958669218574,-158.05163314528852,-214.4636426217087,-183.95230608547013
-50.60319801255425,-159.2075496202308,63.55553465553686,-153.59949591009482,-101.49503788986148,-46.05740544683636,-41.98394852783493,-115.13297474884403,-221.0518633386364,-142.00656784750637
-61.89012044298523,-134.33049534995587,45.29737123341324,-277.62630746802614,-86.34945405243354,24.308611797025765,-23.64223807994057,-117.18759057354985,-222.56282172270102,-131.90668806334978
-8.828413099625841,-135.39762569041758,49.166269730909775,-175.84494523574958,-113.05269372546735,-34.89096656515385,-20.3102129339514,-124.46191883783631,-196.11246109861813,-193.76074970274217
