variancceSgd0,variancceSgd1,variancceSgd2,variancceSgd3,variancceSgd4,variancceSgd5,variancceSgd6,variancceSgd7,variancceSgd8,variancceSgd9
113495.42192352074,1044350.445902381,1611059.541773029,3364532.217048725,631366.6666758633,242257.29328723406,328221.3205094053,1019723.6421813944,2440574.807725326,3679445.8809685586
361593.6098251055,1007867.9026087633,1823653.8422119524,3118454.538135562,689315.9236079182,211146.46319921358,536908.5698293676,1226906.3412904167,2364888.761729677,3307213.0619916017
307446.9717506302,1130204.8943635905,2109849.3295000587,2970166.2194344383,1080153.2898820373,321376.7817785768,406556.1018268568,1156036.9176156865,2349172.866312612,1699737.8134331251
389437.60332194844,1077618.3152078022,2531981.2136777104,2295674.657555805,945166.2595954117,269447.6640114724,220208.29647605712,744211.6969542517,2326666.917219275,2544706.457914763
281164.64172952663,945857.431687433,1654887.453213221,2096625.8937018455,1181204.8109241782,211278.10300794247,263139.3516561389,375082.02467787394,2169966.4226898006,2550129.5924281487
502545.4888110775,652343.212296549,1531981.6272670305,3020905.2404133007,972860.4691115761,353691.23626267834,405421.65256381035,879990.161034347,2166514.8442043215,2120380.8853114713
462705.1857121127,847749.2965875844,2249923.136002479,2216525.9133277605,958627.7906413497,399920.94771473587,257146.7692353165,1071534.1846756358,2405257.3083910923,2161227.510384359
431113.4100837816,787206.5239362821,1214362.958795285,3455603.20359608,778523.0691085446,565284.0136848639,318463.7980105523,468139.01921424665,1824998.629381537,2904342.3006396573
291420.2905806806,372431.9139244573,1518168.2580728317,2731053.9892374496,924919.5083662143,311105.56739276904,412545.19322337676,944676.0169137369,2388008.905332266,2572467.7155864835
798107.6280926162,618024.4510172768,2095909.898779822,3395420.0724627906,433895.60724380956,424288.26903549774,229907.92842704427,717616.5645726413,1550292.7122935888,1756958.257381403
322577.8726947066,855166.4142388571,1918000.1557419877,2865818.952488859,731645.538081602,510255.2680079755,363742.6583299292,706010.5510394879,2469999.325701872,1269918.0848524424
288925.3632257178,662764.6728828761,2088057.879630368,2542651.0397770572,479067.7253934786,417450.0696935453,360267.6923324828,644109.6951568421,2308372.1402475787,2081406.1578744466
496494.5075375809,473024.47919660644,2123881.5499017127,2962950.0280642835,753954.6060187838,218348.34964563829,598512.3115248359,729662.0751757831,2030382.1551644264,2266981.5093215173
224924.27884070063,647984.5921567148,2292461.3733913577,1741236.9371905974,569391.0465929435,243743.76723912646,363059.1806642657,582772.0646347023,1435802.2769170697,2316696.3154694894
616340.8129665253,527516.4319317958,1627325.042942471,2085803.3329751482,981932.5185607357,355478.70421351824,435820.1313793382,393955.05541922734,1535624.7075293486,2197192.6661618324
672381.8963517472,566221.784907032,1786065.3812324621,3017240.9582380718,516919.3244360931,323213.6503712792,368675.2503457409,821834.544788396,1346084.1692432717,1357660.169053317
717477.7719045369,711977.0283583759,1573325.5360131315,2563068.8191881785,491172.1831585641,353469.6341951945,569886.240143152,532922.3899180933,1693320.4842425843,1687515.2902214285
296460.56564057677,306850.768028877,2476659.4611535976,1471643.1561794146,888479.3937981143,532276.0696900117,421400.6085851246,564187.7614309699,2711902.929888523,1680907.6096202456
1163307.9112540323,439850.18818101124,1487934.4638524554,1277109.4971728637,622819.7383928702,414290.30124544783,817695.8745363511,445726.06354251335,1970010.5716692326,1588467.4040623696
257069.81010924105,328151.18048332824,1917836.774723871,2681478.2260600645,638645.022200214,369281.8632079106,629950.9517314432,446478.27408589254,1838103.1285043005,2231063.06365198
303401.0895005748,450390.0216695963,2057325.0417133875,2092433.922801421,723513.9609499272,413829.6755461679,558700.5230531688,437193.52732778795,1954877.1124145493,1299804.769169155
440983.94958829647,609436.400660512,635028.6570155574,1307771.716618145,695466.179954741,404871.47967306594,710252.3426613911,611276.3134372621,1521603.4649499673,803938.951337314
565578.097387518,145294.38579309417,1487528.1236452763,1231516.7642272701,322628.23133235413,343511.33758428093,982976.4881344434,508086.22022991074,1603969.6443010238,1492025.8661468648
421167.9006097594,331270.49932871066,816171.2244341343,1261162.1755294083,650941.4970531785,401759.81026638194,531058.2298387756,277943.42887575185,1336856.1771548782,1236404.2768643687
274248.0117294161,230231.624631096,910921.1703265031,1858472.283889494,896801.8145200671,384819.1039529473,939402.2122432023,450642.0679629594,1471646.2956951295,1006865.1427216866
180417.45859443225,462170.5341406965,1074178.1782649457,1418449.5010851515,635499.0080598956,317524.4176673102,348297.17025012046,472232.30056445056,1544846.2153505278,1669122.2455167663
472912.3486481005,335175.60364596924,875147.7668666971,1852384.1536591286,779019.519723675,944058.4866716189,720370.35254807,403043.6079412339,1658624.7889776332,1107334.5950369334
285319.2904693695,181296.92845137726,931863.4250623402,1784530.7586223786,788166.2664766654,311461.3915719858,740048.4967550898,409222.876414461,1794065.7692758613,1444751.7856979766
132110.56863042634,462192.20474986406,930657.9111343287,2125337.9836038733,709927.6334573056,631533.178859198,452887.2265590071,304030.061901421,1808024.8579201163,1003152.2616159368
350290.46657632024,267296.0451147312,639357.4650658842,2270674.9798907866,534501.9372299793,588117.9553262654,548028.3384446587,502384.156815327,1639485.9124523364,650736.8040340098
484990.027607463,413375.4833150322,1080282.1445572693,1354768.969412912,436532.3498755684,477094.25573908444,624560.765186395,636348.1139079842,1152293.1671741628,882664.0639150067
369536.21407246415,221178.45709396794,628794.5998766109,1011874.9503206926,493072.7778654446,428105.0361979288,418065.62507768674,385401.71364346216,1022893.6805021265,907866.9242435909
445505.5655626304,205472.0246905137,796049.6448030939,1163922.3860294458,659925.767876911,765661.9498421014,467056.39653638203,474901.4527018027,1340182.2027610755,1219936.1759986433
793259.2348230646,173253.7921005831,1119165.1644091192,1854986.095385354,428638.22743538837,774260.7849350944,541871.298041916,594596.3878855135,1296913.0763605754,707210.7231361367
901478.7962921899,319680.84363629797,711108.2330758073,1039675.0406829917,791696.1374814771,650452.8314193405,380386.9514039194,438827.22886204044,1370951.2275580969,961842.5075174973
691817.6887725147,256325.06248882148,1367334.3206429156,1254030.9794724206,531326.163635893,785280.2103945643,662255.6325810986,573117.6898150331,1257150.1020761542,966903.2419459078
856674.438482106,216146.44671930114,1484743.6217492204,1139855.3764601713,400319.6526922365,568908.0686789931,674544.5497590208,457402.34115056146,1293174.1117986063,978557.2391728722
620393.3947692731,321822.6180613306,1410268.4947029352,1438290.3766262725,675326.0956157863,622041.5845482119,848565.3432122194,494760.1083767627,1137434.0515740584,1364579.734239304
561027.1704460961,355396.57482351566,952161.8206133477,1217784.5447052545,422418.14189689414,784245.9044848665,1059999.6476934848,617864.2722399778,1292908.0301064092,1259276.1186205675
703219.2979294971,307583.37728488375,889556.3459167809,1819970.1598742702,525057.5962149706,521349.1433926039,1068510.6267714952,433939.44673665817,1774077.371164844,828267.0670616121
400532.8377488812,411353.62833997526,2177316.7965995027,1583673.3028980677,790094.5408452279,645203.3083712816,1003304.4479336613,1141410.3799870852,1630683.6311255493,573271.1682152565
615565.258362164,334897.8677809034,1282435.3298182604,2447027.7721110513,791394.8219416349,406912.76256640046,1023548.389196931,895777.3748768889,1353274.8362581434,1217511.8395047341
429759.3569219607,410668.2110510665,1393991.8466646383,1234235.9947723541,750302.9682475739,826132.7014266019,756420.0328323664,687553.8063467408,1222970.6478277878,1165801.9276127424
352930.8145688785,211563.06966853997,1935617.7034787424,1623104.7254641633,851372.6854135292,729858.7719932523,847132.6558946052,554032.5640642808,1226664.120632796,826993.9431187295
479259.56419785356,326668.8955101012,1783279.128378762,1607531.938537813,873662.9045080007,806816.4379003787,1101197.7183833707,562913.8195046181,1446437.6645743172,1014964.915863069
479983.19523911446,402288.7259993383,993998.7760757499,1415687.316482576,463485.8777754682,675747.9256101265,1059333.7632037383,806364.6707597292,930037.7808014939,1126773.1176086168
331424.7668327076,251821.180229301,1385533.1743592634,1141451.0196852512,994705.6190058729,1313190.170166737,1474445.1278566532,571306.2067316175,1004591.4627374117,1092126.2348297248
487954.0946414434,259329.22979578626,2077403.072509848,1673788.9492677902,618958.4792747167,1392975.1481040039,890544.8697696115,969809.1513519903,1262813.5234965465,776861.021365081
485619.67255823774,630735.6307071842,2742620.819114511,1210059.6299523485,620492.6181692053,572540.4927874089,1069086.0408600247,474836.50690537744,1925059.820109615,1062642.4901595837
639893.701261138,686268.2683492227,1484333.786644875,1190821.6257917103,842391.2358431802,1008984.4599391492,1746851.5240472746,1042662.0187234288,1244271.9439654183,794566.564241783
624388.8501750575,417419.45586140896,1821153.6281899714,944435.0561531121,562860.3363383134,1315699.6381521444,900677.7374419582,899499.2533478583,1050284.8982836218,1801218.6264324188
759765.0388763091,296412.7212468583,2061347.7254493663,1633211.2228398146,558438.5144061206,1422763.8879669732,1194444.863475282,833063.9841746613,1177421.6185754226,1594416.0459276957
646999.4902231302,388385.3237609326,2678253.5441831797,1798788.6881118459,375813.15486722405,1412151.557607622,1722909.2155380144,891083.1090889917,1051810.7647373788,1260223.1352889768
378951.2654093403,364865.9126407061,2013464.9068894847,1542399.0620902113,862719.9464320679,1766286.5185784367,1129179.7968861174,1113023.6160974742,1354718.8660381269,988716.7630675206
308354.2520857312,558147.6247138581,1825240.578980703,1755159.4286715784,722411.6435637826,1110341.7130229576,1632857.5262904307,674679.778516303,2141147.3229309684,1242880.2501143622
544700.3340077834,545593.4406280535,1402957.3413703453,1718398.5555925502,662097.2631582413,1177450.2860777224,1263590.5730533316,1093241.8654271886,1117414.0675966577,1238164.0021703339
266989.2706324989,737120.2330907153,3072608.027608779,2361999.8475098265,714449.5194932166,2480805.4397320217,1290658.8411901523,1335618.7848898387,1470267.5889875272,957623.8119718762
949671.3271945011,668944.6097660786,2264021.823300941,2326702.348870688,1192927.2946624563,432236.8972000991,1038187.3622356321,1234920.2016382085,1778309.5641716497,1053450.2451925022
896002.3917751141,417982.4729525452,1908577.1479553466,1196087.8240861362,948614.7665648812,2066396.792226463,1348301.0075018543,591887.7362108803,891597.6903264247,606952.5730194227
379333.5613334412,290209.2846718483,2090703.4317613435,1210219.8762291307,872484.8789579081,1287486.4612800279,1485959.9972138703,1126653.0518645032,1526877.9707539547,761417.6698991617
655164.8377904415,570447.0954069255,3182335.2607071307,1094911.5873102455,662223.0258236976,1498016.0668016577,1444456.654633484,1922182.3829969359,1111508.3296469362,1073947.6259469702
584208.3596134535,628633.2223988342,1604067.8540279428,1233529.4197364398,959321.2500129887,1967958.6470909119,1692148.3529632404,1078712.3023166028,958819.0753126377,1409585.7108781615
458958.73743369966,706559.6984242715,1832523.4081697671,1288769.9069230107,1080936.652485631,1222428.7147770352,1179029.3708351238,1127046.253016693,981235.2882935586,1166797.6220867408
