,diffLr0,diffLr1,diffLr2,diffLr3,diffLr4,diffLr5,diffLr6,diffLr7,diffLr8,diffLr9
0,1.1585135720262748e-05,8.923939970575397e-06,5.872293907259361e-06,5.477520933449137e-06,6.829945187883697e-06,2.1173036861008836e-05,1.61878905716841e-05,1.0399322605865112e-05,4.228735649011188e-06,3.248090462073534e-06
1,9.222193260978458e-06,9.980914321546012e-06,5.738463405965137e-06,3.942859802731759e-06,1.3693659298056618e-05,1.5680274270933583e-05,1.0857930323606883e-05,5.8548977016801815e-06,4.715549988716959e-06,4.4432719815240595e-06
2,1.1260027340790402e-05,7.83348801368446e-06,6.903993746229115e-06,5.439828986897626e-06,6.469067597320203e-06,1.1043303639204186e-05,1.650179240710988e-05,4.815551245357575e-06,4.524579036632068e-06,8.723215443516401e-06
3,9.027275067343923e-06,7.0635732824759265e-06,5.494853585794845e-06,5.690453186877392e-06,9.556235665344249e-06,1.3848089642491733e-05,2.3519633309976065e-05,9.751892366604405e-06,4.734659243082409e-06,5.168414532090736e-06
4,9.82280080749016e-06,8.466172744455432e-06,6.756783967259967e-06,4.508846035409349e-06,6.261448615612291e-06,1.7680955293742758e-05,1.8440731481467682e-05,1.6316413766913355e-05,7.047026483818158e-06,4.246410316441115e-06
5,9.985025555116366e-06,1.2239363940086522e-05,8.138614751790942e-06,5.454325541473489e-06,7.019400921641164e-06,1.1534044606570335e-05,1.308628804593305e-05,5.9388894464926285e-06,6.935631163776811e-06,5.312797750866205e-06
6,1.0140988046390025e-05,7.277628894490484e-06,2.3576949279616283e-06,6.69517437695232e-06,7.356522044160252e-06,1.2457489438209321e-05,1.8211093433768994e-05,6.4842330679107056e-06,4.3096962723754995e-06,7.266899053580932e-06
7,1.2050335086040205e-05,1.0337967583293716e-05,5.175267089641671e-06,4.431061359731768e-06,1.2007580600781715e-05,6.943107239428537e-06,1.6199743359637766e-05,1.0071567440305895e-05,7.1582676430122525e-06,5.789859702008971e-06
8,1.2150614129254893e-05,1.4444083229540616e-05,7.431987072767895e-06,4.984333974574924e-06,8.44964583043132e-06,1.7802491686827836e-05,1.1310340312749506e-05,7.5527521831216845e-06,3.666256978936197e-06,4.5971637841520896e-06
9,7.486054796330856e-06,1.2314586018845833e-05,6.848492077223048e-06,4.589794912546133e-06,1.4138929139756964e-05,1.837080639082331e-05,1.408014685991952e-05,1.0895385600612287e-05,7.335579360676226e-06,8.305821444977912e-06
10,1.1431781638153244e-05,8.872672385530401e-06,5.7455808207261715e-06,4.910119900654208e-06,9.653614143224296e-06,9.89195747611674e-06,1.7030138129515914e-05,9.984715177560107e-06,4.181574543226319e-06,6.496748499741572e-06
11,1.0386856846281988e-05,1.0121065454636486e-05,7.74029609285988e-06,6.376944766911999e-06,1.5419636227471436e-05,8.994196812568862e-06,1.690724238606115e-05,9.55909731814479e-06,5.874955754416245e-06,4.857772407001153e-06
12,7.559833370588148e-06,1.2788657083535925e-05,6.696407547177318e-06,4.632790068056893e-06,1.0981100093933212e-05,1.4110341385841107e-05,5.671215745389578e-06,1.1865862658007522e-05,5.191039257228179e-06,4.147387544463153e-06
13,1.289810284428772e-05,1.0208391008678578e-05,5.058974199994342e-06,8.042340388925002e-06,1.0290233558884067e-05,1.8348596580289822e-05,1.5579967052838864e-05,1.1857028870894137e-05,5.696844728135006e-06,6.135427324535905e-06
14,6.987100895910539e-06,1.1859095070061459e-05,4.888274953773444e-06,5.189151806297934e-06,1.2131093062878943e-05,1.1500133113578298e-05,1.2205422777368306e-05,1.3116473870253014e-05,8.23333691052362e-06,6.171405951657877e-06
