rewardsSubIter0,rewardsSubIter1,rewardsSubIter2,rewardsSubIter3,rewardsSubIter4,rewardsSubIter5,rewardsSubIter6,rewardsSubIter7,rewardsSubIter8,rewardsSubIter9
"[-109.42289125 -106.35739058   63.75921027 -119.40961733 -109.42289125
 -106.35739058  -89.07050602   63.75921027 -119.40961733 -109.42289125
  -89.07050602  -11.79273382  -89.07050602  -11.79273382   63.75921027
 -119.40961733  -11.79273382  -63.23728109   63.75921027]","[-171.52726035  -26.91036583  -69.02836758 -238.59250075 -222.53068398
 -285.08765657 -325.03041191 -240.95518153 -222.8770559  -245.10229404
 -101.55754484 -119.68314044  -76.06709035  -83.30065064  -57.38927125
 -129.7512552  -238.59250075 -173.20203245 -225.05964841]","[-348.26133835  -73.27618802 -260.26610128 -190.60220571 -188.25394472
  -47.62999706 -328.13820038  -75.49448602 -282.67687803 -203.48669694
  -86.70565358 -369.08570402 -238.40378232 -241.63456378 -227.15515469
 -249.39782362  -73.19385523 -121.10249405 -158.60619593]","[-156.54666831 -311.57688808 -488.55882559 -216.42813222 -382.86481457
 -515.95231268 -330.77167752 -387.86926444 -400.77631414 -145.67069147
 -278.2481339  -315.37417387 -166.35194264 -303.36317732 -149.33043969
 -479.19988984 -248.18557034 -374.33822909 -224.50981611]","[ 210.46949557    9.42607031 -127.85283861 -200.04144873 -137.32669191
 -101.9969264   -87.71805695 -238.4294861   -66.97036888   -2.52683463
 -166.76856544 -172.15246635 -128.15804921 -180.80493788 -101.9969264
   -5.06542446    0.5219362   112.71763389 -185.01328616]","[ -98.80867349  -76.35020083  -50.3138681    23.87136283  -43.8615947
  -54.45762794   -0.96245938  -28.09106903  -48.60521371 -158.37139658
  -50.3138681    23.87136283 -116.65285841    4.6652895    62.36076212
  -50.3138681   -31.87994779  -70.07077458  -13.01420287]","[-127.46659681 -205.79408294  -27.91849709  -88.41779843 -159.87523402
 -101.92067982    8.87064014  -37.86064048   81.11434745  -92.38070556
  -48.71832238  -52.31465929 -206.60873428  -97.42249651  -81.24211404
  -89.13071255 -113.56905245  -18.02658244  -11.67315509]","[ -52.26184007 -204.04004259 -185.20382423 -175.25116471 -166.62393104
 -224.30610927 -101.13225546 -213.39934441 -244.23080168 -130.57843371
 -124.5237324  -134.95276086   13.91234731 -217.09914843  -27.83244211
   28.12956925 -113.81991209 -181.56521587 -241.5448918 ]","[-357.3488341  -330.05486533 -302.63603963 -203.47709617 -326.01832466
 -232.78052683 -491.88545647 -300.99159089 -364.09314331 -131.42356819
 -348.0831282  -417.21115487 -290.35766979 -272.77084096 -395.4873988
 -402.54467352 -308.89241017 -166.46299696 -288.56643726]","[-189.03207902 -300.25753974 -189.03207902 -300.25753974 -246.61968218
 -189.03207902 -189.03207902 -300.25753974 -189.03207902 -300.25753974
 -189.03207902 -300.25753974 -189.03207902 -300.25753974 -189.03207902
 -246.61968218 -189.03207902 -300.25753974    5.02851191]"
"[ -23.56652511 -100.77650987  -51.95531994  -12.30511112  -51.95531994
  -12.30511112  -70.11311122  -23.56652511 -100.77650987 -147.96452343
 -147.96452343    3.56589588  -12.30511112  -58.7518772   -58.7518772
 -100.77650987 -147.96452343  -58.7518772   -70.11311122]","[ -43.29100237 -250.09211059 -229.79358289 -132.60813357 -175.08293344
 -156.17988422 -243.69212799 -302.55183907 -214.16271453 -132.63362859
 -141.14961253  -45.58931366 -164.90474107  -59.26940821 -220.67975079
 -252.42316174 -153.04832655  -90.5884656  -267.5874565 ]","[ -74.24850747 -193.79285359 -318.69282033 -206.25901169 -346.09393586
 -183.1849479  -169.83961779 -182.25750956 -131.88957571  -42.32424567
  -42.1897309  -344.21491448 -285.11273348 -234.31629312 -260.20891512
 -435.13949896 -288.88471851  -61.98645113 -355.88835983]","[-405.91039192 -310.54920824 -240.45936716 -237.29842041 -282.49885254
 -150.01006856 -270.04831763 -220.77567763 -257.15872514 -488.81746154
 -213.30055266  -91.64310997 -324.99806315 -506.86257418 -421.62933501
 -420.14342286 -141.18760635 -435.88391711 -357.19493562]","[-116.03587877 -166.14469717   50.3184411   -57.41673282 -127.55694953
 -119.02747256   81.06084824 -204.54942444  -82.0108623  -203.71838804
 -254.22163331 -161.08062249  -17.11105794  -98.72570273 -161.08062249
 -206.51728929 -138.75134669 -179.31362944  -85.88439128]","[   0.42060178   81.91812444  -58.27902902   52.8975445   -69.58085855
  -76.08010153   71.89269072 -111.33144086   52.8975445   -74.75612778
   52.8975445   -74.75612778  -44.62434912 -220.0277196  -127.36313111
   87.48271496   55.98512294 -125.36265349   11.20697578]","[  45.14284318  -67.64923323 -101.27212849 -158.59387166  115.21469348
  -70.6803151   -66.83488454 -370.53545195  -69.1583482    42.83142472
 -158.8178575  -169.31747246 -220.52393322   92.13219233  -75.39620133
 -118.03664857  -20.26379177 -106.29422883  -44.07562878]","[ -76.4712044  -201.61817244 -235.12348599 -172.30268523 -204.44734411
 -240.95406121 -254.92768792  -83.1672899  -342.36633324 -238.26545859
 -276.94334213  -99.3947033  -121.28633157  -16.3220665  -124.51169567
 -214.84877565 -230.34775267 -204.70079966 -119.60753621]","[-371.32454704 -211.62569894 -377.62130997  -51.03984503 -136.28502345
 -169.57545192 -384.94443783 -342.67596682 -309.15819649 -289.6027353
 -488.72407083 -214.7486151  -343.29270481 -330.25821697 -403.24868258
   12.76555292 -273.14177414 -190.40542509 -383.74498172]","[-227.88298411 -258.60642567 -258.60642567 -105.95852401 -258.60642567
 -105.95852401 -227.88298411 -258.60642567 -258.60642567 -105.95852401
 -258.60642567 -105.95852401 -227.88298411 -258.60642567 -105.95852401
 -258.60642567 -105.95852401 -105.95852401 -176.23106447]"
"[-158.23271214   14.62500407   14.62500407  -36.4738959    14.62500407
  -36.4738959   -36.4738959  -104.88649837   52.58086104 -126.84558373
  -59.18605848 -158.23271214 -126.84558373  -59.18605848   52.58086104
 -126.84558373  -53.6973486   -53.6973486    52.58086104]","[-218.44415456 -142.27993723 -113.53901276 -266.97800868 -126.4343026
 -241.23849492 -205.15469615 -108.89378333 -168.65170334 -156.00633958
 -154.36719713  -80.77234271 -117.9789909  -280.80603862 -386.42203501
 -262.31366687  -91.69176011 -245.55801316 -191.30507316]","[-324.27915794 -175.40817791  -89.10419932 -199.85335465 -136.25918427
 -169.24878173 -282.02693799 -348.73093222 -190.66101442 -124.67561943
 -337.51255137 -279.77002232 -278.96495237 -237.66708646 -124.67561943
 -294.35815325 -317.15133549 -133.77960462 -430.27368011]","[-413.23645672 -260.48792992  -97.22603741 -264.31284375 -478.46097939
 -500.40831492 -203.56778421 -545.6598327  -530.56677155  -75.414
  -95.56826489 -352.6570872  -360.10592811 -271.23095794 -444.49789885
 -529.4196242  -184.38885702 -345.2226031  -283.86412351]","[ -77.19788905   71.00340512 -142.34112125 -253.42144239 -245.70538201
 -144.29959192 -203.91437978   34.55363195  -45.49004402 -201.00585046
 -245.70538201 -133.15127381 -156.21709065 -175.73343508 -112.13987538
 -108.35702871 -286.0472883  -217.68028182 -212.01268958]","[-224.39548493 -170.27591775 -129.17878025   37.6927336    62.42130776
  -46.37305021  -53.63714923   64.66333108  -53.63714923   64.66333108
  -47.90596399 -192.55651068  -57.38780591  -23.7795484   -48.28685278
  -53.63714923   -7.87790234   -4.58752519   16.11726712]","[ -90.07929405 -117.06789578  103.23816144 -202.66995152   94.80810641
   10.171741   -121.17648894  -65.65398511   16.00883904 -169.19041725
  -55.84540595 -110.11584517   31.34551113  -49.65162416  -25.1891237
  -23.83309484  110.23429981  -91.20903678 -179.93000511]","[  23.23124443  -58.12061727 -165.42280037 -254.02794919 -194.74986589
 -185.21456686 -157.76096752 -195.68638647  -12.82309017  -83.5077873
 -352.65811713 -242.87256778  -48.38959359 -135.34118415 -245.49484628
 -183.24934946 -120.11477835 -228.94239055 -305.08085532]","[-336.49201431 -194.79387438 -142.34682191 -290.97740655 -348.57705224
 -301.911371   -476.97370873 -409.37790961 -379.20246425 -289.72656464
 -422.42230497 -373.35277727  -26.23766555 -302.9875375  -267.19681129
 -300.37524708 -299.85151865 -431.76130635 -309.75343131]","[-386.47603781 -192.108032   -386.47603781 -192.108032   -207.70112392
 -386.47603781 -215.21261276 -207.70112392 -386.47603781 -192.108032
 -386.47603781 -192.108032   -207.70112392 -386.47603781 -386.47603781
 -192.108032   -386.47603781 -192.108032   -270.61215763]"
"[  33.619534     23.37184266  -40.31432396   92.66381176 -146.50991699
   23.37184266   92.66381176  -44.7280573    33.619534     23.37184266
   92.66381176 -137.52688238 -165.47451776 -137.52688238 -165.47451776
 -116.85445258 -137.52688238 -165.47451776  -44.7280573 ]","[-199.15507593 -228.28189357 -293.22671905 -151.69154025  -90.08370463
  -26.50796697 -281.47550458 -109.23900001  -77.46290101 -312.9976257
   -8.6863367  -243.91095033 -245.04598685 -107.9038563  -277.43362744
 -205.30026463 -174.94288917 -268.31069777 -186.15939098]","[-318.51914901 -151.64166141 -202.30824128 -288.35952375 -400.08646581
 -144.40636196 -235.7023431  -170.99529388 -347.3998452    58.10935783
 -446.2260414  -198.00919615 -134.38559238 -318.51914901 -151.64166141
 -433.59941164 -293.02323916  -96.96173766  -72.28010168]","[-258.66193173   78.36407997 -317.27690216 -139.10973501 -316.01033583
    2.97533946 -616.22507918 -260.32273942 -355.6492441  -478.17156412
 -156.44284265 -403.52029319 -256.41006521 -452.53250252 -341.27094807
 -312.42342162 -205.16575099 -314.38258504 -297.62729445]","[  72.46170357  -97.90711035   72.46170357  -97.90711035  -40.93073269
 -150.12021193  -34.43060783 -113.87827144 -211.65810931 -161.54247291
  -35.9380409  -361.05417661  -81.85071079  -46.93324939 -212.82238148
  -69.8865813  -236.69508028   17.90688654  -91.23285199]","[ -26.2269241    44.38686828    6.99396979  -66.37471001  -17.65186064
   45.45811441 -114.01550505 -105.00377207    6.99396979  -66.37471001
  -85.61763686  -32.79386226   67.49194832   20.0046926    18.76715217
   79.87586802   85.13754822   69.46475717    6.99396979]","[ -69.8110221    57.24601907  -87.75364181 -231.69916082   78.89379196
  -19.36497828  -17.90222112  -92.73995492   80.97339405  -69.68485909
  -91.64399093  -79.55601745 -196.61298097  -42.72165033 -108.84410589
  104.86226381   75.67348924   24.0252715  -134.85977365]","[-149.98736937 -215.40439569  -27.49416033  -31.55319172 -323.47279861
 -192.62083977 -130.5503424    76.33201539 -114.57122537 -201.13715756
   -6.13195814 -127.72301028  -52.69014394 -182.50582836 -147.83713762
  -92.22035318  -75.53002515  -63.21623473 -248.18271272]","[-288.25476759 -290.11148156 -274.75538653 -490.27019458 -216.93401651
  -27.34357028 -388.97627993 -280.10843335 -162.22392425 -337.37843436
 -376.03484953 -334.00968953 -251.95399093 -408.53181813 -351.02002357
 -302.1281176  -196.0797277  -496.33026769 -259.32074961]","[-440.00806617 -236.9775603  -236.9775603  -192.06623273 -236.9775603
 -192.06623273 -236.9775603  -192.06623273 -440.00806617 -236.9775603
 -236.9775603  -192.06623273 -192.06623273 -136.68280646 -236.9775603
 -192.06623273 -440.00806617 -236.9775603  -419.0241931 ]"
"[  84.71204765 -132.67432339  -20.40934231  -87.96135889  -87.96135889
    7.18547954   29.44759432  -20.40934231    7.18547954    4.88153894
  -87.96135889    7.18547954 -145.86710195  -52.90362086  -52.90362086
  107.96733554  -52.90362086  107.96733554  107.96733554]","[-147.79342136 -231.78384338 -162.74904484  -68.99560916  -55.04402584
 -102.52435894 -104.28609046 -218.94848184  -73.22476722 -117.05065798
 -244.57803639 -118.75188904 -132.82707097 -288.44041781 -309.9597025
 -255.34897044 -126.7025417  -209.44734931  -68.27766865]","[-274.39454281 -117.98836628 -223.37042469   10.25902472 -214.87027546
  -71.45357936 -188.22900875 -230.23580464 -311.76770889 -298.54461203
 -219.95315916 -213.84781437 -178.8382647   -55.40758689  -81.16709526
 -360.67255839 -436.95859828 -195.98936159 -213.84781437]","[-336.31558849 -438.83901947 -432.67747919 -209.21003737 -379.65307168
 -224.26612985 -135.17042914  144.73245801 -211.72303456 -425.65477141
 -405.87294541    0.98391937 -331.316771   -345.90376151 -280.92714465
  -94.95251875 -115.77955291   -2.12382083 -621.79006226]","[-278.70260785  -50.17454264   -1.3254802  -222.70498663 -278.70260785
  -50.17454264  -71.99767732 -254.24462276 -214.45791083 -219.61564167
 -157.43050218 -231.60761105 -111.33956081 -217.25119284 -147.93279503
  -84.70406703  -92.68313772  -83.78055785  -23.8283575 ]","[ -80.86337885  -38.07049697   39.14461124   55.44787174   55.44787174
  -55.81027888   55.44787174  -55.81027888  -91.77327709   31.56375142
  -91.46320889   -4.82224525 -134.58276611  -55.68843424    8.39576703
   89.12377929  -22.63254405  127.88675886   57.9421068 ]","[ 162.3010858   -17.56396291   83.86444982 -139.71126585  -43.73056718
 -127.16755918 -176.91991024  -34.63396079   32.78926181   75.82749338
  -25.32449368  -12.70892439  -50.9616516  -148.2436392    51.6036031
  -40.38128958  -44.28300124 -110.16833065 -180.0543566 ]","[-106.67297376 -138.54880904  -83.77170618   -4.47880933 -118.93942841
 -112.0235106  -223.42660715  -93.25262098  -45.35902636 -118.31166284
 -211.14517835 -141.75715797  -15.32701877 -200.39945026  -38.16354673
  -33.92068173   31.41875391  -16.89190277   53.43506385]","[-205.13997883 -237.76210122 -321.63197022 -254.72501855 -168.91455479
 -302.06176304 -547.53862464 -208.69380603 -121.56230896 -322.58038497
 -405.37945039 -376.77818318 -259.30840987 -313.91835811 -198.40714001
 -171.87202455 -368.78966157 -289.05282216 -264.07281267]","[-190.84178866 -422.54262323 -329.84567164 -283.33180303 -283.33180303
 -164.58917541 -329.84567164 -283.33180303 -283.33180303 -164.58917541
 -283.33180303 -164.58917541 -329.84567164 -283.33180303 -283.33180303
 -164.58917541 -283.33180303 -164.58917541 -150.7876681 ]"
"[-141.16149226 -179.8633159     4.44514299 -141.16149226   38.12813614
   32.80623051 -165.72848869   -4.10628333    4.44514299 -141.16149226
   -4.10628333    4.44514299   38.12813614  -55.50730512 -124.46367691
  163.71220679   38.12813614   38.12813614   32.80623051]","[-131.80464333 -262.32992255 -190.61639634 -198.26569408 -118.17386443
 -116.16641034 -127.27102591 -154.49685704   -6.09369504 -195.11466702
 -224.94756739 -274.44398745 -149.01320973 -128.18605173 -172.34505233
 -241.43708928 -143.91201396 -116.74576435  -80.99939802]","[ -22.4674119  -525.0964014   -49.53663243  -89.77307856 -386.31821064
 -111.16454241 -239.43337382 -319.36664058 -194.7606543  -302.00430239
 -139.96355137  -49.53663243   21.40348898 -248.11340645 -230.08159274
 -240.99699856 -124.38104563 -262.53846752 -224.09635722]","[-261.91445518  -80.16488104 -226.51022261 -346.83048187 -274.15114172
 -458.99534417 -428.41110518 -492.18938547 -255.25828687  268.2002788
 -383.46158445 -339.34684769 -297.97913181  -46.70546023 -238.27558456
  -10.19370621 -493.51548957   43.2407952  -370.16298067]","[-147.98393664 -148.89751864 -150.64568634 -176.62618051 -150.64568634
 -176.62618051 -139.06632727  -25.7851203   -63.36101079 -295.16230921
 -178.76718838 -232.06956122  -91.01294427 -238.78128032   51.14769983
 -194.34256907 -293.31059401 -180.49994784   10.49922121]","[  83.94248349   15.10304822   83.94248349   15.10304822 -193.69819651
   58.49085998 -110.62059911   83.94248349   97.3114809   -43.90704595
   -4.31607246    7.38177584  -99.47398694    3.35371593   68.27163594
  221.68424253   38.11878942  -81.16902823   45.69899999]","[-165.20359048 -284.95533586 -117.00344009 -127.67877402   33.00290236
   23.33693776  -48.88762595   14.19476209   16.11182032 -193.0207181
  -28.13900192   70.35122068  -19.67770994  -40.38805796  -68.34612269
  -74.9281731    -6.90442143  -41.28889178  -33.66164203]","[-277.70913748   -0.54340231   25.7691527  -133.8945336   -80.60821846
 -203.41777643 -200.1673388   -80.36284153 -226.75954846 -176.35752095
 -104.33847744 -283.78037694  -13.91638896  -42.74842387 -209.13350237
   54.35490384 -191.53290111 -267.56792036  107.18858742]","[-406.77195494 -234.81254869 -291.37151664 -404.15004828   82.68593488
 -330.56476053 -232.44496892 -136.0198917  -310.30274741  -10.72835094
 -342.34575133 -215.8569705  -336.28583817 -422.32907513 -337.39206254
 -243.63851097 -173.73688879 -157.88235167 -226.61850579]","[-393.02782497 -258.96057902 -208.15080978 -319.06234623 -393.02782497
 -258.96057902 -258.96057902 -275.97851891 -258.96057902 -275.97851891
 -258.96057902 -275.97851891 -393.02782497 -258.96057902 -275.97851891
 -393.02782497 -258.96057902 -275.97851891 -180.61611508]"
"[ -52.09617446  -60.69095735  -56.9201728   -89.10244566  -99.0313531
 -134.18619033 -245.34139083  -99.0313531  -245.34139083  -99.0313531
  -89.10244566 -245.34139083   23.44617863  -23.46059618  -60.69095735
  -71.46357101  -60.69095735  -52.09617446  -60.69095735]","[-149.93376035 -112.30183533 -219.34777451 -171.95802041 -159.30602927
 -116.9151132  -164.96134756 -138.43953296 -162.24013143 -147.3487815
 -173.88023317 -149.7289599  -359.75184156 -106.96034578 -141.89474066
 -137.28406667  -83.90380957 -206.91540109  -59.64328955]","[-442.35999511 -158.96064511 -186.29985454 -261.57680438 -325.52209714
 -145.25180906 -122.60646567 -267.26940625 -304.50050212 -294.02556281
  -29.22198192 -272.79065844  -79.93890768   52.03239443 -262.35174996
 -252.99411135 -306.11339175 -262.35174996 -197.16938157]","[-305.56279478 -355.7803734  -263.87882153 -179.15876219 -189.48454096
 -212.15014159 -435.44566633 -299.14902502 -392.0902776  -322.80710726
 -179.54035471 -208.92887679  169.40004224 -279.82194844 -166.35047958
 -229.86818947   62.78858656 -537.62227751 -223.6714851 ]","[-314.83929507 -111.10337251  -50.76421672 -178.49453405  -85.255629
   -3.10328173 -205.63705427 -317.46915887 -157.12273202  -76.45481637
 -101.93848883 -180.52979191 -168.70099847   42.50275306   32.05643569
 -168.70099847   42.50275306 -169.28051547 -143.34260205]","[ -32.51342518 -126.48259797  -87.39634611 -149.55118339  -32.51342518
 -126.48259797   49.41180504   69.71972202    5.51411902    7.66321469
   55.88113767   -3.42925945  -40.80772304    3.92181514   68.39256784
   -2.85212756 -111.45078046  -32.51342518  -61.5701972 ]","[  87.03504579  -22.36660828  -36.11109887   -7.08239771  -14.10268339
 -114.79537406 -120.61077003   35.54866341 -140.73328166  -57.61993088
  -48.32649487  -46.19295992   10.96342833   50.44032243  -81.1629306
   74.72259821   19.36053177  209.1254835  -109.53361714]","[ -63.67481055  -64.64325672 -165.85274288 -267.80204124 -193.62687157
 -153.59439347  -75.92105707  -16.48480697 -272.5598103  -183.83648445
  -90.42229234 -199.26061213 -139.21366045   76.21501298 -258.77961389
 -223.2157837  -162.60527387   35.14349326   -7.43263549]","[-235.88166104 -277.62990289 -474.88686525 -372.74398915 -232.53251555
 -324.08954036 -340.44403076 -229.82950023 -278.65829672 -312.45686121
 -433.92961221 -219.47177652 -322.99256167 -185.39348883 -188.29976439
 -371.96587755 -286.81234645  106.09299651 -262.47195536]","[-225.0473316  -390.06640347 -168.20296337 -225.0473316  -355.96624517
 -273.18460881 -390.06640347 -355.96624517 -355.96624517 -355.96624517
 -273.18460881 -355.96624517 -273.18460881 -390.06640347 -355.96624517
 -273.18460881 -578.37189653 -390.06640347 -355.96624517]"
"[-281.40521533  -74.40483023   10.74176018   67.98359786  -74.40483023
   10.74176018   67.98359786 -150.11433767   67.98359786   29.33323569
   10.74176018   67.98359786   11.20866441  -24.59114022 -150.11433767
   25.36061904   25.36061904 -224.63613848 -150.11433767]","[-174.52403436 -111.16191546 -130.52428052 -107.01356483 -246.2703373
 -127.44816697 -133.8244992   -66.54563984 -261.55940672  -82.3456105
 -253.04124129 -107.06963238  -86.96025754 -181.18841391  -14.09261288
 -131.6306243  -400.92839602 -100.16931701 -201.80608926]","[-270.28849262 -164.30764439  -17.66723154 -333.18076313 -224.24212897
 -292.55227779 -291.17177186 -195.15706725 -193.96722743 -235.6588093
 -223.94436211 -115.83674435 -244.85734106   24.18921849 -286.90076602
 -209.97288702 -151.80581541 -272.10994319 -237.91694141]","[-457.39602288 -379.19578244 -213.90872515 -266.5270817  -197.40819354
 -453.33022666 -320.65962343 -569.2311027  -247.52982001 -509.00607727
 -176.25251119 -333.24819474 -151.28367189 -158.12147197 -351.57849085
 -268.23983659 -538.84741841 -396.73598492 -173.85135723]","[ 107.97639819 -146.67132965  -61.51770316 -139.20110412  -61.51770316
 -139.20110412 -223.62212635  -47.64672156 -157.31265055   51.74845643
  -26.10113033  -18.8787139   -36.63966144 -240.88521039 -201.38515402
 -126.93596987  -13.87600116  -21.29121651]","[ -73.5569701   109.7454695  -146.5220926    93.19481655   64.92591611
  -66.19347285 -146.5220926    93.19481655  -80.24408489 -151.0108133
  -72.35328337 -146.5220926  -107.57135957  -31.64947342    4.153819
   -3.10582843  -30.66735289 -153.6587353   -37.73373446]","[  13.0574127     9.41484709  -92.68152846 -109.57826701   42.02926931
  -42.13675422  -81.58476515 -126.50772988  -96.99403714   11.39416297
  260.76827333   49.53714197   56.12670639   67.40723449   13.28944875
   53.40866337  123.32789662 -157.87822811 -115.86604963]","[ -6.48824597e+01  -1.73323334e+02  -2.03682105e+02   1.11669162e+02
  -1.05823710e+01   2.62258834e+01  -9.80845061e+01  -2.74275719e+01
   1.56373479e-01  -5.79207756e+01   3.71145598e+01  -4.07206619e+01
  -1.73575928e+02  -1.47538898e+02  -5.77346501e+01  -7.71101124e+01
  -1.34111883e+02  -2.46220880e+01  -2.48610898e+01]","[-232.01078354 -189.78665421 -320.61299567 -336.67738744 -369.88394104
 -263.2973154    38.02957029 -239.31275688 -298.8241058  -143.13595596
  -59.5643381  -331.00796337 -192.2468486  -314.5384378  -260.78352516
 -389.37017111 -328.33296359 -340.92505133 -161.54118551]","[-220.93136087  -92.3870915   -92.3870915  -284.85062669  -92.3870915
 -284.85062669 -284.85062669 -400.4730858  -400.4730858  -328.29715595
  -92.3870915  -284.85062669 -214.31195852  -92.3870915  -284.85062669
 -284.85062669 -400.4730858  -284.85062669 -400.4730858 ]"
"[  14.84676534  -92.07486961 -114.54863672  -23.64690804 -162.35627013
  -88.70043769   14.84676534 -114.54863672  -23.64690804 -114.54863672
  -23.64690804  -92.07486961  -93.38043886  -96.36982343   14.84676534
  -93.38043886 -103.27345212  -23.64690804 -232.64287084]","[ -54.22826758 -155.85799814 -127.31433002 -160.50830683  -78.428604
 -160.11705073   63.25795671 -243.13470385 -210.61308066 -136.41651205
    5.71576579  -55.85923305 -144.22995607   -3.97691967 -167.83221982
 -101.27779665  -24.73204486 -106.66279804 -146.23333694]","[-174.50602032  -21.8544105   -91.71238778 -323.99253925 -214.82973204
  -29.16628978 -262.38224569 -539.88068738 -226.77299647 -155.4003072
   11.95755615 -162.82889784 -104.76268078 -390.07298847  -91.48898543
 -381.43567805    9.50947654 -152.52685661 -272.87104374]","[ -96.70511892 -561.91474485 -385.72593239 -524.26895586  -42.58645738
 -306.92537242 -259.17462102 -358.40613769 -208.886206   -442.78500893
 -492.48856617  118.41394562 -446.44493312 -288.18027681 -280.05841594
 -229.84363772 -376.6854797   201.7772569    41.25701046]","[-136.29231744 -115.72164171 -158.29903908 -201.86679201  -78.20027027
 -132.43701649  -37.68006973 -261.89964196 -200.22135223  -16.63726311
 -149.7061135   -24.92016532 -268.58716011  -74.63175476   32.642084
 -323.07912839 -116.29618983  -34.29450964  -78.20027027]","[   9.87028997  -13.19807774   99.97881442  124.67843692   80.0611529
   70.54225382    9.87028997  -13.19807774   94.76030867    3.86233807
  -45.99660986  147.58706382 -244.01366243   42.9052324    81.1346916
  -19.43336748  129.82488185   40.78897871    9.87028997]","[  33.69952324   24.49377243 -102.60986725   27.17153997  -29.47696338
  -11.12581026   18.74746457   70.55033459   93.55762914  -90.24736884
   74.59887874   21.67003542 -125.32556918   80.92627684 -130.78908121
  -55.56238563  174.8157807   -67.06681521  184.60530368]","[-166.06870491   12.51768013   29.42478139  -63.72635854  -68.95912128
  -19.29564885 -165.36569161 -283.23505534 -174.94352795 -113.42865044
 -121.97196355 -200.25240204 -183.805561    -84.7115056  -160.55105944
   14.62293145    4.47927918  104.232014    -23.82930057]","[-369.6223617  -281.20264008 -254.70811778 -155.05319371 -404.33811352
 -299.34779545 -102.40030577 -366.17702212 -189.8770756  -215.15939685
 -469.35259738 -126.36256667 -267.49451938 -119.50509869 -373.61288751
 -353.45725973 -155.12451555 -202.45489724 -282.87689568]","[-206.75618799 -392.78700154 -422.29072955 -206.75618799 -422.29072955
 -206.75618799 -206.75618799 -392.78700154 -422.29072955 -206.75618799
 -206.75618799 -392.78700154 -283.01939499 -422.29072955 -206.75618799
 -352.43329405 -422.29072955 -392.78700154 -222.86876144]"
"[ 150.12304297 -150.67118799 -174.60436986 -142.12522396 -160.75952754
 -174.60436986 -142.12522396 -174.60436986 -142.12522396 -215.07216278
  -32.92490552  -32.92490552  -42.18865905  -72.64521751 -215.07216278
 -142.12522396 -160.75952754  -42.18865905  -72.64521751]","[ -66.11600616 -107.3750741  -243.16290779  -57.85975587 -188.35949781
    6.7558033  -211.3619396  -243.16290779  -54.83763311 -129.80614457
 -101.43379334 -284.03672402  -93.95828214  -70.36091539  -84.89278112
  -97.54871609 -175.39984262 -152.44514008 -210.45529207]","[-148.05082842 -146.73286597 -227.7753287  -108.7895941  -279.61734117
 -311.19224554   56.28389949 -343.49856758   -2.85061031 -332.33624066
 -487.13343385 -477.33242147 -123.00082944  -89.99602384 -145.83265962
 -237.7393918  -397.46092805 -227.8956472 ]","[-264.74721512 -358.35295657   57.09788903 -214.74011383 -308.80667859
 -408.13705987 -345.09769661 -357.98925047 -142.88012985 -595.73353218
 -138.50537968 -363.23720507 -154.93600381 -175.66634334   25.65187332
 -320.08198309 -363.54601617 -231.64517002 -181.34146646]","[-182.82439      62.47731944   62.47731944 -129.38521098   -4.80770143
  -36.48793557   27.13218837 -104.06629514   44.34671569    2.32884339
  -26.12976012  -83.68695641   21.92479143  -45.48610638  -82.69849279
  -96.82037108  -99.60374873 -144.4102969   -35.5619432 ]","[ -25.66094683  -48.19166287    6.73199553  -31.92218988  -22.23196718
 -125.71691754  -69.44021877 -131.17598891 -174.20411535  -22.23196718
 -186.18250581  -90.28082207   56.42724452   19.6719719   202.96246717
  -96.74838514   28.12573281  -22.23196718 -125.71691754]","[  85.95385555   -9.19379371   72.09380031  -59.3702599   134.54952214
  130.34959007  -94.5168971   -13.92239711 -100.67452282   35.63599343
  -40.04248293  -84.93314042   27.83331974  -74.97176073   75.25060134
   55.15843273 -117.88321997   19.34534167   16.58078814]","[  53.00375169  119.91391791 -211.90058426   64.25397577  -49.92394952
 -108.36410305 -128.2984299   -13.05635756  -94.7525337  -124.67884397
 -257.46530881 -110.06963584 -144.44970348  -91.43600092 -182.6704998
  -16.80986741 -181.17175071  -24.3471188  -163.37962564]","[  46.83926818 -299.31670898 -246.76751354 -174.93646128 -135.22151522
 -280.00770965 -202.66850912 -535.57073736 -241.03468306 -156.37541286
 -212.70458213 -238.78264331 -244.28119533 -270.36698907 -471.38614236
 -165.58891553 -174.96324686  -95.07502311 -385.92659065]","[-328.89566889 -495.89494681 -278.27337782 -328.89566889 -328.89566889
 -495.89494681 -278.27337782 -328.89566889 -149.34791398 -278.27337782
 -278.27337782 -328.89566889 -434.68012666 -454.73556606 -278.27337782
 -328.89566889 -495.89494681 -495.89494681 -205.30828589]"
