variancceSgd0,variancceSgd1,variancceSgd2,variancceSgd3,variancceSgd4,variancceSgd5,variancceSgd6,variancceSgd7,variancceSgd8,variancceSgd9
1028361.7735584836,1584000.3329359018,2215962.124113247,153135.76627635612,178809.09904728679,743826.8330720782,495790.7238142552,270501.52059101616,489220.2391805755,385654.4750773047
887928.9843137091,967736.6799595642,1621526.3919609145,108443.1813512641,174520.25432171518,348170.1715251552,136434.63865688874,199709.16800297727,472876.3724267796,321733.2456649075
2294151.4964146847,1307339.0196099489,1744649.2585994808,204123.79281747484,460861.1796122524,259980.74939986886,165389.3140932923,482990.1154769809,231444.2231315781,207016.2409239021
1787105.657910497,1256525.5155035066,723080.3991839053,119747.22087683502,277167.7568649317,590127.4223644967,219573.4412712548,411208.80528871866,281983.2840345346,609794.1881275473
1234336.1064901643,789070.5544798357,1484140.0594842094,146497.90862669252,233838.9299993377,363765.6733852418,258550.42703514715,548145.7640403996,303420.811250737,172337.3892431347
1822234.5063341241,1478863.4599630185,1767260.443590183,180616.10672648688,463054.61803778354,273641.72250712983,176932.1790039612,271131.24388225214,344134.8133605254,307923.67478716146
1640206.3668006845,835986.0430950643,2017889.7774897756,99523.14126481065,255737.41814211852,232975.98564538677,115863.70919494158,174975.42613473558,205271.10405045646,492959.44605706725
1113612.7230911385,1056732.7305577279,1389160.5417470795,177115.30392507656,457221.1333809579,435456.67792741506,341632.08074406395,204935.3523582661,218968.41751249094,259680.86065287862
2331579.05959668,1267626.8574354195,805764.6908623959,249613.73055666802,580572.9434884333,316147.9453634305,115748.30930104428,332623.73593477195,284599.9873917781,213700.81175736638
1819333.387362325,271467.511791353,820242.486409449,121185.08810979006,397253.2107579645,226382.76121448108,304592.1542136945,144042.10907923884,145183.15949746978,377891.75901019305
502471.94146099995,1098364.3382636136,665737.3490577264,96739.54701088258,265765.0420209484,243780.33426869512,218598.65600879877,265402.7898830136,296145.0514542541,546055.255887473
1711705.6482806006,630573.204705713,1029598.2318453499,384259.8209162858,547974.3048797303,160963.0161101904,283342.563200286,221303.7739975917,288914.28358358506,378218.23553553724
837220.1600900992,762431.56594467,907213.8937914512,440012.3492938203,496924.92563039507,182695.73889400702,362596.07696534955,437412.6513211031,275745.89766577806,325754.5485184616
401808.2405669758,506202.21105742344,973978.1657208746,274428.3089669201,617832.1337777947,170037.5876884193,343116.31063483236,235288.9599627703,201810.8638416825,262729.05336202966
644828.6254983954,983879.6845441441,585922.9987469442,189736.8537166009,385048.7477261861,225433.57947628445,441705.52283719135,349902.2721214205,228750.3631682571,491298.5676913331
1624232.934248459,689756.4581385888,1077717.130703588,519157.0430207851,272030.5795495864,276697.36075786623,367112.3102369149,250860.6981706736,347390.4108654838,277218.4086278679
1537563.1835763203,664786.7435543325,1264211.2672213502,1798878.8675778538,384832.0174139427,509925.300883012,416284.08312228345,286067.0358976043,173267.61411260156,434944.02486389945
2068762.6818922968,590277.2699962154,772671.9103887918,961990.6858612776,503193.7910661064,170704.0054383027,569779.8273553231,262722.2058131561,336083.01911392825,264972.28679910896
1896272.2851595955,430556.5408357287,1168960.2153821243,500981.93176451157,440000.82758000016,430256.6627812264,621429.1607000327,284446.3464001515,520868.399805823,338704.5893198661
2323016.771473011,447583.8935195622,572282.925993253,224835.51466005333,327274.06246640434,470495.57676292525,446453.45142080006,334392.9778720628,257194.61076763738,162571.05081086868
1842171.5764970882,429119.2724738787,1324222.379042772,534146.7828138337,585655.3842462206,384945.11148663406,704165.5209675304,497175.5484990171,251602.25237017352,271689.73884830717
1884214.036146795,901565.3639055758,792652.6398752525,280241.7071996019,412757.1677851742,427729.3453709022,546450.5498388279,637579.6725918293,243444.3610180485,271025.2615927148
2600427.630639452,737606.2386755946,1336582.7754260828,419845.2823511653,539596.1509806946,613771.6446516974,259771.5232334521,238864.33838643602,381293.797316895,278403.90628298663
2632236.381002769,967202.0057096905,1489372.4404885606,485460.6264984971,880901.0788416964,642617.7535080777,501310.1031779533,396772.71430455905,309990.4719966113,282641.5122151334
3055553.038919506,541867.893728646,1000154.587801608,300139.89071744285,734191.3942760092,349547.1346367743,339638.5818801864,426227.7552436223,460904.05680977047,250153.4546449203
4169178.1279060342,480257.5449503192,749873.728452102,265142.13513744704,624896.3160176624,335381.5762194397,397965.883992222,207660.25383356898,192820.52171714755,208162.17406814374
3534234.68235718,1377063.1347832987,1064976.8951683128,394778.0818769399,769980.6053731982,489638.1416130752,375779.8363495072,275290.1794268297,531638.830677666,225173.9325552199
930280.688595518,1135532.827408495,659370.7241670706,138186.71635923433,558476.6398920327,526227.1982464753,327404.8341633613,395924.6182041725,306704.376095457,278364.6064606805
1859583.114324629,691873.8414714208,1381726.8347991211,124943.28557129785,332959.66336078127,599745.6654629556,432932.83907928364,629186.7991144034,243426.65954210184,391742.988982821
1267560.3055331474,690058.8221175771,911313.4153645416,263955.46357463097,570297.429634414,680094.6815751849,222378.1328199484,298547.7343048788,250842.24216458664,285468.7314251116
1061161.9004936428,695772.8586994094,1533887.4482000447,226485.7770078239,630556.2932926108,402771.4290865077,442770.41244398186,475810.0077302788,467341.9107365571,198557.20577983512
1968933.445727256,1174243.7211594395,1134324.7456787308,242948.43661242863,323288.0863044833,358350.1621751786,453646.4346552425,540986.3443034508,378388.8809514949,217314.44367170337
1382455.9901490237,793001.4151391108,1427601.7452730178,147240.09364434567,525595.3656707214,557624.3550989784,619528.2234564594,459447.61669348896,227726.59814208525,484804.02194917534
1417421.965600946,668609.4386562811,1811311.4764091298,235330.76035661594,359143.8572764336,477941.56439331686,565146.3050397881,520850.7522057736,475349.1027991166,264618.81578268245
