varianceSvrg0,varianceSvrg1,varianceSvrg2
875319.126264377,1320446.6096864757,1816102.5862948108
493632.06784198375,909391.8901089476,1461035.8936068518
2004096.2292669516,1234392.2504192437,1346312.338927303
1727294.5784170832,832820.6716459952,629352.691446245
1137965.0422956164,727279.2760476484,1404503.0814381181
1619864.4426780925,1358026.581373445,1596091.2764294073
1529785.5905154487,778077.8374723769,2352744.89608028
1102875.8118588543,939633.8649505493,1353924.4628389315
2306569.7258543475,1144156.4467023248,826289.9150475524
1757188.612622186,269147.6249250308,805388.1206862184
474235.3232379054,1074379.9150426192,659115.7140098298
1700162.9686548153,614197.1676551546,1024767.0285767956
820349.0074243983,763969.7576248912,882406.0139514027
396534.6224803879,459901.8274719245,969834.7107959584
630285.8286093243,960259.2656756917,584730.627086698
1582051.759083707,680467.9823769863,1069850.085766264
1524400.312138788,662995.8754780851,1214710.3244129587
2059087.2231261388,585456.16809378,766110.1791073021
1872760.630182748,429236.188742778,1170094.099232754
1988437.3981408987,363315.7277222845,529260.2438166275
1521281.1869978309,378873.4677909842,1992849.33166447
1683782.2708225453,864101.4856159065,717682.2472435968
2166731.8761650072,692077.8083374111,1101259.2225253726
2581858.809763789,962592.558446472,1080422.4299132628
3007428.5945511446,535015.1957176541,929684.8170628361
4110474.5959544787,457914.85933602287,2742541.50512499
3461334.216540196,1388473.471722977,1054022.981105285
868021.2398613965,1118496.130696058,580303.5241043357
1853427.1217150544,695869.023794933,731047.1327267385
1257480.4205892729,689781.9933761822,885741.9086076345
1034441.4729463601,687917.4035740345,1788409.6376787138
1959724.1271271377,1166219.7499493996,1122429.2219815422
1372423.5555980934,789880.0870855611,1423531.0890581324
1412978.2155206453,664689.5846172343,1784160.472639248
927415.6447827701,1089206.589901661,1399865.9903124943
874238.5408826254,1138525.3574031333,1899685.8485683326
979462.1271403587,1811440.9393883017,881822.8697418687
1187470.2061844207,1896552.5959831923,983698.034604408
1791833.5007358927,1327820.5939255077,1769505.6987273102
2182806.18523716,1284138.377722413,1354140.0591228965
1825118.2900044199,1409411.7219991588,951425.1815927485
1494929.1977764303,1751280.086299016,749998.3824568918
860145.2696239142,1480757.588300734,538497.7222721013
1824575.7314872725,1448267.7625804911,1048017.0211603914
1110067.992723242,1587436.5367452435,554692.3666813839
687257.17429585,2636347.766547609,1116061.3008030779
698934.1741305881,1872095.2313801954,1400387.2115308635
577582.8862050226,2257263.767562209,1021353.3817060646
800525.0949092775,2086042.1258141566,897747.3313119884
557029.8280314264,3297795.783262036,1095939.5480927248
423951.6065363198,3256223.0015154206,1084029.9686533485
466763.809491155,2878486.286239296,927590.3721865658
459152.7878534791,4038200.4906616155,508261.1425545623
793802.9090868384,1520188.5862472143,849044.380010127
1149606.9547050288,2480005.626516328,975849.3338583657
747558.9585079406,2702385.8629449937,649172.4025606902
743316.0165856814,3129864.7079859516,933350.428301553
439859.55110685073,4172294.170063383,1034799.5732900677
421369.93894006475,1936607.2560336832,991872.6148389514
680711.9346550249,3844719.497544292,1159093.476622351
212289.50022521184,3424821.7146842796,1513270.6320961786
160909.16854397394,3054662.112230907,1042296.2424887507
314403.8321222651,2675816.66239895,1492087.1615188383
637299.4307568049,3653966.933429742,2530426.5959747736
575061.202234321,3755511.0684315395,1133288.9861221148
