variancceSgd0,variancceSgd1,variancceSgd2,variancceSgd3,variancceSgd4
2938.929827038059,4099.986117399083,4592.597387592745,632.3156102082382,1166.2702336075804
2489.4812383502167,1772.9037396668618,7167.387155103961,4918.4579328841655,929.1154798303503
1448.7735422601838,6571.645281187047,1784.2780701610707,906.0279779551445,4425.051253083408
3212.464214643227,1204.336288233826,4778.621813035936,1257.3463856946964,7231.036885795684
8092.448700292134,1137.746429823541,3401.1078281113614,598.3710334475659,2636.8365730671803
22378.435488532457,5274.881490223408,33563.28828846651,901.032350078324,5754.942878447706
18179.409841671568,4069.402416942692,3946.535469547754,1298.6358847714546,10775.980530290082
16424.167214885663,14861.220567657183,3656.3383951904866,362.4081583049184,14353.147859836668
14817.745589399088,3741.0994864636305,16324.628862244348,859.3319716025005,2610.406433701798
33356.05932723034,6498.42108390927,13763.99274565239,1205.9888191629557,22487.033276240418
46724.5392466919,10427.315238090923,12155.77645129591,1984.0244241792802,38020.16735998468
50144.83497662646,25185.15038215212,19807.62719879191,3075.7063085614723,5353.44607992727
193305.13899444893,11161.387149422042,26768.12124154775,1669.212355407175,3719.102021298234
29285.003926195735,18292.478159701794,15022.109125270868,28461.666030750854,25051.067242646866
178038.65498611063,15641.565073383146,25082.77986567971,18044.167477028444,10835.236676207176
123040.92036065538,3941.201652804575,23309.525106415764,13230.479764365693,45622.29016174509
29466.25938091813,41050.85941280429,45856.069395340906,10218.735466051028,20597.528196656196
130565.2456378823,33209.67603000351,49419.24156165789,11797.9794065957,15733.144790869486
304587.9848679835,15586.603956224202,102893.99991156507,58143.370110077914,19376.765430798892
1308658.8200079273,13582.825123081357,169989.85176450832,75346.42623880086,46621.091630829105
277200.7009011354,35611.431874498434,51127.41366525301,26844.700355159348,62880.866557603746
347359.3706186434,18554.340199632516,156962.73589131905,37508.156215255956,435934.93108016736
488419.16690921586,28313.29184087096,191362.41405495058,50535.918682526615,309762.9219243939
838348.6517120502,27611.43314988123,104465.6413019682,69466.87339307572,218754.5699081987
428314.4021056516,108969.40285598727,302483.5818198606,27117.010306122917,251864.62484909632
812226.674682392,112893.17490045264,711831.8123975861,49501.482330518855,289613.50252543343
443855.9719321365,110170.129571384,612996.6427316973,272129.1940530884,379272.5169686732
2032781.9607793172,137772.20972800508,437619.246418178,225908.25560559233,412746.12361943384
743079.0744173639,88447.71870778999,396981.5136178696,149848.22315920293,627857.5862764602
1385112.5558080343,65082.29242046132,199865.45016924327,277876.934136717,823023.5390354472
984810.8706710506,137998.52551193826,618480.1771119188,528353.4679722944,985050.4925920801
1322219.933950264,305542.6725586929,1437854.3452350534,177761.03540051292,714476.1612825837
